year,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,Yes,0.06763,943,12286,0.06319,0.07207
1999,No,0.66134,11343,12286,0.65297,0.66971
2000,Yes,0.06945,1870,21338,0.06604,0.07286
2000,No,0.65878,19468,21338,0.65242,0.66514
2001,Yes,0.07094,1719,19384,0.06732,0.07455
2001,No,0.65654,17665,19384,0.64985,0.66322
2002,Yes,0.07580,2192,19562,0.07209,0.07951
2002,No,0.65865,17370,19562,0.65201,0.66530
2003,Yes,0.07672,2140,18837,0.07291,0.08052
2003,No,0.65637,16697,18837,0.64958,0.66315
2004,Yes,0.08283,2239,18331,0.07884,0.08682
2004,No,0.65310,16092,18331,0.64621,0.65999
2005,Yes,0.09219,2318,17496,0.08791,0.09648
2005,No,0.64496,15178,17496,0.63787,0.65205
2006,Yes,0.10399,2866,18581,0.09960,0.10838
2006,No,0.62592,15715,18581,0.61896,0.63287
2007,Yes,0.11501,2915,17316,0.11026,0.11976
2007,No,0.61315,14401,17316,0.60589,0.62040
2008,Yes,0.13761,3192,16467,0.13235,0.14287
2008,No,0.60292,13275,16467,0.59544,0.61039
2010,Yes,0.14880,4218,20677,0.14395,0.15365
2010,No,0.59187,16459,20677,0.58517,0.59856
2011,Yes,0.14039,3858,17636,0.13526,0.14552
2011,No,0.52242,13778,17636,0.51505,0.52979
2012,Yes,0.15940,5352,23876,0.15475,0.16404
2012,No,0.57376,18524,23876,0.56748,0.58003
2013,Yes,0.14893,3986,16066,0.14342,0.15443
2013,No,0.46409,12080,16066,0.45637,0.47180
2014,Yes,0.17447,5366,23715,0.16964,0.17930
2014,No,0.56106,18349,23715,0.55474,0.56737
2016,Yes,0.15623,4344,21203,0.15134,0.16112
2016,No,0.57293,16859,21203,0.56627,0.57959
2018,Yes,0.16272,4786,22498,0.15790,0.16754
2018,No,0.56881,17712,22498,0.56234,0.57528
2020,Yes,0.16414,4839,21999,0.15924,0.16903
2020,No,0.55919,17160,21999,0.55263,0.56575
