year,quintil_oecd,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,1st Quintile,Yes,0.03192,78,2505,0.02503,0.03880
1999,1st Quintile,No,0.70424,2427,2505,0.68636,0.72211
1999,2nd Quintile,Yes,0.03267,101,2777,0.02606,0.03928
1999,2nd Quintile,No,0.73406,2676,2777,0.71762,0.75050
1999,3rd Quintile,Yes,0.05283,165,2615,0.04425,0.06141
1999,3rd Quintile,No,0.69334,2450,2615,0.67566,0.71101
1999,4th Quintile,Yes,0.07869,231,2453,0.06803,0.08934
1999,4th Quintile,No,0.67606,2222,2453,0.65753,0.69458
1999,5th Quintile,Yes,0.14213,368,1936,0.12657,0.15769
1999,5th Quintile,No,0.49881,1568,1936,0.47653,0.52108
2000,1st Quintile,Yes,0.02774,74,2528,0.02133,0.03414
2000,1st Quintile,No,0.73240,2454,2528,0.71514,0.74966
2000,2nd Quintile,Yes,0.03756,123,2665,0.03034,0.04478
2000,2nd Quintile,No,0.71600,2542,2665,0.69888,0.73313
2000,3rd Quintile,Yes,0.05868,169,2514,0.04949,0.06787
2000,3rd Quintile,No,0.69800,2345,2514,0.68005,0.71595
2000,4th Quintile,Yes,0.07221,211,2370,0.06178,0.08263
2000,4th Quintile,No,0.67824,2159,2370,0.65943,0.69706
2000,5th Quintile,Yes,0.14193,360,1849,0.12602,0.15784
2000,5th Quintile,No,0.48021,1489,1849,0.45743,0.50299
2001,1st Quintile,Yes,0.02263,95,3745,0.01787,0.02740
2001,1st Quintile,No,0.72133,3650,3745,0.70697,0.73569
2001,2nd Quintile,Yes,0.04023,191,4206,0.03429,0.04617
2001,2nd Quintile,No,0.71405,4015,4206,0.70039,0.72770
2001,3rd Quintile,Yes,0.06227,337,4208,0.05496,0.06957
2001,3rd Quintile,No,0.70333,3871,4208,0.68952,0.71713
2001,4th Quintile,Yes,0.09577,460,4011,0.08666,0.10487
2001,4th Quintile,No,0.65667,3551,4011,0.64197,0.67136
2001,5th Quintile,Yes,0.13390,636,3213,0.12212,0.14568
2001,5th Quintile,No,0.48760,2577,3213,0.47031,0.50489
2002,1st Quintile,Yes,0.02631,99,3363,0.02090,0.03172
2002,1st Quintile,No,0.72749,3264,3363,0.71244,0.74254
2002,2nd Quintile,Yes,0.04770,204,3793,0.04092,0.05448
2002,2nd Quintile,No,0.72786,3589,3793,0.71369,0.74202
2002,3rd Quintile,Yes,0.06014,293,3767,0.05254,0.06773
2002,3rd Quintile,No,0.69472,3474,3767,0.68001,0.70943
2002,4th Quintile,Yes,0.09284,432,3830,0.08365,0.10203
2002,4th Quintile,No,0.66311,3398,3830,0.64814,0.67808
2002,5th Quintile,Yes,0.14656,748,3641,0.13507,0.15805
2002,5th Quintile,No,0.53243,2893,3641,0.51622,0.54864
2003,1st Quintile,Yes,0.02514,110,3294,0.01979,0.03048
2003,1st Quintile,No,0.73876,3184,3294,0.72376,0.75377
2003,2nd Quintile,Yes,0.04776,213,3740,0.04092,0.05460
2003,2nd Quintile,No,0.72164,3527,3740,0.70727,0.73601
2003,3rd Quintile,Yes,0.06352,294,3791,0.05576,0.07129
2003,3rd Quintile,No,0.69054,3497,3791,0.67582,0.70525
2003,4th Quintile,Yes,0.10668,496,3865,0.09694,0.11641
2003,4th Quintile,No,0.65474,3369,3865,0.63975,0.66973
2003,5th Quintile,Yes,0.14064,1027,4146,0.13005,0.15122
2003,5th Quintile,No,0.47652,3119,4146,0.46132,0.49172
2004,1st Quintile,Yes,0.03039,117,3175,0.02442,0.03636
2004,1st Quintile,No,0.73280,3058,3175,0.71741,0.74819
2004,2nd Quintile,Yes,0.05657,234,3658,0.04908,0.06406
2004,2nd Quintile,No,0.71280,3424,3658,0.69813,0.72746
2004,3rd Quintile,Yes,0.06615,328,3657,0.05809,0.07420
2004,3rd Quintile,No,0.70242,3329,3657,0.68760,0.71724
2004,4th Quintile,Yes,0.10621,490,3788,0.09640,0.11602
2004,4th Quintile,No,0.65425,3298,3788,0.63910,0.66939
2004,5th Quintile,Yes,0.15501,1070,4050,0.14386,0.16615
2004,5th Quintile,No,0.46268,2980,4050,0.44733,0.47804
2005,1st Quintile,Yes,0.04167,140,3028,0.03455,0.04879
2005,1st Quintile,No,0.72119,2888,3028,0.70522,0.73717
2005,2nd Quintile,Yes,0.05826,257,3539,0.05055,0.06598
2005,2nd Quintile,No,0.72806,3282,3539,0.71340,0.74273
2005,3rd Quintile,Yes,0.08356,367,3464,0.07434,0.09278
2005,3rd Quintile,No,0.68050,3097,3464,0.66497,0.69603
2005,4th Quintile,Yes,0.11364,533,3645,0.10334,0.12395
2005,4th Quintile,No,0.63956,3112,3645,0.62397,0.65515
2005,5th Quintile,Yes,0.16399,1021,3818,0.15225,0.17574
2005,5th Quintile,No,0.45513,2797,3818,0.43933,0.47092
2006,1st Quintile,Yes,0.04119,150,2826,0.03387,0.04852
2006,1st Quintile,No,0.72085,2676,2826,0.70431,0.73739
2006,2nd Quintile,Yes,0.06585,273,3147,0.05719,0.07452
2006,2nd Quintile,No,0.70207,2874,3147,0.68609,0.71805
2006,3rd Quintile,Yes,0.10033,422,3387,0.09021,0.11045
2006,3rd Quintile,No,0.66913,2965,3387,0.65328,0.68498
2006,4th Quintile,Yes,0.13712,625,3391,0.12554,0.14870
2006,4th Quintile,No,0.60196,2766,3391,0.58548,0.61843
