year,migback,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,No migration background,Yes,0.07460,866,9599,0.06935,0.07986
1999,No migration background,No,0.65785,8733,9599,0.64836,0.66734
1999,Direct migration background,Yes,0.04073,53,2120,0.03231,0.04914
1999,Direct migration background,No,0.84758,2067,2120,0.83228,0.86289
1999,Indirect migration background,No,0.34855,543,543,0.30844,0.38867
2000,No migration background,Yes,0.07694,1717,17432,0.07298,0.08089
2000,No migration background,No,0.65826,15715,17432,0.65122,0.66530
2000,Direct migration background,Yes,0.03695,110,3140,0.03035,0.04355
2000,Direct migration background,No,0.82197,3030,3140,0.80859,0.83535
2000,Indirect migration background,Yes,0.02732,43,766,0.01577,0.03887
2000,Indirect migration background,No,0.33555,723,766,0.30209,0.36901
2001,No migration background,Yes,0.07870,1592,15916,0.07452,0.08289
2001,No migration background,No,0.65756,14324,15916,0.65019,0.66493
2001,Direct migration background,Yes,0.03301,77,2754,0.02633,0.03968
2001,Direct migration background,No,0.83880,2677,2754,0.82506,0.85254
2001,Indirect migration background,Yes,0.03516,50,714,0.02164,0.04868
2001,Indirect migration background,No,0.30911,664,714,0.27519,0.34303
2002,No migration background,Yes,0.08449,2036,16247,0.08021,0.08877
2002,No migration background,No,0.65693,14211,16247,0.64963,0.66423
2002,Direct migration background,Yes,0.03989,105,2611,0.03238,0.04739
2002,Direct migration background,No,0.85145,2506,2611,0.83781,0.86510
2002,Indirect migration background,Yes,0.02507,51,704,0.01352,0.03663
2002,Indirect migration background,No,0.32546,653,704,0.29083,0.36010
2003,No migration background,Yes,0.08581,1988,15676,0.08142,0.09019
2003,No migration background,No,0.65446,13688,15676,0.64701,0.66190
2003,Direct migration background,Yes,0.03620,93,2452,0.02880,0.04359
2003,Direct migration background,No,0.85649,2359,2452,0.84261,0.87037
2003,Indirect migration background,Yes,0.03184,59,709,0.01891,0.04478
2003,Indirect migration background,No,0.32997,650,709,0.29533,0.36460
2004,No migration background,Yes,0.09271,2077,15230,0.08811,0.09732
2004,No migration background,No,0.64817,13153,15230,0.64059,0.65576
2004,Direct migration background,Yes,0.03880,103,2375,0.03103,0.04657
2004,Direct migration background,No,0.86752,2272,2375,0.85388,0.88116
2004,Indirect migration background,Yes,0.03718,59,726,0.02340,0.05095
2004,Indirect migration background,No,0.35001,667,726,0.31529,0.38473
2005,No migration background,Yes,0.10279,2137,14551,0.09786,0.10773
2005,No migration background,No,0.63763,12414,14551,0.62982,0.64544
2005,Direct migration background,Yes,0.04807,113,2196,0.03912,0.05702
2005,Direct migration background,No,0.85383,2083,2196,0.83905,0.86861
2005,Indirect migration background,Yes,0.04031,68,749,0.02621,0.05440
2005,Indirect migration background,No,0.39000,681,749,0.35504,0.42495
2006,No migration background,Yes,0.11567,2643,15640,0.11065,0.12068
2006,No migration background,No,0.61871,12997,15640,0.61110,0.62632
2006,Direct migration background,Yes,0.05614,139,2206,0.04653,0.06574
2006,Direct migration background,No,0.84529,2067,2206,0.83020,0.86039
2006,Indirect migration background,Yes,0.05006,84,735,0.03429,0.06584
2006,Indirect migration background,No,0.37010,651,735,0.33517,0.40503
2007,No migration background,Yes,0.12801,2692,14637,0.12260,0.13342
2007,No migration background,No,0.60356,11945,14637,0.59563,0.61148
2007,Direct migration background,Yes,0.06338,143,1979,0.05264,0.07412
2007,Direct migration background,No,0.84289,1836,1979,0.82686,0.85893
2007,Indirect migration background,Yes,0.05232,80,700,0.03582,0.06883
2007,Indirect migration background,No,0.38142,620,700,0.34541,0.41743
2008,No migration background,Yes,0.15091,2931,13968,0.14498,0.15685
2008,No migration background,No,0.59126,11037,13968,0.58311,0.59941
2008,Direct migration background,Yes,0.08909,158,1796,0.07591,0.10227
2008,Direct migration background,No,0.84036,1638,1796,0.82341,0.85730
2008,Indirect migration background,Yes,0.06832,103,703,0.04966,0.08699
2008,Indirect migration background,No,0.39316,600,703,0.35703,0.42929
2010,No migration background,Yes,0.16378,3803,16888,0.15820,0.16936
2010,No migration background,No,0.57938,13085,16888,0.57193,0.58682
2010,Direct migration background,Yes,0.09636,262,2775,0.08538,0.10734
2010,Direct migration background,No,0.81973,2513,2775,0.80543,0.83404
2010,Indirect migration background,Yes,0.06988,153,1014,0.05418,0.08558
2010,Indirect migration background,No,0.36800,861,1014,0.33830,0.39770
2011,No migration background,Yes,0.15669,3545,15034,0.15088,0.16250
2011,No migration background,No,0.51829,11489,15034,0.51030,0.52627
2011,Direct migration background,Yes,0.07429,196,1885,0.06245,0.08613
2011,Direct migration background,No,0.69405,1689,1885,0.67324,0.71486
2011,Indirect migration background,Yes,0.06317,117,717,0.04535,0.08099
2011,Indirect migration background,No,0.30564,600,717,0.27189,0.33938
2012,No migration background,Yes,0.17749,4870,19789,0.17216,0.18281
2012,No migration background,No,0.55772,14919,19789,0.55080,0.56464
2012,Direct migration background,Yes,0.08663,298,2973,0.07652,0.09674
2012,Direct migration background,No,0.82841,2675,2973,0.81485,0.84196
2012,Indirect migration background,Yes,0.08265,184,1114,0.06647,0.09883
2012,Indirect migration background,No,0.34301,930,1114,0.31512,0.37090
2013,No migration background,Yes,0.17290,3655,13802,0.16659,0.17921
2013,No migration background,No,0.50189,10147,13802,0.49355,0.51024
2013,Direct migration background,Yes,0.05557,204,1632,0.04445,0.06669
2013,Direct migration background,No,0.41688,1428,1632,0.39295,0.44081
2013,Indirect migration background,Yes,0.05593,127,632,0.03800,0.07386
2013,Indirect migration background,No,0.16491,505,632,0.13595,0.19387
2014,No migration background,Yes,0.19790,4691,17079,0.19192,0.20387
