year,bula_h,regtyp,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Urban regions,Yes,0.90472,141,141,0.85608,0.95335
2015,Schleswig-Holstein,Rural regions,Yes,0.94232,370,370,0.91853,0.96611
2015,Hamburg,Urban regions,Yes,0.90221,264,264,0.86631,0.93811
2015,Lower Saxony,Urban regions,Yes,0.92725,583,623,0.90684,0.94766
2015,Lower Saxony,Urban regions,No,0.06142,40,623,0.04255,0.08029
2015,Lower Saxony,Rural regions,Yes,0.93947,814,866,0.92358,0.95536
2015,Lower Saxony,Rural regions,No,0.05565,52,866,0.04037,0.07092
2015,Bremen,Urban regions,Yes,0.95349,108,108,0.91358,0.99339
2015,North Rhine-Westphalia,Urban regions,Yes,0.92580,2887,3138,0.91662,0.93497
2015,North Rhine-Westphalia,Urban regions,No,0.06912,251,3138,0.06024,0.07800
2015,North Rhine-Westphalia,Rural regions,Yes,0.92660,50,50,0.85358,0.99962
2015,Hesse,Urban regions,Yes,0.86076,812,907,0.83822,0.88330
2015,Hesse,Urban regions,No,0.13598,95,907,0.11366,0.15830
2015,Hesse,Rural regions,Yes,0.94194,203,203,0.90969,0.97419
2015,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.90228,613,680,0.87994,0.92461
2015,"Rhineland-Palatinate, Saarland",Urban regions,No,0.08971,67,680,0.06821,0.11120
2015,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.88687,219,219,0.84483,0.92892
2015,Baden-Wuerttemberg,Urban regions,Yes,0.86494,1415,1632,0.84835,0.88153
2015,Baden-Wuerttemberg,Urban regions,No,0.12973,217,1632,0.11342,0.14603
2015,Baden-Wuerttemberg,Rural regions,Yes,0.89533,170,170,0.84917,0.94148
2015,Bavaria,Urban regions,Yes,0.87422,1095,1235,0.85572,0.89272
2015,Bavaria,Urban regions,No,0.11334,140,1235,0.09566,0.13103
2015,Bavaria,Rural regions,Yes,0.87622,1185,1338,0.85857,0.89388
2015,Bavaria,Rural regions,No,0.11546,153,1338,0.09833,0.13259
2015,Berlin,Urban regions,Yes,0.77501,501,644,0.74274,0.80729
2015,Berlin,Urban regions,No,0.21521,143,644,0.18345,0.24698
2015,Brandenburg,Urban regions,Yes,0.85046,39,39,0.73707,0.96385
2015,Brandenburg,Rural regions,Yes,0.88406,503,554,0.85737,0.91074
2015,Brandenburg,Rural regions,No,0.10479,51,554,0.07926,0.13032
2015,Mecklenburg-Western Pomerania,Urban regions,Yes,0.75787,38,38,0.61984,0.89590
2015,Mecklenburg-Western Pomerania,Rural regions,Yes,0.84161,275,275,0.79837,0.88484
2015,Saxony,Urban regions,Yes,0.83189,441,500,0.79908,0.86471
2015,Saxony,Urban regions,No,0.15955,59,500,0.12742,0.19168
2015,Saxony,Rural regions,Yes,0.83446,348,408,0.79835,0.87057
2015,Saxony,Rural regions,No,0.14404,60,408,0.10992,0.17815
2015,Saxony-Anhalt,Urban regions,Yes,0.91675,117,117,0.86647,0.96702
2015,Saxony-Anhalt,Rural regions,Yes,0.88903,370,411,0.85863,0.91943
2015,Saxony-Anhalt,Rural regions,No,0.10421,41,411,0.07463,0.13378
2015,Thuringa,Urban regions,Yes,0.95483,182,182,0.92457,0.98508
2015,Thuringa,Rural regions,Yes,0.90524,361,361,0.87498,0.93549
2016,Schleswig-Holstein,Urban regions,Yes,0.92683,130,130,0.88189,0.97177
2016,Schleswig-Holstein,Rural regions,Yes,0.96681,353,353,0.94809,0.98552
2016,Hamburg,Urban regions,Yes,0.93879,249,249,0.90896,0.96863
2016,Lower Saxony,Urban regions,Yes,0.93569,535,535,0.91488,0.95649
2016,Lower Saxony,Rural regions,Yes,0.95592,751,751,0.94123,0.97061
2016,Bremen,Urban regions,Yes,0.93288,96,96,0.88257,0.98320
2016,North Rhine-Westphalia,Urban regions,Yes,0.93454,2673,2849,0.92545,0.94362
2016,North Rhine-Westphalia,Urban regions,No,0.05723,176,2849,0.04870,0.06577
2016,North Rhine-Westphalia,Rural regions,Yes,0.90355,50,50,0.82089,0.98621
2016,Hesse,Urban regions,Yes,0.90668,735,798,0.88648,0.92687
2016,Hesse,Urban regions,No,0.08919,63,798,0.06941,0.10898
2016,Hesse,Rural regions,Yes,0.98215,173,173,0.96236,1.00194
2016,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.92435,578,624,0.90359,0.94512
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.06624,46,624,0.04671,0.08577
2016,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.89871,203,203,0.85710,0.94032
2016,Baden-Wuerttemberg,Urban regions,Yes,0.90205,1333,1449,0.88674,0.91736
2016,Baden-Wuerttemberg,Urban regions,No,0.08702,116,1449,0.07250,0.10154
2016,Baden-Wuerttemberg,Rural regions,Yes,0.95331,163,163,0.92082,0.98580
2016,Bavaria,Urban regions,Yes,0.89114,998,1098,0.87271,0.90957
2016,Bavaria,Urban regions,No,0.10349,100,1098,0.08546,0.12151
2016,Bavaria,Rural regions,Yes,0.91111,1099,1199,0.89500,0.92723
2016,Bavaria,Rural regions,No,0.08001,100,1199,0.06464,0.09537
2016,Berlin,Urban regions,Yes,0.85163,508,610,0.82340,0.87986
2016,Berlin,Urban regions,No,0.14584,102,610,0.11781,0.17387
2016,Brandenburg,Urban regions,Yes,0.92871,39,39,0.84690,1.01052
2016,Brandenburg,Rural regions,Yes,0.90594,483,516,0.88073,0.93116
2016,Brandenburg,Rural regions,No,0.07698,33,516,0.05396,0.10000
2016,Mecklenburg-Western Pomerania,Urban regions,Yes,0.80957,40,40,0.68634,0.93280
2016,Mecklenburg-Western Pomerania,Rural regions,Yes,0.95425,267,267,0.92914,0.97936
2016,Saxony,Urban regions,Yes,0.90610,425,465,0.87956,0.93264
2016,Saxony,Urban regions,No,0.08715,40,465,0.06149,0.11282
2016,Saxony,Rural regions,Yes,0.90295,360,399,0.87387,0.93204
2016,Saxony,Rural regions,No,0.08200,39,399,0.05504,0.10896
2016,Saxony-Anhalt,Urban regions,Yes,0.85299,112,112,0.78711,0.91886
2016,Saxony-Anhalt,Rural regions,Yes,0.94963,368,368,0.92725,0.97200
2016,Thuringa,Urban regions,Yes,0.96262,171,171,0.93410,0.99113
2016,Thuringa,Rural regions,Yes,0.90848,340,340,0.87779,0.93918
2017,Schleswig-Holstein,Urban regions,Yes,0.96663,168,168,0.93940,0.99387
2017,Schleswig-Holstein,Rural regions,Yes,0.95110,369,369,0.92906,0.97313
2017,Hamburg,Urban regions,Yes,0.90898,275,275,0.87492,0.94304
2017,Lower Saxony,Urban regions,Yes,0.93666,636,636,0.91772,0.95561
2017,Lower Saxony,Rural regions,Yes,0.95005,851,851,0.93540,0.96469
2017,Bremen,Urban regions,Yes,0.93446,120,120,0.89000,0.97893
2017,North Rhine-Westphalia,Urban regions,Yes,0.94391,2988,3123,0.93583,0.95198
2017,North Rhine-Westphalia,Urban regions,No,0.04698,135,3123,0.03956,0.05440
2017,North Rhine-Westphalia,Rural regions,Yes,0.97815,61,61,0.94116,1.01514
2017,Hesse,Urban regions,Yes,0.92737,792,847,0.90988,0.94486
2017,Hesse,Urban regions,No,0.06676,55,847,0.04994,0.08358
2017,Hesse,Rural regions,Yes,0.91764,198,198,0.87925,0.95603
2017,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.95134,634,634,0.93457,0.96810
2017,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.90093,210,210,0.86042,0.94143
2017,Baden-Wuerttemberg,Urban regions,Yes,0.89167,1405,1541,0.87614,0.90719
2017,Baden-Wuerttemberg,Urban regions,No,0.10273,136,1541,0.08757,0.11790
2017,Baden-Wuerttemberg,Rural regions,Yes,0.91863,173,173,0.87777,0.95949
2017,Bavaria,Urban regions,Yes,0.91668,1105,1197,0.90102,0.93234
2017,Bavaria,Urban regions,No,0.07822,92,1197,0.06300,0.09343
2017,Bavaria,Rural regions,Yes,0.92643,1206,1305,0.91226,0.94060
2017,Bavaria,Rural regions,No,0.06862,99,1305,0.05490,0.08234
2017,Berlin,Urban regions,Yes,0.82165,555,659,0.79240,0.85090
2017,Berlin,Urban regions,No,0.17285,104,659,0.14395,0.20174
2017,Brandenburg,Urban regions,Yes,0.87185,46,46,0.77418,0.96951
2017,Brandenburg,Rural regions,Yes,0.92197,535,535,0.89922,0.94472
2017,Mecklenburg-Western Pomerania,Urban regions,Yes,0.93707,50,50,0.86908,1.00507
2017,Mecklenburg-Western Pomerania,Rural regions,Yes,0.88966,287,287,0.85335,0.92597
2017,Saxony,Urban regions,Yes,0.89141,490,531,0.86492,0.91790
2017,Saxony,Urban regions,No,0.09901,41,531,0.07358,0.12444
2017,Saxony,Rural regions,Yes,0.89612,417,454,0.86802,0.92421
2017,Saxony,Rural regions,No,0.09091,37,454,0.06443,0.11738
2017,Saxony-Anhalt,Urban regions,Yes,0.92463,114,114,0.87596,0.97331
2017,Saxony-Anhalt,Rural regions,Yes,0.93030,427,427,0.90611,0.95448
2017,Thuringa,Urban regions,Yes,0.99075,182,182,0.97680,1.00470
2017,Thuringa,Rural regions,Yes,0.92316,383,383,0.89645,0.94987
2018,Schleswig-Holstein,Urban regions,Yes,0.95646,182,182,0.92674,0.98619
2018,Schleswig-Holstein,Rural regions,Yes,0.94977,346,346,0.92672,0.97282
2018,Hamburg,Urban regions,Yes,0.94101,309,309,0.91470,0.96732
2018,Lower Saxony,Urban regions,Yes,0.95606,618,618,0.93989,0.97223
2018,Lower Saxony,Rural regions,Yes,0.96770,813,813,0.95554,0.97986
2018,Bremen,Urban regions,Yes,0.94250,128,128,0.90202,0.98299
2018,North Rhine-Westphalia,Urban regions,Yes,0.95163,2984,3122,0.94410,0.95915
2018,North Rhine-Westphalia,Urban regions,No,0.03738,138,3122,0.03072,0.04404
2018,North Rhine-Westphalia,Rural regions,Yes,0.95449,54,54,0.89838,1.01060
2018,Hesse,Urban regions,Yes,0.91255,758,798,0.89294,0.93216
2018,Hesse,Urban regions,No,0.08013,40,798,0.06128,0.09898
2018,Hesse,Rural regions,Yes,0.97013,200,200,0.94648,0.99378
2018,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.95793,640,640,0.94236,0.97349
2018,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.90409,206,206,0.86378,0.94440
2018,Baden-Wuerttemberg,Urban regions,Yes,0.93613,1368,1449,0.92354,0.94873
2018,Baden-Wuerttemberg,Urban regions,No,0.05599,81,1449,0.04415,0.06783
2018,Baden-Wuerttemberg,Rural regions,Yes,0.97524,172,172,0.95195,0.99853
2018,Bavaria,Urban regions,Yes,0.92665,1085,1170,0.91170,0.94159
2018,Bavaria,Urban regions,No,0.07030,85,1170,0.05564,0.08495
2018,Bavaria,Rural regions,Yes,0.91794,1152,1239,0.90265,0.93323
2018,Bavaria,Rural regions,No,0.07571,87,1239,0.06098,0.09045
2018,Berlin,Urban regions,Yes,0.86084,597,692,0.83503,0.88665
2018,Berlin,Urban regions,No,0.13144,95,692,0.10624,0.15663
2018,Brandenburg,Urban regions,Yes,0.85910,49,49,0.76068,0.95753
2018,Brandenburg,Rural regions,Yes,0.90413,551,584,0.88023,0.92803
2018,Brandenburg,Rural regions,No,0.07669,33,584,0.05509,0.09830
2018,Mecklenburg-Western Pomerania,Urban regions,Yes,0.95535,61,61,0.90308,1.00761
2018,Mecklenburg-Western Pomerania,Rural regions,Yes,0.91575,290,290,0.88372,0.94777
2018,Saxony,Urban regions,Yes,0.90769,503,503,0.88237,0.93301
2018,Saxony,Rural regions,Yes,0.94057,421,421,0.91796,0.96318
2018,Saxony-Anhalt,Urban regions,Yes,0.93010,121,121,0.88448,0.97572
2018,Saxony-Anhalt,Rural regions,Yes,0.95895,429,429,0.94015,0.97775
2018,Thuringa,Urban regions,Yes,0.95565,188,188,0.92614,0.98516
2018,Thuringa,Rural regions,Yes,0.95762,368,368,0.93701,0.97823
2019,Schleswig-Holstein,Urban regions,Yes,0.82492,141,141,0.76197,0.88788
2019,Schleswig-Holstein,Rural regions,Yes,0.87365,287,287,0.83514,0.91215
2019,Hamburg,Urban regions,Yes,0.89828,266,266,0.86188,0.93467
2019,Lower Saxony,Urban regions,Yes,0.86701,507,507,0.83743,0.89660
2019,Lower Saxony,Rural regions,Yes,0.90218,681,681,0.87985,0.92451
2019,Bremen,Urban regions,Yes,0.91286,107,107,0.85917,0.96656
2019,North Rhine-Westphalia,Urban regions,Yes,0.87677,2443,2545,0.86400,0.88955
2019,North Rhine-Westphalia,Urban regions,No,0.03238,102,2545,0.02550,0.03926
2019,North Rhine-Westphalia,Rural regions,Yes,0.90087,48,48,0.81544,0.98631
2019,Hesse,Urban regions,Yes,0.83326,626,658,0.80476,0.86177
2019,Hesse,Urban regions,No,0.07256,32,658,0.05272,0.09239
2019,Hesse,Rural regions,Yes,0.82583,147,147,0.76431,0.88735
2019,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.89416,521,521,0.86771,0.92060
2019,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.82528,171,171,0.76819,0.88236
2019,Baden-Wuerttemberg,Urban regions,Yes,0.86128,1118,1174,0.84150,0.88106
2019,Baden-Wuerttemberg,Urban regions,No,0.04477,56,1174,0.03293,0.05660
2019,Baden-Wuerttemberg,Rural regions,Yes,0.89187,137,137,0.83968,0.94407
2019,Bavaria,Urban regions,Yes,0.82824,857,922,0.80388,0.85260
2019,Bavaria,Urban regions,No,0.06420,65,922,0.04837,0.08003
2019,Bavaria,Rural regions,Yes,0.83740,963,1029,0.81485,0.85996
2019,Bavaria,Rural regions,No,0.06941,66,1029,0.05387,0.08494
2019,Berlin,Urban regions,Yes,0.79795,476,557,0.76458,0.83133
2019,Berlin,Urban regions,No,0.13944,81,557,0.11065,0.16824
2019,Brandenburg,Urban regions,Yes,0.70585,40,40,0.56284,0.84886
2019,Brandenburg,Rural regions,Yes,0.82309,483,483,0.78902,0.85715
2019,Mecklenburg-Western Pomerania,Urban regions,Yes,0.83980,51,51,0.73813,0.94147
2019,Mecklenburg-Western Pomerania,Rural regions,Yes,0.84452,241,241,0.79867,0.89036
2019,Saxony,Urban regions,Yes,0.83350,413,413,0.79753,0.86947
2019,Saxony,Rural regions,Yes,0.88462,365,365,0.85180,0.91744
2019,Saxony-Anhalt,Urban regions,Yes,0.80538,105,105,0.72929,0.88147
2019,Saxony-Anhalt,Rural regions,Yes,0.89713,340,340,0.86479,0.92947
2019,Thuringa,Urban regions,Yes,0.85445,141,141,0.79603,0.91287
2019,Thuringa,Rural regions,Yes,0.88244,311,311,0.84658,0.91829
2020,Schleswig-Holstein,Urban regions,Yes,0.93242,178,178,0.89544,0.96940
2020,Schleswig-Holstein,Rural regions,Yes,0.95746,343,343,0.93607,0.97885
2020,Hamburg,Urban regions,Yes,0.95874,338,338,0.93751,0.97998
2020,Lower Saxony,Urban regions,Yes,0.95692,617,660,0.94141,0.97242
2020,Lower Saxony,Urban regions,No,0.02857,43,660,0.01585,0.04129
2020,Lower Saxony,Rural regions,Yes,0.93540,776,822,0.91858,0.95221
2020,Lower Saxony,Rural regions,No,0.04996,46,822,0.03505,0.06486
2020,Bremen,Urban regions,Yes,0.95201,128,128,0.91484,0.98919
2020,North Rhine-Westphalia,Urban regions,Yes,0.93194,3070,3341,0.92340,0.94048
2020,North Rhine-Westphalia,Urban regions,No,0.04981,271,3341,0.04244,0.05719
2020,North Rhine-Westphalia,Rural regions,Yes,0.91894,50,50,0.84252,0.99536
2020,Hesse,Urban regions,Yes,0.90757,845,921,0.88885,0.92628
2020,Hesse,Urban regions,No,0.07939,76,921,0.06192,0.09686
2020,Hesse,Rural regions,Yes,0.94296,187,187,0.90963,0.97629
2020,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.95856,614,651,0.94324,0.97388
2020,"Rhineland-Palatinate, Saarland",Urban regions,No,0.02946,37,651,0.01646,0.04246
2020,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.92848,202,202,0.89286,0.96411
2020,Baden-Wuerttemberg,Urban regions,Yes,0.92086,1446,1558,0.90745,0.93427
2020,Baden-Wuerttemberg,Urban regions,No,0.07142,112,1558,0.05863,0.08421
2020,Baden-Wuerttemberg,Rural regions,Yes,0.93833,175,175,0.90259,0.97407
2020,Bavaria,Urban regions,Yes,0.90856,1215,1319,0.89300,0.92412
2020,Bavaria,Urban regions,No,0.08369,104,1319,0.06874,0.09864
2020,Bavaria,Rural regions,Yes,0.91534,1205,1312,0.90028,0.93041
2020,Bavaria,Rural regions,No,0.07529,107,1312,0.06101,0.08958
2020,Berlin,Urban regions,Yes,0.86212,716,861,0.83908,0.88517
2020,Berlin,Urban regions,No,0.12512,145,861,0.10301,0.14723
2020,Brandenburg,Urban regions,Yes,0.92315,53,53,0.85075,0.99554
2020,Brandenburg,Rural regions,Yes,0.95093,586,621,0.93392,0.96793
2020,Brandenburg,Rural regions,No,0.04318,35,621,0.02718,0.05918
2020,Mecklenburg-Western Pomerania,Urban regions,Yes,0.87442,57,57,0.78762,0.96121
2020,Mecklenburg-Western Pomerania,Rural regions,Yes,0.91376,260,260,0.87957,0.94795
2020,Saxony,Urban regions,Yes,0.91432,502,534,0.89056,0.93809
2020,Saxony,Urban regions,No,0.07105,32,534,0.04924,0.09286
2020,Saxony,Rural regions,Yes,0.93456,424,424,0.91099,0.95812
2020,Saxony-Anhalt,Urban regions,Yes,0.92450,130,130,0.87890,0.97009
2020,Saxony-Anhalt,Rural regions,Yes,0.94947,402,402,0.92803,0.97091
2020,Thuringa,Urban regions,Yes,0.95447,185,185,0.92434,0.98459
2020,Thuringa,Rural regions,Yes,0.96076,367,367,0.94087,0.98065
2021,Schleswig-Holstein,Urban regions,Yes,0.90429,129,129,0.85332,0.95525
2021,Schleswig-Holstein,Rural regions,Yes,0.85239,236,236,0.80704,0.89775
2021,Hamburg,Urban regions,Yes,0.87110,227,227,0.82741,0.91479
2021,Lower Saxony,Urban regions,Yes,0.83641,394,394,0.79983,0.87298
2021,Lower Saxony,Rural regions,Yes,0.87382,513,513,0.84505,0.90258
2021,Bremen,Urban regions,Yes,0.83416,62,62,0.74082,0.92750
2021,North Rhine-Westphalia,Urban regions,Yes,0.84639,1899,2015,0.83064,0.86214
2021,North Rhine-Westphalia,Urban regions,No,0.03885,116,2015,0.03041,0.04729
2021,North Rhine-Westphalia,Rural regions,Yes,0.90397,45,45,0.81692,0.99103
2021,Hesse,Urban regions,Yes,0.82277,471,471,0.78825,0.85729
2021,Hesse,Rural regions,Yes,0.73075,107,107,0.64630,0.81519
2021,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.86672,353,353,0.83122,0.90223
2021,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.86430,111,111,0.80030,0.92830
2021,Baden-Wuerttemberg,Urban regions,Yes,0.78134,880,944,0.75496,0.80772
2021,Baden-Wuerttemberg,Urban regions,No,0.06849,64,944,0.05237,0.08461
2021,Baden-Wuerttemberg,Rural regions,Yes,0.92805,104,104,0.87815,0.97796
2021,Bavaria,Urban regions,Yes,0.79376,721,780,0.76534,0.82217
2021,Bavaria,Urban regions,No,0.09276,59,780,0.07239,0.11313
2021,Bavaria,Rural regions,Yes,0.86252,746,802,0.83867,0.88637
2021,Bavaria,Rural regions,No,0.06511,56,802,0.04802,0.08219
2021,Berlin,Urban regions,Yes,0.77499,438,516,0.73893,0.81106
2021,Berlin,Urban regions,No,0.12699,78,516,0.09824,0.15575
2021,Brandenburg,Urban regions,Yes,0.78261,33,33,0.63970,0.92552
2021,Brandenburg,Rural regions,Yes,0.87625,348,348,0.84160,0.91090
2021,Mecklenburg-Western Pomerania,Urban regions,Yes,0.73808,40,40,0.60008,0.87607
2021,Mecklenburg-Western Pomerania,Rural regions,Yes,0.86230,186,186,0.81264,0.91195
2021,Saxony,Urban regions,Yes,0.82513,342,342,0.78482,0.86545
2021,Saxony,Rural regions,Yes,0.87172,304,304,0.83406,0.90937
2021,Saxony-Anhalt,Urban regions,Yes,0.76040,69,69,0.65895,0.86186
2021,Saxony-Anhalt,Rural regions,Yes,0.83567,243,243,0.78898,0.88236
2021,Thuringa,Urban regions,Yes,0.86495,118,118,0.80302,0.92688
2021,Thuringa,Rural regions,Yes,0.90668,226,226,0.86867,0.94469
2022,Schleswig-Holstein,Urban regions,Yes,0.93479,243,243,0.90368,0.96589
2022,Schleswig-Holstein,Rural regions,Yes,0.95173,372,372,0.92992,0.97354
2022,Hamburg,Urban regions,Yes,0.93998,415,415,0.91710,0.96286
2022,Lower Saxony,Urban regions,Yes,0.92608,693,742,0.90724,0.94492
2022,Lower Saxony,Urban regions,No,0.06261,49,742,0.04517,0.08006
2022,Lower Saxony,Rural regions,Yes,0.94521,859,894,0.93028,0.96013
2022,Lower Saxony,Rural regions,No,0.04341,35,894,0.03004,0.05677
2022,Bremen,Urban regions,Yes,0.92505,126,126,0.87888,0.97121
2022,North Rhine-Westphalia,Urban regions,Yes,0.93519,3592,3833,0.92739,0.94298
2022,North Rhine-Westphalia,Urban regions,No,0.04732,241,3833,0.04060,0.05405
2022,North Rhine-Westphalia,Rural regions,Yes,0.97267,80,80,0.93672,1.00863
2022,Hesse,Urban regions,Yes,0.93677,949,1012,0.92177,0.95177
2022,Hesse,Urban regions,No,0.05180,63,1012,0.03814,0.06546
2022,Hesse,Rural regions,Yes,0.95142,228,228,0.92345,0.97938
2022,"Rhineland-Palatinate, Saarland",Urban regions,Yes,0.93502,653,704,0.91680,0.95324
2022,"Rhineland-Palatinate, Saarland",Urban regions,No,0.04857,51,704,0.03268,0.06446
2022,"Rhineland-Palatinate, Saarland",Rural regions,Yes,0.95525,181,181,0.92505,0.98546
2022,Baden-Wuerttemberg,Urban regions,Yes,0.91983,1809,1984,0.90788,0.93179
2022,Baden-Wuerttemberg,Urban regions,No,0.06975,175,1984,0.05854,0.08096
2022,Baden-Wuerttemberg,Rural regions,Yes,0.94824,289,289,0.92265,0.97383
2022,Bavaria,Urban regions,Yes,0.90009,1568,1728,0.88595,0.91424
2022,Bavaria,Urban regions,No,0.08551,160,1728,0.07232,0.09870
2022,Bavaria,Rural regions,Yes,0.89661,1264,1384,0.88057,0.91266
2022,Bavaria,Rural regions,No,0.09674,120,1384,0.08116,0.11232
2022,Berlin,Urban regions,Yes,0.86123,998,1144,0.84119,0.88127
2022,Berlin,Urban regions,No,0.12035,146,1144,0.10149,0.13922
2022,Brandenburg,Urban regions,Yes,0.96006,60,60,0.91010,1.01003
2022,Brandenburg,Rural regions,Yes,0.94417,634,677,0.92686,0.96148
2022,Brandenburg,Rural regions,No,0.05059,43,677,0.03407,0.06712
2022,Mecklenburg-Western Pomerania,Urban regions,Yes,0.93222,77,77,0.87571,0.98874
2022,Mecklenburg-Western Pomerania,Rural regions,Yes,0.94480,318,318,0.91966,0.96994
2022,Saxony,Urban regions,Yes,0.91537,589,637,0.89373,0.93700
2022,Saxony,Urban regions,No,0.07006,48,637,0.05022,0.08990
2022,Saxony,Rural regions,Yes,0.93248,624,659,0.91331,0.95165
2022,Saxony,Rural regions,No,0.06356,35,659,0.04492,0.08220
2022,Saxony-Anhalt,Urban regions,Yes,0.87159,139,139,0.81577,0.92741
2022,Saxony-Anhalt,Rural regions,Yes,0.95119,489,526,0.93276,0.96962
2022,Saxony-Anhalt,Rural regions,No,0.04433,37,526,0.02673,0.06194
2022,Thuringa,Urban regions,Yes,0.95050,192,192,0.91974,0.98126
2022,Thuringa,Rural regions,Yes,0.93808,344,344,0.91257,0.96358
