year,quintil_oecd_hh,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,Yes,0.82712,2994,3529,0.81465,0.83960
2015,1st Quintile,No,0.16269,535,3529,0.15051,0.17487
2015,2nd Quintile,Yes,0.87468,2965,3364,0.86349,0.88587
2015,2nd Quintile,No,0.11880,399,3364,0.10786,0.12973
2015,3rd Quintile,Yes,0.90173,2756,3003,0.89108,0.91238
2015,3rd Quintile,No,0.08844,247,3003,0.07828,0.09859
2015,4th Quintile,Yes,0.91345,2599,2816,0.90306,0.92384
2015,4th Quintile,No,0.07918,217,2816,0.06921,0.08916
2015,5th Quintile,Yes,0.93179,2785,2966,0.92271,0.94086
2015,5th Quintile,No,0.06260,181,2966,0.05388,0.07132
2016,1st Quintile,Yes,0.84589,2718,3089,0.83316,0.85863
2016,1st Quintile,No,0.12463,371,3089,0.11298,0.13628
2016,2nd Quintile,Yes,0.90878,2785,3033,0.89854,0.91903
2016,2nd Quintile,No,0.08892,248,3033,0.07879,0.09905
2016,3rd Quintile,Yes,0.93619,2573,2738,0.92703,0.94534
2016,3rd Quintile,No,0.05665,165,2738,0.04799,0.06531
2016,4th Quintile,Yes,0.94540,2513,2660,0.93677,0.95404
2016,4th Quintile,No,0.05269,147,2660,0.04420,0.06118
2016,5th Quintile,Yes,0.95887,2639,2754,0.95146,0.96629
2016,5th Quintile,No,0.03994,115,2754,0.03262,0.04725
2017,1st Quintile,Yes,0.84782,2864,3196,0.83537,0.86028
2017,1st Quintile,No,0.11933,332,3196,0.10809,0.13057
2017,2nd Quintile,Yes,0.91649,3010,3234,0.90696,0.92603
2017,2nd Quintile,No,0.08070,224,3234,0.07131,0.09009
2017,3rd Quintile,Yes,0.93603,2911,3086,0.92740,0.94467
2017,3rd Quintile,No,0.06332,175,3086,0.05473,0.07192
2017,4th Quintile,Yes,0.94355,2899,3044,0.93535,0.95175
2017,4th Quintile,No,0.05512,145,3044,0.04701,0.06323
2017,5th Quintile,Yes,0.96418,2990,3092,0.95762,0.97073
2017,5th Quintile,No,0.03449,102,3092,0.02806,0.04093
2018,1st Quintile,Yes,0.86752,3006,3301,0.85596,0.87909
2018,1st Quintile,No,0.09732,295,3301,0.08721,0.10743
2018,2nd Quintile,Yes,0.93282,3074,3293,0.92427,0.94137
2018,2nd Quintile,No,0.06380,219,3293,0.05545,0.07215
2018,3rd Quintile,Yes,0.94349,2810,2941,0.93515,0.95184
2018,3rd Quintile,No,0.05303,131,2941,0.04493,0.06113
2018,4th Quintile,Yes,0.97030,2781,2881,0.96410,0.97650
2018,4th Quintile,No,0.02954,100,2881,0.02336,0.03572
2018,5th Quintile,Yes,0.96845,2917,3012,0.96221,0.97469
2018,5th Quintile,No,0.03148,95,3012,0.02525,0.03772
2019,1st Quintile,Yes,0.75022,2221,2421,0.73298,0.76747
2019,1st Quintile,No,0.08102,200,2421,0.07015,0.09189
2019,2nd Quintile,Yes,0.85735,2485,2616,0.84394,0.87075
2019,2nd Quintile,No,0.04690,131,2616,0.03879,0.05500
2019,3rd Quintile,Yes,0.86854,2393,2513,0.85533,0.88175
2019,3rd Quintile,No,0.04962,120,2513,0.04113,0.05812
2019,4th Quintile,Yes,0.88416,2366,2467,0.87153,0.89679
2019,4th Quintile,No,0.03747,101,2467,0.02997,0.04496
2019,5th Quintile,Yes,0.85661,2519,2598,0.84314,0.87009
2019,5th Quintile,No,0.02606,79,2598,0.01993,0.03219
2020,1st Quintile,Yes,0.84886,2966,3429,0.83687,0.86085
2020,1st Quintile,No,0.10190,463,3429,0.09177,0.11203
2020,2nd Quintile,Yes,0.93410,3045,3330,0.92567,0.94253
2020,2nd Quintile,No,0.06060,285,3330,0.05250,0.06871
2020,3rd Quintile,Yes,0.94311,2690,2881,0.93465,0.95157
2020,3rd Quintile,No,0.05575,191,2881,0.04737,0.06413
2020,4th Quintile,Yes,0.94945,2725,2862,0.94142,0.95747
2020,4th Quintile,No,0.04937,137,2862,0.04143,0.05731
2020,5th Quintile,Yes,0.96540,3628,3752,0.95955,0.97125
2020,5th Quintile,No,0.03417,124,3752,0.02836,0.03998
2021,1st Quintile,Yes,0.74864,1579,1772,0.72844,0.76884
2021,1st Quintile,No,0.08776,193,1772,0.07459,0.10094
2021,2nd Quintile,Yes,0.84026,1836,1980,0.82412,0.85641
2021,2nd Quintile,No,0.05425,144,1980,0.04427,0.06423
2021,3rd Quintile,Yes,0.85266,1741,1848,0.83650,0.86883
2021,3rd Quintile,No,0.05425,107,1848,0.04392,0.06458
2021,4th Quintile,Yes,0.86317,1814,1902,0.84772,0.87862
2021,4th Quintile,No,0.03221,88,1902,0.02428,0.04015
2021,5th Quintile,Yes,0.87425,2360,2437,0.86108,0.88742
2021,5th Quintile,No,0.02905,77,2437,0.02238,0.03572
2022,1st Quintile,Yes,0.85399,3956,4492,0.84366,0.86432
2022,1st Quintile,No,0.11162,536,4492,0.10241,0.12083
2022,2nd Quintile,Yes,0.92212,3528,3861,0.91367,0.93057
2022,2nd Quintile,No,0.06168,333,3861,0.05409,0.06927
2022,3rd Quintile,Yes,0.93855,3170,3385,0.93046,0.94664
2022,3rd Quintile,No,0.05641,215,3385,0.04864,0.06419
2022,4th Quintile,Yes,0.95383,3257,3414,0.94679,0.96087
2022,4th Quintile,No,0.04203,157,3414,0.03530,0.04877
2022,5th Quintile,Yes,0.96347,3705,3829,0.95753,0.96942
2022,5th Quintile,No,0.03406,124,3829,0.02831,0.03980
