year,quintil_oecd_hh,sampreg,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,1st Quintile,West,Yes,0.82630,2249,2654,0.81188,0.84071
2015,1st Quintile,West,No,0.16070,405,2654,0.14672,0.17467
2015,1st Quintile,East,Yes,0.82965,745,875,0.80473,0.85458
2015,1st Quintile,East,No,0.16880,130,875,0.14397,0.19363
2015,2nd Quintile,West,Yes,0.87211,2149,2450,0.85888,0.88534
2015,2nd Quintile,West,No,0.12361,301,2450,0.11058,0.13665
2015,2nd Quintile,East,Yes,0.88244,816,914,0.86154,0.90333
2015,2nd Quintile,East,No,0.10431,98,914,0.08448,0.12414
2015,3rd Quintile,West,Yes,0.91323,2174,2367,0.90189,0.92458
2015,3rd Quintile,West,No,0.08206,193,2367,0.07100,0.09312
2015,3rd Quintile,East,Yes,0.85252,582,636,0.82494,0.88010
2015,3rd Quintile,East,No,0.11570,54,636,0.09083,0.14058
2015,4th Quintile,West,Yes,0.91936,2154,2328,0.90830,0.93042
2015,4th Quintile,West,No,0.07262,174,2328,0.06208,0.08317
2015,4th Quintile,East,Yes,0.87744,445,488,0.84831,0.90656
2015,4th Quintile,East,No,0.11917,43,488,0.09039,0.14794
2015,5th Quintile,West,Yes,0.93117,2457,2621,0.92148,0.94087
2015,5th Quintile,West,No,0.06276,164,2621,0.05347,0.07205
2015,5th Quintile,East,Yes,0.93861,328,328,0.91260,0.96463
2016,1st Quintile,West,Yes,0.84150,1995,2270,0.82647,0.85653
2016,1st Quintile,West,No,0.12602,275,2270,0.11237,0.13968
2016,1st Quintile,East,Yes,0.85946,723,819,0.83564,0.88328
2016,1st Quintile,East,No,0.12033,96,819,0.09803,0.14262
2016,2nd Quintile,West,Yes,0.90432,2052,2235,0.89212,0.91651
2016,2nd Quintile,West,No,0.09274,183,2235,0.08071,0.10477
2016,2nd Quintile,East,Yes,0.92411,733,798,0.90572,0.94249
2016,2nd Quintile,East,No,0.07583,65,798,0.05745,0.09420
2016,3rd Quintile,West,Yes,0.94290,1945,2068,0.93290,0.95291
2016,3rd Quintile,West,No,0.05243,123,2068,0.04282,0.06204
2016,3rd Quintile,East,Yes,0.91087,628,670,0.88928,0.93246
2016,3rd Quintile,East,No,0.07255,42,670,0.05290,0.09221
