year,bula_h,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Schleswig-Holstein,Owner,Yes,0.95456,241,241,0.92821,0.98091
2015,Schleswig-Holstein,Tenant,Yes,0.90719,270,270,0.87251,0.94186
2015,Hamburg,Owner,Yes,0.95506,74,74,0.90754,1.00259
2015,Hamburg,Tenant,Yes,0.88019,190,190,0.83390,0.92649
2015,Lower Saxony,Owner,Yes,0.96612,727,727,0.95296,0.97928
2015,Lower Saxony,Tenant,Yes,0.89684,670,743,0.87495,0.91872
2015,Lower Saxony,Tenant,No,0.08771,73,743,0.06736,0.10806
2015,Bremen,Owner,Yes,0.93905,37,37,0.86089,1.01720
2015,Bremen,Tenant,Yes,0.96195,71,71,0.91714,1.00677
2015,North Rhine-Westphalia,Owner,Yes,0.96075,1236,1296,0.95017,0.97132
2015,North Rhine-Westphalia,Owner,No,0.03281,60,1296,0.02311,0.04251
2015,North Rhine-Westphalia,Tenant,Yes,0.89817,1701,1896,0.88455,0.91179
2015,North Rhine-Westphalia,Tenant,No,0.09777,195,1896,0.08440,0.11115
2015,Hesse,Owner,Yes,0.91296,450,450,0.88688,0.93903
2015,Hesse,Tenant,Yes,0.84369,565,649,0.81573,0.87165
2015,Hesse,Tenant,No,0.15196,84,649,0.12432,0.17960
2015,"Rhineland-Palatinate, Saarland",Owner,Yes,0.92462,443,443,0.90000,0.94923
2015,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.87065,389,454,0.83975,0.90155
2015,"Rhineland-Palatinate, Saarland",Tenant,No,0.12904,65,454,0.09817,0.15991
2015,Baden-Wuerttemberg,Owner,Yes,0.90945,839,915,0.89084,0.92805
2015,Baden-Wuerttemberg,Owner,No,0.08206,76,915,0.06427,0.09985
2015,Baden-Wuerttemberg,Tenant,Yes,0.81892,746,903,0.79379,0.84405
2015,Baden-Wuerttemberg,Tenant,No,0.17529,157,903,0.15048,0.20010
2015,Bavaria,Owner,Yes,0.93382,1126,1193,0.91971,0.94793
2015,Bavaria,Owner,No,0.06391,67,1193,0.05003,0.07780
2015,Bavaria,Tenant,Yes,0.81619,1154,1380,0.79574,0.83663
2015,Bavaria,Tenant,No,0.16521,226,1380,0.14561,0.18481
2015,Berlin,Owner,Yes,0.93821,107,107,0.89238,0.98405
2015,Berlin,Tenant,Yes,0.73565,394,531,0.69810,0.77319
2015,Berlin,Tenant,No,0.25223,137,531,0.21525,0.28920
2015,Brandenburg,Owner,Yes,0.89518,235,235,0.85593,0.93443
2015,Brandenburg,Tenant,Yes,0.87086,307,343,0.83532,0.90640
2015,Brandenburg,Tenant,No,0.11152,36,343,0.07816,0.14488
2015,Mecklenburg-Western Pomerania,Owner,Yes,0.90259,108,108,0.84641,0.95878
2015,Mecklenburg-Western Pomerania,Tenant,Yes,0.79711,205,205,0.74192,0.85229
2015,Saxony,Owner,Yes,0.92721,293,293,0.89741,0.95701
2015,Saxony,Tenant,Yes,0.78612,496,594,0.75312,0.81913
2015,Saxony,Tenant,No,0.20228,98,594,0.16995,0.23462
2015,Saxony-Anhalt,Owner,Yes,0.90669,202,202,0.86648,0.94691
2015,Saxony-Anhalt,Tenant,Yes,0.88890,285,327,0.85478,0.92301
2015,Saxony-Anhalt,Tenant,No,0.09737,42,327,0.06519,0.12955
2015,Thuringa,Owner,Yes,0.89308,228,228,0.85288,0.93328
2015,Thuringa,Tenant,Yes,0.93726,315,315,0.91044,0.96408
2016,Schleswig-Holstein,Owner,Yes,0.99255,232,232,0.98146,1.00364
2016,Schleswig-Holstein,Tenant,Yes,0.93290,251,251,0.90188,0.96391
