year,regtyp,rentown,hgeqpmglass,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2015,Urban regions,Owner,Yes,0.93804,3811,4034,0.93060,0.94548
2015,Urban regions,Owner,No,0.05680,223,4034,0.04965,0.06394
2015,Urban regions,Tenant,Yes,0.84833,5425,6291,0.83946,0.85719
2015,Urban regions,Tenant,No,0.14338,866,6291,0.13472,0.15204
2015,Rural regions,Owner,Yes,0.92925,2535,2679,0.91954,0.93896
2015,Rural regions,Owner,No,0.06245,144,2679,0.05328,0.07161
2015,Rural regions,Tenant,Yes,0.86023,2333,2680,0.84710,0.87336
2015,Rural regions,Tenant,No,0.12811,347,2680,0.11546,0.14077
2016,Urban regions,Owner,Yes,0.94984,3614,3766,0.94287,0.95682
2016,Urban regions,Owner,No,0.04859,152,3766,0.04172,0.05545
2016,Urban regions,Tenant,Yes,0.89419,5007,5593,0.88613,0.90225
2016,Urban regions,Tenant,No,0.10229,586,5593,0.09435,0.11023
2016,Rural regions,Owner,Yes,0.96725,2437,2531,0.96031,0.97418
2016,Rural regions,Owner,No,0.03275,94,2531,0.02582,0.03969
2016,Rural regions,Tenant,Yes,0.90133,2173,2388,0.88936,0.91329
2016,Rural regions,Tenant,No,0.08982,215,2388,0.07835,0.10129
2017,Urban regions,Owner,Yes,0.96506,4131,4256,0.95954,0.97057
2017,Urban regions,Owner,No,0.03463,125,4256,0.02914,0.04013
2017,Urban regions,Tenant,Yes,0.88601,5429,5972,0.87795,0.89408
2017,Urban regions,Tenant,No,0.10302,543,5972,0.09531,0.11073
2017,Rural regions,Owner,Yes,0.96979,2721,2804,0.96345,0.97613
2017,Rural regions,Owner,No,0.03021,83,2804,0.02387,0.03655
2017,Rural regions,Tenant,Yes,0.88301,2396,2624,0.87071,0.89531
2017,Rural regions,Tenant,No,0.10335,228,2624,0.09170,0.11499
2018,Urban regions,Owner,Yes,0.97194,3975,4077,0.96687,0.97701
2018,Urban regions,Owner,No,0.02801,102,4077,0.02295,0.03308
2018,Urban regions,Tenant,Yes,0.90502,5616,6088,0.89765,0.91238
2018,Urban regions,Tenant,No,0.07846,472,6088,0.07171,0.08522
2018,Rural regions,Owner,Yes,0.96502,2593,2676,0.95806,0.97198
2018,Rural regions,Owner,No,0.03371,83,2676,0.02687,0.04055
2018,Rural regions,Tenant,Yes,0.91152,2409,2592,0.90058,0.92245
2018,Rural regions,Tenant,No,0.07209,183,2592,0.06213,0.08205
2019,Urban regions,Owner,Yes,0.92268,3469,3555,0.91390,0.93146
2019,Urban regions,Owner,No,0.02660,86,3555,0.02131,0.03190
2019,Urban regions,Tenant,Yes,0.80474,4343,4688,0.79339,0.81609
2019,Urban regions,Tenant,No,0.06720,345,4688,0.06003,0.07436
2019,Rural regions,Owner,Yes,0.92590,2315,2385,0.91538,0.93641
2019,Rural regions,Owner,No,0.03271,70,2385,0.02557,0.03986
2019,Rural regions,Tenant,Yes,0.79411,1859,1990,0.77634,0.81188
2019,Rural regions,Tenant,No,0.06688,131,1990,0.05590,0.07786
2020,Urban regions,Owner,Yes,0.96557,4178,4283,0.96011,0.97103
2020,Urban regions,Owner,No,0.03356,105,4283,0.02817,0.03896
2020,Urban regions,Tenant,Yes,0.89196,5916,6706,0.88453,0.89939
2020,Urban regions,Tenant,No,0.08456,790,6706,0.07790,0.09122
2020,Rural regions,Owner,Yes,0.97044,2608,2683,0.96403,0.97685
2020,Rural regions,Owner,No,0.02923,75,2683,0.02285,0.03560
2020,Rural regions,Tenant,Yes,0.89580,2369,2609,0.88408,0.90753
2020,Rural regions,Tenant,No,0.08651,240,2609,0.07572,0.09730
2021,Urban regions,Owner,Yes,0.88621,2776,2846,0.87455,0.89788
2021,Urban regions,Owner,No,0.02584,70,2846,0.02001,0.03167
2021,Urban regions,Tenant,Yes,0.77445,3398,3767,0.76110,0.78780
2021,Urban regions,Tenant,No,0.07626,369,3767,0.06778,0.08474
2021,Rural regions,Owner,Yes,0.91362,1762,1810,0.90067,0.92657
2021,Rural regions,Owner,No,0.01935,48,1810,0.01300,0.02570
2021,Rural regions,Tenant,Yes,0.80979,1406,1529,0.79011,0.82946
2021,Rural regions,Tenant,No,0.07230,123,1529,0.05932,0.08529
2022,Urban regions,Owner,Yes,0.96639,4560,4683,0.96123,0.97155
2022,Urban regions,Owner,No,0.03194,123,4683,0.02690,0.03698
2022,Urban regions,Tenant,Yes,0.88676,7537,8426,0.87999,0.89353
2022,Urban regions,Tenant,No,0.08729,889,8426,0.08127,0.09332
2022,Rural regions,Owner,Yes,0.96608,3046,3150,0.95975,0.97240
2022,Rural regions,Owner,No,0.03227,104,3150,0.02610,0.03844
2022,Rural regions,Tenant,Yes,0.89923,2632,2906,0.88829,0.91018
2022,Rural regions,Tenant,No,0.08706,274,2906,0.07681,0.09732
