year,bula_h,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Schleswig-Holstein,Yes,0.10572,54,509,0.07898,0.13246
2009,Schleswig-Holstein,No,0.73402,455,509,0.69559,0.77244
2009,Hamburg,Yes,0.17322,45,267,0.12774,0.21870
2009,Hamburg,No,0.74666,222,267,0.69439,0.79892
2009,Lower Saxony,Yes,0.09476,195,1626,0.08052,0.10900
2009,Lower Saxony,No,0.74363,1431,1626,0.72241,0.76486
2009,Bremen,No,0.79718,101,101,0.71837,0.87599
2009,North Rhine-Westphalia,Yes,0.10434,433,3617,0.09437,0.11430
2009,North Rhine-Westphalia,No,0.73014,3184,3617,0.71567,0.74461
2009,Hesse,Yes,0.14289,198,1212,0.12318,0.16260
2009,Hesse,No,0.66924,1014,1212,0.64274,0.69574
2009,"Rhineland-Palatinate, Saarland",Yes,0.11468,123,1021,0.09512,0.13423
2009,"Rhineland-Palatinate, Saarland",No,0.70493,898,1021,0.67694,0.73292
2009,Baden-Wuerttemberg,Yes,0.13372,328,2104,0.11917,0.14826
2009,Baden-Wuerttemberg,No,0.69498,1776,2104,0.67530,0.71466
2009,Bavaria,Yes,0.14620,391,2601,0.13262,0.15978
2009,Bavaria,No,0.69089,2210,2601,0.67313,0.70865
2009,Berlin,Yes,0.18387,137,682,0.15477,0.21296
2009,Berlin,No,0.68277,545,682,0.64782,0.71773
2009,Brandenburg,Yes,0.08510,61,788,0.06561,0.10460
2009,Brandenburg,No,0.76578,727,788,0.73619,0.79537
2009,Mecklenburg-Western Pomerania,Yes,0.07071,35,470,0.04751,0.09391
2009,Mecklenburg-Western Pomerania,No,0.81448,435,470,0.77930,0.84966
2009,Saxony,Yes,0.07361,117,1367,0.05976,0.08746
2009,Saxony,No,0.79044,1250,1367,0.76886,0.81202
2009,Saxony-Anhalt,Yes,0.08691,58,769,0.06699,0.10684
2009,Saxony-Anhalt,No,0.79773,711,769,0.76932,0.82614
2009,Thuringa,Yes,0.07530,55,823,0.05726,0.09334
2009,Thuringa,No,0.77478,768,823,0.74622,0.80333
2014,Schleswig-Holstein,Yes,0.10433,132,923,0.08459,0.12406
2014,Schleswig-Holstein,No,0.74427,791,923,0.71610,0.77243
2014,Hamburg,Yes,0.10711,53,443,0.07828,0.13594
2014,Hamburg,No,0.75094,390,443,0.71062,0.79126
2014,Lower Saxony,Yes,0.09714,340,2601,0.08575,0.10852
2014,Lower Saxony,No,0.74428,2261,2601,0.72751,0.76105
2014,Bremen,Yes,0.12617,37,213,0.08147,0.17086
2014,Bremen,No,0.72865,176,213,0.66880,0.78851
2014,North Rhine-Westphalia,Yes,0.10333,676,5618,0.09537,0.11129
2014,North Rhine-Westphalia,No,0.72597,4942,5618,0.71430,0.73763
2014,Hesse,Yes,0.13891,288,1881,0.12327,0.15454
2014,Hesse,No,0.69148,1593,1881,0.67060,0.71236
2014,"Rhineland-Palatinate, Saarland",Yes,0.09082,169,1580,0.07665,0.10500
2014,"Rhineland-Palatinate, Saarland",No,0.74593,1411,1580,0.72446,0.76740
2014,Baden-Wuerttemberg,Yes,0.11480,474,3208,0.10377,0.12583
2014,Baden-Wuerttemberg,No,0.71941,2734,3208,0.70386,0.73496
2014,Bavaria,Yes,0.11426,601,4372,0.10482,0.12369
2014,Bavaria,No,0.72136,3771,4372,0.70807,0.73465
2014,Berlin,Yes,0.14175,177,984,0.11994,0.16355
2014,Berlin,No,0.69448,807,984,0.66568,0.72327
2014,Brandenburg,Yes,0.05872,71,1020,0.04429,0.07316
2014,Brandenburg,No,0.79534,949,1020,0.77057,0.82012
2014,Mecklenburg-Western Pomerania,Yes,0.05354,36,558,0.03484,0.07223
2014,Mecklenburg-Western Pomerania,No,0.80284,522,558,0.76980,0.83588
2014,Saxony,Yes,0.07382,111,1610,0.06104,0.08659
2014,Saxony,No,0.78035,1499,1610,0.76012,0.80058
2014,Saxony-Anhalt,Yes,0.08874,84,964,0.07078,0.10670
2014,Saxony-Anhalt,No,0.77757,880,964,0.75130,0.80384
2014,Thuringa,Yes,0.07429,81,991,0.05796,0.09063
2014,Thuringa,No,0.75519,910,991,0.72841,0.78198
2019,Schleswig-Holstein,Yes,0.11744,144,954,0.09700,0.13788
2019,Schleswig-Holstein,No,0.68037,810,954,0.65076,0.70998
2019,Hamburg,Yes,0.07355,57,524,0.05118,0.09592
2019,Hamburg,No,0.73599,467,524,0.69821,0.77377
2019,Lower Saxony,Yes,0.09241,285,2482,0.08101,0.10380
2019,Lower Saxony,No,0.73692,2197,2482,0.71959,0.75424
2019,Bremen,Yes,0.10986,38,219,0.06835,0.15138
2019,Bremen,No,0.72540,181,219,0.66615,0.78464
2019,North Rhine-Westphalia,Yes,0.11517,799,5389,0.10664,0.12369
2019,North Rhine-Westphalia,No,0.72077,4590,5389,0.70880,0.73275
2019,Hesse,Yes,0.12428,284,1707,0.10862,0.13993
2019,Hesse,No,0.70345,1423,1707,0.68178,0.72513
2019,"Rhineland-Palatinate, Saarland",Yes,0.09916,170,1459,0.08382,0.11450
2019,"Rhineland-Palatinate, Saarland",No,0.73463,1289,1459,0.71196,0.75729
2019,Baden-Wuerttemberg,Yes,0.12318,434,2791,0.11099,0.13538
2019,Baden-Wuerttemberg,No,0.69207,2357,2791,0.67494,0.70920
2019,Bavaria,Yes,0.10667,572,3938,0.09702,0.11631
2019,Bavaria,No,0.72058,3366,3938,0.70656,0.73460
2019,Berlin,Yes,0.17896,228,1023,0.15546,0.20247
2019,Berlin,No,0.66609,795,1023,0.63717,0.69500
2019,Brandenburg,Yes,0.04932,84,1105,0.03654,0.06209
2019,Brandenburg,No,0.76031,1021,1105,0.73513,0.78550
2019,Mecklenburg-Western Pomerania,Yes,0.07280,53,609,0.05215,0.09345
2019,Mecklenburg-Western Pomerania,No,0.75585,556,609,0.72171,0.79000
2019,Saxony,Yes,0.06015,151,1630,0.04861,0.07170
2019,Saxony,No,0.79168,1479,1630,0.77196,0.81140
2019,Saxony-Anhalt,Yes,0.07870,87,887,0.06097,0.09643
2019,Saxony-Anhalt,No,0.76489,800,887,0.73697,0.79282
2019,Thuringa,Yes,0.06701,87,918,0.05083,0.08319
2019,Thuringa,No,0.78032,831,918,0.75352,0.80712
