year,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,Yes,0.11757,2248,17975,0.11286,0.12228
2009,No,0.72298,15727,17975,0.71644,0.72952
2014,Yes,0.10455,3330,26966,0.10090,0.10820
2014,No,0.73350,23636,26966,0.72823,0.73878
2019,Yes,0.10640,3473,25635,0.10262,0.11017
2019,No,0.72269,22162,25635,0.71721,0.72817
