year,age_gr,bula_h,plj0089,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,17-29 y.,Schleswig-Holstein,No,0.74900,64,64,0.64193,0.85607
2009,17-29 y.,Hamburg,No,0.70083,39,39,0.55524,0.84642
2009,17-29 y.,Lower Saxony,Yes,0.26979,77,224,0.21153,0.32804
2009,17-29 y.,Lower Saxony,No,0.67879,147,224,0.61750,0.74007
2009,17-29 y.,North Rhine-Westphalia,Yes,0.23701,141,534,0.20091,0.27311
2009,17-29 y.,North Rhine-Westphalia,No,0.67981,393,534,0.64020,0.71942
2009,17-29 y.,Hesse,Yes,0.26860,59,187,0.20490,0.33230
2009,17-29 y.,Hesse,No,0.65969,128,187,0.59160,0.72778
2009,17-29 y.,"Rhineland-Palatinate, Saarland",Yes,0.23639,41,155,0.16929,0.30349
2009,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.62091,114,155,0.54429,0.69754
2009,17-29 y.,Baden-Wuerttemberg,Yes,0.24517,105,401,0.20301,0.28733
2009,17-29 y.,Baden-Wuerttemberg,No,0.68489,296,401,0.63937,0.73042
2009,17-29 y.,Bavaria,Yes,0.30787,133,409,0.26307,0.35266
2009,17-29 y.,Bavaria,No,0.61249,276,409,0.56521,0.65976
2009,17-29 y.,Berlin,Yes,0.36613,48,119,0.27920,0.45305
2009,17-29 y.,Berlin,No,0.55930,71,119,0.46972,0.64888
2009,17-29 y.,Brandenburg,No,0.65045,84,84,0.54787,0.75304
2009,17-29 y.,Mecklenburg-Western Pomerania,No,0.78520,49,49,0.66901,0.90138
2009,17-29 y.,Saxony,Yes,0.20008,49,227,0.14793,0.25224
2009,17-29 y.,Saxony,No,0.77451,178,227,0.72002,0.82899
2009,17-29 y.,Saxony-Anhalt,No,0.77035,110,110,0.69139,0.84932
2009,17-29 y.,Thuringa,No,0.83440,113,113,0.76555,0.90324
2009,30-45 y.,Schleswig-Holstein,No,0.72607,89,89,0.63289,0.81925
2009,30-45 y.,Hamburg,No,0.66590,46,46,0.52808,0.80371
2009,30-45 y.,Lower Saxony,Yes,0.12251,58,452,0.09225,0.15277
2009,30-45 y.,Lower Saxony,No,0.86930,394,452,0.83819,0.90041
2009,30-45 y.,Bremen,No,0.78609,31,31,0.63935,0.93283
2009,30-45 y.,North Rhine-Westphalia,Yes,0.15380,150,999,0.13141,0.17618
2009,30-45 y.,North Rhine-Westphalia,No,0.84489,849,999,0.82243,0.86735
2009,30-45 y.,Hesse,Yes,0.17919,57,316,0.13684,0.22154
2009,30-45 y.,Hesse,No,0.81292,259,316,0.76985,0.85598
2009,30-45 y.,"Rhineland-Palatinate, Saarland",Yes,0.20131,40,244,0.15089,0.25173
2009,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.79603,204,244,0.74537,0.84670
2009,30-45 y.,Baden-Wuerttemberg,Yes,0.20852,106,580,0.17543,0.24161
2009,30-45 y.,Baden-Wuerttemberg,No,0.79102,474,580,0.75790,0.82414
2009,30-45 y.,Bavaria,Yes,0.20650,120,720,0.17691,0.23609
2009,30-45 y.,Bavaria,No,0.78744,600,720,0.75754,0.81735
2009,30-45 y.,Berlin,Yes,0.32058,51,153,0.24638,0.39477
2009,30-45 y.,Berlin,No,0.67942,102,153,0.60523,0.75362
2009,30-45 y.,Brandenburg,No,0.88856,162,162,0.83996,0.93717
2009,30-45 y.,Mecklenburg-Western Pomerania,No,0.86928,100,100,0.80288,0.93568
2009,30-45 y.,Saxony,Yes,0.13399,40,335,0.09745,0.17052
