year,migback,plh0189,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No migration background,Agree completely,0.01681,373,4242,0.01294,0.02068
1990,No migration background,Agree,0.01762,374,4242,0.01366,0.02158
1990,No migration background,Disagree,0.03530,854,4242,0.02974,0.04085
1990,No migration background,Disagree completely,0.10623,2641,4242,0.09696,0.11551
1990,Direct migration background,Disagree completely,0.04035,86,86,-0.00148,0.08219
1991,No migration background,Agree completely,0.01552,320,3996,0.01168,0.01935
1991,No migration background,Agree,0.01948,351,3996,0.01520,0.02377
1991,No migration background,Disagree,0.04640,964,3996,0.03988,0.05292
1991,No migration background,Disagree completely,0.10352,2361,3996,0.09407,0.11297
1991,Direct migration background,Disagree,0.01751,35,104,-0.00782,0.04285
1991,Direct migration background,Disagree completely,0.03784,69,104,0.00099,0.07470
1992,No migration background,Agree completely,0.06635,769,10285,0.06154,0.07116
1992,No migration background,Agree,0.10100,1069,10285,0.09518,0.10683
1992,No migration background,Disagree,0.23227,2843,10285,0.22411,0.24044
1992,No migration background,Disagree completely,0.42704,5604,10285,0.41748,0.43660
1992,Direct migration background,Agree completely,0.05431,51,571,0.03571,0.07292
1992,Direct migration background,Agree,0.05404,66,571,0.03548,0.07260
1992,Direct migration background,Disagree,0.14586,165,571,0.11688,0.17483
1992,Direct migration background,Disagree completely,0.24832,289,571,0.21286,0.28379
1992,Indirect migration background,Disagree completely,0.04329,36,36,-0.02413,0.11072
1993,No migration background,Agree completely,0.07027,759,10100,0.06528,0.07525
1993,No migration background,Agree,0.11117,1188,10100,0.10503,0.11730
1993,No migration background,Disagree,0.23588,2808,10100,0.22760,0.24416
1993,No migration background,Disagree completely,0.40875,5345,10100,0.39916,0.41834
1993,Direct migration background,Agree completely,0.08625,191,2455,0.07514,0.09736
1993,Direct migration background,Agree,0.15016,383,2455,0.13602,0.16429
1993,Direct migration background,Disagree,0.28334,672,2455,0.26552,0.30117
1993,Direct migration background,Disagree completely,0.45675,1209,2455,0.43704,0.47646
1993,Indirect migration background,Agree,0.04454,57,442,0.02528,0.06379
1993,Indirect migration background,Disagree,0.09792,141,442,0.07018,0.12566
1993,Indirect migration background,Disagree completely,0.14538,244,442,0.11248,0.17828
1995,No migration background,Agree completely,0.06684,680,9953,0.06193,0.07175
1995,No migration background,Agree,0.11415,1180,9953,0.10791,0.12040
1995,No migration background,Disagree,0.27588,3338,9953,0.26709,0.28466
1995,No migration background,Disagree completely,0.36994,4755,9953,0.36045,0.37942
1995,Direct migration background,Agree completely,0.09275,201,2756,0.08192,0.10358
1995,Direct migration background,Agree,0.15462,438,2756,0.14112,0.16812
1995,Direct migration background,Disagree,0.26498,753,2756,0.24850,0.28146
1995,Direct migration background,Disagree completely,0.41936,1364,2756,0.40093,0.43779
1995,Indirect migration background,Agree,0.03893,53,468,0.02139,0.05647
1995,Indirect migration background,Disagree,0.10501,144,468,0.07720,0.13281
1995,Indirect migration background,Disagree completely,0.14832,271,468,0.11609,0.18056
1996,No migration background,Agree completely,0.05828,597,9882,0.05366,0.06290
1996,No migration background,Agree,0.11293,1166,9882,0.10669,0.11917
1996,No migration background,Disagree,0.28069,3351,9882,0.27183,0.28955
1996,No migration background,Disagree completely,0.37799,4768,9882,0.36843,0.38755
1996,Direct migration background,Agree completely,0.08609,192,2586,0.07527,0.09690
1996,Direct migration background,Agree,0.14912,374,2586,0.13539,0.16285
1996,Direct migration background,Disagree,0.28774,763,2586,0.27029,0.30520
1996,Direct migration background,Disagree completely,0.41441,1257,2586,0.39542,0.43340
1996,Indirect migration background,Agree,0.05372,75,517,0.03427,0.07318
1996,Indirect migration background,Disagree,0.11632,184,517,0.08865,0.14398
1996,Indirect migration background,Disagree completely,0.14213,258,517,0.11200,0.17226
1997,No migration background,Agree completely,0.06686,642,9732,0.06190,0.07183
1997,No migration background,Agree,0.10315,1024,9732,0.09711,0.10919
1997,No migration background,Disagree,0.25399,3049,9732,0.24534,0.26264
1997,No migration background,Disagree completely,0.40193,5017,9732,0.39219,0.41168
1997,Direct migration background,Agree completely,0.07894,151,2456,0.06827,0.08960
1997,Direct migration background,Agree,0.15463,361,2456,0.14033,0.16894
1997,Direct migration background,Disagree,0.26980,718,2456,0.25225,0.28736
1997,Direct migration background,Disagree completely,0.43749,1226,2456,0.41787,0.45712
1997,Indirect migration background,Agree,0.04886,68,542,0.03069,0.06702
1997,Indirect migration background,Disagree,0.11593,190,542,0.08895,0.14291
1997,Indirect migration background,Disagree completely,0.17477,284,542,0.14277,0.20677
2008,No migration background,Agree completely,0.06168,1009,16587,0.05802,0.06534
2008,No migration background,Agree,0.12384,2120,16587,0.11883,0.12885
2008,No migration background,Disagree,0.33971,6548,16587,0.33250,0.34692
2008,No migration background,Disagree completely,0.32565,6910,16587,0.31852,0.33278
2008,Direct migration background,Agree completely,0.08057,142,1893,0.06830,0.09283
2008,Direct migration background,Agree,0.18650,337,1893,0.16894,0.20405
2008,Direct migration background,Disagree,0.34266,650,1893,0.32127,0.36404
2008,Direct migration background,Disagree completely,0.36049,764,1893,0.33885,0.38212
2008,Indirect migration background,Agree completely,0.03530,39,761,0.02218,0.04842
2008,Indirect migration background,Agree,0.08529,108,761,0.06543,0.10514
2008,Indirect migration background,Disagree,0.17256,290,761,0.14569,0.19942
2008,Indirect migration background,Disagree completely,0.19536,324,761,0.16717,0.22355
2013,No migration background,Agree completely,0.04075,757,16376,0.03772,0.04378
2013,No migration background,Agree,0.09485,1784,16376,0.09036,0.09933
2013,No migration background,Disagree,0.32149,6481,16376,0.31433,0.32864
2013,No migration background,Disagree completely,0.33062,7354,16376,0.32342,0.33783
2013,Direct migration background,Agree completely,0.03902,104,1721,0.02987,0.04817
2013,Direct migration background,Agree,0.08612,258,1721,0.07286,0.09938
2013,Direct migration background,Disagree,0.18719,642,1721,0.16876,0.20563
2013,Direct migration background,Disagree completely,0.18851,717,1721,0.17003,0.20699
2013,Indirect migration background,Agree,0.02257,67,674,0.01135,0.03379
2013,Indirect migration background,Disagree,0.10411,286,674,0.08104,0.12719
2013,Indirect migration background,Disagree completely,0.10681,321,674,0.08348,0.13015
2018,No migration background,Agree completely,0.04720,964,19400,0.04421,0.05018
2018,No migration background,Agree,0.11466,2322,19400,0.11017,0.11914
2018,No migration background,Disagree,0.33514,7378,19400,0.32850,0.34179
2018,No migration background,Disagree completely,0.36338,8736,19400,0.35661,0.37015
2018,Direct migration background,Agree completely,0.06484,291,4486,0.05764,0.07205
2018,Direct migration background,Agree,0.16352,805,4486,0.15270,0.17435
2018,Direct migration background,Disagree,0.31233,1490,4486,0.29877,0.32589
2018,Direct migration background,Disagree completely,0.34761,1900,4486,0.33367,0.36155
2018,Indirect migration background,Agree completely,0.02504,76,1616,0.01742,0.03266
2018,Indirect migration background,Agree,0.07784,212,1616,0.06477,0.09091
2018,Indirect migration background,Disagree,0.19808,620,1616,0.17864,0.21752
2018,Indirect migration background,Disagree completely,0.21333,708,1616,0.19335,0.23331
