year,plh0189,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Agree completely,0.01518,382,4385,0.01156,0.01880
1990,Agree,0.01622,392,4385,0.01248,0.01996
1990,Disagree,0.03224,883,4385,0.02701,0.03747
1990,Disagree completely,0.09694,2728,4385,0.08818,0.10570
1991,Agree completely,0.01410,331,4139,0.01051,0.01769
1991,Agree,0.01823,376,4139,0.01415,0.02230
1991,Disagree,0.04209,1001,4139,0.03597,0.04821
1991,Disagree completely,0.09366,2431,4139,0.08479,0.10254
1992,Agree completely,0.06276,822,10934,0.05821,0.06730
1992,Agree,0.09329,1149,10934,0.08783,0.09874
1992,Disagree,0.21577,3034,10934,0.20806,0.22348
1992,Disagree completely,0.39474,5929,10934,0.38558,0.40390
1993,Agree completely,0.06959,973,13020,0.06522,0.07396
1993,Agree,0.11191,1628,13020,0.10649,0.11732
1993,Disagree,0.23420,3621,13020,0.22693,0.24148
1993,Disagree completely,0.40142,6798,13020,0.39300,0.40984
1995,Agree completely,0.06801,910,13206,0.06372,0.07231
1995,Agree,0.11570,1671,13206,0.11024,0.12115
1995,Disagree,0.26672,4235,13206,0.25918,0.27427
1995,Disagree completely,0.36589,6390,13206,0.35767,0.37410
1996,Agree completely,0.05958,811,13007,0.05551,0.06364
1996,Agree,0.11443,1615,13007,0.10896,0.11990
1996,Disagree,0.27348,4298,13007,0.26581,0.28114
1996,Disagree completely,0.37084,6283,13007,0.36254,0.37915
1997,Agree completely,0.06589,813,12750,0.06158,0.07020
1997,Agree,0.10658,1453,12750,0.10122,0.11194
1997,Disagree,0.24879,3957,12750,0.24128,0.25629
1997,Disagree completely,0.39452,6527,12750,0.38604,0.40301
2008,Agree completely,0.06167,1190,19241,0.05827,0.06506
2008,Agree,0.12766,2565,19241,0.12295,0.13238
2008,Disagree,0.32683,7488,19241,0.32020,0.33346
2008,Disagree completely,0.31918,7998,19241,0.31259,0.32576
2013,Agree completely,0.03790,885,18795,0.03517,0.04063
2013,Agree,0.08791,2109,18795,0.08386,0.09196
2013,Disagree,0.28728,7409,18795,0.28081,0.29375
2013,Disagree completely,0.29493,8392,18795,0.28841,0.30145
2018,Agree completely,0.04762,1331,25502,0.04501,0.05024
2018,Agree,0.11814,3339,25502,0.11417,0.12210
2018,Disagree,0.31910,9488,25502,0.31338,0.32482
2018,Disagree completely,0.34712,11344,25502,0.34127,0.35296
