"pli0093_h","year","bildungsniveau","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"Täglich","1990","(noch) kein Abschluss","Städtischer Raum","21","","",""
"Täglich","1990","(noch) kein Abschluss","Ländlicher Raum","6","","",""
"Täglich","1990","Hauptschule","Städtischer Raum","78","0.0175403604511317","0.0135043911206491","0.0215763297816142"
"Täglich","1990","Hauptschule","Ländlicher Raum","13","","",""
"Täglich","1990","Realschule","Städtischer Raum","48","0.0375211017106366","0.027024018854395","0.0480181845668781"
"Täglich","1990","Realschule","Ländlicher Raum","10","","",""
"Täglich","1990","(Fach-)Abitur","Städtischer Raum","26","","",""
"Täglich","1990","(Fach-)Abitur","Ländlicher Raum","3","","",""
"Täglich","1990","AkademikerIn","Städtischer Raum","38","0.068029692188904","0.0476079890623977","0.0884513953154102"
"Täglich","1990","AkademikerIn","Ländlicher Raum","4","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","Städtischer Raum","35","0.0809543850333385","0.0610720373059597","0.100836732760717"
"Min 1x pro Woche","1990","(noch) kein Abschluss","Ländlicher Raum","12","","",""
"Min 1x pro Woche","1990","Hauptschule","Städtischer Raum","247","0.0657083995254418","0.0580907163139106","0.073326082736973"
"Min 1x pro Woche","1990","Hauptschule","Ländlicher Raum","79","0.0657280134660776","0.0519960906728111","0.0794599362593442"
"Min 1x pro Woche","1990","Realschule","Städtischer Raum","170","0.123738193602306","0.105549393372657","0.141926993831956"
"Min 1x pro Woche","1990","Realschule","Ländlicher Raum","38","0.107879122264196","0.0757882574989812","0.13996998702941"
"Min 1x pro Woche","1990","(Fach-)Abitur","Städtischer Raum","105","0.180025432234822","0.150212487563223","0.209838376906421"
"Min 1x pro Woche","1990","(Fach-)Abitur","Ländlicher Raum","20","","",""
"Min 1x pro Woche","1990","AkademikerIn","Städtischer Raum","99","0.175099766319854","0.144276038292832","0.205923494346876"
"Min 1x pro Woche","1990","AkademikerIn","Ländlicher Raum","23","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Städtischer Raum","27","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","Ländlicher Raum","5","","",""
"Min 1x pro Monat","1990","Hauptschule","Städtischer Raum","340","0.0888049746153967","0.0800592548239242","0.0975506944068691"
"Min 1x pro Monat","1990","Hauptschule","Ländlicher Raum","114","0.0857791449738664","0.0702611411439893","0.101297148803744"
"Min 1x pro Monat","1990","Realschule","Städtischer Raum","214","0.171674981266191","0.150844988467776","0.192504974064607"
"Min 1x pro Monat","1990","Realschule","Ländlicher Raum","71","0.186696935965076","0.146388526074967","0.227005345855185"
"Min 1x pro Monat","1990","(Fach-)Abitur","Städtischer Raum","110","0.202450092879797","0.171270124083277","0.233630061676316"
"Min 1x pro Monat","1990","(Fach-)Abitur","Ländlicher Raum","21","","",""
"Min 1x pro Monat","1990","AkademikerIn","Städtischer Raum","113","0.191798836891339","0.159866964310669","0.22373070947201"
"Min 1x pro Monat","1990","AkademikerIn","Ländlicher Raum","21","","",""
"Seltener","1990","(noch) kein Abschluss","Städtischer Raum","114","0.195857477695356","0.166929669122485","0.224785286268226"
"Seltener","1990","(noch) kein Abschluss","Ländlicher Raum","24","","",""
"Seltener","1990","Hauptschule","Städtischer Raum","1019","0.26278963948586","0.249257356350056","0.276321922621664"
"Seltener","1990","Hauptschule","Ländlicher Raum","359","0.299162037849283","0.27378847304937","0.324535602649197"
"Seltener","1990","Realschule","Städtischer Raum","410","0.329237888266062","0.303279699195538","0.355196077336587"
"Seltener","1990","Realschule","Ländlicher Raum","136","0.378024792248897","0.327865945188506","0.428183639309287"
"Seltener","1990","(Fach-)Abitur","Städtischer Raum","180","0.286794698900731","0.251700883061306","0.321888514740157"
"Seltener","1990","(Fach-)Abitur","Ländlicher Raum","35","0.321842413986924","0.232905489110925","0.410779338862923"
"Seltener","1990","AkademikerIn","Städtischer Raum","199","0.348272572954119","0.309632823324962","0.386912322583277"
"Seltener","1990","AkademikerIn","Ländlicher Raum","38","0.381953663213768","0.290741931708121","0.473165394719414"
"Nie","1990","(noch) kein Abschluss","Städtischer Raum","526","0.600800318477984","0.565102710777383","0.636497926178584"
"Nie","1990","(noch) kein Abschluss","Ländlicher Raum","62","0.416366888123513","0.323824032619275","0.508909743627752"
"Nie","1990","Hauptschule","Städtischer Raum","2380","0.56515662592217","0.549915323461342","0.580397928382998"
"Nie","1990","Hauptschule","Ländlicher Raum","686","0.539648343617955","0.512028595387304","0.567268091848605"
"Nie","1990","Realschule","Städtischer Raum","417","0.337827835154803","0.311702107129776","0.363953563179831"
"Nie","1990","Realschule","Ländlicher Raum","104","0.292431959743649","0.245377868724853","0.339486050762446"
"Nie","1990","(Fach-)Abitur","Städtischer Raum","217","0.280938442019778","0.246062465854833","0.315814418184722"
"Nie","1990","(Fach-)Abitur","Ländlicher Raum","27","","",""
"Nie","1990","AkademikerIn","Städtischer Raum","135","0.216799131645783","0.183379087686917","0.250219175604649"
"Nie","1990","AkademikerIn","Ländlicher Raum","23","","",""
"Täglich","1991","(noch) kein Abschluss","Städtischer Raum","","","",""
"Täglich","1991","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Täglich","1991","Hauptschule","Städtischer Raum","","","",""
"Täglich","1991","Hauptschule","Ländlicher Raum","","","",""
"Täglich","1991","Realschule","Städtischer Raum","","","",""
"Täglich","1991","Realschule","Ländlicher Raum","","","",""
"Täglich","1991","(Fach-)Abitur","Städtischer Raum","","","",""
"Täglich","1991","(Fach-)Abitur","Ländlicher Raum","","","",""
"Täglich","1991","AkademikerIn","Städtischer Raum","","","",""
"Täglich","1991","AkademikerIn","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","Hauptschule","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","Hauptschule","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","Realschule","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","Realschule","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","Ländlicher Raum","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Städtischer Raum","","","",""
"Min 1x pro Woche","1991","AkademikerIn","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","Hauptschule","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","Hauptschule","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","Realschule","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","Realschule","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","Ländlicher Raum","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Städtischer Raum","","","",""
"Min 1x pro Monat","1991","AkademikerIn","Ländlicher Raum","","","",""
"Seltener","1991","(noch) kein Abschluss","Städtischer Raum","","","",""
"Seltener","1991","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Seltener","1991","Hauptschule","Städtischer Raum","","","",""
"Seltener","1991","Hauptschule","Ländlicher Raum","","","",""
"Seltener","1991","Realschule","Städtischer Raum","","","",""
"Seltener","1991","Realschule","Ländlicher Raum","","","",""
"Seltener","1991","(Fach-)Abitur","Städtischer Raum","","","",""
"Seltener","1991","(Fach-)Abitur","Ländlicher Raum","","","",""
"Seltener","1991","AkademikerIn","Städtischer Raum","","","",""
"Seltener","1991","AkademikerIn","Ländlicher Raum","","","",""
"Nie","1991","(noch) kein Abschluss","Städtischer Raum","","","",""
"Nie","1991","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Nie","1991","Hauptschule","Städtischer Raum","","","",""
"Nie","1991","Hauptschule","Ländlicher Raum","","","",""
"Nie","1991","Realschule","Städtischer Raum","","","",""
"Nie","1991","Realschule","Ländlicher Raum","","","",""
"Nie","1991","(Fach-)Abitur","Städtischer Raum","","","",""
"Nie","1991","(Fach-)Abitur","Ländlicher Raum","","","",""
"Nie","1991","AkademikerIn","Städtischer Raum","","","",""
"Nie","1991","AkademikerIn","Ländlicher Raum","","","",""
"Täglich","1992","(noch) kein Abschluss","Städtischer Raum","","","",""
"Täglich","1992","(noch) kein Abschluss","Ländlicher Raum","","","",""
"Täglich","1992","Hauptschule","Städtischer Raum","","","",""
"Täglich","1992","Hauptschule","Ländlicher Raum","","","",""
"Täglich","1992","Realschule","Städtischer Raum","","","",""
"Täglich","1992","Realschule","Ländlicher Raum","","","",""
"Täglich","1992","(Fach-)Abitur","Städtischer Raum","","","",""
