year,pgisced97,quintil_oecd,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,No answer / don't know,1st Quintile,Never,0.56255,33,33,0.39067,0.73443
1990,Primary Level,1st Quintile,Never,0.86614,206,206,0.81953,0.91275
1990,Primary Level,2nd Quintile,Never,0.85467,125,125,0.79263,0.91670
1990,Primary Level,3rd Quintile,Never,0.65545,90,90,0.55672,0.75418
1990,Primary Level,4th Quintile,Never,0.59491,55,55,0.46397,0.72584
1990,Lower Secondary Level,1st Quintile,At least once per week,0.06772,51,721,0.04937,0.08607
1990,Lower Secondary Level,1st Quintile,At least once per month,0.04885,40,721,0.03311,0.06460
1990,Lower Secondary Level,1st Quintile,Seldom,0.17476,115,721,0.14702,0.20250
1990,Lower Secondary Level,1st Quintile,Never,0.70867,515,721,0.67548,0.74186
1990,Lower Secondary Level,2nd Quintile,At least once per week,0.09719,53,573,0.07292,0.12147
1990,Lower Secondary Level,2nd Quintile,At least once per month,0.07746,50,573,0.05555,0.09937
1990,Lower Secondary Level,2nd Quintile,Seldom,0.19634,116,573,0.16378,0.22889
1990,Lower Secondary Level,2nd Quintile,Never,0.62901,354,573,0.58942,0.66860
1990,Lower Secondary Level,3rd Quintile,At least once per week,0.06794,38,501,0.04588,0.09000
1990,Lower Secondary Level,3rd Quintile,At least once per month,0.07990,33,501,0.05613,0.10366
1990,Lower Secondary Level,3rd Quintile,Seldom,0.23819,109,501,0.20085,0.27553
1990,Lower Secondary Level,3rd Quintile,Never,0.61398,321,501,0.57130,0.65665
1990,Lower Secondary Level,4th Quintile,At least once per week,0.09138,37,430,0.06411,0.11865
1990,Lower Secondary Level,4th Quintile,At least once per month,0.08445,38,430,0.05813,0.11076
1990,Lower Secondary Level,4th Quintile,Seldom,0.28096,109,430,0.23842,0.32349
1990,Lower Secondary Level,4th Quintile,Never,0.54322,246,430,0.49608,0.59035
1990,Lower Secondary Level,5th Quintile,At least once per month,0.16193,32,198,0.11048,0.21337
1990,Lower Secondary Level,5th Quintile,Seldom,0.25592,53,198,0.19498,0.31685
1990,Lower Secondary Level,5th Quintile,Never,0.45976,113,198,0.39016,0.52935
1990,Upper Secondary Level,1st Quintile,At least once per week,0.07539,51,707,0.05591,0.09486
1990,Upper Secondary Level,1st Quintile,At least once per month,0.06833,47,707,0.04972,0.08694
1990,Upper Secondary Level,1st Quintile,Seldom,0.26406,181,707,0.23154,0.29658
1990,Upper Secondary Level,1st Quintile,Never,0.59223,428,707,0.55598,0.62848
1990,Upper Secondary Level,2nd Quintile,At least once per week,0.11720,111,894,0.09610,0.13830
1990,Upper Secondary Level,2nd Quintile,At least once per month,0.11381,96,894,0.09298,0.13464
