"pli0093_h","year","bula_h","n","percent","lower_confidence","upper_confidence","NA"
"Taeglich","1990","Schleswig-Holstein","6","","","",""
"Taeglich","1990","Hamburg","9","","","",""
"Taeglich","1990","Niedersachsen","20","","","",""
"Taeglich","1990","Bremen","1","","","",""
"Taeglich","1990","Nordrhein-Westfalen","77","0.0330303812934938","0.0260802270831985","0.0399805355037892",""
"Taeglich","1990","Hessen","19","","","",""
"Taeglich","1990","Rheinland-Pfalz,Saarland","23","","","",""
"Taeglich","1990","Baden-Wuerttemberg","42","0.0283582789266253","0.0206447497038305","0.0360718081494202",""
"Taeglich","1990","Bayern","43","0.0279093457667064","0.0198030077017332","0.0360156838316797",""
"Taeglich","1990","Saarland","","","","",""
"Taeglich","1990","Berlin","13","","","",""
"Taeglich","1990","Brandenburg","","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","","","","",""
"Taeglich","1990","Sachsen","","","","",""
"Taeglich","1990","Sachsen-Anhalt","","","","",""
"Taeglich","1990","Thueringen","","","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","22","","","",""
"Min 1x pro Woche","1990","Hamburg","14","","","",""
"Min 1x pro Woche","1990","Niedersachsen","106","0.113067723035508","0.0931596368729981","0.132975809198019",""
"Min 1x pro Woche","1990","Bremen","9","","","",""
"Min 1x pro Woche","1990","Nordrhein-Westfalen","218","0.0900598725765531","0.0789271008147526","0.101192644338354",""
"Min 1x pro Woche","1990","Hessen","64","0.0719921339571688","0.0557762161517472","0.0882080517625904",""
"Min 1x pro Woche","1990","Rheinland-Pfalz,Saarland","58","0.100324077156861","0.0775583950127808","0.12308975930094",""
"Min 1x pro Woche","1990","Baden-Wuerttemberg","162","0.108264108215318","0.0938256609177275","0.122702555512909",""
"Min 1x pro Woche","1990","Bayern","162","0.105067402176217","0.0899761366503437","0.120158667702089",""
"Min 1x pro Woche","1990","Saarland","","","","",""
"Min 1x pro Woche","1990","Berlin","30","0.0893322096241155","0.0582752017485664","0.120389217499664",""
