"pli0093_h","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","maennlich","13","","",""
"Taeglich","1990","(noch) kein Abschluss","weiblich","14","","",""
"Taeglich","1990","Hauptschule","maennlich","55","0.0188654390917021","0.0136539598056313","0.0240769183777728"
"Taeglich","1990","Hauptschule","weiblich","36","0.0125636197940577","0.00836003732346677","0.0167672022646487"
"Taeglich","1990","Realschule","maennlich","17","","",""
"Taeglich","1990","Realschule","weiblich","41","0.0424498709924935","0.0297687565185173","0.0551309854664698"
"Taeglich","1990","(Fach-)Abitur","maennlich","15","","",""
"Taeglich","1990","(Fach-)Abitur","weiblich","14","","",""
"Taeglich","1990","AkademikerIn","maennlich","21","","",""
"Taeglich","1990","AkademikerIn","weiblich","21","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","maennlich","16","","",""
"Min 1x pro Woche","1990","(noch) kein Abschluss","weiblich","31","0.147675543540121","0.115148337919039","0.180202749161203"
"Min 1x pro Woche","1990","Hauptschule","maennlich","169","","",""
"Min 1x pro Woche","1990","Hauptschule","weiblich","157","","",""
"Min 1x pro Woche","1990","Realschule","maennlich","82","0.11672568000169","0.0919841268463384","0.141467233157043"
"Min 1x pro Woche","1990","Realschule","weiblich","126","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","maennlich","56","0.136143047718321","0.103878775224122","0.168407320212519"
"Min 1x pro Woche","1990","(Fach-)Abitur","weiblich","69","0.244172050479246","0.196350165230807","0.291993935727685"
"Min 1x pro Woche","1990","AkademikerIn","maennlich","76","0.162508900909012","0.129013605742774","0.196004196075251"
"Min 1x pro Woche","1990","AkademikerIn","weiblich","46","0.213914936208617","0.16057033296634","0.267259539450893"
"Min 1x pro Monat","1990","(noch) kein Abschluss","maennlich","19","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","weiblich","13","","",""
"Min 1x pro Monat","1990","Hauptschule","maennlich","223","","",""
"Min 1x pro Monat","1990","Hauptschule","weiblich","231","","",""
"Min 1x pro Monat","1990","Realschule","maennlich","94","0.154411610573521","0.126568648700582","0.182254572446461"
"Min 1x pro Monat","1990","Realschule","weiblich","191","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","maennlich","75","0.195525946420845","0.158212836683761","0.232839056157929"
"Min 1x pro Monat","1990","(Fach-)Abitur","weiblich","56","0.215391862356113","0.169629514938856","0.26115420977337"
"Min 1x pro Monat","1990","AkademikerIn","maennlich","88","0.192600884587803","0.1567971436542","0.228404625521407"
"Min 1x pro Monat","1990","AkademikerIn","weiblich","46","0.187042366165909","0.136315373844357","0.237769358487461"
"Seltener","1990","(noch) kein Abschluss","maennlich","78","0.281810639205521","0.236277181248395","0.327344097162648"
"Seltener","1990","(noch) kein Abschluss","weiblich","60","0.135629100933399","0.104237280539567","0.167020921327231"
"Seltener","1990","Hauptschule","maennlich","690","0.285293894244799","0.267996795900768","0.30259099258883"
"Seltener","1990","Hauptschule","weiblich","688","0.261025937895589","0.244450536747715","0.277601339043462"
"Seltener","1990","Realschule","maennlich","227","","",""
"Seltener","1990","Realschule","weiblich","319","0.327800700402296","0.298275527982612","0.35732587282198"
"Seltener","1990","(Fach-)Abitur","maennlich","116","","",""
"Seltener","1990","(Fach-)Abitur","weiblich","99","0.305733036886324","0.254446700202754","0.357019373569894"
"Seltener","1990","AkademikerIn","maennlich","169","","",""
"Seltener","1990","AkademikerIn","weiblich","68","0.333456127673","0.272126703963266","0.394785551382735"
"Nie","1990","(noch) kein Abschluss","maennlich","249","","",""
"Nie","1990","(noch) kein Abschluss","weiblich","339","0.607862034811988","0.563099780919928","0.652624288704047"
"Nie","1990","Hauptschule","maennlich","1481","","",""
"Nie","1990","Hauptschule","weiblich","1585","","",""
"Nie","1990","Realschule","maennlich","227","","",""
"Nie","1990","Realschule","weiblich","294","","",""
"Nie","1990","(Fach-)Abitur","maennlich","172","","",""
"Nie","1990","(Fach-)Abitur","weiblich","72","0.183510460553632","0.140420810282985","0.226600110824278"
"Nie","1990","AkademikerIn","maennlich","112","","",""
"Nie","1990","AkademikerIn","weiblich","46","0.177812146544847","0.128072647943948","0.227551645145747"
"Taeglich","1991","(noch) kein Abschluss","maennlich","","","",""
"Taeglich","1991","(noch) kein Abschluss","weiblich","","","",""
"Taeglich","1991","Hauptschule","maennlich","","","",""
"Taeglich","1991","Hauptschule","weiblich","","","",""
"Taeglich","1991","Realschule","maennlich","","","",""
"Taeglich","1991","Realschule","weiblich","","","",""
"Taeglich","1991","(Fach-)Abitur","maennlich","","","",""
"Taeglich","1991","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1991","AkademikerIn","maennlich","","","",""
"Taeglich","1991","AkademikerIn","weiblich","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Woche","1991","Hauptschule","maennlich","","","",""
"Min 1x pro Woche","1991","Hauptschule","weiblich","","","",""
"Min 1x pro Woche","1991","Realschule","maennlich","","","",""
"Min 1x pro Woche","1991","Realschule","weiblich","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Woche","1991","AkademikerIn","maennlich","","","",""
"Min 1x pro Woche","1991","AkademikerIn","weiblich","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Monat","1991","Hauptschule","maennlich","","","",""
"Min 1x pro Monat","1991","Hauptschule","weiblich","","","",""
"Min 1x pro Monat","1991","Realschule","maennlich","","","",""
"Min 1x pro Monat","1991","Realschule","weiblich","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Monat","1991","AkademikerIn","maennlich","","","",""
"Min 1x pro Monat","1991","AkademikerIn","weiblich","","","",""
"Seltener","1991","(noch) kein Abschluss","maennlich","","","",""
"Seltener","1991","(noch) kein Abschluss","weiblich","","","",""
"Seltener","1991","Hauptschule","maennlich","","","",""
"Seltener","1991","Hauptschule","weiblich","","","",""
"Seltener","1991","Realschule","maennlich","","","",""
"Seltener","1991","Realschule","weiblich","","","",""
"Seltener","1991","(Fach-)Abitur","maennlich","","","",""
"Seltener","1991","(Fach-)Abitur","weiblich","","","",""
"Seltener","1991","AkademikerIn","maennlich","","","",""
"Seltener","1991","AkademikerIn","weiblich","","","",""
"Nie","1991","(noch) kein Abschluss","maennlich","","","",""
"Nie","1991","(noch) kein Abschluss","weiblich","","","",""
"Nie","1991","Hauptschule","maennlich","","","",""
"Nie","1991","Hauptschule","weiblich","","","",""
"Nie","1991","Realschule","maennlich","","","",""
"Nie","1991","Realschule","weiblich","","","",""
"Nie","1991","(Fach-)Abitur","maennlich","","","",""
"Nie","1991","(Fach-)Abitur","weiblich","","","",""
"Nie","1991","AkademikerIn","maennlich","","","",""
"Nie","1991","AkademikerIn","weiblich","","","",""
"Taeglich","1992","(noch) kein Abschluss","maennlich","","","",""
"Taeglich","1992","(noch) kein Abschluss","weiblich","","","",""
"Taeglich","1992","Hauptschule","maennlich","","","",""
"Taeglich","1992","Hauptschule","weiblich","","","",""
"Taeglich","1992","Realschule","maennlich","","","",""
"Taeglich","1992","Realschule","weiblich","","","",""
"Taeglich","1992","(Fach-)Abitur","maennlich","","","",""
"Taeglich","1992","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1992","AkademikerIn","maennlich","","","",""
"Taeglich","1992","AkademikerIn","weiblich","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Woche","1992","Hauptschule","maennlich","","","",""
"Min 1x pro Woche","1992","Hauptschule","weiblich","","","",""
"Min 1x pro Woche","1992","Realschule","maennlich","","","",""
"Min 1x pro Woche","1992","Realschule","weiblich","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Woche","1992","AkademikerIn","maennlich","","","",""
"Min 1x pro Woche","1992","AkademikerIn","weiblich","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","maennlich","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","weiblich","","","",""
"Min 1x pro Monat","1992","Hauptschule","maennlich","","","",""
"Min 1x pro Monat","1992","Hauptschule","weiblich","","","",""
"Min 1x pro Monat","1992","Realschule","maennlich","","","",""
"Min 1x pro Monat","1992","Realschule","weiblich","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","maennlich","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","weiblich","","","",""
"Min 1x pro Monat","1992","AkademikerIn","maennlich","","","",""
"Min 1x pro Monat","1992","AkademikerIn","weiblich","","","",""
"Seltener","1992","(noch) kein Abschluss","maennlich","","","",""
"Seltener","1992","(noch) kein Abschluss","weiblich","","","",""
"Seltener","1992","Hauptschule","maennlich","","","",""
"Seltener","1992","Hauptschule","weiblich","","","",""
"Seltener","1992","Realschule","maennlich","","","",""
"Seltener","1992","Realschule","weiblich","","","",""
"Seltener","1992","(Fach-)Abitur","maennlich","","","",""
"Seltener","1992","(Fach-)Abitur","weiblich","","","",""
"Seltener","1992","AkademikerIn","maennlich","","","",""
"Seltener","1992","AkademikerIn","weiblich","","","",""
"Nie","1992","(noch) kein Abschluss","maennlich","","","",""
"Nie","1992","(noch) kein Abschluss","weiblich","","","",""
"Nie","1992","Hauptschule","maennlich","","","",""
"Nie","1992","Hauptschule","weiblich","","","",""
"Nie","1992","Realschule","maennlich","","","",""
"Nie","1992","Realschule","weiblich","","","",""
"Nie","1992","(Fach-)Abitur","maennlich","","","",""
"Nie","1992","(Fach-)Abitur","weiblich","","","",""
"Nie","1992","AkademikerIn","maennlich","","","",""
"Nie","1992","AkademikerIn","weiblich","","","",""
"Taeglich","1993","(noch) kein Abschluss","maennlich","","","",""
"Taeglich","1993","(noch) kein Abschluss","weiblich","","","",""
"Taeglich","1993","Hauptschule","maennlich","","","",""
"Taeglich","1993","Hauptschule","weiblich","","","",""
"Taeglich","1993","Realschule","maennlich","","","",""
"Taeglich","1993","Realschule","weiblich","","","",""
"Taeglich","1993","(Fach-)Abitur","maennlich","","","",""
"Taeglich","1993","(Fach-)Abitur","weiblich","","","",""
"Taeglich","1993","AkademikerIn","maennlich","","","",""
"Taeglich","1993","AkademikerIn","weiblich","","","",""
