year,regtyp,sampreg,pli0093_h,proportion,n,lower_confidence,upper_confidence
1990,Staedtischer Raum,Westdeutschland,Nie,0.40268747290853923,18165,0.3955552773684139,0.4098196684486646
1990,Staedtischer Raum,Westdeutschland,Seltener,0.20903771131339402,18165,0.20312442945795414,0.2149509931688339
1990,Laendlicher Raum,Westdeutschland,Nie,0.09817945383615084,18165,0.09385223619489454,0.10250667147740715
1990,Staedtischer Raum,Westdeutschland,Min 1x pro Woche,0.09200260078023408,18165,0.08779939430260844,0.09620580725785971
1990,Staedtischer Raum,Westdeutschland,Min 1x pro Monat,0.08799306458604247,18165,0.08387340185681388,0.09211272731527106
1990,Laendlicher Raum,Westdeutschland,Seltener,0.06404421326397919,18165,0.06048375430026261,0.06760467222769577
1990,Laendlicher Raum,Westdeutschland,Min 1x pro Monat,0.02481577806675336,18165,0.022553501737068122,0.027078054396438598
1990,Laendlicher Raum,Westdeutschland,Min 1x pro Woche,0.021239705244906804,18165,0.01914293529161281,0.0233364751982008
1995,Staedtischer Raum,Westdeutschland,Nie,0.30390570834296277,17246,0.29704110661269517,0.31077031007323036
1995,Staedtischer Raum,Westdeutschland,Seltener,0.14690701794931052,17246,0.14162340085419756,0.15219063504442348
1995,Laendlicher Raum,Ostdeutschland,Nie,0.09906786842307988,17246,0.09460900337785387,0.10352673346830589
1995,Laendlicher Raum,Westdeutschland,Nie,0.07749788151914336,17246,0.073507260534484,0.08148850250380271
1995,Staedtischer Raum,Westdeutschland,Min 1x pro Woche,0.06609660272706264,17246,0.062388494279495214,0.06980471117463005
1995,Laendlicher Raum,Ostdeutschland,Seltener,0.06309221169401433,17246,0.059463535788757474,0.06672088759927118
1995,Laendlicher Raum,Westdeutschland,Seltener,0.04876357753639935,17246,0.04554914810399669,0.05197800696880201
1995,Staedtischer Raum,Westdeutschland,Min 1x pro Monat,0.048455434866343114,17246,0.04525065875442142,0.05166021097826481
1995,Staedtischer Raum,Ostdeutschland,Nie,0.04506586549572452,17246,0.04196971225566705,0.04816201873578199
1995,Staedtischer Raum,Ostdeutschland,Seltener,0.028503196980201834,17246,0.02601961010881474,0.030986783851588928
1995,Laendlicher Raum,Westdeutschland,Min 1x pro Woche,0.018257453200831986,17246,0.016259290789375637,0.020255615612288336
1995,Laendlicher Raum,Westdeutschland,Min 1x pro Monat,0.013404206147446267,17246,0.011687871144978232,0.015120541149914303
1995,Laendlicher Raum,Ostdeutschland,Min 1x pro Monat,0.011709421462136969,17246,0.0101038785151186,0.013314964409155337
1995,Laendlicher Raum,Ostdeutschland,Min 1x pro Woche,0.011324243124566674,17246,0.00974502028850164,0.012903465960631709
1995,Staedtischer Raum,Ostdeutschland,Min 1x pro Woche,0.00932131576920114,17246,0.007887092051921785,0.010755539486480496
1995,Staedtischer Raum,Ostdeutschland,Min 1x pro Monat,0.008627994761574609,17246,0.007247657720558138,0.01000833180259108
1998,Staedtischer Raum,Westdeutschland,Nie,0.3211326464442683,18147,0.3143392283604616,0.32792606452807505
1998,Staedtischer Raum,Westdeutschland,Seltener,0.13574465019093596,18147,0.13076113195995948,0.14072816842191244
1998,Laendlicher Raum,Ostdeutschland,Nie,0.10440233446213704,18147,0.09995330549874121,0.10885136342553287
1998,Laendlicher Raum,Westdeutschland,Nie,0.0850205346206499,18147,0.08096244866966851,0.0890786205716313
1998,Staedtischer Raum,Westdeutschland,Min 1x pro Woche,0.0598746307370848,18147,0.056422653192830366,0.06332660828133924
1998,Laendlicher Raum,Ostdeutschland,Seltener,0.05403847539448087,18147,0.0507488841896266,0.057328066599335134
1998,Laendlicher Raum,Westdeutschland,Seltener,0.04856257655450681,18147,0.04543509593573924,0.051690057173274385
1998,Staedtischer Raum,Westdeutschland,Min 1x pro Monat,0.04618488363714965,18147,0.0431311181738636,0.0492386491004357
1998,Staedtischer Raum,Ostdeutschland,Nie,0.042582318610850926,18147,0.03964454025966717,0.045520096962034684
