"pli0093_h","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Taeglich","1990","(noch) kein Abschluss","27","","",""
"Taeglich","1990","Hauptschule","91","0.0154882330591358","0.0121684641772121","0.0188080019410595"
"Taeglich","1990","Realschule","58","0.0369552439920787","0.0277630304506346","0.0461474575335228"
"Taeglich","1990","(Fach-)Abitur","29","","",""
"Taeglich","1990","AkademikerIn","42","0.0613670410529125","0.0434981761526956","0.0792359059531293"
"Min 1x pro Woche","1990","(noch) kein Abschluss","47","0.0985143271744621","0.0782647695428063","0.118763884806118"
"Min 1x pro Woche","1990","Hauptschule","326","0.0657135217976784","0.059052147150437","0.0723748964449199"
"Min 1x pro Woche","1990","Realschule","208","","",""
"Min 1x pro Woche","1990","(Fach-)Abitur","125","","",""
"Min 1x pro Woche","1990","AkademikerIn","122","","",""
"Min 1x pro Monat","1990","(noch) kein Abschluss","32","0.0534070866113327","0.0381290517704496","0.0686851214522159"
"Min 1x pro Monat","1990","Hauptschule","454","0.0880147650673299","0.0803980426731405","0.0956314874615192"
"Min 1x pro Monat","1990","Realschule","285","","",""
"Min 1x pro Monat","1990","(Fach-)Abitur","131","","",""
"Min 1x pro Monat","1990","AkademikerIn","134","","",""
"Seltener","1990","(noch) kein Abschluss","138","","",""
"Seltener","1990","Hauptschule","1378","","",""
"Seltener","1990","Realschule","546","0.340047362873397","0.316964752426561","0.363129973320233"
"Seltener","1990","(Fach-)Abitur","215","","",""
"Seltener","1990","AkademikerIn","237","","",""
"Nie","1990","(noch) kein Abschluss","588","0.5647361752381","0.53104737699653","0.59842497347967"
"Nie","1990","Hauptschule","3066","0.558495018819471","0.545145244851706","0.571844792787236"
"Nie","1990","Realschule","521","0.327769694086716","0.304897792475598","0.350641595697834"
"Nie","1990","(Fach-)Abitur","244","","",""
"Nie","1990","AkademikerIn","158","","",""
"Taeglich","1991","(noch) kein Abschluss","","","",""
"Taeglich","1991","Hauptschule","","","",""
"Taeglich","1991","Realschule","","","",""
"Taeglich","1991","(Fach-)Abitur","","","",""
"Taeglich","1991","AkademikerIn","","","",""
"Min 1x pro Woche","1991","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1991","Hauptschule","","","",""
"Min 1x pro Woche","1991","Realschule","","","",""
"Min 1x pro Woche","1991","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1991","AkademikerIn","","","",""
"Min 1x pro Monat","1991","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1991","Hauptschule","","","",""
"Min 1x pro Monat","1991","Realschule","","","",""
"Min 1x pro Monat","1991","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1991","AkademikerIn","","","",""
"Seltener","1991","(noch) kein Abschluss","","","",""
"Seltener","1991","Hauptschule","","","",""
"Seltener","1991","Realschule","","","",""
"Seltener","1991","(Fach-)Abitur","","","",""
"Seltener","1991","AkademikerIn","","","",""
"Nie","1991","(noch) kein Abschluss","","","",""
"Nie","1991","Hauptschule","","","",""
"Nie","1991","Realschule","","","",""
"Nie","1991","(Fach-)Abitur","","","",""
"Nie","1991","AkademikerIn","","","",""
"Taeglich","1992","(noch) kein Abschluss","","","",""
"Taeglich","1992","Hauptschule","","","",""
"Taeglich","1992","Realschule","","","",""
"Taeglich","1992","(Fach-)Abitur","","","",""
"Taeglich","1992","AkademikerIn","","","",""
"Min 1x pro Woche","1992","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1992","Hauptschule","","","",""
"Min 1x pro Woche","1992","Realschule","","","",""
"Min 1x pro Woche","1992","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1992","AkademikerIn","","","",""
"Min 1x pro Monat","1992","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1992","Hauptschule","","","",""
"Min 1x pro Monat","1992","Realschule","","","",""
"Min 1x pro Monat","1992","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1992","AkademikerIn","","","",""
"Seltener","1992","(noch) kein Abschluss","","","",""
"Seltener","1992","Hauptschule","","","",""
"Seltener","1992","Realschule","","","",""
"Seltener","1992","(Fach-)Abitur","","","",""
"Seltener","1992","AkademikerIn","","","",""
"Nie","1992","(noch) kein Abschluss","","","",""
"Nie","1992","Hauptschule","","","",""
"Nie","1992","Realschule","","","",""
"Nie","1992","(Fach-)Abitur","","","",""
"Nie","1992","AkademikerIn","","","",""
"Taeglich","1993","(noch) kein Abschluss","","","",""
"Taeglich","1993","Hauptschule","","","",""
"Taeglich","1993","Realschule","","","",""
"Taeglich","1993","(Fach-)Abitur","","","",""
"Taeglich","1993","AkademikerIn","","","",""
"Min 1x pro Woche","1993","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1993","Hauptschule","","","",""
"Min 1x pro Woche","1993","Realschule","","","",""
"Min 1x pro Woche","1993","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1993","AkademikerIn","","","",""
"Min 1x pro Monat","1993","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1993","Hauptschule","","","",""
"Min 1x pro Monat","1993","Realschule","","","",""
"Min 1x pro Monat","1993","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1993","AkademikerIn","","","",""
"Seltener","1993","(noch) kein Abschluss","","","",""
"Seltener","1993","Hauptschule","","","",""
"Seltener","1993","Realschule","","","",""
"Seltener","1993","(Fach-)Abitur","","","",""
"Seltener","1993","AkademikerIn","","","",""
"Nie","1993","(noch) kein Abschluss","","","",""
"Nie","1993","Hauptschule","","","",""
"Nie","1993","Realschule","","","",""
"Nie","1993","(Fach-)Abitur","","","",""
"Nie","1993","AkademikerIn","","","",""
"Taeglich","1994","(noch) kein Abschluss","","","",""
"Taeglich","1994","Hauptschule","","","",""
"Taeglich","1994","Realschule","","","",""
"Taeglich","1994","(Fach-)Abitur","","","",""
"Taeglich","1994","AkademikerIn","","","",""
"Min 1x pro Woche","1994","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1994","Hauptschule","","","",""
"Min 1x pro Woche","1994","Realschule","","","",""
"Min 1x pro Woche","1994","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1994","AkademikerIn","","","",""
"Min 1x pro Monat","1994","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1994","Hauptschule","","","",""
"Min 1x pro Monat","1994","Realschule","","","",""
"Min 1x pro Monat","1994","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1994","AkademikerIn","","","",""
"Seltener","1994","(noch) kein Abschluss","","","",""
"Seltener","1994","Hauptschule","","","",""
"Seltener","1994","Realschule","","","",""
"Seltener","1994","(Fach-)Abitur","","","",""
"Seltener","1994","AkademikerIn","","","",""
"Nie","1994","(noch) kein Abschluss","","","",""
"Nie","1994","Hauptschule","","","",""
"Nie","1994","Realschule","","","",""
"Nie","1994","(Fach-)Abitur","","","",""
"Nie","1994","AkademikerIn","","","",""
"Taeglich","1995","(noch) kein Abschluss","36","0.0703616035422476","0.0534252103113042","0.087297996773191"
"Taeglich","1995","Hauptschule","101","","",""
"Taeglich","1995","Realschule","81","0.0313971546778351","0.0252573391987901","0.0375369701568802"
"Taeglich","1995","(Fach-)Abitur","56","0.0609921494389772","0.0465444277688904","0.0754398711090641"
"Taeglich","1995","AkademikerIn","63","0.0432582791141779","0.0337240592687883","0.0527924989595674"
"Min 1x pro Woche","1995","(noch) kein Abschluss","76","0.128790636436576","0.106608700338577","0.150972572534575"
"Min 1x pro Woche","1995","Hauptschule","341","0.0626120957521237","0.0565220463964407","0.0687021451078067"
"Min 1x pro Woche","1995","Realschule","266","","",""
"Min 1x pro Woche","1995","(Fach-)Abitur","140","","",""
"Min 1x pro Woche","1995","AkademikerIn","232","","",""
"Min 1x pro Monat","1995","(noch) kein Abschluss","41","0.0518827092457349","0.0371955300213885","0.0665698884700813"
"Min 1x pro Monat","1995","Hauptschule","360","0.0648612459113932","0.058670219020218","0.0710522728025684"
"Min 1x pro Monat","1995","Realschule","303","0.0941041997145642","0.0838244881546053","0.104383911274523"
"Min 1x pro Monat","1995","(Fach-)Abitur","127","","",""
"Min 1x pro Monat","1995","AkademikerIn","237","","",""
"Seltener","1995","(noch) kein Abschluss","136","","",""
"Seltener","1995","Hauptschule","1440","","",""
"Seltener","1995","Realschule","1127","","",""
"Seltener","1995","(Fach-)Abitur","352","0.306667918303094","0.278830265990072","0.334505570616116"
"Seltener","1995","AkademikerIn","650","0.338744705149988","0.316564067589943","0.360925342710033"
"Nie","1995","(noch) kein Abschluss","587","0.586351855425818","0.553738856952784","0.618964853898852"
"Nie","1995","Hauptschule","3837","0.614109474067591","0.601872135487336","0.626346812647847"
"Nie","1995","Realschule","1322","","",""
"Nie","1995","(Fach-)Abitur","379","0.348566991490208","0.319799248177922","0.377334734802494"
"Nie","1995","AkademikerIn","567","0.316290888471964","0.294497126129132","0.338084650814796"
"Taeglich","1996","(noch) kein Abschluss","","","",""
"Taeglich","1996","Hauptschule","","","",""
"Taeglich","1996","Realschule","","","",""
"Taeglich","1996","(Fach-)Abitur","","","",""
"Taeglich","1996","AkademikerIn","","","",""
"Min 1x pro Woche","1996","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1996","Hauptschule","","","",""
"Min 1x pro Woche","1996","Realschule","","","",""
"Min 1x pro Woche","1996","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1996","AkademikerIn","","","",""
"Min 1x pro Monat","1996","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1996","Hauptschule","","","",""
"Min 1x pro Monat","1996","Realschule","","","",""
"Min 1x pro Monat","1996","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1996","AkademikerIn","","","",""
"Seltener","1996","(noch) kein Abschluss","","","",""
"Seltener","1996","Hauptschule","","","",""
"Seltener","1996","Realschule","","","",""
"Seltener","1996","(Fach-)Abitur","","","",""
"Seltener","1996","AkademikerIn","","","",""
"Nie","1996","(noch) kein Abschluss","","","",""
"Nie","1996","Hauptschule","","","",""
"Nie","1996","Realschule","","","",""
"Nie","1996","(Fach-)Abitur","","","",""
"Nie","1996","AkademikerIn","","","",""
"Taeglich","1997","(noch) kein Abschluss","","","",""
"Taeglich","1997","Hauptschule","","","",""
"Taeglich","1997","Realschule","","","",""
"Taeglich","1997","(Fach-)Abitur","","","",""
"Taeglich","1997","AkademikerIn","","","",""
"Min 1x pro Woche","1997","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1997","Hauptschule","","","",""
"Min 1x pro Woche","1997","Realschule","","","",""
"Min 1x pro Woche","1997","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1997","AkademikerIn","","","",""
"Min 1x pro Monat","1997","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1997","Hauptschule","","","",""
"Min 1x pro Monat","1997","Realschule","","","",""
"Min 1x pro Monat","1997","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1997","AkademikerIn","","","",""
"Seltener","1997","(noch) kein Abschluss","","","",""
"Seltener","1997","Hauptschule","","","",""
"Seltener","1997","Realschule","","","",""
"Seltener","1997","(Fach-)Abitur","","","",""
"Seltener","1997","AkademikerIn","","","",""
"Nie","1997","(noch) kein Abschluss","","","",""
"Nie","1997","Hauptschule","","","",""
"Nie","1997","Realschule","","","",""
"Nie","1997","(Fach-)Abitur","","","",""
"Nie","1997","AkademikerIn","","","",""
"Taeglich","1998","(noch) kein Abschluss","29","","",""
"Taeglich","1998","Hauptschule","84","0.0136598658176576","0.0107531929021563","0.0165665387331589"
"Taeglich","1998","Realschule","76","0.0228443813737465","0.0178060139408042","0.0278827488066887"
"Taeglich","1998","(Fach-)Abitur","48","0.0562386507665332","0.0428768934636732","0.0696004080693932"
"Taeglich","1998","AkademikerIn","66","0.0434712820076133","0.0344321872131443","0.0525103768020822"
"Min 1x pro Woche","1998","(noch) kein Abschluss","71","0.110832210525954","0.0893325798969541","0.132331841154955"
"Min 1x pro Woche","1998","Hauptschule","294","","",""
"Min 1x pro Woche","1998","Realschule","292","","",""
"Min 1x pro Woche","1998","(Fach-)Abitur","143","","",""
"Min 1x pro Woche","1998","AkademikerIn","247","","",""
"Min 1x pro Monat","1998","(noch) kein Abschluss","45","0.0655714035242494","0.0486187986268913","0.0825240084216076"
"Min 1x pro Monat","1998","Hauptschule","340","0.0588207112646865","0.0529287360469614","0.0647126864824116"
"Min 1x pro Monat","1998","Realschule","326","0.102324551313383","0.0921041519413464","0.112544950685419"
"Min 1x pro Monat","1998","(Fach-)Abitur","123","","",""
"Min 1x pro Monat","1998","AkademikerIn","259","","",""
"Seltener","1998","(noch) kein Abschluss","129","","",""
"Seltener","1998","Hauptschule","1309","","",""
"Seltener","1998","Realschule","1126","","",""
"Seltener","1998","(Fach-)Abitur","384","0.333361432974175","0.30602021017793","0.36070265577042"
"Seltener","1998","AkademikerIn","683","0.327441001754675","0.306638937473378","0.348243066035972"
"Nie","1998","(noch) kein Abschluss","545","0.599903543969119","0.566350710126758","0.63345637781148"
"Nie","1998","Hauptschule","4099","0.652929869767914","0.641009177341972","0.664850562193856"
"Nie","1998","Realschule","1558","","",""
"Nie","1998","(Fach-)Abitur","444","0.370123020694566","0.342119285900348","0.398126755488783"
"Nie","1998","AkademikerIn","700","0.351765464893822","0.33059807095795","0.372932858829693"
"Taeglich","1999","(noch) kein Abschluss","","","",""
"Taeglich","1999","Hauptschule","","","",""
"Taeglich","1999","Realschule","","","",""
"Taeglich","1999","(Fach-)Abitur","","","",""
"Taeglich","1999","AkademikerIn","","","",""
"Min 1x pro Woche","1999","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","1999","Hauptschule","","","",""
"Min 1x pro Woche","1999","Realschule","","","",""
"Min 1x pro Woche","1999","(Fach-)Abitur","","","",""
"Min 1x pro Woche","1999","AkademikerIn","","","",""
"Min 1x pro Monat","1999","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","1999","Hauptschule","","","",""
"Min 1x pro Monat","1999","Realschule","","","",""
"Min 1x pro Monat","1999","(Fach-)Abitur","","","",""
"Min 1x pro Monat","1999","AkademikerIn","","","",""
"Seltener","1999","(noch) kein Abschluss","","","",""
"Seltener","1999","Hauptschule","","","",""
"Seltener","1999","Realschule","","","",""
"Seltener","1999","(Fach-)Abitur","","","",""
"Seltener","1999","AkademikerIn","","","",""
"Nie","1999","(noch) kein Abschluss","","","",""
"Nie","1999","Hauptschule","","","",""
"Nie","1999","Realschule","","","",""
"Nie","1999","(Fach-)Abitur","","","",""
"Nie","1999","AkademikerIn","","","",""
"Taeglich","2000","(noch) kein Abschluss","","","",""
"Taeglich","2000","Hauptschule","","","",""
"Taeglich","2000","Realschule","","","",""
"Taeglich","2000","(Fach-)Abitur","","","",""
"Taeglich","2000","AkademikerIn","","","",""
"Min 1x pro Woche","2000","(noch) kein Abschluss","","","",""
"Min 1x pro Woche","2000","Hauptschule","","","",""
"Min 1x pro Woche","2000","Realschule","","","",""
"Min 1x pro Woche","2000","(Fach-)Abitur","","","",""
"Min 1x pro Woche","2000","AkademikerIn","","","",""
"Min 1x pro Monat","2000","(noch) kein Abschluss","","","",""
"Min 1x pro Monat","2000","Hauptschule","","","",""
"Min 1x pro Monat","2000","Realschule","","","",""
"Min 1x pro Monat","2000","(Fach-)Abitur","","","",""
"Min 1x pro Monat","2000","AkademikerIn","","","",""
"Seltener","2000","(noch) kein Abschluss","","","",""
"Seltener","2000","Hauptschule","","","",""
"Seltener","2000","Realschule","","","",""
"Seltener","2000","(Fach-)Abitur","","","",""
"Seltener","2000","AkademikerIn","","","",""
"Nie","2000","(noch) kein Abschluss","","","",""
"Nie","2000","Hauptschule","","","",""
"Nie","2000","Realschule","","","",""
"Nie","2000","(Fach-)Abitur","","","",""
"Nie","2000","AkademikerIn","","","",""
"Taeglich","2001","(noch) kein Abschluss","","","",""
"Taeglich","2001","Hauptschule","","","",""
"Taeglich","2001","Realschule","","","",""
"Taeglich","2001","(Fach-)Abitur","","","",""
"Taeglich","2001","AkademikerIn","","","",""
"Min 1x pro Woche","2001","(noch) kein Abschluss","140","","",""
"Min 1x pro Woche","2001","Hauptschule","464","0.0512793199690497","0.0467897815555214","0.055768858382578"
"Min 1x pro Woche","2001","Realschule","499","0.0855606483229309","0.0783163056305018","0.09280499101536"
"Min 1x pro Woche","2001","(Fach-)Abitur","275","","",""
"Min 1x pro Woche","2001","AkademikerIn","482","0.14526694409941","0.133613092383933","0.156920795814887"
"Min 1x pro Monat","2001","(noch) kein Abschluss","51","0.0549925217521083","0.0397743003415158","0.0702107431627008"
