year,quintil_oecd,sex,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,1st Quintile,male,At least once per week,0.08688,60,844,0.06787,0.10590
1990,1st Quintile,male,At least once per month,0.07039,55,844,0.05312,0.08766
1990,1st Quintile,male,Seldom,0.23608,169,844,0.20741,0.26474
1990,1st Quintile,male,Never,0.60665,560,844,0.57368,0.63963
1990,1st Quintile,female,At least once per week,0.08408,86,1039,0.06720,0.10097
1990,1st Quintile,female,At least once per month,0.05680,56,1039,0.04272,0.07088
1990,1st Quintile,female,Seldom,0.21138,208,1039,0.18654,0.23622
1990,1st Quintile,female,Never,0.64774,689,1039,0.61868,0.67680
1990,2nd Quintile,male,At least once per week,0.14345,110,887,0.12037,0.16653
1990,2nd Quintile,male,At least once per month,0.09765,80,887,0.07811,0.11720
1990,2nd Quintile,male,Seldom,0.30026,254,887,0.27008,0.33044
1990,2nd Quintile,male,Never,0.45864,443,887,0.42583,0.49145
1990,2nd Quintile,female,At least once per week,0.11087,107,988,0.09128,0.13045
1990,2nd Quintile,female,At least once per month,0.10254,98,988,0.08361,0.12146
1990,2nd Quintile,female,Seldom,0.26130,253,988,0.23389,0.28871
1990,2nd Quintile,female,Never,0.52530,530,988,0.49415,0.55646
1990,3rd Quintile,male,At least once per week,0.13008,115,938,0.10854,0.15162
1990,3rd Quintile,male,At least once per month,0.11689,92,938,0.09632,0.13747
1990,3rd Quintile,male,Seldom,0.29248,257,938,0.26335,0.32161
1990,3rd Quintile,male,Never,0.46055,474,938,0.42863,0.49246
1990,3rd Quintile,female,At least once per week,0.12309,112,946,0.10214,0.14403
1990,3rd Quintile,female,At least once per month,0.13292,112,946,0.11127,0.15456
1990,3rd Quintile,female,Seldom,0.27834,242,946,0.24977,0.30692
1990,3rd Quintile,female,Never,0.46565,480,946,0.43385,0.49746
1990,4th Quintile,male,At least once per week,0.12422,118,1011,0.10388,0.14456
1990,4th Quintile,male,At least once per month,0.11968,105,1011,0.09967,0.13970
1990,4th Quintile,male,Seldom,0.34233,325,1011,0.31306,0.37159
1990,4th Quintile,male,Never,0.41377,463,1011,0.38340,0.44415
1990,4th Quintile,female,At least once per week,0.14210,117,925,0.11959,0.16461
1990,4th Quintile,female,At least once per month,0.15465,131,925,0.13134,0.17796
1990,4th Quintile,female,Seldom,0.30196,272,925,0.27236,0.33157
1990,4th Quintile,female,Never,0.40129,405,925,0.36968,0.43289
1990,5th Quintile,male,At least once per week,0.13761,130,953,0.11572,0.15949
1990,5th Quintile,male,At least once per month,0.18264,172,953,0.15809,0.20718
1990,5th Quintile,male,Seldom,0.33260,298,953,0.30267,0.36253
1990,5th Quintile,male,Never,0.34716,353,953,0.31691,0.37740
1990,5th Quintile,female,At least once per week,0.16988,143,862,0.14479,0.19496
1990,5th Quintile,female,At least once per month,0.17153,151,862,0.14635,0.19671
1990,5th Quintile,female,Seldom,0.34971,283,862,0.31786,0.38156
1990,5th Quintile,female,Never,0.30888,285,862,0.27802,0.33974
1995,1st Quintile,male,At least once per week,0.10378,87,1101,0.08575,0.12180
1995,1st Quintile,male,At least once per month,0.06249,61,1101,0.04818,0.07679
1995,1st Quintile,male,Seldom,0.21777,228,1101,0.19338,0.24216
1995,1st Quintile,male,Never,0.61597,725,1101,0.58723,0.64471
1995,1st Quintile,female,At least once per week,0.08484,123,1413,0.07031,0.09938
1995,1st Quintile,female,At least once per month,0.06833,88,1413,0.05517,0.08149
1995,1st Quintile,female,Seldom,0.20792,304,1413,0.18675,0.22909
1995,1st Quintile,female,Never,0.63891,898,1413,0.61385,0.66396
1995,2nd Quintile,male,At least once per week,0.10796,118,1341,0.09134,0.12457
1995,2nd Quintile,male,At least once per month,0.08249,101,1341,0.06776,0.09722
1995,2nd Quintile,male,Seldom,0.24275,322,1341,0.21979,0.26570
1995,2nd Quintile,male,Never,0.56680,800,1341,0.54027,0.59333
1995,2nd Quintile,female,At least once per week,0.10456,145,1528,0.08921,0.11991
1995,2nd Quintile,female,At least once per month,0.07319,109,1528,0.06012,0.08625
1995,2nd Quintile,female,Seldom,0.24473,394,1528,0.22316,0.26629
1995,2nd Quintile,female,Never,0.57752,880,1528,0.55275,0.60230
1995,3rd Quintile,male,At least once per week,0.10250,126,1329,0.08619,0.11881
1995,3rd Quintile,male,At least once per month,0.07270,92,1329,0.05874,0.08667
1995,3rd Quintile,male,Seldom,0.31510,423,1329,0.29011,0.34009
1995,3rd Quintile,male,Never,0.50970,688,1329,0.48281,0.53658
1995,3rd Quintile,female,At least once per week,0.11875,158,1380,0.10168,0.13583
1995,3rd Quintile,female,At least once per month,0.07590,103,1380,0.06192,0.08988
1995,3rd Quintile,female,Seldom,0.29145,422,1380,0.26747,0.31544
1995,3rd Quintile,female,Never,0.51389,697,1380,0.48751,0.54027
1995,4th Quintile,male,At least once per week,0.12839,157,1348,0.11052,0.14625
1995,4th Quintile,male,At least once per month,0.08661,102,1348,0.07159,0.10163
1995,4th Quintile,male,Seldom,0.30032,406,1348,0.27584,0.32480
1995,4th Quintile,male,Never,0.48468,683,1348,0.45799,0.51137
1995,4th Quintile,female,At least once per week,0.12258,162,1304,0.10477,0.14039
1995,4th Quintile,female,At least once per month,0.09972,137,1304,0.08345,0.11598
1995,4th Quintile,female,Seldom,0.33406,437,1304,0.30845,0.35967
1995,4th Quintile,female,Never,0.44365,568,1304,0.41667,0.47062
1995,5th Quintile,male,At least once per week,0.13246,147,1254,0.11369,0.15123
1995,5th Quintile,male,At least once per month,0.12131,149,1254,0.10323,0.13939
1995,5th Quintile,male,Seldom,0.35171,439,1254,0.32527,0.37815
1995,5th Quintile,male,Never,0.39452,519,1254,0.36746,0.42159
1995,5th Quintile,female,At least once per week,0.20080,207,1200,0.17812,0.22347
1995,5th Quintile,female,At least once per month,0.12809,147,1200,0.10918,0.14701
1995,5th Quintile,female,Seldom,0.32761,409,1200,0.30104,0.35418
1995,5th Quintile,female,Never,0.34350,437,1200,0.31662,0.37038
1998,1st Quintile,male,At least once per week,0.08019,76,1024,0.06355,0.09683
1998,1st Quintile,male,At least once per month,0.04616,42,1024,0.03330,0.05902
1998,1st Quintile,male,Seldom,0.19122,185,1024,0.16712,0.21532
1998,1st Quintile,male,Never,0.68243,721,1024,0.65390,0.71096
1998,1st Quintile,female,At least once per week,0.07523,97,1295,0.06086,0.08960
1998,1st Quintile,female,At least once per month,0.06698,85,1295,0.05336,0.08060
1998,1st Quintile,female,Seldom,0.18871,254,1295,0.16739,0.21003
1998,1st Quintile,female,Never,0.66909,859,1295,0.64345,0.69472
1998,2nd Quintile,male,At least once per week,0.09182,84,1166,0.07524,0.10840
1998,2nd Quintile,male,At least once per month,0.05274,59,1166,0.03991,0.06558
1998,2nd Quintile,male,Seldom,0.24947,284,1166,0.22462,0.27432
1998,2nd Quintile,male,Never,0.60596,739,1166,0.57790,0.63402
1998,2nd Quintile,female,At least once per week,0.09847,123,1315,0.08236,0.11458
1998,2nd Quintile,female,At least once per month,0.07755,110,1315,0.06309,0.09202
1998,2nd Quintile,female,Seldom,0.25856,345,1315,0.23489,0.28224
1998,2nd Quintile,female,Never,0.56541,737,1315,0.53861,0.59221
1998,3rd Quintile,male,At least once per week,0.08282,96,1233,0.06743,0.09821
1998,3rd Quintile,male,At least once per month,0.06692,83,1233,0.05296,0.08087
1998,3rd Quintile,male,Seldom,0.29844,350,1233,0.27289,0.32399
1998,3rd Quintile,male,Never,0.55182,704,1233,0.52405,0.57959
1998,3rd Quintile,female,At least once per week,0.10530,134,1322,0.08875,0.12185
1998,3rd Quintile,female,At least once per month,0.07392,103,1322,0.05981,0.08803
1998,3rd Quintile,female,Seldom,0.27783,373,1322,0.25367,0.30198
1998,3rd Quintile,female,Never,0.54295,712,1322,0.51609,0.56982
1998,4th Quintile,male,At least once per week,0.10273,122,1306,0.08626,0.11921
1998,4th Quintile,male,At least once per month,0.08273,107,1306,0.06779,0.09768
1998,4th Quintile,male,Seldom,0.30661,399,1306,0.28159,0.33163
1998,4th Quintile,male,Never,0.50792,678,1306,0.48080,0.53505
1998,4th Quintile,female,At least once per week,0.11403,139,1280,0.09661,0.13145
1998,4th Quintile,female,At least once per month,0.09718,121,1280,0.08095,0.11342
1998,4th Quintile,female,Seldom,0.32678,431,1280,0.30107,0.35248
1998,4th Quintile,female,Never,0.46201,589,1280,0.43469,0.48934
1998,5th Quintile,male,At least once per week,0.12892,126,1179,0.10978,0.14806
1998,5th Quintile,male,At least once per month,0.11190,123,1179,0.09390,0.12991
1998,5th Quintile,male,Seldom,0.31840,374,1179,0.29180,0.34500
1998,5th Quintile,male,Never,0.44078,556,1179,0.41242,0.46913
1998,5th Quintile,female,At least once per week,0.16199,169,1106,0.14027,0.18371
1998,5th Quintile,female,At least once per month,0.13902,149,1106,0.11862,0.15942
1998,5th Quintile,female,Seldom,0.34664,379,1106,0.31858,0.37470
1998,5th Quintile,female,Never,0.35235,409,1106,0.32419,0.38052
