"pli0093_h","year","regtyp","sex","n","percent","lower_confidence","upper_confidence"
"Taeglich","1990","Staedtischer Raum","maennlich","111","0.0327170749555324","0.0269608437391691","0.0384733061718957"
"Taeglich","1990","Staedtischer Raum","weiblich","106","0.030500977306144","0.0250052270389235","0.0359967275733645"
"Taeglich","1990","Laendlicher Raum","maennlich","13","","",""
"Taeglich","1990","Laendlicher Raum","weiblich","23","","",""
"Min 1x pro Woche","1990","Staedtischer Raum","maennlich","330","0.099156352690971","0.0894856236084654","0.108827081773477"
"Min 1x pro Woche","1990","Staedtischer Raum","weiblich","340","0.0978035687058934","0.0883101130165965","0.10729702439519"
"Min 1x pro Woche","1990","Laendlicher Raum","maennlich","79","0.0909255146522581","0.0727765358915007","0.109074493413015"
"Min 1x pro Woche","1990","Laendlicher Raum","weiblich","96","0.0932178929255402","0.0752161173883431","0.111219668462737"
"Min 1x pro Monat","1990","Staedtischer Raum","maennlich","393","0.12586782184788","0.115134846117815","0.136600797577946"
"Min 1x pro Monat","1990","Staedtischer Raum","weiblich","425","0.12318091645569","0.112677680150881","0.133684152760499"
"Min 1x pro Monat","1990","Laendlicher Raum","maennlich","111","0.112394485533071","0.0924560043948974","0.132332966671244"
"Min 1x pro Monat","1990","Laendlicher Raum","weiblich","123","0.120103241524348","0.0999749249828379","0.140231558065859"
"Seltener","1990","Staedtischer Raum","maennlich","997","0.297762313822342","0.282966080650145","0.312558546994539"
"Seltener","1990","Staedtischer Raum","weiblich","961","0.271247034480257","0.257037852015071","0.285456216945443"
"Seltener","1990","Laendlicher Raum","maennlich","306","0.333930360226004","0.304159091264159","0.36370162918785"
"Seltener","1990","Laendlicher Raum","weiblich","297","0.305991934631141","0.277458669046239","0.334525200216044"
"Nie","1990","Staedtischer Raum","maennlich","1838","0.444496436683274","0.428417704493431","0.460575168873118"
"Nie","1990","Staedtischer Raum","weiblich","1929","0.477267503052016","0.461304407748723","0.493230598355308"
"Nie","1990","Laendlicher Raum","maennlich","455","0.446114240392057","0.414734978983146","0.477493501800968"
"Nie","1990","Laendlicher Raum","weiblich","463","0.459014950097991","0.428160324747784","0.489869575448197"
"Taeglich","1991","Staedtischer Raum","maennlich","","","",""
"Taeglich","1991","Staedtischer Raum","weiblich","","","",""
"Taeglich","1991","Laendlicher Raum","maennlich","","","",""
"Taeglich","1991","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1991","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","1991","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1991","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","1991","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1991","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","1991","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1991","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","1991","Laendlicher Raum","weiblich","","","",""
"Seltener","1991","Staedtischer Raum","maennlich","","","",""
"Seltener","1991","Staedtischer Raum","weiblich","","","",""
"Seltener","1991","Laendlicher Raum","maennlich","","","",""
"Seltener","1991","Laendlicher Raum","weiblich","","","",""
"Nie","1991","Staedtischer Raum","maennlich","","","",""
"Nie","1991","Staedtischer Raum","weiblich","","","",""
"Nie","1991","Laendlicher Raum","maennlich","","","",""
"Nie","1991","Laendlicher Raum","weiblich","","","",""
"Taeglich","1992","Staedtischer Raum","maennlich","","","",""
"Taeglich","1992","Staedtischer Raum","weiblich","","","",""
"Taeglich","1992","Laendlicher Raum","maennlich","","","",""
"Taeglich","1992","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1992","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","1992","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1992","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","1992","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1992","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","1992","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1992","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","1992","Laendlicher Raum","weiblich","","","",""
"Seltener","1992","Staedtischer Raum","maennlich","","","",""
"Seltener","1992","Staedtischer Raum","weiblich","","","",""
"Seltener","1992","Laendlicher Raum","maennlich","","","",""
"Seltener","1992","Laendlicher Raum","weiblich","","","",""
"Nie","1992","Staedtischer Raum","maennlich","","","",""
"Nie","1992","Staedtischer Raum","weiblich","","","",""
"Nie","1992","Laendlicher Raum","maennlich","","","",""
"Nie","1992","Laendlicher Raum","weiblich","","","",""
"Taeglich","1993","Staedtischer Raum","maennlich","","","",""
"Taeglich","1993","Staedtischer Raum","weiblich","","","",""
"Taeglich","1993","Laendlicher Raum","maennlich","","","",""
"Taeglich","1993","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1993","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","1993","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1993","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","1993","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1993","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","1993","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1993","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","1993","Laendlicher Raum","weiblich","","","",""
"Seltener","1993","Staedtischer Raum","maennlich","","","",""
"Seltener","1993","Staedtischer Raum","weiblich","","","",""
"Seltener","1993","Laendlicher Raum","maennlich","","","",""
"Seltener","1993","Laendlicher Raum","weiblich","","","",""
"Nie","1993","Staedtischer Raum","maennlich","","","",""
"Nie","1993","Staedtischer Raum","weiblich","","","",""
"Nie","1993","Laendlicher Raum","maennlich","","","",""
"Nie","1993","Laendlicher Raum","weiblich","","","",""
"Taeglich","1994","Staedtischer Raum","maennlich","","","",""
"Taeglich","1994","Staedtischer Raum","weiblich","","","",""
"Taeglich","1994","Laendlicher Raum","maennlich","","","",""
"Taeglich","1994","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Woche","1994","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Woche","1994","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Woche","1994","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Woche","1994","Laendlicher Raum","weiblich","","","",""
"Min 1x pro Monat","1994","Staedtischer Raum","maennlich","","","",""
"Min 1x pro Monat","1994","Staedtischer Raum","weiblich","","","",""
"Min 1x pro Monat","1994","Laendlicher Raum","maennlich","","","",""
"Min 1x pro Monat","1994","Laendlicher Raum","weiblich","","","",""
"Seltener","1994","Staedtischer Raum","maennlich","","","",""
"Seltener","1994","Staedtischer Raum","weiblich","","","",""
"Seltener","1994","Laendlicher Raum","maennlich","","","",""
"Seltener","1994","Laendlicher Raum","weiblich","","","",""
"Nie","1994","Staedtischer Raum","maennlich","","","",""
"Nie","1994","Staedtischer Raum","weiblich","","","",""
"Nie","1994","Laendlicher Raum","maennlich","","","",""
"Nie","1994","Laendlicher Raum","weiblich","","","",""
"Taeglich","1995","Staedtischer Raum","maennlich","106","0.0290281699226208","0.0239289249771806","0.0341274148680609"
"Taeglich","1995","Staedtischer Raum","weiblich","141","0.0347384401051909","0.0293793071759071","0.0400975730344747"
"Taeglich","1995","Laendlicher Raum","maennlich","49","0.028413945891881","0.0214851679363342","0.0353427238474279"
"Taeglich","1995","Laendlicher Raum","weiblich","50","0.0212779128561536","0.01543588672874","0.0271199389835671"
"Min 1x pro Woche","1995","Staedtischer Raum","maennlich","355","0.0974435653917154","0.0884360192179524","0.106451111565478"
"Min 1x pro Woche","1995","Staedtischer Raum","weiblich","417","0.10177431769361","0.0929256333838349","0.110623002003386"
"Min 1x pro Woche","1995","Laendlicher Raum","maennlich","125","0.0673008429250478","0.0568528883181852","0.0777487975319103"
"Min 1x pro Woche","1995","Laendlicher Raum","weiblich","187","0.0834493749888359","0.0722534737080773","0.0946452762695945"
"Min 1x pro Monat","1995","Staedtischer Raum","maennlich","357","0.0912887568501952","0.0825406449861012","0.100036868714289"
