year,regtyp,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Urban regions,At least once per week,0.12998,889,7449,0.12234,0.13761
1990,Urban regions,At least once per month,0.12477,823,7449,0.11727,0.13228
1990,Urban regions,Seldom,0.28378,1963,7449,0.27354,0.29402
1990,Urban regions,Never,0.46147,3774,7449,0.45015,0.47279
1990,Rural regions,At least once per week,0.11135,209,1947,0.09737,0.12532
1990,Rural regions,At least once per month,0.11517,229,1947,0.10099,0.12936
1990,Rural regions,Seldom,0.32032,598,1947,0.29959,0.34105
1990,Rural regions,Never,0.45316,911,1947,0.43104,0.47528
1995,Urban regions,At least once per week,0.13143,1023,8680,0.12432,0.13854
1995,Urban regions,At least once per month,0.09150,757,8680,0.08543,0.09756
1995,Urban regions,Seldom,0.27522,2319,8680,0.26582,0.28462
1995,Urban regions,Never,0.50185,4581,8680,0.49133,0.51237
1995,Rural regions,At least once per week,0.10060,407,4522,0.09184,0.10937
1995,Rural regions,At least once per month,0.08119,332,4522,0.07323,0.08915
1995,Rural regions,Seldom,0.31022,1466,4522,0.29674,0.32371
1995,Rural regions,Never,0.50798,2317,4522,0.49341,0.52256
1998,Urban regions,At least once per week,0.11776,982,9193,0.11117,0.12435
1998,Urban regions,At least once per month,0.08704,765,9193,0.08128,0.09280
1998,Urban regions,Seldom,0.26268,2331,9193,0.25368,0.27168
1998,Urban regions,Never,0.53251,5115,9193,0.52231,0.54271
1998,Rural regions,At least once per week,0.09623,435,4921,0.08799,0.10447
1998,Rural regions,At least once per month,0.07952,385,4921,0.07196,0.08708
1998,Rural regions,Seldom,0.27807,1441,4921,0.26555,0.29059
1998,Rural regions,Never,0.54617,2660,4921,0.53226,0.56009
2001,Urban regions,At least once per week,0.09166,1317,14173,0.08691,0.09641
2001,Urban regions,At least once per month,0.06455,885,14173,0.06050,0.06860
2001,Urban regions,Seldom,0.23155,3334,14173,0.22460,0.23849
2001,Urban regions,Never,0.61224,8637,14173,0.60422,0.62027
2001,Rural regions,At least once per week,0.07308,554,7504,0.06719,0.07897
2001,Rural regions,At least once per month,0.05651,405,7504,0.05129,0.06174
2001,Rural regions,Seldom,0.20452,1625,7504,0.19540,0.21365
2001,Rural regions,Never,0.66588,4920,7504,0.65521,0.67656
2003,Urban regions,At least once per week,0.12015,1967,14645,0.11489,0.12542
2003,Urban regions,At least once per month,0.08865,1356,14645,0.08404,0.09325
2003,Urban regions,Seldom,0.24114,3625,14645,0.23421,0.24807
2003,Urban regions,Never,0.55006,7697,14645,0.54200,0.55811
2003,Rural regions,At least once per week,0.09550,778,7366,0.08879,0.10221
2003,Rural regions,At least once per month,0.07698,609,7366,0.07090,0.08307
2003,Rural regions,Seldom,0.25879,2005,7366,0.24879,0.26880
2003,Rural regions,Never,0.56872,3974,7366,0.55741,0.58003
2005,Urban regions,At least once per week,0.09270,1394,13656,0.08783,0.09756
2005,Urban regions,At least once per month,0.07046,1082,13656,0.06616,0.07475
2005,Urban regions,Seldom,0.27241,3831,13656,0.26494,0.27988
2005,Urban regions,Never,0.56444,7349,13656,0.55612,0.57275
2005,Rural regions,At least once per week,0.07932,602,6857,0.07293,0.08572
2005,Rural regions,At least once per month,0.06545,470,6857,0.05959,0.07130
2005,Rural regions,Seldom,0.27515,1969,6857,0.26458,0.28572
2005,Rural regions,Never,0.58008,3816,6857,0.56840,0.59176
2007,Urban regions,At least once per week,0.09852,1480,13355,0.09346,0.10357
2007,Urban regions,At least once per month,0.07176,1089,13355,0.06739,0.07614
2007,Urban regions,Seldom,0.25545,3501,13355,0.24806,0.26285
2007,Urban regions,Never,0.57427,7285,13355,0.56588,0.58265
2007,Rural regions,At least once per week,0.08898,667,6962,0.08229,0.09567
2007,Rural regions,At least once per month,0.06940,523,6962,0.06343,0.07537
2007,Rural regions,Seldom,0.24352,1819,6962,0.23344,0.25360
2007,Rural regions,Never,0.59810,3953,6962,0.58658,0.60962
2008,Urban regions,At least once per week,0.13265,1820,12647,0.12674,0.13856
2008,Urban regions,At least once per month,0.09069,1208,12647,0.08568,0.09569
2008,Urban regions,Seldom,0.24867,3231,12647,0.24114,0.25621
2008,Urban regions,Never,0.52799,6388,12647,0.51929,0.53669
2008,Rural regions,At least once per week,0.11281,796,6584,0.10517,0.12046
