,Unnamed: 0,year,age_gr,bula_h,pli0093_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
64,64,1990,46-65 y.,Bavaria,At least once per week,0.11423,44,8329,0.10108,0.12712
65,65,1990,46-65 y.,Bavaria,At least once per month,0.12935,56,8329,0.11697,0.14254
66,66,1990,46-65 y.,Bavaria,Seldom,0.3021,128,8329,0.28312,0.32243
67,67,1990,46-65 y.,Bavaria,Never,0.45432,233,8329,0.41724,0.48738
68,68,1990,46-65 y.,Berlin,Never,1.0,55,8329,0.78286,1.21221
69,69,1990,66 and older,Lower Saxony,Never,1.0,90,8329,0.92844,1.08278
70,70,1990,66 and older,North Rhine-Westphalia,Never,1.0,180,8329,0.94289,1.05858
71,71,1990,66 and older,Hesse,Never,1.0,75,8329,0.9228,1.08173
72,72,1990,66 and older,"Rhineland-Palatinate, Saarland",Never,1.0,73,8329,0.91899,1.08631
73,73,1990,66 and older,Baden-Wuerttemberg,Never,1.0,121,8329,0.90982,1.0788
74,74,1990,66 and older,Bavaria,Never,1.0,124,8329,0.93946,1.05637
75,75,1995,17-29 y.,Lower Saxony,At least once per week,0.12322,31,11707,0.0993,0.15026
76,76,1995,17-29 y.,Lower Saxony,Seldom,0.43174,94,11707,0.37929,0.49054
77,77,1995,17-29 y.,Lower Saxony,Never,0.44504,121,11707,0.38726,0.49876
78,78,1995,17-29 y.,North Rhine-Westphalia,At least once per week,0.20575,110,11707,0.17889,0.23819
79,79,1995,17-29 y.,North Rhine-Westphalia,At least once per month,0.10662,59,11707,0.08663,0.13912
80,80,1995,17-29 y.,North Rhine-Westphalia,Seldom,0.26907,188,11707,0.24133,0.29994
81,81,1995,17-29 y.,North Rhine-Westphalia,Never,0.41856,312,11707,0.37761,0.46491
82,82,1995,17-29 y.,Hesse,At least once per week,0.19601,37,11707,0.16393,0.23619
83,83,1995,17-29 y.,Hesse,Seldom,0.36512,55,11707,0.29697,0.4315
84,84,1995,17-29 y.,Hesse,Never,0.43887,115,11707,0.38052,0.50737
85,85,1995,17-29 y.,"Rhineland-Palatinate, Saarland",Seldom,0.29692,45,11707,0.25055,0.34216
86,86,1995,17-29 y.,"Rhineland-Palatinate, Saarland",Never,0.70308,89,11707,0.6136,0.83237
87,87,1995,17-29 y.,Baden-Wuerttemberg,At least once per week,0.21304,87,11707,0.18659,0.24444
88,88,1995,17-29 y.,Baden-Wuerttemberg,At least once per month,0.08783,47,11707,0.07314,0.10472
89,89,1995,17-29 y.,Baden-Wuerttemberg,Seldom,0.26302,137,11707,0.22907,0.29899
90,90,1995,17-29 y.,Baden-Wuerttemberg,Never,0.43611,246,11707,0.38559,0.48901
91,91,1995,17-29 y.,Bavaria,At least once per week,0.22353,93,11707,0.19393,0.25728
92,92,1995,17-29 y.,Bavaria,At least once per month,0.12899,50,11707,0.1035,0.15996
93,93,1995,17-29 y.,Bavaria,Seldom,0.2721,136,11707,0.23758,0.30257
94,94,1995,17-29 y.,Bavaria,Never,0.37538,169,11707,0.33383,0.4201
95,95,1995,17-29 y.,Berlin,At least once per week,0.48225,36,11707,0.40428,0.56185
96,96,1995,17-29 y.,Berlin,Never,0.51775,51,11707,0.4288,0.59473
97,97,1995,17-29 y.,Brandenburg,Seldom,0.47249,42,11707,0.39515,0.55597
98,98,1995,17-29 y.,Brandenburg,Never,0.52751,57,11707,0.46848,0.57947
99,99,1995,17-29 y.,Mecklenburg-Western Pomerania,Seldom,0.47023,39,11707,0.36877,0.59608
100,100,1995,17-29 y.,Mecklenburg-Western Pomerania,Never,0.52977,43,11707,0.44843,0.61316
101,101,1995,17-29 y.,Saxony,At least once per week,0.16017,34,11707,0.12374,0.19748
102,102,1995,17-29 y.,Saxony,Seldom,0.38746,80,11707,0.33533,0.45181
103,103,1995,17-29 y.,Saxony,Never,0.45237,94,11707,0.40282,0.50104
104,104,1995,17-29 y.,Saxony-Anhalt,Seldom,0.39566,48,11707,0.31441,0.4731
105,105,1995,17-29 y.,Saxony-Anhalt,Never,0.60434,72,11707,0.51171,0.70671
106,106,1995,17-29 y.,Thuringa,Seldom,0.44735,55,11707,0.34807,0.56059
107,107,1995,17-29 y.,Thuringa,Never,0.55265,58,11707,0.44288,0.6505
108,108,1995,30-45 y.,Schleswig-Holstein,Seldom,0.48786,36,11707,0.41074,0.56703
109,109,1995,30-45 y.,Schleswig-Holstein,Never,0.51214,45,11707,0.4235,0.6058
110,110,1995,30-45 y.,Lower Saxony,At least once per week,0.14791,38,11707,0.11823,0.18003
111,111,1995,30-45 y.,Lower Saxony,Seldom,0.44567,116,11707,0.40262,0.49554
112,112,1995,30-45 y.,Lower Saxony,Never,0.40642,156,11707,0.36228,0.4523
113,113,1995,30-45 y.,North Rhine-Westphalia,At least once per week,0.11639,93,11707,0.1007,0.13502
114,114,1995,30-45 y.,North Rhine-Westphalia,At least once per month,0.15343,105,11707,0.13363,0.17589
115,115,1995,30-45 y.,North Rhine-Westphalia,Seldom,0.33199,276,11707,0.30497,0.35819
116,116,1995,30-45 y.,North Rhine-Westphalia,Never,0.39819,416,11707,0.37063,0.42145
117,117,1995,30-45 y.,Hesse,At least once per week,0.13847,35,11707,0.1103,0.17175
