year,bula_h,pgisced97,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,Schleswig-Holstein,Lower Secondary Level,Never,0.64879,41,41,0.50086,0.79672
1990,Schleswig-Holstein,Upper Secondary Level,Seldom,0.40220,58,122,0.31483,0.48957
1990,Schleswig-Holstein,Upper Secondary Level,Never,0.36814,64,122,0.28221,0.45408
1990,Hamburg,Upper Secondary Level,Never,0.54363,48,48,0.40122,0.68603
1990,Lower Saxony,Primary Level,Never,0.72849,32,32,0.57193,0.88505
1990,Lower Saxony,Lower Secondary Level,Seldom,0.23665,57,204,0.17818,0.29512
1990,Lower Saxony,Lower Secondary Level,Never,0.61548,147,204,0.54855,0.68240
1990,Lower Saxony,Upper Secondary Level,At least once per week,0.14291,67,499,0.11217,0.17364
1990,Lower Saxony,Upper Secondary Level,At least once per month,0.13482,67,499,0.10482,0.16482
1990,Lower Saxony,Upper Secondary Level,Seldom,0.31289,161,499,0.27217,0.35362
1990,Lower Saxony,Upper Secondary Level,Never,0.40824,204,499,0.36507,0.45140
1990,North Rhine-Westphalia,Primary Level,Never,0.82248,152,152,0.76153,0.88343
1990,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.09445,57,612,0.07126,0.11764
1990,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.07275,41,612,0.05215,0.09334
1990,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.18037,109,612,0.14988,0.21085
1990,North Rhine-Westphalia,Lower Secondary Level,Never,0.64513,405,612,0.60719,0.68306
1990,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.10312,132,1212,0.08600,0.12025
1990,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.12238,143,1212,0.10392,0.14084
1990,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.31546,370,1212,0.28929,0.34163
1990,North Rhine-Westphalia,Upper Secondary Level,Never,0.45500,567,1212,0.42695,0.48305
1990,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.41173,39,39,0.25525,0.56821
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.38030,52,93,0.28110,0.47950
1990,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.30306,41,93,0.20914,0.39697
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.23686,45,170,0.17276,0.30096
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.39744,77,170,0.32366,0.47122
1990,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.23601,48,170,0.17199,0.30003
1990,Hesse,Primary Level,Never,0.85744,61,61,0.76897,0.94591
1990,Hesse,Lower Secondary Level,Seldom,0.23843,49,235,0.18384,0.29303
1990,Hesse,Lower Secondary Level,Never,0.65458,186,235,0.59366,0.71551
1990,Hesse,Upper Secondary Level,At least once per week,0.09207,42,450,0.06533,0.11881
1990,Hesse,Upper Secondary Level,At least once per month,0.12871,54,450,0.09773,0.15969
1990,Hesse,Upper Secondary Level,Seldom,0.30383,123,450,0.26129,0.34638
1990,Hesse,Upper Secondary Level,Never,0.46489,231,450,0.41875,0.51102
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.16200,36,188,0.10919,0.21480
1990,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.70534,152,188,0.64000,0.77069
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.15071,46,322,0.11157,0.18985
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per month,0.10112,32,322,0.06814,0.13410
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.22696,73,322,0.18114,0.27278
1990,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.52121,171,322,0.46656,0.57586
1990,Baden-Wuerttemberg,Primary Level,Never,0.79682,150,150,0.73221,0.86142
1990,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.07789,36,511,0.05463,0.10115
1990,Baden-Wuerttemberg,Lower Secondary Level,At least once per month,0.11988,55,511,0.09169,0.14807
1990,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.22433,117,511,0.18812,0.26053
1990,Baden-Wuerttemberg,Lower Secondary Level,Never,0.57578,303,511,0.53289,0.61868
1990,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.14451,104,792,0.12001,0.16902
1990,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.13187,93,792,0.10829,0.15545
1990,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.34363,263,792,0.31053,0.37672
1990,Baden-Wuerttemberg,Upper Secondary Level,Never,0.37343,332,792,0.33972,0.40714
1990,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.33366,33,33,0.17028,0.49703
1990,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.49158,43,43,0.34038,0.64277
1990,Bavaria,Primary Level,Never,0.57091,43,43,0.42122,0.72060
1990,Bavaria,Lower Secondary Level,At least once per week,0.07921,32,400,0.05271,0.10571
1990,Bavaria,Lower Secondary Level,At least once per month,0.09887,38,400,0.06958,0.12816
1990,Bavaria,Lower Secondary Level,Seldom,0.25786,91,400,0.21493,0.30078
1990,Bavaria,Lower Secondary Level,Never,0.55707,239,400,0.50833,0.60581
1990,Bavaria,Upper Secondary Level,At least once per week,0.10704,90,805,0.08567,0.12842
