,Unnamed: 0,year,sampreg,sex,pli0093_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
75,75,2005,West,male,Never,0.58715,4204,20513,0.57443,0.60114
76,76,2005,West,female,At least once per week,0.10116,928,20513,0.09542,0.10655
77,77,2005,West,female,At least once per month,0.07899,728,20513,0.07423,0.08381
78,78,2005,West,female,Seldom,0.2722,2239,20513,0.26263,0.28152
79,79,2005,West,female,Never,0.54765,4201,20513,0.53693,0.56022
80,80,2005,East,male,At least once per week,0.06547,180,20513,0.05679,0.07498
81,81,2005,East,male,At least once per month,0.06098,138,20513,0.05222,0.07295
82,82,2005,East,male,Seldom,0.2685,691,20513,0.25081,0.28657
83,83,2005,East,male,Never,0.60504,1394,20513,0.58009,0.62744
84,84,2005,East,female,At least once per week,0.07901,237,20513,0.06998,0.08645
85,85,2005,East,female,At least once per month,0.06849,191,20513,0.06273,0.07768
86,86,2005,East,female,Seldom,0.29615,800,20513,0.27702,0.31419
87,87,2005,East,female,Never,0.55635,1366,20513,0.53613,0.57924
88,88,2007,West,male,At least once per week,0.08397,679,20317,0.07844,0.08954
89,89,2007,West,male,At least once per month,0.06418,518,20317,0.05989,0.0693
90,90,2007,West,male,Seldom,0.25241,1853,20317,0.24024,0.26258
91,91,2007,West,male,Never,0.59945,4237,20317,0.58585,0.61359
92,92,2007,West,female,At least once per week,0.11029,1016,20317,0.10491,0.11577
93,93,2007,West,female,At least once per month,0.07654,721,20317,0.07147,0.08096
94,94,2007,West,female,Seldom,0.25323,2095,20317,0.24421,0.26172
95,95,2007,West,female,Never,0.55994,4232,20317,0.54826,0.57298
96,96,2007,East,male,At least once per week,0.07251,203,20317,0.06262,0.08419
97,97,2007,East,male,At least once per month,0.05982,152,20317,0.05119,0.07072
98,98,2007,East,male,Seldom,0.24737,642,20317,0.23136,0.26655
99,99,2007,East,male,Never,0.6203,1395,20317,0.59208,0.64981
100,100,2007,East,female,At least once per week,0.10013,249,20317,0.08791,0.11328
101,101,2007,East,female,At least once per month,0.08548,221,20317,0.07747,0.09372
102,102,2007,East,female,Seldom,0.24539,730,20317,0.23058,0.26153
103,103,2007,East,female,Never,0.569,1374,20317,0.54908,0.59464
104,104,2008,West,male,At least once per week,0.1251,902,19231,0.11898,0.13142
105,105,2008,West,male,At least once per month,0.07171,492,19231,0.06642,0.07836
106,106,2008,West,male,Seldom,0.24083,1712,19231,0.22949,0.25291
107,107,2008,West,male,Never,0.56237,3765,19231,0.54652,0.58037
108,108,2008,West,female,At least once per week,0.13302,1158,19231,0.12568,0.14108
109,109,2008,West,female,At least once per month,0.09726,812,19231,0.0913,0.10256
110,110,2008,West,female,Seldom,0.26214,1990,19231,0.25317,0.27029
111,111,2008,West,female,Never,0.50758,3645,19231,0.49544,0.52222
112,112,2008,East,male,At least once per week,0.11065,260,19231,0.0988,0.12497
113,113,2008,East,male,At least once per month,0.0763,181,19231,0.06584,0.09051
114,114,2008,East,male,Seldom,0.21003,542,19231,0.19688,0.2281
115,115,2008,East,male,Never,0.60303,1311,19231,0.57296,0.63044
116,116,2008,East,female,At least once per week,0.11705,296,19231,0.10626,0.13005
117,117,2008,East,female,At least once per month,0.10016,258,19231,0.08885,0.11074
118,118,2008,East,female,Seldom,0.26911,681,19231,0.25102,0.28729
119,119,2008,East,female,Never,0.51368,1226,19231,0.48962,0.53782
120,120,2009,West,male,At least once per week,0.09992,668,17850,0.0925,0.10669
121,121,2009,West,male,At least once per month,0.06817,442,17850,0.06224,0.075
122,122,2009,West,male,Seldom,0.26939,1703,17850,0.25946,0.28266
123,123,2009,West,male,Never,0.56252,3554,17850,0.54618,0.57979
124,124,2009,West,female,At least once per week,0.115,901,17850,0.10828,0.12252
125,125,2009,West,female,At least once per month,0.08579,633,17850,0.07953,0.09265
126,126,2009,West,female,Seldom,0.27318,1945,17850,0.26154,0.28486
127,127,2009,West,female,Never,0.52604,3515,17850,0.51232,0.53939
128,128,2009,East,male,At least once per week,0.08098,192,17850,0.06919,0.09436
129,129,2009,East,male,At least once per month,0.06871,132,17850,0.05339,0.08293
130,130,2009,East,male,Seldom,0.25966,587,17850,0.23653,0.28408
131,131,2009,East,male,Never,0.59065,1253,17850,0.56185,0.6215
132,132,2009,East,female,At least once per week,0.09344,216,17850,0.08092,0.10624
133,133,2009,East,female,At least once per month,0.08915,173,17850,0.07443,0.10489
134,134,2009,East,female,Seldom,0.27203,701,17850,0.25243,0.29494
135,135,2009,East,female,Never,0.54539,1235,17850,0.51567,0.571
136,136,2011,West,male,At least once per week,0.10757,1132,28227,0.1008,0.11511
137,137,2011,West,male,At least once per month,0.06309,599,28227,0.0576,0.06835
138,138,2011,West,male,Seldom,0.2362,2216,28227,0.22445,0.24722
139,139,2011,West,male,Never,0.59314,5969,28227,0.57586,0.61064
140,140,2011,West,female,At least once per week,0.13309,1696,28227,0.12618,0.13995
141,141,2011,West,female,At least once per month,0.08014,996,28227,0.07527,0.08509
142,142,2011,West,female,Seldom,0.24056,2905,28227,0.23135,0.25078
143,143,2011,West,female,Never,0.54622,6433,28227,0.53301,0.55954
144,144,2011,East,male,At least once per week,0.07229,242,28227,0.06187,0.08326
145,145,2011,East,male,At least once per month,0.06134,156,28227,0.05005,0.07345
146,146,2011,East,male,Seldom,0.25356,685,28227,0.23277,0.27189
147,147,2011,East,male,Never,0.61281,1778,28227,0.58239,0.6451
148,148,2011,East,female,At least once per week,0.11196,363,28227,0.09919,0.12709
149,149,2011,East,female,At least once per month,0.06902,226,28227,0.06086,0.07852
150,150,2011,East,female,Seldom,0.25128,865,28227,0.23061,0.27331
151,151,2011,East,female,Never,0.56774,1966,28227,0.54489,0.59374
152,152,2013,West,male,At least once per week,0.14874,1466,25407,0.14039,0.15722
153,153,2013,West,male,At least once per month,0.09396,813,25407,0.0851,0.10224
154,154,2013,West,male,Seldom,0.25935,2253,25407,0.24806,0.27146
155,155,2013,West,male,Never,0.49795,4373,25407,0.4837,0.51578
