"pli0093_h","year","bula_h","sex","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Taeglich","1990","Schleswig-Holstein","maennlich","4","","",""
"Taeglich","1990","Schleswig-Holstein","weiblich","2","","",""
"Taeglich","1990","Hamburg","maennlich","5","","",""
"Taeglich","1990","Hamburg","weiblich","4","","",""
"Taeglich","1990","Niedersachsen","maennlich","11","","",""
"Taeglich","1990","Niedersachsen","weiblich","9","","",""
"Taeglich","1990","Bremen","maennlich","","","",""
"Taeglich","1990","Bremen","weiblich","1","","",""
"Taeglich","1990","Nordrhein-Westfalen","maennlich","38","0.0322275640423793","0.0224568434912498","0.0419982845935088"
"Taeglich","1990","Nordrhein-Westfalen","weiblich","39","0.0337409782810985","0.0238685919223894","0.0436133646398075"
"Taeglich","1990","Hessen","maennlich","10","","",""
"Taeglich","1990","Hessen","weiblich","9","","",""
"Taeglich","1990","Rheinland-Pfalz,Saarland","maennlich","9","","",""
"Taeglich","1990","Rheinland-Pfalz,Saarland","weiblich","14","","",""
"Taeglich","1990","Baden-Wuerttemberg","maennlich","21","","",""
"Taeglich","1990","Baden-Wuerttemberg","weiblich","21","","",""
"Taeglich","1990","Bayern","maennlich","21","","",""
"Taeglich","1990","Bayern","weiblich","22","","",""
"Taeglich","1990","Saarland","maennlich","","","",""
"Taeglich","1990","Saarland","weiblich","","","",""
"Taeglich","1990","Berlin","maennlich","5","","",""
"Taeglich","1990","Berlin","weiblich","8","","",""
"Taeglich","1990","Brandenburg","maennlich","","","",""
"Taeglich","1990","Brandenburg","weiblich","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","maennlich","","","",""
"Taeglich","1990","Mecklenburg-Vorpommern","weiblich","","","",""
"Taeglich","1990","Sachsen","maennlich","","","",""
"Taeglich","1990","Sachsen","weiblich","","","",""
"Taeglich","1990","Sachsen-Anhalt","maennlich","","","",""
"Taeglich","1990","Sachsen-Anhalt","weiblich","","","",""
"Taeglich","1990","Thueringen","maennlich","","","",""
"Taeglich","1990","Thueringen","weiblich","","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","maennlich","8","","",""
"Min 1x pro Woche","1990","Schleswig-Holstein","weiblich","14","","",""
"Min 1x pro Woche","1990","Hamburg","maennlich","6","","",""
"Min 1x pro Woche","1990","Hamburg","weiblich","8","","",""
"Min 1x pro Woche","1990","Niedersachsen","maennlich","54","0.127845707283586","0.098066422561735","0.157624992005437"
"Min 1x pro Woche","1990","Niedersachsen","weiblich","52","0.0987423783693663","0.0723018622388007","0.125182894499932"
"Min 1x pro Woche","1990","Bremen","maennlich","4","","",""
"Min 1x pro Woche","1990","Bremen","weiblich","5","","",""
"Min 1x pro Woche","1990","Nordrhein-Westfalen","maennlich","112","0.0937505441165652","0.0776241597802673","0.109876928452863"
"Min 1x pro Woche","1990","Nordrhein-Westfalen","weiblich","106","0.0867931514455238","0.0714001313623511","0.102186171528697"
"Min 1x pro Woche","1990","Hessen","maennlich","30","0.0665375898073656","0.044403301624111","0.0886718779906202"
"Min 1x pro Woche","1990","Hessen","weiblich","34","0.0774339826133416","0.0537443575890659","0.101123607637617"
