year,age_gr,pgisced97,pli0093_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1990,17-29 y.,No answer / don't know,Never,0.42059,48,48,0.27945,0.56172
1990,17-29 y.,Pre-primary Level,At least once per week,0.40207,58,146,0.32226,0.48188
1990,17-29 y.,Pre-primary Level,Seldom,0.29520,44,146,0.22095,0.36944
1990,17-29 y.,Pre-primary Level,Never,0.20462,44,146,0.13896,0.27029
1990,17-29 y.,Primary Level,Never,0.62068,73,73,0.50860,0.73276
1990,17-29 y.,Lower Secondary Level,At least once per week,0.15858,116,794,0.13315,0.18400
1990,17-29 y.,Lower Secondary Level,At least once per month,0.16261,106,794,0.13693,0.18829
1990,17-29 y.,Lower Secondary Level,Seldom,0.26064,175,794,0.23009,0.29120
1990,17-29 y.,Lower Secondary Level,Never,0.41817,397,794,0.38384,0.45250
1990,17-29 y.,Upper Secondary Level,At least once per week,0.15730,202,1264,0.13722,0.17738
1990,17-29 y.,Upper Secondary Level,At least once per month,0.15949,179,1264,0.13930,0.17968
1990,17-29 y.,Upper Secondary Level,Seldom,0.32639,383,1264,0.30053,0.35225
1990,17-29 y.,Upper Secondary Level,Never,0.35682,500,1264,0.33040,0.38324
1990,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.28517,36,81,0.18623,0.38411
1990,17-29 y.,Post-secondary Non-tertiary Level,Never,0.33296,45,81,0.22968,0.43623
1990,17-29 y.,First Stage of Tertiary Education,Seldom,0.48166,38,38,0.32065,0.64266
1990,30-45 y.,Primary Level,Never,0.81770,158,158,0.75730,0.87809
1990,30-45 y.,Lower Secondary Level,At least once per month,0.09180,36,458,0.06533,0.11827
1990,30-45 y.,Lower Secondary Level,Seldom,0.29819,116,458,0.25625,0.34013
1990,30-45 y.,Lower Secondary Level,Never,0.54517,306,458,0.49951,0.59082
1990,30-45 y.,Upper Secondary Level,At least once per week,0.10460,138,1417,0.08866,0.12054
1990,30-45 y.,Upper Secondary Level,At least once per month,0.13973,183,1417,0.12167,0.15779
1990,30-45 y.,Upper Secondary Level,Seldom,0.38831,519,1417,0.36293,0.41370
1990,30-45 y.,Upper Secondary Level,Never,0.36736,577,1417,0.34225,0.39247
1990,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.38311,35,69,0.26756,0.49866
1990,30-45 y.,Post-secondary Non-tertiary Level,Never,0.21827,34,69,0.12009,0.31645
1990,30-45 y.,First Stage of Tertiary Education,At least once per week,0.23174,38,201,0.17326,0.29022
1990,30-45 y.,First Stage of Tertiary Education,At least once per month,0.21727,40,201,0.16012,0.27442
1990,30-45 y.,First Stage of Tertiary Education,Seldom,0.33001,75,201,0.26484,0.39518
1990,30-45 y.,First Stage of Tertiary Education,Never,0.22098,48,201,0.16348,0.27848
1990,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.23290,75,334,0.18750,0.27830
1990,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.20164,68,334,0.15855,0.24474
1990,30-45 y.,Second Stage of Tertiary Education,Seldom,0.38715,127,334,0.33483,0.43947
1990,30-45 y.,Second Stage of Tertiary Education,Never,0.17830,64,334,0.13719,0.21942
1990,46-65 y.,Primary Level,Never,0.90070,259,259,0.86420,0.93719
1990,46-65 y.,Lower Secondary Level,At least once per week,0.06580,44,795,0.04856,0.08305
1990,46-65 y.,Lower Secondary Level,At least once per month,0.05484,40,795,0.03900,0.07067
1990,46-65 y.,Lower Secondary Level,Seldom,0.24795,177,795,0.21791,0.27799
1990,46-65 y.,Lower Secondary Level,Never,0.63141,534,795,0.59786,0.66497
1990,46-65 y.,Upper Secondary Level,At least once per week,0.11212,136,1351,0.09529,0.12895
1990,46-65 y.,Upper Secondary Level,At least once per month,0.12349,155,1351,0.10594,0.14104
1990,46-65 y.,Upper Secondary Level,Seldom,0.31531,406,1351,0.29053,0.34010
1990,46-65 y.,Upper Secondary Level,Never,0.44907,654,1351,0.42254,0.47561
1990,46-65 y.,First Stage of Tertiary Education,Seldom,0.39922,61,117,0.31010,0.48834
1990,46-65 y.,First Stage of Tertiary Education,Never,0.36277,56,117,0.27527,0.45027
1990,46-65 y.,Second Stage of Tertiary Education,At least once per week,0.24906,53,225,0.19243,0.30570
1990,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.20926,46,225,0.15599,0.26254
1990,46-65 y.,Second Stage of Tertiary Education,Seldom,0.36141,78,225,0.29849,0.42432
1990,46-65 y.,Second Stage of Tertiary Education,Never,0.18027,48,225,0.12992,0.23061
1990,66 and older,Lower Secondary Level,Seldom,0.09901,34,348,0.06758,0.13044
1990,66 and older,Lower Secondary Level,Never,0.82097,314,348,0.78063,0.86130
1990,66 and older,Upper Secondary Level,At least once per week,0.07021,37,486,0.04747,0.09295
