year,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1984,62.797273522187716,62.153126836026935,63.4414202083485,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0,1124.0
1985,63.284834645814264,62.60336314915303,63.966306142475496,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0,985.0
1986,,,,,,,,,,,,
1987,63.019316234874964,62.32650727943631,63.712125190313614,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0,929.0
1988,64.54323406595235,63.85962158893343,65.22684654297126,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0,992.0
1989,62.97084282526175,62.29256931512511,63.64911633539839,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0,976.0
1990,,,,,,,,,,,,
1991,62.303263929759666,61.62563591215501,62.98089194736432,50.0,60.0,80.0,15.0,100.0,60.0,60.0,60.0,991.0
1992,61.88607016481693,61.26043824979916,62.5117020798347,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0,1259.0
1993,,,,,,,,,,,,
1994,61.184351259419806,60.54936406529359,61.819338453546024,50.0,60.0,80.0,10.0,100.0,60.0,60.0,70.0,1218.0
1995,62.5404055148544,61.939546329391554,63.141264700317244,50.0,60.0,80.0,10.0,100.0,60.0,60.0,60.0,1237.0
1996,60.47458799363841,59.86163088302565,61.08754510425117,50.0,60.0,80.0,5.0,100.0,60.0,60.0,65.0,1316.0
1997,59.68718514787824,59.086107434585635,60.28826286117084,40.0,60.0,75.0,10.0,100.0,60.0,60.0,70.0,1283.0
1998,61.094485241570766,60.51483136611204,61.67413911702949,50.0,60.0,80.0,5.0,100.0,60.0,60.0,60.24999999999999,1491.0
1999,60.3853291300442,59.79826031165678,60.97239794843161,40.0,60.0,80.0,10.0,100.0,60.0,60.0,70.0,1471.0
2000,60.257410881289246,59.81089205139239,60.7039297111861,40.0,60.0,80.0,5.0,100.0,60.0,60.0,70.0,2564.0
2001,60.61325344957743,60.13724227231584,61.08926462683902,45.0,60.0,80.0,2.0,100.0,60.0,60.0,70.0,2320.0
2002,60.55765108952615,60.097083819353486,61.01821835969882,40.0,60.0,80.0,4.0,100.0,60.0,60.0,70.0,2492.0
2003,60.9290198073453,60.46884324384388,61.38919637084672,50.0,60.0,80.0,5.0,100.0,60.0,60.0,70.0,2437.0
2004,60.11902259651404,59.66381082831945,60.57423436470864,40.0,60.0,80.0,5.0,100.0,60.0,60.0,70.0,2461.0
2005,60.366647372887684,59.91135077919946,60.82194396657591,40.0,60.0,80.0,3.0,100.0,60.0,60.0,70.0,2409.0
2006,60.2202241017445,59.78731397632092,60.65313422716808,40.0,60.0,80.0,2.0,100.0,60.0,60.0,70.0,2664.0
2007,60.5226977114013,60.07775545645637,60.967639966346226,50.0,60.0,80.0,5.0,100.0,60.0,60.0,70.0,2515.0
2008,60.125026280802196,59.660424086732135,60.589628474872256,40.0,50.0,80.0,2.0,100.0,50.0,40.0,50.0,2370.0
2009,59.13815875963217,58.66461181421494,59.611705705049395,40.0,50.0,80.0,2.0,100.0,50.0,40.0,50.0,2274.0
2010,58.96125311080743,58.50227685382528,59.420229367789574,40.0,50.0,80.0,5.0,100.0,50.0,50.0,50.0,2374.0
2011,58.52851586672373,58.120332674022436,58.936699059425024,40.0,50.0,80.0,3.0,100.0,50.0,50.0,50.0,3050.0
2012,57.20020615785439,56.80503517938449,57.59537713632429,40.0,50.0,70.0,1.0,100.0,50.0,50.0,50.0,3205.0
2013,58.8222657476697,58.42975656049846,59.21477493484093,40.0,50.0,80.0,3.0,100.0,50.0,50.0,50.0,3217.0
2014,58.48679937201037,58.08887319224961,58.884725551771126,40.0,50.0,80.0,7.0,100.0,50.0,50.0,50.0,3131.0
2015,57.90239992304956,57.486356460713296,58.31844338538582,40.0,50.0,70.0,7.0,100.0,50.0,50.0,50.0,2877.0
2016,58.67999770315344,58.25131407270789,59.10868133359899,40.0,50.0,80.0,3.0,100.0,50.0,50.0,50.0,2696.0
2017,58.55170969978087,58.14337781051781,58.96004158904393,40.0,50.0,79.83266756024425,7.0,100.0,50.0,50.0,50.0,2987.0
2018,58.025358944263,57.63013882375502,58.420579064770976,40.0,50.0,70.0,7.0,100.0,50.0,50.0,50.0,3049.0
2019,57.61803730060835,57.21832911564313,58.01774548557357,40.0,50.0,70.0,7.0,100.0,50.0,50.0,50.0,2952.0
2020,58.87610177151751,58.46312283226166,59.28908071077336,40.0,50.0,80.0,2.0,100.0,50.0,40.0,50.0,2853.0
2021,57.625057277137145,57.13558287440505,58.11453167986924,40.0,50.0,70.0,10.0,100.0,50.0,50.0,50.0,2067.0
