"year","age_gr","sex","mean","median","n","lower_confidence_mean","upper_confidence_mean"
"1991","35-65","maennlich","57.24","48.5","363","54.98","59.5"
"1991","35-65","weiblich","57.66","49","227","54.85","60.47"
"1991","66 +","maennlich","68.2","65","190","65.03","71.37"
"1991","66 +","weiblich","69.99","67.5","127","66.24","73.74"
"1992","17-34","maennlich","55.77","45","56","48.51","63.03"
"1992","17-34","weiblich","63.69","55","40","55.18","72.2"
"1992","35-65","maennlich","55.77","47.5","457","53.79","57.75"
"1992","35-65","weiblich","56.93","45","312","54.5","59.36"
"1992","66 +","maennlich","67.55","68.5","233","64.67","70.43"
"1992","66 +","weiblich","71.98","68","164","68.54","75.42"
"1993","17-34","maennlich","","","","",""
"1993","17-34","weiblich","","","","",""
"1993","35-65","maennlich","","","","",""
"1993","35-65","weiblich","","","","",""
"1993","66 +","maennlich","","","","",""
"1993","66 +","weiblich","","","","",""
"1994","17-34","maennlich","55.53","45","49","47.75","63.31"
"1994","17-34","weiblich","58.73","45","41","49.38","68.08"
"1994","35-65","maennlich","53.97","45","420","51.89","56.05"
"1994","35-65","weiblich","57.94","47.5","308","55.47","60.41"
"1994","66 +","maennlich","67.69","65","230","64.68","70.7"
"1994","66 +","weiblich","69.7","69.5","170","66.46","72.94"
"1995","17-34","maennlich","65.12","45","45","57.88","72.36"
"1995","17-34","weiblich","62.25","55","44","54.15","70.35"
"1995","35-65","maennlich","55.47","47.5","405","53.49","57.45"
"1995","35-65","weiblich","57.16","45","317","54.89","59.43"
"1995","66 +","maennlich","67.87","55","231","64.93","70.81"
"1995","66 +","weiblich","71.39","65","197","68.49","74.29"
"1996","17-34","maennlich","58.33","45","55","50.43","66.23"
"1996","17-34","weiblich","54.09","45","46","45.83","62.35"
"1996","35-65","maennlich","53.46","45","440","51.41","55.51"
"1996","35-65","weiblich","55.31","48.5","336","52.98","57.64"
"1996","66 +","maennlich","66.06","57.5","239","63.12","69"
"1996","66 +","weiblich","71.12","68","200","68.19","74.05"
"1997","17-34","maennlich","55.28","45","52","47.38","63.18"
"1997","17-34","weiblich","60.78","55","46","52.5","69.06"
"1997","35-65","maennlich","52.76","47.5","436","50.65","54.87"
"1997","35-65","weiblich","57.16","48","334","54.89","59.43"
"1997","66 +","maennlich","64.55","55","227","61.67","67.43"
"1997","66 +","weiblich","68.51","65","190","65.54","71.48"
"1998","17-34","maennlich","49.38","45","59","42.02","56.74"
"1998","17-34","weiblich","59.91","45","48","52.01","67.81"
"1998","35-65","maennlich","53.11","47.5","496","51.11","55.11"
"1998","35-65","weiblich","57.47","45","386","55.22","59.72"
"1998","66 +","maennlich","66.96","55","272","64.44","69.48"
"1998","66 +","weiblich","71.32","65","235","68.48","74.16"
"1999","17-34","maennlich","48.64","45","53","40.51","56.77"
"1999","17-34","weiblich","55.03","45","51","47.35","62.71"
"1999","35-65","maennlich","53.06","49","475","51.05","55.07"
"1999","35-65","weiblich","57.23","47.5","398","54.99","59.47"
"1999","66 +","maennlich","64.66","57.5","271","62.03","67.29"
"1999","66 +","weiblich","70.72","65","226","67.8","73.64"
"2000","17-34","maennlich","53.34","45","86","46.99","59.69"
"2000","17-34","weiblich","59.29","45","63","52.05","66.53"
"2000","35-65","maennlich","54.34","47.5","869","52.81","55.87"
"2000","35-65","weiblich","55.9","47.5","692","54.22","57.58"
"2000","66 +","maennlich","65.35","57.5","472","63.35","67.35"
"2000","66 +","weiblich","70.17","67.5","383","67.93","72.41"
"2001","17-34","maennlich","53.78","45","74","46.48","61.08"
"2001","17-34","weiblich","68.29","65","53","60.87","75.71"
"2001","35-65","maennlich","54.95","47.5","774","53.27","56.63"
"2001","35-65","weiblich","56.13","45","645","54.38","57.88"
"2001","66 +","maennlich","65.13","59.5","433","63","67.26"
"2001","66 +","weiblich","71.11","68","344","68.78","73.44"
"2002","17-34","maennlich","64.87","65","64","57.02","72.72"
"2002","17-34","weiblich","62.77","65","63","55.42","70.12"
"2002","35-65","maennlich","54.39","45","825","52.77","56.01"
"2002","35-65","weiblich","55.94","47.5","680","54.21","57.67"
"2002","66 +","maennlich","64.88","57.5","484","62.88","66.88"
"2002","66 +","weiblich","70.49","67.5","381","68.22","72.76"
"2003","17-34","maennlich","61.32","55","73","54.01","68.63"
"2003","17-34","weiblich","66.42","75","49","58.13","74.71"
"2003","35-65","maennlich","54.73","47.5","779","53.11","56.35"
"2003","35-65","weiblich","55.79","47.5","658","54.04","57.54"
"2003","66 +","maennlich","64.98","57.5","484","62.96","67"
"2003","66 +","weiblich","70.79","68","398","68.57","73.01"
"2004","17-34","maennlich","63.4","55","71","56.46","70.34"
"2004","17-34","weiblich","64.67","65","55","56.71","72.63"
"2004","35-65","maennlich","54.45","49","761","52.8","56.1"
"2004","35-65","weiblich","55.22","47.5","661","53.44","57"
"2004","66 +","maennlich","63.23","59.5","503","61.26","65.2"
"2004","66 +","weiblich","69.38","68","412","67.21","71.55"
"2005","17-34","maennlich","57.77","45","64","50.69","64.85"
"2005","17-34","weiblich","66.78","55","44","58.12","75.44"
"2005","35-65","maennlich","54.79","49.5","743","53.13","56.45"
"2005","35-65","weiblich","55.5","47.5","632","53.66","57.34"
"2005","66 +","maennlich","63.72","55","514","61.83","65.61"
"2005","66 +","weiblich","69.7","68","415","67.56","71.84"
"2006","17-34","maennlich","59.47","45","54","51.27","67.67"
"2006","17-34","weiblich","58.5","45","47","50.82","66.18"
"2006","35-65","maennlich","53.8","49","774","52.19","55.41"
"2006","35-65","weiblich","56.45","49","679","54.64","58.26"
"2006","66 +","maennlich","64.54","55","613","62.75","66.33"
"2006","66 +","weiblich","67.88","67.5","497","65.93","69.83"
"2007","17-34","maennlich","57.46","45","52","48.67","66.25"
"2007","17-34","weiblich","59.18","45","42","50.97","67.39"
"2007","35-65","maennlich","54.34","47.5","709","52.66","56.02"
"2007","35-65","weiblich","56.41","45","644","54.62","58.2"
"2007","66 +","maennlich","64.81","57.5","590","62.97","66.65"
"2007","66 +","weiblich","68.67","65","478","66.64","70.7"
"2008","17-34","maennlich","62.57","55","47","53.52","71.62"
"2008","17-34","weiblich","55.3","45","32","46.15","64.45"
"2008","35-65","maennlich","54.52","47.5","665","52.74","56.3"
"2008","35-65","weiblich","55.93","47.5","603","54.03","57.83"
"2008","66 +","maennlich","64.75","57.5","566","62.86","66.64"
"2008","66 +","weiblich","67.06","67.5","457","65","69.12"
"2009","17-34","maennlich","62.74","55","46","53.65","71.83"
"2009","17-34","weiblich","","","","",""
"2009","35-65","maennlich","52.68","48","634","50.89","54.47"
"2009","35-65","weiblich","55.71","47.5","581","53.8","57.62"
"2009","66 +","maennlich","63.25","57.5","550","61.37","65.13"
"2009","66 +","weiblich","66.71","55","434","64.58","68.84"
"2010","17-34","maennlich","67","55","65","60.11","73.89"
"2010","17-34","weiblich","61.31","45","52","54.07","68.55"
"2010","35-65","maennlich","52.64","46.5","680","50.91","54.37"
"2010","35-65","weiblich","55.7","47.5","641","53.87","57.53"
"2010","66 +","maennlich","62.79","57.5","529","60.87","64.71"
"2010","66 +","weiblich","65.67","55","407","63.45","67.89"
"2011","17-34","maennlich","55.69","45","73","49.75","61.63"
"2011","17-34","weiblich","61.47","45","61","54.14","68.8"
"2011","35-65","maennlich","51.99","49","881","50.48","53.5"
"2011","35-65","weiblich","55.74","49","869","54.2","57.28"
"2011","66 +","maennlich","63.41","57.5","629","61.68","65.14"
"2011","66 +","weiblich","65.28","55","537","63.37","67.19"
"2012","17-34","maennlich","59.24","45","74","53.21","65.27"
"2012","17-34","weiblich","67.32","65","57","60.44","74.2"
"2012","35-65","maennlich","51.41","47.5","940","49.92","52.9"
"2012","35-65","weiblich","53.04","47.5","921","51.6","54.48"
"2012","66 +","maennlich","61.92","58","660","60.2","63.64"
"2012","66 +","weiblich","64.56","55","553","62.69","66.43"
"2013","17-34","maennlich","64.77","55","82","59.17","70.37"
"2013","17-34","weiblich","61.97","55","71","55.77","68.17"
"2013","35-65","maennlich","54","49.5","995","52.55","55.45"
"2013","35-65","weiblich","53.62","47.5","951","52.21","55.03"
"2013","66 +","maennlich","63.56","59.5","609","61.8","65.32"
"2013","66 +","weiblich","66.54","55","509","64.55","68.53"
"2014","17-34","maennlich","67.99","55","82","62.2","73.78"
"2014","17-34","weiblich","58.84","45","72","52.65","65.03"
"2014","35-65","maennlich","53.65","49.5","886","52.11","55.19"
"2014","35-65","weiblich","53.34","47.5","908","51.93","54.75"
"2014","66 +","maennlich","63.88","55","644","62.13","65.63"
"2014","66 +","weiblich","64.9","57.5","539","62.97","66.83"
"2015","17-34","maennlich","64.14","55","60","57.27","71.01"
"2015","17-34","weiblich","69.15","75","73","63.09","75.21"
"2015","35-65","maennlich","53.73","49.5","791","52.1","55.36"
"2015","35-65","weiblich","52.82","45","837","51.32","54.32"
"2015","66 +","maennlich","62.96","55","599","61.18","64.74"
"2015","66 +","weiblich","62.92","57.5","517","60.96","64.88"
"2016","17-34","maennlich","65.73","57.5","60","59.23","72.23"
"2016","17-34","weiblich","71.04","75","58","63.64","78.44"
"2016","35-65","maennlich","53.34","49.5","728","51.62","55.06"
"2016","35-65","weiblich","54.36","47.5","753","52.76","55.96"
"2016","66 +","maennlich","63.45","55","585","61.64","65.26"
"2016","66 +","weiblich","63.97","55","512","62","65.94"
"2017","17-34","maennlich","58.33","55","77","53.03","63.63"
"2017","17-34","weiblich","65.11","65","64","58.59","71.63"
"2017","35-65","maennlich","54.03","47.5","824","52.46","55.6"
"2017","35-65","weiblich","54.31","47.5","915","52.86","55.76"
"2017","66 +","maennlich","63.87","57.5","603","62.08","65.66"
"2017","66 +","weiblich","64.56","55","504","62.57","66.55"
"2018","17-34","maennlich","60.7","55","75","55.73","65.67"
"2018","17-34","weiblich","62.87","65","66","56.75","68.99"
"2018","35-65","maennlich","53.64","49","828","52.07","55.21"
"2018","35-65","weiblich","54.46","47.5","891","52.99","55.93"
"2018","66 +","maennlich","62","55","626","60.28","63.72"
"2018","66 +","weiblich","63.17","57.5","563","61.32","65.02"
"2019","17-34","maennlich","58.98","55","83","53.87","64.09"
"2019","17-34","weiblich","65.42","75","57","58.96","71.88"
"2019","35-65","maennlich","53.46","49","803","51.86","55.06"
"2019","35-65","weiblich","53.27","47.5","865","51.83","54.71"
"2019","66 +","maennlich","61.99","55","641","60.24","63.74"
"2019","66 +","weiblich","63.63","55","530","61.74","65.52"
"2020","17-34","maennlich","61.79","55","98","57.22","66.36"
"2020","17-34","weiblich","63.89","55","66","57.95","69.83"
"2020","35-65","maennlich","55.41","45","738","53.69","57.13"
"2020","35-65","weiblich","56.06","47.5","835","54.53","57.59"
"2020","66 +","maennlich","61.57","55","609","59.81","63.33"
"2020","66 +","weiblich","63.44","55","537","61.51","65.37"
