"year","alter_gr","mean","median","n","lower_confidence","upper_confidence"
"1984","16-34 Jahre alt","57.9","57.9","4918","57.9","57.9"
"1984","35-65 Jahre alt","57.9","57.9","6343","57.9","57.9"
"1984","66 und älter","57.9","57.9","1280","57.9","57.9"
"1985","16-34 Jahre alt","59.3","59.3","4462","59.3","59.3"
"1985","35-65 Jahre alt","59.3","59.3","5786","59.3","59.3"
"1985","66 und älter","59.3","59.3","1118","59.3","59.3"
"1986","16-34 Jahre alt","60.6","60.6","4346","60.6","60.6"
"1986","35-65 Jahre alt","60.6","60.6","5498","60.6","60.6"
"1986","66 und älter","60.6","60.6","1047","60.6","60.6"
"1987","16-34 Jahre alt","60.5","60.5","4279","60.5","60.5"
"1987","35-65 Jahre alt","60.5","60.5","5384","60.5","60.5"
"1987","66 und älter","60.5","60.5","1085","60.5","60.5"
"1988","16-34 Jahre alt","60.6","60.6","4058","60.6","60.6"
"1988","35-65 Jahre alt","60.6","60.6","5113","60.6","60.6"
"1988","66 und älter","60.6","60.6","1055","60.6","60.6"
"1989","16-34 Jahre alt","61.4","61.4","3955","61.4","61.4"
"1989","35-65 Jahre alt","61.4","61.4","4907","61.4","61.4"
"1989","66 und älter","61.4","61.4","1029","61.4","61.4"
"1990","16-34 Jahre alt","63.1","63.1","3824","63.1","63.1"
"1990","35-65 Jahre alt","63.1","63.1","4798","63.1","63.1"
"1990","66 und älter","63.1","63.1","1061","63.1","63.1"
"1991","16-34 Jahre alt","64.8","64.8","3820","64.8","64.8"
"1991","35-65 Jahre alt","64.8","64.8","4774","64.8","64.8"
"1991","66 und älter","64.8","64.8","1076","64.8","64.8"
"1992","16-34 Jahre alt","65.12","67.2","5245","65","65.24"
"1992","35-65 Jahre alt","65.09","67.2","6911","64.98","65.2"
"1992","66 und älter","65.37","67.2","1480","65.14","65.6"
"1993","16-34 Jahre alt","68.75","69.8","5124","68.69","68.81"
"1993","35-65 Jahre alt","68.75","69.8","6758","68.69","68.81"
"1993","66 und älter","68.88","69.8","1500","68.76","69"
"1994","16-34 Jahre alt","72.14","72.3","5046","72.13","72.15"
"1994","35-65 Jahre alt","72.14","72.3","6605","72.13","72.15"
"1994","66 und älter","72.15","72.3","1521","72.13","72.17"
"1995","16-34 Jahre alt","74.26","74.3","5208","74.26","74.26"
"1995","35-65 Jahre alt","74.26","74.3","6854","74.26","74.26"
"1995","66 und älter","74.26","74.3","1554","74.26","74.26"
"1996","16-34 Jahre alt","75.5","75.5","5046","75.5","75.5"
"1996","35-65 Jahre alt","75.5","75.5","6765","75.5","75.5"
"1996","66 und älter","75.5","75.5","1579","75.5","75.5"
"1997","16-34 Jahre alt","76.58","76.5","4885","76.58","76.58"
"1997","35-65 Jahre alt","76.58","76.5","6666","76.58","76.58"
"1997","66 und älter","76.57","76.5","1613","76.56","76.58"
"1998","16-34 Jahre alt","78.06","77.9","5137","78.05","78.07"
"1998","35-65 Jahre alt","78.05","77.9","7551","78.04","78.06"
"1998","66 und älter","78.05","77.9","1891","78.03","78.07"
"1999","16-34 Jahre alt","78.77","78.6","4867","78.76","78.78"
"1999","35-65 Jahre alt","78.77","78.6","7316","78.76","78.78"
"1999","66 und älter","78.77","78.6","1835","78.75","78.79"
"2000","16-34 Jahre alt","79.23","79.1","7556","79.22","79.24"
"2000","35-65 Jahre alt","79.23","79.1","13479","79.22","79.24"
"2000","66 und älter","79.24","79.1","3640","79.23","79.25"
"2001","16-34 Jahre alt","79.9","79.9","6717","79.9","79.9"
"2001","35-65 Jahre alt","79.9","79.9","12318","79.9","79.9"
"2001","66 und älter","79.9","79.9","3445","79.9","79.9"
"2002","16-34 Jahre alt","81.5","81.5","6599","81.5","81.5"
"2002","35-65 Jahre alt","81.5","81.5","13330","81.5","81.5"
"2002","66 und älter","81.5","81.5","3641","81.5","81.5"
"2003","16-34 Jahre alt","82.6","82.6","6309","82.6","82.6"
"2003","35-65 Jahre alt","82.6","82.6","12707","82.6","82.6"
"2003","66 und älter","82.6","82.6","3704","82.6","82.6"
"2004","16-34 Jahre alt","83.5","83.5","6072","83.5","83.5"
"2004","35-65 Jahre alt","83.5","83.5","12270","83.5","83.5"
"2004","66 und älter","83.5","83.5","3817","83.5","83.5"
"2005","16-34 Jahre alt","84.9","84.9","5717","84.9","84.9"
"2005","35-65 Jahre alt","84.9","84.9","11649","84.9","84.9"
"2005","66 und älter","84.9","84.9","3819","84.9","84.9"
"2006","16-34 Jahre alt","86.2","86.2","5864","86.2","86.2"
"2006","35-65 Jahre alt","86.2","86.2","12439","86.2","86.2"
"2006","66 und älter","86.2","86.2","4492","86.2","86.2"
"2007","16-34 Jahre alt","87.6","87.6","5389","87.6","87.6"
"2007","35-65 Jahre alt","87.6","87.6","11489","87.6","87.6"
"2007","66 und älter","87.6","87.6","4405","87.6","87.6"
"2008","16-34 Jahre alt","89.6","89.6","4933","89.6","89.6"
"2008","35-65 Jahre alt","89.6","89.6","10694","89.6","89.6"
"2008","66 und älter","89.6","89.6","4360","89.6","89.6"
"2009","16-34 Jahre alt","91.9","91.9","4484","91.9","91.9"
"2009","35-65 Jahre alt","91.9","91.9","9901","91.9","91.9"
"2009","66 und älter","91.9","91.9","4219","91.9","91.9"
"2010","16-34 Jahre alt","92.2","92.2","7422","92.2","92.2"
"2010","35-65 Jahre alt","92.2","92.2","13406","92.2","92.2"
"2010","66 und älter","92.2","92.2","4076","92.2","92.2"
"2011","16-34 Jahre alt","93.2","93.2","7982","93.2","93.2"
"2011","35-65 Jahre alt","93.2","93.2","16455","93.2","93.2"
"2011","66 und älter","93.2","93.2","5212","93.2","93.2"
"2012","16-34 Jahre alt","95.2","95.2","7580","95.2","95.2"
"2012","35-65 Jahre alt","95.2","95.2","16121","95.2","95.2"
"2012","66 und älter","95.2","95.2","5262","95.2","95.2"
"2013","16-34 Jahre alt","97.1","97.1","9252","97.1","97.1"
"2013","35-65 Jahre alt","97.1","97.1","17766","97.1","97.1"
"2013","66 und älter","97.1","97.1","5110","97.1","97.1"
"2014","16-34 Jahre alt","98.5","98.5","7854","98.5","98.5"
"2014","35-65 Jahre alt","98.5","98.5","15615","98.5","98.5"
"2014","66 und älter","98.5","98.5","5010","98.5","98.5"
"2015","16-34 Jahre alt","99.5","99.5","7981","99.5","99.5"
"2015","35-65 Jahre alt","99.5","99.5","15262","99.5","99.5"
"2015","66 und älter","99.5","99.5","4969","99.5","99.5"
"2016","16-34 Jahre alt","100","100","9818","100","100"
"2016","35-65 Jahre alt","100","100","15821","100","100"
"2016","66 und älter","100","100","4809","100","100"
"2017","16-34 Jahre alt","100.5","100.5","11127","100.5","100.5"
"2017","35-65 Jahre alt","100.5","100.5","17697","100.5","100.5"
"2017","66 und älter","100.5","100.5","5086","100.5","100.5"
"2018","16-34 Jahre alt","102","102","9855","102","102"
"2018","35-65 Jahre alt","102","102","16636","102","102"
"2018","66 und älter","102","102","5098","102","102"
"2019","16-34 Jahre alt","103.8","103.8","8966","103.8","103.8"
"2019","35-65 Jahre alt","103.8","103.8","17086","103.8","103.8"
"2019","66 und älter","103.8","103.8","5287","103.8","103.8"
