"hlc0083_h","year","quintil","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","1995","1","Staedtischer Raum","697","0.187598917151635","0.175385739596944","0.199812094706325"
"Ja","1995","1","Laendlicher Raum","519","0.186368466166527","0.171328059607778","0.201408872725276"
"Ja","1995","2","Staedtischer Raum","48","0.0137429185220525","0.00956082994665289","0.017925007097452"
"Ja","1995","2","Laendlicher Raum","","","",""
"Ja","1995","3","Staedtischer Raum","","","",""
"Ja","1995","3","Laendlicher Raum","","","",""
"Ja","1995","4","Staedtischer Raum","","","",""
"Ja","1995","4","Laendlicher Raum","","","",""
"Ja","1995","5","Staedtischer Raum","","","",""
"Ja","1995","5","Laendlicher Raum","","","",""
"Nein","1995","1","Staedtischer Raum","3228","0.812401082848365","0.800187905293675","0.824614260403056"
"Nein","1995","1","Laendlicher Raum","2056","0.813631533833473","0.798591127274724","0.828671940392222"
"Nein","1995","2","Staedtischer Raum","2929","0.986257081477948","0.982074992902548","0.990439170053347"
"Nein","1995","2","Laendlicher Raum","1602","0.975695225811583","0.968217140177951","0.983173311445214"
"Nein","1995","3","Staedtischer Raum","1894","0.997750455576321","0.995619088556517","0.999881822596125"
"Nein","1995","3","Laendlicher Raum","901","0.995906104615353","0.991755190794195","1.00005701843651"
"Nein","1995","4","Staedtischer Raum","1227","0.999727299301703","0.998804559113209","1.0006500394902"
"Nein","1995","4","Laendlicher Raum","450","0.996475749799785","0.991012568574099","1.00193893102547"
"Nein","1995","5","Staedtischer Raum","660","1","1","1"
"Nein","1995","5","Laendlicher Raum","154","0.994675742849069","0.983292433461771","1.00605905223637"
"Ja","1996","1","Staedtischer Raum","598","0.155873081034084","0.14398093450058","0.167765227567587"
"Ja","1996","1","Laendlicher Raum","401","0.173843270164558","0.158270439742162","0.189416100586955"
"Ja","1996","2","Staedtischer Raum","52","0.0217259967578563","0.0163689298918679","0.0270830636238447"
"Ja","1996","2","Laendlicher Raum","30","0.0124314211565325","0.00712837287087481","0.0177344694421901"
