,Unnamed: 0,year,regtyp,sampreg,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1995,Urban regions,West,Yes,0.05249,207,6292,0.0463,0.05846
1,1,1995,Urban regions,West,No,0.94751,3404,6292,0.92401,0.97227
2,2,1995,Urban regions,East,Yes,0.11017,57,6292,0.09592,0.12642
3,3,1995,Urban regions,East,No,0.88983,531,6292,0.84236,0.93522
4,4,1995,Rural regions,West,Yes,0.0551,53,6292,0.04442,0.06711
5,5,1995,Rural regions,West,No,0.9449,921,6292,0.90297,0.98959
6,6,1995,Rural regions,East,Yes,0.12376,131,6292,0.10969,0.13554
7,7,1995,Rural regions,East,No,0.87624,988,6292,0.84546,0.90994
8,8,1996,Urban regions,West,Yes,0.04404,182,6206,0.03773,0.04907
9,9,1996,Urban regions,West,No,0.95596,3350,6206,0.93289,0.98046
10,10,1996,Urban regions,East,Yes,0.09804,53,6206,0.08337,0.11485
11,11,1996,Urban regions,East,No,0.90196,548,6206,0.86481,0.93911
12,12,1996,Rural regions,West,Yes,0.0484,46,6206,0.03758,0.06165
13,13,1996,Rural regions,West,No,0.9516,909,6206,0.90528,0.99039
14,14,1996,Rural regions,East,Yes,0.1002,105,6206,0.08813,0.11146
15,15,1996,Rural regions,East,No,0.8998,1013,6206,0.86741,0.93475
16,16,1997,Urban regions,West,Yes,0.04281,184,6107,0.03619,0.0491
17,17,1997,Urban regions,West,No,0.95719,3306,6107,0.93486,0.98088
18,18,1997,Urban regions,East,Yes,0.08029,37,6107,0.06788,0.09263
19,19,1997,Urban regions,East,No,0.91971,543,6107,0.88152,0.9743
20,20,1997,Rural regions,West,Yes,0.05036,44,6107,0.03809,0.06059
21,21,1997,Rural regions,West,No,0.94964,895,6107,0.90497,0.98738
22,22,1997,Rural regions,East,Yes,0.07286,68,6107,0.06168,0.08456
23,23,1997,Rural regions,East,No,0.92714,1030,6107,0.89583,0.95962
24,24,1998,Urban regions,West,Yes,0.04721,202,7101,0.0422,0.05206
25,25,1998,Urban regions,West,No,0.95279,3888,7101,0.9301,0.96833
26,26,1998,Urban regions,East,Yes,0.09011,48,7101,0.07722,0.10284
27,27,1998,Urban regions,East,No,0.90989,572,7101,0.8644,0.95734
28,28,1998,Rural regions,West,Yes,0.04586,56,7101,0.03576,0.05365
29,29,1998,Rural regions,West,No,0.95414,1097,7101,0.91582,0.99518
30,30,1998,Rural regions,East,Yes,0.09665,107,7101,0.08522,0.10964
31,31,1998,Rural regions,East,No,0.90335,1131,7101,0.872,0.93849
32,32,1999,Urban regions,West,Yes,0.03778,170,7143,0.03359,0.04304
33,33,1999,Urban regions,West,No,0.96222,3896,7143,0.93938,0.98155
34,34,1999,Urban regions,East,Yes,0.06586,38,7143,0.05499,0.07633
35,35,1999,Urban regions,East,No,0.93414,605,7143,0.88984,0.99366
36,36,1999,Rural regions,West,Yes,0.04426,58,7143,0.03521,0.0529
37,37,1999,Rural regions,West,No,0.95574,1089,7143,0.91604,0.99481
38,38,1999,Rural regions,East,Yes,0.0969,117,7143,0.08417,0.11066
39,39,1999,Rural regions,East,No,0.9031,1170,7143,0.86935,0.93853
40,40,2000,Urban regions,West,Yes,0.03469,271,12950,0.03231,0.03695
41,41,2000,Urban regions,West,No,0.96531,7302,12950,0.95136,0.97887
42,42,2000,Urban regions,East,Yes,0.07793,74,12950,0.06817,0.08774
43,43,2000,Urban regions,East,No,0.92207,933,12950,0.89134,0.95361
44,44,2000,Rural regions,West,Yes,0.02909,73,12950,0.02505,0.03319
45,45,2000,Rural regions,West,No,0.97091,2230,12950,0.94884,0.99207
46,46,2000,Rural regions,East,Yes,0.07396,150,12950,0.06862,0.0829
