year,bula_h,rentown,hlc0083_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1995,Schleswig-Holstein,Owner,No,0.87187,61,61,0.78730,0.95645
1995,Schleswig-Holstein,Tenant,No,0.80044,63,63,0.70095,0.89993
1995,Hamburg,Tenant,No,0.87952,61,61,0.79715,0.96189
1995,Lower Saxony,Owner,No,0.91899,219,219,0.88277,0.95521
1995,Lower Saxony,Tenant,Yes,0.13439,34,283,0.09459,0.17420
1995,Lower Saxony,Tenant,No,0.82345,249,283,0.77895,0.86796
1995,Bremen,Tenant,No,0.83910,34,34,0.71374,0.96447
1995,North Rhine-Westphalia,Owner,No,0.91659,403,403,0.88957,0.94362
1995,North Rhine-Westphalia,Tenant,Yes,0.07173,69,817,0.05402,0.08943
1995,North Rhine-Westphalia,Tenant,No,0.87369,748,817,0.85090,0.89649
1995,Hesse,Owner,No,0.95125,148,148,0.91643,0.98606
1995,Hesse,Tenant,No,0.88062,284,284,0.84285,0.91840
1995,"Rhineland-Palatinate, Saarland",Owner,No,0.96078,156,156,0.93022,0.99134
1995,"Rhineland-Palatinate, Saarland",Tenant,No,0.85329,158,158,0.79794,0.90863
1995,Baden-Wuerttemberg,Owner,No,0.91297,318,318,0.88194,0.94400
1995,Baden-Wuerttemberg,Tenant,Yes,0.09099,44,500,0.06575,0.11622
1995,Baden-Wuerttemberg,Tenant,No,0.84568,456,500,0.81398,0.87738
1995,Bavaria,Owner,No,0.90947,325,325,0.87823,0.94072
1995,Bavaria,Tenant,No,0.90998,461,461,0.88382,0.93613
1995,Berlin,Tenant,No,0.84974,248,248,0.80518,0.89431
1995,Brandenburg,Owner,No,0.86823,89,89,0.79756,0.93890
1995,Brandenburg,Tenant,No,0.79427,145,145,0.72824,0.86029
1995,Mecklenburg-Western Pomerania,Owner,No,0.85496,49,49,0.75534,0.95458
1995,Mecklenburg-Western Pomerania,Tenant,No,0.79546,120,120,0.72298,0.86793
1995,Saxony,Owner,No,0.84888,113,113,0.78255,0.91521
1995,Saxony,Tenant,Yes,0.13067,42,380,0.09674,0.16460
1995,Saxony,Tenant,No,0.83338,338,380,0.79586,0.87090
1995,Saxony-Anhalt,Owner,No,0.92784,102,102,0.87738,0.97830
1995,Saxony-Anhalt,Tenant,No,0.88303,192,192,0.83746,0.92861
1995,Thuringa,Owner,No,0.89852,118,118,0.84381,0.95324
1995,Thuringa,Tenant,Yes,0.17868,34,172,0.12126,0.23610
1995,Thuringa,Tenant,No,0.75437,138,172,0.68985,0.81889
1996,Schleswig-Holstein,Owner,No,0.90478,66,66,0.83342,0.97613
1996,Schleswig-Holstein,Tenant,No,0.82748,60,60,0.73107,0.92389
1996,Hamburg,Tenant,No,0.86500,58,58,0.77629,0.95372
1996,Lower Saxony,Owner,No,0.92369,215,215,0.88812,0.95926
1996,Lower Saxony,Tenant,No,0.82474,247,247,0.77723,0.87225
1996,Bremen,Tenant,No,0.91657,34,34,0.82222,1.01092
1996,North Rhine-Westphalia,Owner,No,0.91013,397,397,0.88196,0.93830
1996,North Rhine-Westphalia,Tenant,Yes,0.05516,57,828,0.03960,0.07072
1996,North Rhine-Westphalia,Tenant,No,0.89367,771,828,0.87266,0.91468
1996,Hesse,Owner,No,0.88247,138,138,0.82854,0.93640
1996,Hesse,Tenant,No,0.87305,267,267,0.83304,0.91306
1996,"Rhineland-Palatinate, Saarland",Owner,No,0.93423,159,159,0.89558,0.97288
1996,"Rhineland-Palatinate, Saarland",Tenant,No,0.84019,148,148,0.78096,0.89943
1996,Baden-Wuerttemberg,Owner,No,0.89268,316,316,0.85850,0.92686
1996,Baden-Wuerttemberg,Tenant,Yes,0.07358,39,481,0.05022,0.09693
1996,Baden-Wuerttemberg,Tenant,No,0.86827,442,481,0.83802,0.89853
1996,Bavaria,Owner,No,0.88965,322,322,0.85537,0.92393
1996,Bavaria,Tenant,No,0.86452,444,444,0.83265,0.89639
1996,Berlin,Tenant,No,0.85354,243,243,0.80900,0.89809
1996,Brandenburg,Owner,No,0.89473,99,99,0.83396,0.95549
1996,Brandenburg,Tenant,No,0.84699,162,162,0.79138,0.90260
1996,Mecklenburg-Western Pomerania,Owner,No,0.87151,49,49,0.77685,0.96618
1996,Mecklenburg-Western Pomerania,Tenant,No,0.79027,116,116,0.71586,0.86468
1996,Saxony,Owner,No,0.89587,138,138,0.84473,0.94702
1996,Saxony,Tenant,Yes,0.10041,32,364,0.06949,0.13133
1996,Saxony,Tenant,No,0.83451,332,364,0.79628,0.87274
1996,Saxony-Anhalt,Owner,No,0.89614,98,98,0.83542,0.95685
1996,Saxony-Anhalt,Tenant,No,0.84094,176,176,0.78675,0.89513
1996,Thuringa,Owner,No,0.90960,127,127,0.85953,0.95967
1996,Thuringa,Tenant,No,0.74286,145,145,0.67148,0.81425
1997,Schleswig-Holstein,Owner,No,0.86307,62,62,0.77680,0.94934
1997,Schleswig-Holstein,Tenant,No,0.92034,60,60,0.85125,0.98943
1997,Hamburg,Tenant,No,0.77923,52,52,0.66540,0.89307
1997,Lower Saxony,Owner,No,0.85915,217,217,0.81276,0.90554
1997,Lower Saxony,Tenant,Yes,0.12435,31,265,0.08455,0.16416
1997,Lower Saxony,Tenant,No,0.77156,234,265,0.72092,0.82220
1997,Bremen,Tenant,No,0.87312,33,33,0.75780,0.98844
1997,North Rhine-Westphalia,Owner,No,0.95213,425,425,0.93181,0.97245
1997,North Rhine-Westphalia,Tenant,Yes,0.06938,71,792,0.05167,0.08708
1997,North Rhine-Westphalia,Tenant,No,0.86512,721,792,0.84131,0.88892
1997,Hesse,Owner,No,0.94379,144,144,0.90604,0.98154
1997,Hesse,Tenant,No,0.88424,254,254,0.84482,0.92367
1997,"Rhineland-Palatinate, Saarland",Owner,No,0.92401,160,160,0.88282,0.96520
1997,"Rhineland-Palatinate, Saarland",Tenant,No,0.83625,160,160,0.77874,0.89377
1997,Baden-Wuerttemberg,Owner,No,0.88260,306,306,0.84648,0.91873
1997,Baden-Wuerttemberg,Tenant,Yes,0.04830,32,480,0.02910,0.06750
1997,Baden-Wuerttemberg,Tenant,No,0.88683,448,480,0.85846,0.91520
1997,Bavaria,Owner,No,0.90814,344,344,0.87757,0.93870
1997,Bavaria,Tenant,No,0.87801,414,414,0.84645,0.90958
1997,Berlin,Tenant,No,0.87511,233,233,0.83257,0.91765
1997,Brandenburg,Owner,No,0.82528,93,93,0.74769,0.90288
1997,Brandenburg,Tenant,No,0.86943,170,170,0.81863,0.92022
1997,Mecklenburg-Western Pomerania,Owner,No,0.95084,59,59,0.89520,1.00648
1997,Mecklenburg-Western Pomerania,Tenant,No,0.82668,110,110,0.75561,0.89774
1997,Saxony,Owner,No,0.80663,128,128,0.73794,0.87532
1997,Saxony,Tenant,No,0.86843,331,331,0.83195,0.90490
1997,Saxony-Anhalt,Owner,No,0.89817,111,111,0.84166,0.95469
1997,Saxony-Anhalt,Tenant,No,0.86732,172,172,0.81648,0.91817
1997,Thuringa,Owner,No,0.92318,126,126,0.87649,0.96986
1997,Thuringa,Tenant,No,0.80355,154,154,0.74060,0.86651
1998,Schleswig-Holstein,Owner,No,0.92698,92,92,0.87353,0.98044
1998,Schleswig-Holstein,Tenant,No,0.84505,74,74,0.76204,0.92806
1998,Hamburg,Tenant,No,0.89619,75,75,0.82670,0.96569
1998,Lower Saxony,Owner,No,0.95197,279,279,0.92683,0.97710
1998,Lower Saxony,Tenant,Yes,0.11574,39,309,0.08001,0.15147
1998,Lower Saxony,Tenant,No,0.82492,270,309,0.78248,0.86736
1998,Bremen,Tenant,No,0.97444,40,40,0.92491,1.02397
1998,North Rhine-Westphalia,Owner,No,0.94129,503,503,0.92072,0.96185
1998,North Rhine-Westphalia,Tenant,Yes,0.07087,69,930,0.05437,0.08737
1998,North Rhine-Westphalia,Tenant,No,0.88731,861,930,0.86697,0.90764
1998,Hesse,Owner,No,0.91776,175,175,0.87694,0.95858
1998,Hesse,Tenant,No,0.89459,276,276,0.85829,0.93088
1998,"Rhineland-Palatinate, Saarland",Owner,No,0.95862,193,193,0.93045,0.98679
1998,"Rhineland-Palatinate, Saarland",Tenant,No,0.88963,190,190,0.84496,0.93430
1998,Baden-Wuerttemberg,Owner,No,0.95430,371,371,0.93302,0.97558
1998,Baden-Wuerttemberg,Tenant,Yes,0.08293,52,520,0.05920,0.10666
1998,Baden-Wuerttemberg,Tenant,No,0.87416,468,520,0.84562,0.90269
1998,Bavaria,Owner,No,0.94812,444,444,0.92746,0.96877
1998,Bavaria,Tenant,No,0.90720,474,474,0.88105,0.93335
1998,Berlin,Tenant,No,0.90154,265,265,0.86560,0.93748
1998,Brandenburg,Owner,No,0.90064,109,109,0.84422,0.95706
1998,Brandenburg,Tenant,No,0.85164,173,173,0.79851,0.90476
1998,Mecklenburg-Western Pomerania,Owner,No,0.88409,69,69,0.80800,0.96017
1998,Mecklenburg-Western Pomerania,Tenant,No,0.74415,103,103,0.65947,0.82883
1998,Saxony,Owner,No,0.87603,157,157,0.82432,0.92774
1998,Saxony,Tenant,Yes,0.09627,35,389,0.06692,0.12563
1998,Saxony,Tenant,No,0.86086,354,389,0.82643,0.89530
1998,Saxony-Anhalt,Owner,No,0.91968,116,116,0.87000,0.96935
1998,Saxony-Anhalt,Tenant,No,0.83523,194,194,0.78290,0.88757
1998,Thuringa,Owner,No,0.92772,158,158,0.88721,0.96822
1998,Thuringa,Tenant,No,0.76502,147,147,0.69624,0.83379
1999,Schleswig-Holstein,Owner,No,0.99298,93,93,0.97592,1.01004
1999,Schleswig-Holstein,Tenant,No,0.86667,73,73,0.78815,0.94519
1999,Hamburg,Tenant,No,0.89655,65,65,0.82194,0.97116
1999,Lower Saxony,Owner,No,0.98653,287,287,0.97317,0.99989
1999,Lower Saxony,Tenant,No,0.91376,281,281,0.88088,0.94664
1999,Bremen,Tenant,No,0.95974,37,37,0.89553,1.02395
1999,North Rhine-Westphalia,Owner,No,0.98955,510,510,0.98072,0.99839
1999,North Rhine-Westphalia,Tenant,Yes,0.04709,49,903,0.03327,0.06092
1999,North Rhine-Westphalia,Tenant,No,0.95291,854,903,0.93908,0.96673
1999,Hesse,Tenant,No,0.95121,264,264,0.92518,0.97725
1999,"Rhineland-Palatinate, Saarland",Tenant,No,0.90346,185,185,0.86079,0.94614
1999,Baden-Wuerttemberg,Owner,No,0.99661,364,364,0.99064,1.00259
1999,Baden-Wuerttemberg,Tenant,Yes,0.08107,48,517,0.05752,0.10463
1999,Baden-Wuerttemberg,Tenant,No,0.91893,469,517,0.89537,0.94248
1999,Bavaria,Owner,No,0.99023,460,460,0.98124,0.99923
1999,Bavaria,Tenant,No,0.94440,450,450,0.92321,0.96560
1999,Berlin,Tenant,No,0.97131,268,268,0.95129,0.99134
1999,Brandenburg,Owner,No,0.97849,119,119,0.95232,1.00467
1999,Brandenburg,Tenant,No,0.84334,160,160,0.78685,0.89984
1999,Mecklenburg-Western Pomerania,Owner,No,0.97990,71,71,0.94702,1.01278
1999,Mecklenburg-Western Pomerania,Tenant,No,0.77210,106,106,0.69186,0.85234
1999,Saxony,Owner,No,0.97883,177,177,0.95756,1.00010
1999,Saxony,Tenant,No,0.92388,375,375,0.89701,0.95076
1999,Saxony-Anhalt,Owner,No,0.98452,126,126,0.96287,1.00616
1999,Saxony-Anhalt,Tenant,No,0.90238,199,199,0.86104,0.94372
1999,Thuringa,Owner,No,0.97164,162,162,0.94599,0.99728
1999,Thuringa,Tenant,No,0.85428,159,159,0.79927,0.90930
2000,Schleswig-Holstein,Owner,No,0.99286,226,226,0.98186,1.00386
2000,Schleswig-Holstein,Tenant,No,0.91386,160,160,0.87025,0.95747
2000,Hamburg,Tenant,No,0.93998,145,145,0.90118,0.97877
2000,Lower Saxony,Owner,No,0.99649,575,575,0.99165,1.00133
2000,Lower Saxony,Tenant,Yes,0.07415,43,505,0.05127,0.09702
2000,Lower Saxony,Tenant,No,0.92585,462,505,0.90298,0.94873
2000,Bremen,Tenant,No,0.86949,63,63,0.78564,0.95334
2000,North Rhine-Westphalia,Owner,No,0.99862,1161,1161,0.99649,1.00076
2000,North Rhine-Westphalia,Tenant,Yes,0.05630,98,1608,0.04503,0.06757
2000,North Rhine-Westphalia,Tenant,No,0.94370,1510,1608,0.93243,0.95497
2000,Hesse,Owner,No,0.99514,403,403,0.98834,1.00194
2000,Hesse,Tenant,Yes,0.05708,34,492,0.03656,0.07761
2000,Hesse,Tenant,No,0.94292,458,492,0.92239,0.96344
2000,"Rhineland-Palatinate, Saarland",Owner,No,0.99369,441,441,0.98628,1.00109
2000,"Rhineland-Palatinate, Saarland",Tenant,No,0.93281,313,313,0.90504,0.96059
