,Unnamed: 0,year,quintil_oecd_hh,rentown,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1995,1st Quintile,Owner,No,1.0,198,6220,0.91033,1.11641
1,1,1995,1st Quintile,Tenant,Yes,0.29866,315,6220,0.27466,0.32815
2,2,1995,1st Quintile,Tenant,No,0.70134,770,6220,0.6645,0.74238
3,3,1995,2nd Quintile,Owner,No,1.0,364,6220,0.92512,1.06705
4,4,1995,2nd Quintile,Tenant,Yes,0.06948,63,6220,0.05671,0.08319
5,5,1995,2nd Quintile,Tenant,No,0.93052,930,6220,0.8766,0.9762
6,6,1995,3rd Quintile,Owner,No,1.0,480,6220,0.93741,1.06094
7,7,1995,3rd Quintile,Tenant,No,1.0,821,6220,0.94182,1.05364
8,8,1995,4th Quintile,Owner,No,1.0,507,6220,0.94842,1.05767
9,9,1995,4th Quintile,Tenant,No,1.0,697,6220,0.94889,1.06042
10,10,1995,5th Quintile,Owner,No,1.0,599,6220,0.95568,1.0533
11,11,1995,5th Quintile,Tenant,No,1.0,476,6220,0.92806,1.05994
12,12,1996,1st Quintile,Owner,No,1.0,181,6140,0.89716,1.09839
13,13,1996,1st Quintile,Tenant,Yes,0.27121,281,6140,0.24539,0.29534
14,14,1996,1st Quintile,Tenant,No,0.72879,795,6140,0.68565,0.77267
15,15,1996,2nd Quintile,Owner,No,1.0,387,6140,0.92413,1.06639
16,16,1996,2nd Quintile,Tenant,Yes,0.0306,43,6140,0.02414,0.03911
17,17,1996,2nd Quintile,Tenant,No,0.9694,912,6140,0.923,1.02329
18,18,1996,3rd Quintile,Owner,No,1.0,482,6140,0.94279,1.06294
19,19,1996,3rd Quintile,Tenant,No,1.0,790,6140,0.9416,1.05807
20,20,1996,4th Quintile,Owner,No,1.0,549,6140,0.95176,1.0522
21,21,1996,4th Quintile,Tenant,No,1.0,667,6140,0.93779,1.05607
22,22,1996,5th Quintile,Owner,No,1.0,575,6140,0.95114,1.0584
23,23,1996,5th Quintile,Tenant,No,1.0,478,6140,0.93181,1.06779
24,24,1997,1st Quintile,Owner,No,1.0,197,6064,0.88926,1.0908
25,25,1997,1st Quintile,Tenant,Yes,0.23788,245,6064,0.21169,0.26146
26,26,1997,1st Quintile,Tenant,No,0.76212,769,6064,0.71637,0.80728
27,27,1997,2nd Quintile,Owner,No,1.0,391,6064,0.91362,1.05758
28,28,1997,2nd Quintile,Tenant,Yes,0.04816,45,6064,0.03776,0.05917
29,29,1997,2nd Quintile,Tenant,No,0.95184,891,6064,0.89768,1.00669
30,30,1997,3rd Quintile,Owner,No,1.0,476,6064,0.93461,1.05996
31,31,1997,3rd Quintile,Tenant,No,1.0,768,6064,0.94416,1.0547
32,32,1997,4th Quintile,Owner,No,1.0,551,6064,0.94784,1.05852
33,33,1997,4th Quintile,Tenant,No,1.0,676,6064,0.94599,1.05878
34,34,1997,5th Quintile,Owner,No,1.0,613,6064,0.95098,1.04954
35,35,1997,5th Quintile,Tenant,No,1.0,442,6064,0.93478,1.06623
36,36,1998,1st Quintile,Owner,No,1.0,206,7043,0.91926,1.0928
37,37,1998,1st Quintile,Tenant,Yes,0.25441,299,7043,0.23528,0.2731
38,38,1998,1st Quintile,Tenant,No,0.74559,907,7043,0.70885,0.78244
39,39,1998,2nd Quintile,Owner,No,1.0,471,7043,0.93742,1.06912
40,40,1998,2nd Quintile,Tenant,Yes,0.0512,60,7043,0.04222,0.06474
41,41,1998,2nd Quintile,Tenant,No,0.9488,976,7043,0.90483,0.99727
42,42,1998,3rd Quintile,Owner,No,1.0,582,7043,0.9397,1.05271
43,43,1998,3rd Quintile,Tenant,No,1.0,850,7043,0.94988,1.0455
44,44,1998,4th Quintile,Owner,No,1.0,676,7043,0.94616,1.04793
45,45,1998,4th Quintile,Tenant,No,1.0,746,7043,0.94057,1.04875
46,46,1998,5th Quintile,Owner,No,1.0,789,7043,0.96242,1.04222
47,47,1998,5th Quintile,Tenant,No,1.0,481,7043,0.94722,1.05319
48,48,1999,1st Quintile,Owner,No,1.0,244,7077,0.91752,1.08899
49,49,1999,1st Quintile,Tenant,Yes,0.22303,274,7077,0.203,0.24242
50,50,1999,1st Quintile,Tenant,No,0.77697,932,7077,0.74072,0.81962
51,51,1999,2nd Quintile,Owner,No,1.0,488,7077,0.93556,1.06708
52,52,1999,2nd Quintile,Tenant,Yes,0.03878,43,7077,0.0293,0.04968
53,53,1999,2nd Quintile,Tenant,No,0.96122,1004,7077,0.91124,1.0102
54,54,1999,3rd Quintile,Owner,No,1.0,640,7077,0.95069,1.06257
55,55,1999,3rd Quintile,Tenant,No,1.0,847,7077,0.95017,1.0651
56,56,1999,4th Quintile,Owner,No,1.0,687,7077,0.9467,1.04998
57,57,1999,4th Quintile,Tenant,No,1.0,686,7077,0.94468,1.05491
58,58,1999,5th Quintile,Owner,No,1.0,756,7077,0.95826,1.04517
59,59,1999,5th Quintile,Tenant,No,1.0,476,7077,0.94483,1.06223
60,60,2000,1st Quintile,Owner,No,1.0,497,12881,0.94875,1.04431
61,61,2000,1st Quintile,Tenant,Yes,0.19996,442,12881,0.1895,0.21058
62,62,2000,1st Quintile,Tenant,No,0.80004,1583,12881,0.7824,0.82075
63,63,2000,2nd Quintile,Owner,No,1.0,936,12881,0.96369,1.03182
64,64,2000,2nd Quintile,Tenant,Yes,0.03338,63,12881,0.02744,0.03983
65,65,2000,2nd Quintile,Tenant,No,0.96662,1710,12881,0.93844,0.99208
66,66,2000,3rd Quintile,Owner,No,1.0,1280,12881,0.97618,1.03148
67,67,2000,3rd Quintile,Tenant,No,1.0,1375,12881,0.97133,1.02801
68,68,2000,4th Quintile,Owner,No,1.0,1417,12881,0.97002,1.02912
69,69,2000,4th Quintile,Tenant,No,1.0,1145,12881,0.96763,1.0378
70,70,2000,5th Quintile,Owner,No,1.0,1656,12881,0.97408,1.02413
71,71,2000,5th Quintile,Tenant,No,1.0,777,12881,0.96005,1.04143
72,72,2001,1st Quintile,Owner,No,1.0,388,11627,0.93977,1.05967
73,73,2001,1st Quintile,Tenant,Yes,0.15844,321,11627,0.14662,0.16995
74,74,2001,1st Quintile,Tenant,No,0.84156,1492,11627,0.81473,0.86706
75,75,2001,2nd Quintile,Owner,No,1.0,891,11627,0.9675,1.04305
76,76,2001,2nd Quintile,Tenant,Yes,0.0365,62,11627,0.02838,0.04373
77,77,2001,2nd Quintile,Tenant,No,0.9635,1501,11627,0.93473,0.99362
78,78,2001,3rd Quintile,Owner,No,1.0,1171,11627,0.96438,1.02962
79,79,2001,3rd Quintile,Tenant,No,1.0,1267,11627,0.96932,1.03196
80,80,2001,4th Quintile,Owner,No,1.0,1322,11627,0.9622,1.03062
81,81,2001,4th Quintile,Tenant,No,1.0,1040,11627,0.96674,1.04801
82,82,2001,5th Quintile,Owner,No,1.0,1462,11627,0.96851,1.02878
83,83,2001,5th Quintile,Tenant,No,1.0,710,11627,0.95421,1.05787
84,84,2002,1st Quintile,Owner,No,1.0,367,12162,0.93057,1.0665
85,85,2002,1st Quintile,Tenant,Yes,0.17805,322,12162,0.16446,0.18973
86,86,2002,1st Quintile,Tenant,No,0.82195,1390,12162,0.79331,0.85511
87,87,2002,2nd Quintile,Owner,No,1.0,818,12162,0.95568,1.05009
88,88,2002,2nd Quintile,Tenant,Yes,0.03787,45,12162,0.03243,0.04499
89,89,2002,2nd Quintile,Tenant,No,0.96213,1361,12162,0.93171,0.9933
90,90,2002,3rd Quintile,Owner,No,1.0,1041,12162,0.96148,1.0389
91,91,2002,3rd Quintile,Tenant,No,1.0,1228,12162,0.96599,1.03583
92,92,2002,4th Quintile,Owner,No,1.0,1324,12162,0.96605,1.04217
93,93,2002,4th Quintile,Tenant,No,1.0,1030,12162,0.96695,1.04344
94,94,2002,5th Quintile,Owner,No,1.0,2268,12162,0.96722,1.03387
95,95,2002,5th Quintile,Tenant,No,1.0,968,12162,0.94997,1.05348
96,96,2003,1st Quintile,Owner,No,1.0,351,11748,0.93429,1.06493
97,97,2003,1st Quintile,Tenant,Yes,0.19857,328,11748,0.18564,0.21196
98,98,2003,1st Quintile,Tenant,No,0.80143,1325,11748,0.774,0.8252
99,99,2003,2nd Quintile,Owner,No,1.0,793,11748,0.95534,1.04526
100,100,2003,2nd Quintile,Tenant,Yes,0.04872,75,11748,0.04093,0.05733
101,101,2003,2nd Quintile,Tenant,No,0.95128,1339,11748,0.91532,0.98245
102,102,2003,3rd Quintile,Owner,No,1.0,1062,11748,0.95815,1.04367
103,103,2003,3rd Quintile,Tenant,No,1.0,1181,11748,0.9577,1.04471
104,104,2003,4th Quintile,Owner,No,1.0,1277,11748,0.96041,1.03744
105,105,2003,4th Quintile,Tenant,No,1.0,990,11748,0.95581,1.04206
106,106,2003,5th Quintile,Owner,No,1.0,2144,11748,0.95599,1.03426
