,Unnamed: 0,year,sampreg,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1995,West,Yes,0.05307,260,6292,0.04797,0.05791
1,1,1995,West,No,0.94693,4325,6292,0.9258,0.96937
2,2,1995,East,Yes,0.11895,188,6292,0.10928,0.12925
3,3,1995,East,No,0.88105,1519,6292,0.85784,0.9073
4,4,1996,West,Yes,0.04501,228,6206,0.04007,0.05008
5,5,1996,West,No,0.95499,4259,6206,0.93603,0.97652
6,6,1996,East,Yes,0.09941,158,6206,0.08907,0.10765
7,7,1996,East,No,0.90059,1561,6206,0.87284,0.92328
8,8,1997,West,Yes,0.04442,228,6108,0.03977,0.0498
9,9,1997,West,No,0.95558,4202,6108,0.93312,0.98073
10,10,1997,East,Yes,0.07551,105,6108,0.06658,0.08317
11,11,1997,East,No,0.92449,1573,6108,0.89892,0.95381
12,12,1998,West,Yes,0.04691,258,7101,0.04257,0.0512
13,13,1998,West,No,0.95309,4985,7101,0.9365,0.96991
14,14,1998,East,Yes,0.09439,155,7101,0.08609,0.10297
15,15,1998,East,No,0.90561,1703,7101,0.87766,0.93474
16,16,1999,West,Yes,0.03922,228,7143,0.03501,0.04308
17,17,1999,West,No,0.96078,4985,7143,0.9419,0.97856
18,18,1999,East,Yes,0.08635,155,7143,0.07855,0.09576
19,19,1999,East,No,0.91365,1775,7143,0.88643,0.94037
20,20,2000,West,Yes,0.03344,344,12950,0.03131,0.0355
21,21,2000,West,No,0.96656,9532,12950,0.95272,0.97705
22,22,2000,East,Yes,0.07528,224,12950,0.07008,0.08201
23,23,2000,East,No,0.92472,2850,12950,0.90816,0.94326
24,24,2001,West,Yes,0.02759,255,11680,0.02544,0.02976
25,25,2001,West,No,0.97241,8582,11680,0.95818,0.98579
26,26,2001,East,Yes,0.06467,179,11680,0.05933,0.06991
27,27,2001,East,No,0.93533,2664,11680,0.91544,0.95832
28,28,2002,West,Yes,0.03127,253,12212,0.02899,0.03398
29,29,2002,West,No,0.96873,9117,12212,0.95429,0.98283
30,30,2002,East,Yes,0.06353,160,12212,0.05722,0.06969
31,31,2002,East,No,0.93647,2682,12212,0.91385,0.96125
32,32,2003,West,Yes,0.03558,270,11804,0.03306,0.03835
33,33,2003,West,No,0.96442,8729,11804,0.94964,0.97863
34,34,2003,East,Yes,0.07229,185,11804,0.06493,0.07872
35,35,2003,East,No,0.92771,2620,11804,0.90874,0.95096
36,36,2004,West,Yes,0.03798,268,11543,0.03515,0.04104
37,37,2004,West,No,0.96202,8514,11543,0.94554,0.97702
38,38,2004,East,Yes,0.09147,204,11543,0.08121,0.09993
39,39,2004,East,No,0.90853,2557,11543,0.8813,0.93229
40,40,2005,West,Yes,0.02676,203,11199,0.02379,0.02949
41,41,2005,West,No,0.97324,8304,11199,0.95673,0.99216
42,42,2005,East,Yes,0.0639,153,11199,0.05634,0.07119
43,43,2005,East,No,0.9361,2539,11199,0.90638,0.97177
44,44,2006,West,Yes,0.02613,204,12265,0.02428,0.02849
45,45,2006,West,No,0.97387,9133,12265,0.9592,0.98871
46,46,2006,East,Yes,0.05719,145,12265,0.05104,0.06369
47,47,2006,East,No,0.94281,2783,12265,0.91704,0.971
48,48,2007,West,Yes,0.02584,176,11453,0.02325,0.02845
49,49,2007,West,No,0.97416,8517,11453,0.95826,0.99247
50,50,2007,East,Yes,0.04902,120,11453,0.04281,0.05589
51,51,2007,East,No,0.95098,2640,11453,0.92093,0.97808
52,52,2008,West,Yes,0.02274,160,10822,0.0206,0.02498
53,53,2008,West,No,0.97726,8011,10822,0.96101,0.99451
54,54,2008,East,Yes,0.04413,102,10822,0.03799,0.05052
55,55,2008,East,No,0.95587,2549,10822,0.92856,0.99221
56,56,2009,West,Yes,0.02062,140,10177,0.01849,0.02325
57,57,2009,West,No,0.97938,7482,10177,0.96328,0.99962
58,58,2009,East,Yes,0.04662,106,10177,0.03797,0.05318
59,59,2009,East,No,0.95338,2449,10177,0.92229,0.99002
60,60,2010,West,Yes,0.02371,429,13397,0.01981,0.02697
61,61,2010,West,No,0.97629,9927,13397,0.95604,0.995
62,62,2010,East,Yes,0.04436,184,13397,0.03632,0.0531
63,63,2010,East,No,0.95564,2857,13397,0.9166,1.00153
64,64,2011,West,Yes,0.02209,491,16227,0.01939,0.02481
65,65,2011,West,No,0.97791,12095,16227,0.96222,0.9942
66,66,2011,East,Yes,0.04195,239,16227,0.03476,0.04911
67,67,2011,East,No,0.95805,3402,16227,0.92732,0.99324
68,68,2012,West,Yes,0.01854,380,15954,0.01582,0.02128
69,69,2012,West,No,0.98146,11968,15954,0.96275,0.9987
70,70,2012,East,Yes,0.039,201,15954,0.03316,0.04619
71,71,2012,East,No,0.961,3405,15954,0.92569,0.9889
72,72,2013,West,Yes,0.01837,431,17515,0.01598,0.0211
73,73,2013,West,No,0.98163,13526,17515,0.96544,1.00133
74,74,2013,East,Yes,0.03349,177,17515,0.02695,0.04014
75,75,2013,East,No,0.96651,3381,17515,0.93285,1.00407
76,76,2014,West,Yes,0.01556,285,15603,0.01313,0.01869
77,77,2014,West,No,0.98444,11992,15603,0.96586,1.00505
78,78,2014,East,Yes,0.02823,124,15603,0.02137,0.03626
79,79,2014,East,No,0.97177,3202,15603,0.93657,1.0048
80,80,2015,West,Yes,0.01591,267,14066,0.01327,0.01933
81,81,2015,West,No,0.98409,10968,14066,0.96522,1.00485
82,82,2015,East,Yes,0.01942,82,14066,0.01444,0.02449
83,83,2015,East,No,0.98058,2749,14066,0.94216,1.02096
84,84,2016,West,Yes,0.01446,378,16130,0.01173,0.01696
85,85,2016,West,No,0.98554,12351,16130,0.96613,1.00723
86,86,2016,East,Yes,0.02232,120,16130,0.01702,0.02869
87,87,2016,East,No,0.97768,3281,16130,0.94286,1.01764
88,88,2017,West,Yes,0.01292,464,18061,0.01104,0.01526
89,89,2017,West,No,0.98708,13857,18061,0.96948,1.00917
90,90,2017,East,Yes,0.02866,122,18061,0.02265,0.03573
91,91,2017,East,No,0.97134,3618,18061,0.93655,1.00877
92,92,2018,West,Yes,0.01604,579,17688,0.01315,0.01912
93,93,2018,West,No,0.98396,13376,17688,0.9658,1.00243
94,94,2018,East,Yes,0.02108,145,17688,0.0162,0.02601
95,95,2018,East,No,0.97892,3588,17688,0.94198,1.01795
96,96,2019,West,Yes,0.01558,364,18228,0.01303,0.01822
97,97,2019,West,No,0.98442,13995,18228,0.96254,1.00296
98,98,2019,East,Yes,0.02402,95,18228,0.01765,0.0305
99,99,2019,East,No,0.97598,3774,18228,0.93818,1.02382
100,100,2020,West,Yes,0.01326,425,19022,0.01066,0.01602
101,101,2020,West,No,0.98674,14820,19022,0.96621,1.01174
102,102,2020,East,Yes,0.01979,93,19022,0.01432,0.02547
103,103,2020,East,No,0.98021,3684,19022,0.93647,1.01595
104,104,2021,West,Yes,0.01578,340,12467,0.01297,0.02012
105,105,2021,West,No,0.98422,9557,12467,0.95913,1.01235
106,106,2021,East,Yes,0.02476,71,12467,0.01675,0.0345
107,107,2021,East,No,0.97524,2499,12467,0.93053,1.02529
