,Unnamed: 0,year,quintil_oecd_hh,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1995,1st Quintile,Yes,0.25161,341,6260,0.22876,0.27073
1,1,1995,1st Quintile,No,0.74839,968,6260,0.71213,0.78228
2,2,1995,2nd Quintile,Yes,0.0552,77,6260,0.04561,0.06617
3,3,1995,2nd Quintile,No,0.9448,1294,6260,0.90464,0.98926
4,4,1995,3rd Quintile,No,1.0,1301,6260,0.9584,1.04683
5,5,1995,4th Quintile,No,1.0,1204,6260,0.96317,1.04196
6,6,1995,5th Quintile,No,1.0,1075,6260,0.96328,1.04317
7,7,1996,1st Quintile,Yes,0.23087,302,6174,0.20392,0.25634
8,8,1996,1st Quintile,No,0.76913,976,6174,0.72642,0.80739
9,9,1996,2nd Quintile,Yes,0.0285,56,6174,0.0231,0.03423
10,10,1996,2nd Quintile,No,0.9715,1299,6174,0.93447,1.01986
11,11,1996,3rd Quintile,No,1.0,1272,6174,0.95827,1.03838
12,12,1996,4th Quintile,No,1.0,1216,6174,0.95723,1.04563
13,13,1996,5th Quintile,No,1.0,1053,6174,0.96516,1.04115
14,14,1997,1st Quintile,Yes,0.19891,260,6086,0.178,0.21934
15,15,1997,1st Quintile,No,0.80109,966,6086,0.75823,0.85612
16,16,1997,2nd Quintile,Yes,0.03748,52,6086,0.02912,0.0473
17,17,1997,2nd Quintile,No,0.96252,1282,6086,0.9164,1.0077
18,18,1997,3rd Quintile,No,1.0,1244,6086,0.95364,1.04161
19,19,1997,4th Quintile,No,1.0,1227,6086,0.95697,1.04007
20,20,1997,5th Quintile,No,1.0,1055,6086,0.95811,1.0426
21,21,1998,1st Quintile,Yes,0.21525,309,7066,0.19931,0.23965
22,22,1998,1st Quintile,No,0.78475,1113,7066,0.74861,0.81608
23,23,1998,2nd Quintile,Yes,0.04403,73,7066,0.03614,0.05212
24,24,1998,2nd Quintile,No,0.95597,1447,7066,0.91959,0.99401
25,25,1998,3rd Quintile,No,1.0,1432,7066,0.96096,1.03461
26,26,1998,4th Quintile,No,1.0,1422,7066,0.96629,1.03359
27,27,1998,5th Quintile,No,1.0,1270,7066,0.96422,1.03374
28,28,1999,1st Quintile,Yes,0.19103,295,7101,0.17585,0.2088
29,29,1999,1st Quintile,No,0.80897,1176,7101,0.76779,0.84228
30,30,1999,2nd Quintile,Yes,0.02744,46,7101,0.01954,0.03491
31,31,1999,2nd Quintile,No,0.97256,1492,7101,0.93559,1.00572
32,32,1999,3rd Quintile,No,1.0,1487,7101,0.96352,1.03185
33,33,1999,4th Quintile,No,1.0,1373,7101,0.9623,1.03179
34,34,1999,5th Quintile,No,1.0,1232,7101,0.96325,1.03439
35,35,2000,1st Quintile,Yes,0.16707,456,12906,0.15955,0.17632
36,36,2000,1st Quintile,No,0.83293,2080,12906,0.81436,0.8555
37,37,2000,2nd Quintile,Yes,0.02591,74,12906,0.0216,0.02995
38,38,2000,2nd Quintile,No,0.97409,2646,12906,0.95255,0.99681
39,39,2000,3rd Quintile,No,1.0,2655,12906,0.97765,1.01992
40,40,2000,4th Quintile,No,1.0,2562,12906,0.97983,1.02517
41,41,2000,5th Quintile,No,1.0,2433,12906,0.97696,1.01992
42,42,2001,1st Quintile,Yes,0.13566,333,11647,0.12641,0.14571
43,43,2001,1st Quintile,No,0.86434,1880,11647,0.84265,0.88704
44,44,2001,2nd Quintile,Yes,0.02596,70,11647,0.02102,0.03125
45,45,2001,2nd Quintile,No,0.97404,2392,11647,0.95306,1.00013
46,46,2001,3rd Quintile,No,1.0,2438,11647,0.97553,1.02377
47,47,2001,4th Quintile,No,1.0,2362,11647,0.97461,1.0188
48,48,2001,5th Quintile,No,1.0,2172,11647,0.97666,1.02076
49,49,2002,1st Quintile,Yes,0.15016,333,12185,0.14061,0.16071
50,50,2002,1st Quintile,No,0.84984,1757,12185,0.82608,0.87402
51,51,2002,2nd Quintile,Yes,0.03065,57,12185,0.02528,0.03587
52,52,2002,2nd Quintile,No,0.96935,2179,12185,0.94397,0.99623
53,53,2002,3rd Quintile,No,1.0,2269,12185,0.97367,1.02343
54,54,2002,4th Quintile,No,1.0,2354,12185,0.97447,1.0247
55,55,2002,5th Quintile,No,1.0,3236,12185,0.96511,1.0367
56,56,2003,1st Quintile,Yes,0.16752,343,11773,0.15632,0.17965
57,57,2003,1st Quintile,No,0.83248,1676,11773,0.80676,0.85608
58,58,2003,2nd Quintile,Yes,0.03503,85,11773,0.02934,0.04095
59,59,2003,2nd Quintile,No,0.96497,2132,11773,0.93687,0.9903
60,60,2003,3rd Quintile,No,1.0,2243,11773,0.97504,1.02482
61,61,2003,4th Quintile,No,1.0,2267,11773,0.96663,1.03136
62,62,2003,5th Quintile,No,1.0,3027,11773,0.96659,1.03092
63,63,2004,1st Quintile,Yes,0.19232,375,11522,0.1813,0.20606
64,64,2004,1st Quintile,No,0.80768,1573,11522,0.78355,0.83397
65,65,2004,2nd Quintile,Yes,0.0357,79,11522,0.0303,0.04144
66,66,2004,2nd Quintile,No,0.9643,2106,11522,0.9398,0.99662
67,67,2004,3rd Quintile,No,1.0,2172,11522,0.97159,1.02686
68,68,2004,4th Quintile,No,1.0,2243,11522,0.97071,1.03093
69,69,2004,5th Quintile,No,1.0,2974,11522,0.96719,1.04061
70,70,2005,1st Quintile,Yes,0.12454,259,11170,0.11232,0.13653
71,71,2005,1st Quintile,No,0.87546,1698,11170,0.836,0.90346
72,72,2005,2nd Quintile,Yes,0.03097,71,11170,0.02438,0.03739
73,73,2005,2nd Quintile,No,0.96903,2021,11170,0.93685,1.00006
74,74,2005,3rd Quintile,No,1.0,2069,11170,0.9667,1.035
75,75,2005,4th Quintile,No,1.0,2214,11170,0.9663,1.02999
76,76,2005,5th Quintile,No,1.0,2838,11170,0.96493,1.03035
77,77,2006,1st Quintile,Yes,0.11734,255,12237,0.10917,0.12705
78,78,2006,1st Quintile,No,0.88266,1826,12237,0.854,0.91017
79,79,2006,2nd Quintile,Yes,0.03303,72,12237,0.02813,0.03822
80,80,2006,2nd Quintile,No,0.96697,2162,12237,0.9411,0.99427
81,81,2006,3rd Quintile,No,1.0,2393,12237,0.97107,1.02893
82,82,2006,4th Quintile,No,1.0,2479,12237,0.97124,1.02815
83,83,2006,5th Quintile,No,1.0,3050,12237,0.97168,1.03435
84,84,2007,1st Quintile,Yes,0.1095,209,11430,0.10025,0.11999
85,85,2007,1st Quintile,No,0.8905,1727,11430,0.86322,0.91814
86,86,2007,2nd Quintile,Yes,0.03133,68,11430,0.02675,0.03721
87,87,2007,2nd Quintile,No,0.96867,2074,11430,0.94384,0.99739
88,88,2007,3rd Quintile,No,1.0,2194,11430,0.97422,1.02897
89,89,2007,4th Quintile,No,1.0,2320,11430,0.96645,1.03321
90,90,2007,5th Quintile,No,1.0,2838,11430,0.95798,1.03472
91,91,2008,1st Quintile,Yes,0.0968,190,10801,0.08708,0.10747
92,92,2008,1st Quintile,No,0.9032,1683,10801,0.87233,0.93009
93,93,2008,2nd Quintile,Yes,0.0286,53,10801,0.02218,0.03419
94,94,2008,2nd Quintile,No,0.9714,1928,10801,0.93849,1.00445
95,95,2008,3rd Quintile,No,1.0,2144,10801,0.96933,1.02857
96,96,2008,4th Quintile,No,1.0,2119,10801,0.96924,1.03038
97,97,2008,5th Quintile,No,1.0,2684,10801,0.96794,1.03958
98,98,2009,1st Quintile,Yes,0.09726,185,10159,0.08835,0.1091
99,99,2009,1st Quintile,No,0.90274,1603,10159,0.86939,0.93854
100,100,2009,2nd Quintile,Yes,0.02334,47,10159,0.01764,0.02946
101,101,2009,2nd Quintile,No,0.97666,1858,10159,0.93889,1.01711
102,102,2009,3rd Quintile,No,1.0,1955,10159,0.9671,1.02762
103,103,2009,4th Quintile,No,1.0,2027,10159,0.96707,1.03497
104,104,2009,5th Quintile,No,1.0,2484,10159,0.96313,1.04146
105,105,2010,1st Quintile,Yes,0.10515,433,13358,0.09129,0.1197
106,106,2010,1st Quintile,No,0.89485,2642,13358,0.85245,0.93288
107,107,2010,2nd Quintile,Yes,0.02462,145,13358,0.01877,0.03361
108,108,2010,2nd Quintile,No,0.97538,2675,13358,0.93591,1.02028
109,109,2010,3rd Quintile,No,1.0,2472,13358,0.95252,1.04304
110,110,2010,4th Quintile,No,1.0,2348,13358,0.95803,1.04938
111,111,2010,5th Quintile,No,1.0,2643,13358,0.95741,1.04302
112,112,2011,1st Quintile,Yes,0.09866,520,16191,0.08731,0.11162
113,113,2011,1st Quintile,No,0.90134,3076,16191,0.86741,0.93823
114,114,2011,2nd Quintile,Yes,0.02441,176,16191,0.01969,0.02978
115,115,2011,2nd Quintile,No,0.97559,3236,16191,0.93285,1.01369
116,116,2011,3rd Quintile,No,1.0,3127,16191,0.96836,1.03427
117,117,2011,4th Quintile,No,1.0,2938,16191,0.96588,1.03914
118,118,2011,5th Quintile,No,1.0,3118,16191,0.96433,1.0315
119,119,2012,1st Quintile,Yes,0.08685,436,15913,0.0764,0.09762
120,120,2012,1st Quintile,No,0.91315,3120,15913,0.88168,0.94621
121,121,2012,2nd Quintile,Yes,0.01553,110,15913,0.01244,0.01911
122,122,2012,2nd Quintile,No,0.98447,3078,15913,0.95353,1.01823
123,123,2012,3rd Quintile,No,1.0,3138,15913,0.9661,1.03834
124,124,2012,4th Quintile,No,1.0,2938,15913,0.96321,1.03984
125,125,2012,5th Quintile,No,1.0,3093,15913,0.96522,1.03191
126,126,2013,1st Quintile,Yes,0.08032,445,17473,0.06851,0.09255
127,127,2013,1st Quintile,No,0.91968,3693,17473,0.88159,0.95159
128,128,2013,2nd Quintile,Yes,0.0191,128,17473,0.01512,0.02413
129,129,2013,2nd Quintile,No,0.9809,3673,17473,0.94266,1.01738
130,130,2013,3rd Quintile,No,1.0,3307,17473,0.96288,1.03242
131,131,2013,4th Quintile,No,1.0,3063,17473,0.96122,1.03822
132,132,2013,5th Quintile,No,1.0,3164,17473,0.9605,1.03174
133,133,2014,1st Quintile,Yes,0.06548,278,15579,0.05581,0.07683
134,134,2014,1st Quintile,No,0.93452,3128,15579,0.89914,0.97271
