year,rentown,sampreg,hlc0083_h,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1995,Owner,West,No,1.00000,1672,6276,0,0.96908,0,1.03200
1995,Owner,East,Yes,0.05927,33,6276,0,0.05043,0,0.07057
1995,Owner,East,No,0.94073,477,6276,0,0.89137,0,0.99434
1995,Tenant,West,Yes,0.08585,244,6276,0,0.07695,0,0.09488
1995,Tenant,West,No,0.91415,2653,6276,0,0.88637,0,0.93930
1995,Tenant,East,Yes,0.14159,155,6276,0,0.12752,0,0.15138
1995,Tenant,East,No,0.85841,1042,6276,0,0.83131,0,0.88932
1996,Owner,West,No,1.00000,1658,6165,0,0.97246,0,1.02367
1996,Owner,East,No,1.00000,517,6165,0,0.94743,0,1.05145
1996,Tenant,West,Yes,0.07196,211,6165,0,0.06391,0,0.08163
1996,Tenant,West,No,0.92804,2601,6165,0,0.89626,0,0.95662
1996,Tenant,East,Yes,0.12192,134,6165,0,0.10995,0,0.13425
1996,Tenant,East,No,0.87808,1044,6165,0,0.84442,0,0.91030
1997,Owner,West,No,1.00000,1705,6081,0,0.96985,0,1.02981
1997,Owner,East,No,1.00000,523,6081,0,0.95032,0,1.04932
1997,Tenant,West,Yes,0.07144,211,6081,0,0.06070,0,0.08184
1997,Tenant,West,No,0.92856,2497,6081,0,0.89886,0,0.95819
1997,Tenant,East,Yes,0.09567,95,6081,0,0.08551,0,0.10534
1997,Tenant,East,No,0.90433,1050,6081,0,0.87231,0,0.93799
1998,Owner,West,No,1.00000,2108,7073,0,0.97422,0,1.02895
1998,Owner,East,No,1.00000,616,7073,0,0.95063,0,1.04831
1998,Tenant,West,Yes,0.07747,243,7073,0,0.07081,0,0.08352
1998,Tenant,West,No,0.92253,2877,7073,0,0.89795,0,0.94320
1998,Tenant,East,Yes,0.12567,142,7073,0,0.11332,0,0.13681
1998,Tenant,East,No,0.87433,1087,7073,0,0.84258,0,0.90934
1999,Owner,West,No,1.00000,2153,7099,0,0.97312,0,1.03040
1999,Owner,East,No,1.00000,662,7099,0,0.93893,0,1.05765
1999,Tenant,West,Yes,0.06394,205,7099,0,0.05640,0,0.07052
1999,Tenant,West,No,0.93606,2832,7099,0,0.90961,0,0.96065
1999,Tenant,East,Yes,0.11623,134,7099,0,0.10108,0,0.13056
1999,Tenant,East,No,0.88377,1113,7099,0,0.85787,0,0.91923
2000,Owner,West,No,1.00000,4649,12913,0,0.98334,0,1.01689
2000,Owner,East,No,1.00000,1139,12913,0,0.97056,0,1.03771
2000,Tenant,West,Yes,0.05733,325,12913,0,0.05387,0,0.06126
2000,Tenant,West,No,0.94267,4883,12913,0,0.92771,0,0.95810
2000,Tenant,East,Yes,0.10416,206,12913,0,0.09640,0,0.11263
2000,Tenant,East,No,0.89584,1711,12913,0,0.87415,0,0.92186
2001,Owner,West,No,1.00000,4143,11647,0,0.98197,0,1.01795
2001,Owner,East,No,1.00000,1091,11647,0,0.97267,0,1.02945
2001,Tenant,West,Yes,0.04633,234,11647,0,0.04257,0,0.05022
2001,Tenant,West,No,0.95367,4439,11647,0,0.93876,0,0.97372
2001,Tenant,East,Yes,0.09207,167,11647,0,0.08302,0,0.10109
2001,Tenant,East,No,0.90793,1573,11647,0,0.88316,0,0.93371
2002,Owner,West,No,1.00000,4717,12186,0,0.98001,0,1.02255
2002,Owner,East,No,1.00000,1101,12186,0,0.94647,0,1.04236
2002,Tenant,West,Yes,0.05309,235,12186,0,0.04904,0,0.05773
2002,Tenant,West,No,0.94691,4400,12186,0,0.92731,0,0.96716
2002,Tenant,East,Yes,0.08944,152,12186,0,0.07960,0,0.09804
2002,Tenant,East,No,0.91056,1581,12186,0,0.88021,0,0.93717
2003,Owner,West,No,1.00000,4533,11772,0,0.97434,0,1.01924
2003,Owner,East,No,1.00000,1094,11772,0,0.95803,0,1.04814
2003,Tenant,West,Yes,0.06133,252,11772,0,0.05738,0,0.06629
2003,Tenant,West,No,0.93867,4196,11772,0,0.92268,0,0.96277
2003,Tenant,East,Yes,0.10201,171,11772,0,0.09218,0,0.11171
2003,Tenant,East,No,0.89799,1526,11772,0,0.86540,0,0.92280
2004,Owner,West,No,1.00000,4441,11508,0,0.97827,0,1.02073
2004,Owner,East,No,1.00000,1085,11508,0,0.95365,0,1.05034
2004,Tenant,West,Yes,0.06483,253,11508,0,0.05984,0,0.07006
2004,Tenant,West,No,0.93517,4073,11508,0,0.91527,0,0.95764
2004,Tenant,East,Yes,0.12325,184,11508,0,0.11207,0,0.13599
2004,Tenant,East,No,0.87675,1472,11508,0,0.85279,0,0.90609
2005,Owner,West,No,1.00000,4264,11166,0,0.97330,0,1.02365
2005,Owner,East,No,1.00000,1089,11166,0,0.95982,0,1.04825
2005,Tenant,West,Yes,0.04382,187,11166,0,0.03966,0,0.04823
2005,Tenant,West,No,0.95618,4040,11166,0,0.93456,0,0.97866
2005,Tenant,East,Yes,0.08447,137,11166,0,0.07504,0,0.09784
2005,Tenant,East,No,0.91553,1449,11166,0,0.87743,0,0.95790
2006,Owner,West,No,1.00000,4781,12234,0,0.97891,0,1.02327
2006,Owner,East,No,1.00000,1193,12234,0,0.95615,0,1.04350
2006,Tenant,West,Yes,0.04426,191,12234,0,0.04061,0,0.04740
2006,Tenant,West,No,0.95574,4351,12234,0,0.93653,0,0.97614
2006,Tenant,East,Yes,0.07532,129,12234,0,0.06788,0,0.08599
2006,Tenant,East,No,0.92468,1589,12234,0,0.89333,0,0.95462
2007,Owner,West,No,1.00000,4471,11432,0,0.97808,0,1.02206
2007,Owner,East,No,1.00000,1128,11432,0,0.95014,0,1.05603
2007,Tenant,West,Yes,0.04500,167,11432,0,0.04029,0,0.04918
2007,Tenant,West,No,0.95500,4046,11432,0,0.93369,0,0.97500
2007,Tenant,East,Yes,0.06597,108,11432,0,0.05615,0,0.07573
2007,Tenant,East,No,0.93403,1512,11432,0,0.90137,0,0.97249
2008,Owner,West,No,1.00000,4268,10808,0,0.97906,0,1.02481
2008,Owner,East,No,1.00000,1097,10808,0,0.94342,0,1.05722
2008,Tenant,West,Yes,0.04053,153,10808,0,0.03598,0,0.04441
2008,Tenant,West,No,0.95947,3743,10808,0,0.94050,0,0.98050
