"hlc0083_h","year","quintil","n","percent","lower_confidence_percent","upper_confidence_percent"
"Ja","1995","1 Einkommensschwächstes Quintil","","","",""
"Ja","1995","2","75","0.0172405258295956","0.0134814161475473","0.0209996355116438"
"Ja","1995","3","12","","",""
"Ja","1995","4","5","0.00110173920611502","-0.000483647185166121","0.00268712559739616"
"Ja","1995","5 Einkommensstärkstes Quintil","","","",""
"Nein","1995","1 Einkommensschwächstes Quintil","","","",""
"Nein","1995","2","4531","0.982759474170404","0.979000364488356","0.986518583852453"
"Nein","1995","3","2795","","",""
"Nein","1995","4","1677","","",""
"Nein","1995","5 Einkommensstärkstes Quintil","","","",""
"Ja","1996","1 Einkommensschwächstes Quintil","","","",""
"Ja","1996","2","82","0.0185186219613145","0.0145892044424605","0.0224480394801684"
"Ja","1996","3","22","","",""
"Ja","1996","4","5","0.00156070095138337","-0.000271070756305447","0.0033924726590722"
"Ja","1996","5 Einkommensstärkstes Quintil","","","",""
"Nein","1996","1 Einkommensschwächstes Quintil","","","",""
"Nein","1996","2","4440","0.981481378038686","0.977551960519832","0.98541079555754"
"Nein","1996","3","2975","","",""
"Nein","1996","4","1779","","",""
"Nein","1996","5 Einkommensstärkstes Quintil","","","",""
"Ja","1997","1 Einkommensschwächstes Quintil","","","",""
"Ja","1997","2","90","0.0207675213729061","0.0165804463964224","0.0249545963493897"
"Ja","1997","3","22","","",""
"Ja","1997","4","","","",""
"Ja","1997","5 Einkommensstärkstes Quintil","","","",""
"Nein","1997","1 Einkommensschwächstes Quintil","","","",""
"Nein","1997","2","4366","0.979232478627094","0.97504540365061","0.983419553603578"
"Nein","1997","3","3058","0.989314157598755","0.985683007284823","0.992945307912686"
"Nein","1997","4","1842","","",""
"Nein","1997","5 Einkommensstärkstes Quintil","","","",""
"Ja","1998","1 Einkommensschwächstes Quintil","","","",""
"Ja","1998","2","79","0.0127721700093585","0.00963163120311564","0.0159127088156014"
"Ja","1998","3","30","0.00970635902055475","0.00643957658173217","0.0129731414593773"
"Ja","1998","4","7","0.00616608337591061","0.00297378332810285","0.00935838342371837"
"Ja","1998","5 Einkommensstärkstes Quintil","","","",""
"Nein","1998","1 Einkommensschwächstes Quintil","","","",""
"Nein","1998","2","4832","0.987227829990642","0.984087291184399","0.990368368796884"
"Nein","1998","3","3430","0.990293640979445","0.987026858540623","0.993560423418268"
"Nein","1998","4","2303","","",""
"Nein","1998","5 Einkommensstärkstes Quintil","","","",""
"Ja","1999","1 Einkommensschwächstes Quintil","","","",""
"Ja","1999","2","142","","",""
"Ja","1999","3","33","0.0048112594273648","0.00257041479442507","0.00705210406030453"
"Ja","1999","4","16","","",""
"Ja","1999","5 Einkommensstärkstes Quintil","","","",""
"Nein","1999","1 Einkommensschwächstes Quintil","","","",""
"Nein","1999","2","5161","0.977963698184875","0.974012598376255","0.981914797993495"
"Nein","1999","3","3630","0.995188740572635","0.992947895939696","0.997429585205575"
"Nein","1999","4","2422","","",""
"Nein","1999","5 Einkommensstärkstes Quintil","","","",""
"Ja","2000","1 Einkommensschwächstes Quintil","","","",""
"Ja","2000","2","158","","",""
"Ja","2000","3","24","","",""
"Ja","2000","4","9","0.00180395250186792","0.000597444109533166","0.00301046089420268"
"Ja","2000","5 Einkommensstärkstes Quintil","","","",""
"Nein","2000","1 Einkommensschwächstes Quintil","","","",""
"Nein","2000","2","8556","0.98475478236908","0.982182194740886","0.987327369997275"
"Nein","2000","3","6714","0.996059352766644","0.994563430674955","0.997555274858332"
"Nein","2000","4","4743","0.998196047498132","0.996989539105797","0.999402555890467"
"Nein","2000","5 Einkommensstärkstes Quintil","","","",""
"Ja","2001","1 Einkommensschwächstes Quintil","","","",""
"Ja","2001","2","168","","",""
"Ja","2001","3","29","","",""
"Ja","2001","4","2","","",""
"Ja","2001","5 Einkommensstärkstes Quintil","","","",""
