year,bula_h,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,Schleswig-Holstein,Yes,0.06519,55,651,0.04621,0.08417
2011,Schleswig-Holstein,No,0.69135,596,651,0.65584,0.72686
2011,Hamburg,No,0.73937,292,292,0.68893,0.78981
2011,Lower Saxony,Yes,0.06837,161,1908,0.05705,0.07970
2011,Lower Saxony,No,0.69107,1747,1908,0.67033,0.71181
2011,Bremen,No,0.71792,120,120,0.63706,0.79877
2011,North Rhine-Westphalia,Yes,0.07408,395,4131,0.06609,0.08207
2011,North Rhine-Westphalia,No,0.68996,3736,4131,0.67586,0.70407
2011,Hesse,Yes,0.08185,138,1409,0.06753,0.09617
2011,Hesse,No,0.65193,1271,1409,0.62705,0.67681
2011,"Rhineland-Palatinate, Saarland",Yes,0.06823,119,1206,0.05399,0.08247
2011,"Rhineland-Palatinate, Saarland",No,0.68906,1087,1206,0.66292,0.71519
2011,Baden-Wuerttemberg,Yes,0.06423,189,2486,0.05460,0.07387
2011,Baden-Wuerttemberg,No,0.68454,2297,2486,0.66626,0.70281
2011,Bavaria,Yes,0.07947,309,3184,0.07007,0.08887
2011,Bavaria,No,0.69032,2875,3184,0.67425,0.70638
2011,Berlin,Yes,0.08034,75,781,0.06126,0.09941
2011,Berlin,No,0.72074,706,781,0.68926,0.75223
2011,Brandenburg,Yes,0.06689,79,882,0.05039,0.08338
2011,Brandenburg,No,0.72568,803,882,0.69622,0.75514
2011,Mecklenburg-Western Pomerania,Yes,0.09599,53,515,0.07052,0.12145
2011,Mecklenburg-Western Pomerania,No,0.70248,462,515,0.66296,0.74200
2011,Saxony,Yes,0.06569,106,1404,0.05273,0.07866
2011,Saxony,No,0.72702,1298,1404,0.70371,0.75033
2011,Saxony-Anhalt,Yes,0.07722,82,867,0.05944,0.09500
2011,Saxony-Anhalt,No,0.72350,785,867,0.69371,0.75329
2011,Thuringa,Yes,0.08294,78,884,0.06475,0.10113
2011,Thuringa,No,0.71467,806,884,0.68488,0.74446
2013,Schleswig-Holstein,Yes,0.07533,60,593,0.05407,0.09659
2013,Schleswig-Holstein,No,0.64191,533,593,0.60329,0.68054
2013,Hamburg,No,0.63749,283,283,0.58138,0.69360
2013,Lower Saxony,Yes,0.06919,152,1775,0.05738,0.08100
2013,Lower Saxony,No,0.64920,1623,1775,0.62699,0.67141
2013,Bremen,No,0.56077,110,110,0.46760,0.65394
2013,North Rhine-Westphalia,Yes,0.07790,393,3718,0.06928,0.08652
2013,North Rhine-Westphalia,No,0.61297,3325,3718,0.59731,0.62863
2013,Hesse,Yes,0.06833,124,1290,0.05456,0.08211
2013,Hesse,No,0.61817,1166,1290,0.59165,0.64469
2013,"Rhineland-Palatinate, Saarland",Yes,0.07391,111,1098,0.05843,0.08939
2013,"Rhineland-Palatinate, Saarland",No,0.63562,987,1098,0.60714,0.66410
2013,Baden-Wuerttemberg,Yes,0.06830,188,2123,0.05757,0.07904
2013,Baden-Wuerttemberg,No,0.60641,1935,2123,0.58562,0.62719
2013,Bavaria,Yes,0.06719,260,2947,0.05815,0.07623
2013,Bavaria,No,0.63771,2687,2947,0.62035,0.65506
2013,Berlin,Yes,0.08134,74,768,0.06200,0.10069
2013,Berlin,No,0.64040,694,768,0.60644,0.67437
2013,Brandenburg,Yes,0.06480,61,780,0.04751,0.08208
2013,Brandenburg,No,0.69038,719,780,0.65791,0.72284
2013,Mecklenburg-Western Pomerania,Yes,0.07697,45,454,0.05243,0.10152
2013,Mecklenburg-Western Pomerania,No,0.70889,409,454,0.66705,0.75072
2013,Saxony,Yes,0.07652,115,1335,0.06226,0.09079
2013,Saxony,No,0.71788,1220,1335,0.69373,0.74203
2013,Saxony-Anhalt,Yes,0.06672,65,759,0.04895,0.08448
2013,Saxony-Anhalt,No,0.71488,694,759,0.68274,0.74702
2013,Thuringa,Yes,0.06912,64,799,0.05152,0.08672
2013,Thuringa,No,0.71559,735,799,0.68429,0.74689
2015,Schleswig-Holstein,Yes,0.06332,76,874,0.04716,0.07947
2015,Schleswig-Holstein,No,0.77788,798,874,0.75031,0.80545
2015,Hamburg,Yes,0.10293,34,426,0.07404,0.13182
2015,Hamburg,No,0.71835,392,426,0.67559,0.76112
2015,Lower Saxony,Yes,0.07200,187,2421,0.06170,0.08230
2015,Lower Saxony,No,0.75691,2234,2421,0.73982,0.77400
2015,Bremen,No,0.70074,149,149,0.62696,0.77452
2015,North Rhine-Westphalia,Yes,0.08238,502,5165,0.07488,0.08988
2015,North Rhine-Westphalia,No,0.73568,4663,5165,0.72365,0.74770
2015,Hesse,Yes,0.07687,152,1705,0.06422,0.08952
2015,Hesse,No,0.72420,1553,1705,0.70298,0.74542
2015,"Rhineland-Palatinate, Saarland",Yes,0.07123,116,1496,0.05819,0.08427
2015,"Rhineland-Palatinate, Saarland",No,0.76740,1380,1496,0.74599,0.78882
2015,Baden-Wuerttemberg,Yes,0.07381,245,2985,0.06443,0.08319
2015,Baden-Wuerttemberg,No,0.75125,2740,2985,0.73573,0.76676
2015,Bavaria,Yes,0.07294,339,4027,0.06491,0.08097
2015,Bavaria,No,0.74238,3688,4027,0.72887,0.75589
2015,Berlin,Yes,0.08418,86,912,0.06615,0.10221
2015,Berlin,No,0.73582,826,912,0.70719,0.76446
2015,Brandenburg,Yes,0.06990,76,984,0.05396,0.08584
2015,Brandenburg,No,0.76787,908,984,0.74148,0.79427
2015,Mecklenburg-Western Pomerania,Yes,0.08099,61,557,0.05831,0.10367
2015,Mecklenburg-Western Pomerania,No,0.77160,496,557,0.73671,0.80650
2015,Saxony,Yes,0.06655,112,1511,0.05398,0.07912
2015,Saxony,No,0.78506,1399,1511,0.76434,0.80578
2015,Saxony-Anhalt,Yes,0.10473,91,885,0.08455,0.12492
2015,Saxony-Anhalt,No,0.76017,794,885,0.73202,0.78832
2015,Thuringa,Yes,0.10322,84,920,0.08355,0.12289
2015,Thuringa,No,0.72445,836,920,0.69557,0.75334
2017,Schleswig-Holstein,Yes,0.06529,82,951,0.04958,0.08100
2017,Schleswig-Holstein,No,0.76011,869,951,0.73295,0.78726
2017,Hamburg,Yes,0.08772,41,466,0.06201,0.11343
2017,Hamburg,No,0.73362,425,466,0.69343,0.77380
2017,Lower Saxony,Yes,0.08241,221,2697,0.07203,0.09280
