year,migback,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,No migration background,Yes,0.07570,1596,17940,0.07183,0.07957
2011,No migration background,No,0.71611,16344,17940,0.70951,0.72271
2011,Direct migration background,Yes,0.08579,214,2015,0.07356,0.09802
2011,Direct migration background,No,0.74353,1801,2015,0.72446,0.76260
2011,Indirect migration background,Yes,0.02368,54,790,0.01307,0.03429
2011,Indirect migration background,No,0.37595,736,790,0.34215,0.40975
2013,No migration background,Yes,0.07855,1504,16436,0.07443,0.08266
2013,No migration background,No,0.71297,14932,16436,0.70605,0.71988
2013,Direct migration background,Yes,0.06862,192,1730,0.05670,0.08053
2013,Direct migration background,No,0.43472,1538,1730,0.41135,0.45809
2013,Indirect migration background,Yes,0.01909,50,700,0.00894,0.02923
2013,Indirect migration background,No,0.22302,650,700,0.19216,0.25388
2015,No migration background,Yes,0.08186,1716,19063,0.07797,0.08575
2015,No migration background,No,0.77840,17347,19063,0.77250,0.78430
2015,Direct migration background,Yes,0.08654,381,4415,0.07825,0.09484
2015,Direct migration background,No,0.74969,4034,4415,0.73691,0.76247
2015,Indirect migration background,Yes,0.02712,87,1562,0.01906,0.03518
2015,Indirect migration background,No,0.45488,1475,1562,0.43017,0.47958
2017,No migration background,Yes,0.08123,1796,20158,0.07746,0.08500
2017,No migration background,No,0.77889,18362,20158,0.77316,0.78462
2017,Direct migration background,Yes,0.09968,441,4754,0.09117,0.10820
2017,Direct migration background,No,0.80455,4313,4754,0.79328,0.81583
2017,Indirect migration background,Yes,0.03743,121,1637,0.02823,0.04663
2017,Indirect migration background,No,0.46994,1516,1637,0.44575,0.49412
2019,No migration background,Yes,0.08437,1814,20183,0.08053,0.08820
2019,No migration background,No,0.77436,18369,20183,0.76859,0.78013
2019,Direct migration background,Yes,0.09967,386,3963,0.09034,0.10899
2019,Direct migration background,No,0.80025,3577,3963,0.78780,0.81270
2019,Indirect migration background,Yes,0.03298,114,1579,0.02417,0.04180
2019,Indirect migration background,No,0.48026,1465,1579,0.45561,0.50491
2021,No migration background,Yes,0.09507,1409,13108,0.09005,0.10009
2021,No migration background,No,0.75283,11699,13108,0.74545,0.76022
2021,Direct migration background,Yes,0.12557,451,5120,0.11649,0.13464
2021,Direct migration background,No,0.79651,4669,5120,0.78548,0.80754
2021,Indirect migration background,Yes,0.06349,92,935,0.04785,0.07912
2021,Indirect migration background,No,0.41262,843,935,0.38104,0.44419
