year,age_gr,bula_h,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Schleswig-Holstein,No,0.83260,122,122,0.76608,0.89912
2011,17-29 y.,Hamburg,No,0.70268,48,48,0.57201,0.83336
2011,17-29 y.,Lower Saxony,No,0.79079,243,243,0.73954,0.84204
2011,17-29 y.,North Rhine-Westphalia,No,0.80533,597,597,0.77354,0.83712
2011,17-29 y.,Hesse,No,0.79977,186,186,0.74210,0.85743
2011,17-29 y.,"Rhineland-Palatinate, Saarland",No,0.81822,172,172,0.76042,0.87603
2011,17-29 y.,Baden-Wuerttemberg,No,0.82593,394,394,0.78844,0.86342
2011,17-29 y.,Bavaria,No,0.82406,431,431,0.78808,0.86005
2011,17-29 y.,Berlin,No,0.82957,104,104,0.75696,0.90219
2011,17-29 y.,Brandenburg,No,0.82572,100,100,0.75099,0.90045
2011,17-29 y.,Mecklenburg-Western Pomerania,No,0.73519,65,65,0.62709,0.84329
2011,17-29 y.,Saxony,No,0.82282,192,192,0.76867,0.87697
2011,17-29 y.,Saxony-Anhalt,No,0.86584,116,116,0.80355,0.92813
2011,17-29 y.,Thuringa,No,0.87187,132,132,0.81463,0.92910
2011,30-45 y.,Schleswig-Holstein,No,0.70186,133,133,0.62382,0.77990
2011,30-45 y.,Hamburg,No,0.82246,78,78,0.73710,0.90781
2011,30-45 y.,Lower Saxony,No,0.76841,445,445,0.72918,0.80765
2011,30-45 y.,North Rhine-Westphalia,Yes,0.04511,70,992,0.03219,0.05803
2011,30-45 y.,North Rhine-Westphalia,No,0.75559,922,992,0.72884,0.78235
2011,30-45 y.,Hesse,No,0.71064,335,335,0.66200,0.75927
2011,30-45 y.,"Rhineland-Palatinate, Saarland",No,0.71017,234,234,0.65192,0.76843
2011,30-45 y.,Baden-Wuerttemberg,Yes,0.04473,34,618,0.02842,0.06104
2011,30-45 y.,Baden-Wuerttemberg,No,0.73768,584,618,0.70297,0.77239
2011,30-45 y.,Bavaria,Yes,0.07021,60,747,0.05188,0.08855
2011,30-45 y.,Bavaria,No,0.71215,687,747,0.67966,0.74464
2011,30-45 y.,Berlin,No,0.74565,151,151,0.67595,0.81534
2011,30-45 y.,Brandenburg,No,0.68444,156,156,0.61128,0.75760
2011,30-45 y.,Mecklenburg-Western Pomerania,No,0.74488,103,103,0.66028,0.82948
2011,30-45 y.,Saxony,No,0.79681,335,335,0.75365,0.83996
2011,30-45 y.,Saxony-Anhalt,No,0.74166,182,182,0.67789,0.80543
2011,30-45 y.,Thuringa,No,0.69538,183,183,0.62851,0.76225
2011,46-65 y.,Schleswig-Holstein,No,0.87871,199,199,0.83324,0.92418
2011,46-65 y.,Hamburg,No,0.83572,83,83,0.75552,0.91592
2011,46-65 y.,Lower Saxony,Yes,0.10559,70,683,0.08252,0.12865
2011,46-65 y.,Lower Saxony,No,0.84293,613,683,0.81562,0.87024
2011,46-65 y.,Bremen,No,0.90400,41,41,0.81270,0.99529
2011,46-65 y.,North Rhine-Westphalia,Yes,0.10997,180,1527,0.09428,0.12567
