year,age_gr,ple0011,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2011,17-29 y.,Yes,0.02110,67,2994,0.01595,0.02624
2011,17-29 y.,No,0.81365,2927,2994,0.79970,0.82760
2011,30-45 y.,Yes,0.04826,302,4856,0.04223,0.05429
2011,30-45 y.,No,0.73919,4554,4856,0.72683,0.75154
2011,46-65 y.,Yes,0.10792,847,7775,0.10103,0.11482
2011,46-65 y.,No,0.85010,6928,7775,0.84216,0.85803
2011,66 and older,Yes,0.14216,648,5120,0.13259,0.15173
2011,66 and older,No,0.85703,4472,5120,0.84744,0.86662
2013,17-29 y.,Yes,0.01870,66,2536,0.01343,0.02398
2013,17-29 y.,No,0.67526,2470,2536,0.65703,0.69349
2013,30-45 y.,Yes,0.04416,234,4073,0.03785,0.05047
2013,30-45 y.,No,0.63692,3839,4073,0.62215,0.65169
2013,46-65 y.,Yes,0.11744,873,7320,0.11006,0.12482
2013,46-65 y.,No,0.78567,6447,7320,0.77626,0.79507
2013,66 and older,Yes,0.12647,573,4937,0.11719,0.13574
2013,66 and older,No,0.86658,4364,4937,0.85710,0.87607
2015,17-29 y.,Yes,0.02829,133,3923,0.02310,0.03347
2015,17-29 y.,No,0.85722,3790,3923,0.84627,0.86817
2015,30-45 y.,Yes,0.05714,455,7356,0.05184,0.06245
2015,30-45 y.,No,0.89569,6901,7356,0.88870,0.90267
2015,46-65 y.,Yes,0.11951,1030,8878,0.11276,0.12625
2015,46-65 y.,No,0.87199,7848,8878,0.86504,0.87894
2015,66 and older,Yes,0.12648,566,4883,0.11715,0.13580
2015,66 and older,No,0.87249,4317,4883,0.86314,0.88185
2017,17-29 y.,Yes,0.03098,164,4360,0.02584,0.03612
2017,17-29 y.,No,0.88102,4196,4360,0.87141,0.89063
2017,30-45 y.,Yes,0.06099,438,7257,0.05549,0.06650
2017,30-45 y.,No,0.92851,6819,7257,0.92258,0.93444
2017,46-65 y.,Yes,0.12800,1209,9973,0.12145,0.13456
2017,46-65 y.,No,0.86973,8764,9973,0.86313,0.87634
2017,66 and older,Yes,0.12067,547,4959,0.11160,0.12974
2017,66 and older,No,0.87901,4412,4959,0.86993,0.88809
2019,17-29 y.,Yes,0.03885,158,3843,0.03274,0.04497
2019,17-29 y.,No,0.86625,3685,3843,0.85549,0.87702
2019,30-45 y.,Yes,0.06047,411,6287,0.05458,0.06636
2019,30-45 y.,No,0.92522,5876,6287,0.91871,0.93172
2019,46-65 y.,Yes,0.12711,1167,10421,0.12071,0.13351
2019,46-65 y.,No,0.87007,9254,10421,0.86361,0.87652
2019,66 and older,Yes,0.12546,578,5174,0.11643,0.13448
2019,66 and older,No,0.87425,4596,5174,0.86521,0.88328
2021,17-29 y.,Yes,0.05898,159,3179,0.05079,0.06717
2021,17-29 y.,No,0.86367,3020,3179,0.85174,0.87560
2021,30-45 y.,Yes,0.07616,381,5206,0.06895,0.08336
2021,30-45 y.,No,0.90725,4825,5206,0.89937,0.91514
2021,46-65 y.,Yes,0.15573,961,7215,0.14736,0.16410
2021,46-65 y.,No,0.83507,6254,7215,0.82651,0.84364
2021,66 and older,Yes,0.13114,451,3563,0.12005,0.14222
2021,66 and older,No,0.86043,3112,3563,0.84904,0.87181
