year,bula_h,sampreg,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,West,Full-time,0.46727,114,186,0.39538,0.53917
1984,Lower Saxony,West,Part-time,0.32279,72,186,0.25542,0.39016
1984,North Rhine-Westphalia,West,Full-time,0.49523,315,630,0.45616,0.53430
1984,North Rhine-Westphalia,West,Part-time,0.32730,191,630,0.29063,0.36397
1984,North Rhine-Westphalia,West,Either,0.10313,71,630,0.07937,0.12690
1984,North Rhine-Westphalia,West,I'm not sure yet,0.07434,53,630,0.05384,0.09484
1984,Hesse,West,Full-time,0.46555,108,180,0.39247,0.53862
1984,Hesse,West,Part-time,0.36965,72,180,0.29894,0.44037
1984,"Rhineland-Palatinate, Saarland",West,Full-time,0.41792,58,106,0.32358,0.51226
1984,"Rhineland-Palatinate, Saarland",West,Part-time,0.38903,48,106,0.29578,0.48228
1984,Baden-Wuerttemberg,West,Full-time,0.47506,163,283,0.41678,0.53335
1984,Baden-Wuerttemberg,West,Part-time,0.39872,120,283,0.34157,0.45586
1984,Bavaria,West,Full-time,0.40981,131,285,0.35261,0.46701
1984,Bavaria,West,Part-time,0.38101,111,285,0.32453,0.43749
1984,Bavaria,West,Either,0.12338,43,285,0.08513,0.16162
1985,Lower Saxony,West,Full-time,0.59269,119,165,0.51749,0.66789
1985,Lower Saxony,West,Part-time,0.25832,46,165,0.19133,0.32531
1985,North Rhine-Westphalia,West,Full-time,0.54907,249,426,0.50176,0.59638
1985,North Rhine-Westphalia,West,Part-time,0.32010,144,426,0.27575,0.36445
1985,North Rhine-Westphalia,West,I'm not sure yet,0.06666,33,426,0.04295,0.09038
1985,Hesse,West,Full-time,0.45281,85,143,0.37094,0.53468
1985,Hesse,West,Part-time,0.33422,58,143,0.25663,0.41180
1985,"Rhineland-Palatinate, Saarland",West,Full-time,0.51893,47,78,0.40733,0.63053
1985,"Rhineland-Palatinate, Saarland",West,Part-time,0.33731,31,78,0.23171,0.44291
1985,Baden-Wuerttemberg,West,Full-time,0.51851,151,236,0.45463,0.58240
1985,Baden-Wuerttemberg,West,Part-time,0.35694,85,236,0.29568,0.41820
1985,Bavaria,West,Full-time,0.53802,122,194,0.46768,0.60836
1985,Bavaria,West,Part-time,0.32402,72,194,0.25799,0.39004
1985,Berlin,West,Full-time,0.49680,32,32,0.32079,0.67281
1986,Lower Saxony,West,Full-time,0.49212,90,137,0.40809,0.57614
1986,Lower Saxony,West,Part-time,0.27391,47,137,0.19896,0.34886
1986,North Rhine-Westphalia,West,Full-time,0.53489,269,496,0.49095,0.57883
1986,North Rhine-Westphalia,West,Part-time,0.32722,151,496,0.28589,0.36856
1986,North Rhine-Westphalia,West,Either,0.06810,35,496,0.04591,0.09030
1986,North Rhine-Westphalia,West,I'm not sure yet,0.06978,41,496,0.04734,0.09223
1986,Hesse,West,Full-time,0.48064,80,132,0.39508,0.56620
1986,Hesse,West,Part-time,0.37749,52,132,0.29448,0.46050
1986,"Rhineland-Palatinate, Saarland",West,Full-time,0.54371,48,48,0.40131,0.68611
1986,Baden-Wuerttemberg,West,Full-time,0.59850,152,228,0.53473,0.66227
1986,Baden-Wuerttemberg,West,Part-time,0.28201,76,228,0.22347,0.34054
1986,Bavaria,West,Full-time,0.58837,128,197,0.51948,0.65727
1986,Bavaria,West,Part-time,0.30840,69,197,0.24374,0.37306
1987,Lower Saxony,West,Full-time,0.46321,93,178,0.38974,0.53667
1987,Lower Saxony,West,Part-time,0.31294,53,178,0.24463,0.38125
1987,Lower Saxony,West,Either,0.17590,32,178,0.11981,0.23199
1987,North Rhine-Westphalia,West,Full-time,0.51150,258,465,0.46602,0.55699
1987,North Rhine-Westphalia,West,Part-time,0.36463,163,465,0.32083,0.40843
1987,North Rhine-Westphalia,West,Either,0.08578,44,465,0.06030,0.11126
1987,Hesse,West,Full-time,0.40304,62,110,0.31096,0.49513
1987,Hesse,West,Part-time,0.40333,48,110,0.31124,0.49543
1987,"Rhineland-Palatinate, Saarland",West,Full-time,0.44868,45,80,0.33901,0.55836
1987,"Rhineland-Palatinate, Saarland",West,Part-time,0.36825,35,80,0.26189,0.47461
1987,Baden-Wuerttemberg,West,Full-time,0.46355,141,258,0.40258,0.52452
1987,Baden-Wuerttemberg,West,Part-time,0.32786,81,258,0.27047,0.38525
1987,Baden-Wuerttemberg,West,Either,0.13730,36,258,0.09522,0.17937
1987,Bavaria,West,Full-time,0.48136,108,182,0.40857,0.55415
1987,Bavaria,West,Part-time,0.38796,74,182,0.31697,0.45895
1988,Lower Saxony,West,Full-time,0.49789,83,138,0.41417,0.58162
1988,Lower Saxony,West,Part-time,0.35095,55,138,0.27103,0.43087
1988,North Rhine-Westphalia,West,Full-time,0.49012,244,480,0.44535,0.53489
1988,North Rhine-Westphalia,West,Part-time,0.33471,151,480,0.29245,0.37697
1988,North Rhine-Westphalia,West,Either,0.10249,45,480,0.07533,0.12966
1988,North Rhine-Westphalia,West,I'm not sure yet,0.07268,40,480,0.04943,0.09593
1988,Hesse,West,Full-time,0.50704,79,135,0.42239,0.59169
1988,Hesse,West,Part-time,0.36793,56,135,0.28628,0.44958
1988,"Rhineland-Palatinate, Saarland",West,Full-time,0.46258,55,55,0.32959,0.59557
1988,Baden-Wuerttemberg,West,Full-time,0.54407,149,221,0.47826,0.60989
1988,Baden-Wuerttemberg,West,Part-time,0.31112,72,221,0.24995,0.37230
1988,Bavaria,West,Full-time,0.54299,102,169,0.46766,0.61832
1988,Bavaria,West,Part-time,0.31868,67,169,0.24822,0.38914
1989,Lower Saxony,West,Full-time,0.49326,72,117,0.40228,0.58424
1989,Lower Saxony,West,Part-time,0.33317,45,117,0.24740,0.41895
1989,North Rhine-Westphalia,West,Full-time,0.46460,194,404,0.41590,0.51329
1989,North Rhine-Westphalia,West,Part-time,0.36392,135,404,0.31695,0.41090
1989,North Rhine-Westphalia,West,Either,0.07013,33,404,0.04520,0.09506
1989,North Rhine-Westphalia,West,I'm not sure yet,0.10135,42,404,0.07189,0.13082
1989,Hesse,West,Full-time,0.47484,66,115,0.38317,0.56651
1989,Hesse,West,Part-time,0.31562,49,115,0.23031,0.40094
1989,"Rhineland-Palatinate, Saarland",West,Full-time,0.47994,46,46,0.33397,0.62591
1989,Baden-Wuerttemberg,West,Full-time,0.50379,109,183,0.43115,0.57643
1989,Baden-Wuerttemberg,West,Part-time,0.36010,74,183,0.29036,0.42985
1989,Bavaria,West,Full-time,0.52177,98,166,0.44555,0.59799
1989,Bavaria,West,Part-time,0.36764,68,166,0.29407,0.44121
1990,Brandenburg,East,Full-time,0.57827,38,38,0.41915,0.73740
1990,Saxony,East,Full-time,0.44665,38,38,0.28646,0.60684
1991,Lower Saxony,West,Full-time,0.40818,57,104,0.31326,0.50310
1991,Lower Saxony,West,Part-time,0.37850,47,104,0.28483,0.47217
1991,North Rhine-Westphalia,West,Full-time,0.45326,163,316,0.39828,0.50823
1991,North Rhine-Westphalia,West,Part-time,0.37755,119,316,0.32402,0.43109
1991,North Rhine-Westphalia,West,Either,0.08709,34,316,0.05595,0.11823
1991,Hesse,West,Full-time,0.48125,57,94,0.37970,0.58280
1991,Hesse,West,Part-time,0.43931,37,94,0.33844,0.54018
1991,"Rhineland-Palatinate, Saarland",West,Full-time,0.49449,33,33,0.32126,0.66772
1991,Baden-Wuerttemberg,West,Full-time,0.45923,93,171,0.38432,0.53415
1991,Baden-Wuerttemberg,West,Part-time,0.39249,78,171,0.31908,0.46589
1991,Bavaria,West,Full-time,0.39687,72,153,0.31909,0.47465
1991,Bavaria,West,Part-time,0.47997,81,153,0.40055,0.55940
1991,Brandenburg,East,Full-time,0.54469,49,49,0.40381,0.68558
