year,bula_h,quintil_oecd,plb0240,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,1st Quintile,Full-time,0.51432,56,56,0.38223,0.64641
1984,North Rhine-Westphalia,1st Quintile,Full-time,0.53840,118,204,0.46982,0.60698
1984,North Rhine-Westphalia,1st Quintile,Part-time,0.25426,54,204,0.19436,0.31416
1984,North Rhine-Westphalia,1st Quintile,Either,0.13470,32,204,0.08774,0.18167
1984,North Rhine-Westphalia,2nd Quintile,Full-time,0.45805,65,117,0.36738,0.54872
1984,North Rhine-Westphalia,2nd Quintile,Part-time,0.41305,52,117,0.32345,0.50266
1984,North Rhine-Westphalia,3rd Quintile,Full-time,0.48582,55,90,0.38198,0.58966
1984,North Rhine-Westphalia,3rd Quintile,Part-time,0.36702,35,90,0.26688,0.46716
1984,North Rhine-Westphalia,4th Quintile,Full-time,0.43414,45,80,0.32484,0.54343
1984,North Rhine-Westphalia,4th Quintile,Part-time,0.35642,35,80,0.25081,0.46204
1984,Hesse,1st Quintile,Full-time,0.39988,35,35,0.23521,0.56454
1984,Baden-Wuerttemberg,1st Quintile,Full-time,0.38861,47,93,0.28901,0.48822
1984,Baden-Wuerttemberg,1st Quintile,Part-time,0.53137,46,93,0.42940,0.63334
1984,Baden-Wuerttemberg,2nd Quintile,Full-time,0.53761,49,80,0.42767,0.64756
1984,Baden-Wuerttemberg,2nd Quintile,Part-time,0.37096,31,80,0.26444,0.47749
1984,Baden-Wuerttemberg,4th Quintile,Full-time,0.57651,31,31,0.39969,0.75333
1984,Bavaria,1st Quintile,Full-time,0.35573,39,70,0.24277,0.46869
1984,Bavaria,1st Quintile,Part-time,0.43998,31,70,0.32285,0.55710
1984,Bavaria,2nd Quintile,Full-time,0.46030,35,35,0.29276,0.62784
1985,Lower Saxony,1st Quintile,Full-time,0.66254,48,48,0.52736,0.79772
1985,North Rhine-Westphalia,1st Quintile,Full-time,0.59331,110,160,0.51696,0.66966
1985,North Rhine-Westphalia,1st Quintile,Part-time,0.26519,50,160,0.19657,0.33381
1985,North Rhine-Westphalia,2nd Quintile,Full-time,0.45228,50,96,0.35219,0.55237
1985,North Rhine-Westphalia,2nd Quintile,Part-time,0.44355,46,96,0.34364,0.54345
1985,North Rhine-Westphalia,3rd Quintile,Full-time,0.56478,38,38,0.40503,0.72453
1985,Hesse,1st Quintile,Full-time,0.50860,37,37,0.34529,0.67191
1985,Baden-Wuerttemberg,1st Quintile,Full-time,0.40070,42,42,0.25070,0.55071
1985,Baden-Wuerttemberg,2nd Quintile,Full-time,0.55083,40,40,0.39471,0.70694
1985,Baden-Wuerttemberg,3rd Quintile,Full-time,0.50673,32,32,0.33074,0.68273
1985,Bavaria,2nd Quintile,Full-time,0.59066,34,34,0.42289,0.75842
1986,Lower Saxony,1st Quintile,Full-time,0.54264,37,37,0.37990,0.70538
1986,North Rhine-Westphalia,1st Quintile,Full-time,0.56372,104,151,0.48436,0.64309
1986,North Rhine-Westphalia,1st Quintile,Part-time,0.27897,47,151,0.20720,0.35075
1986,North Rhine-Westphalia,2nd Quintile,Full-time,0.50782,57,91,0.40454,0.61111
1986,North Rhine-Westphalia,2nd Quintile,Part-time,0.38761,34,91,0.28695,0.48826
1986,North Rhine-Westphalia,3rd Quintile,Full-time,0.52439,43,43,0.37335,0.67542
1986,North Rhine-Westphalia,4th Quintile,Full-time,0.41814,33,33,0.24723,0.58904
1986,Hesse,1st Quintile,Full-time,0.47725,33,33,0.30418,0.65031
1986,Baden-Wuerttemberg,1st Quintile,Full-time,0.55476,48,48,0.41267,0.69685
1986,Baden-Wuerttemberg,2nd Quintile,Full-time,0.57677,38,38,0.41757,0.73597
1986,Baden-Wuerttemberg,3rd Quintile,Full-time,0.62891,31,31,0.45603,0.80178
1986,Bavaria,1st Quintile,Full-time,0.64783,33,33,0.48233,0.81332
1987,Lower Saxony,1st Quintile,Full-time,0.50715,41,41,0.35222,0.66209
1987,North Rhine-Westphalia,1st Quintile,Full-time,0.59437,99,148,0.51499,0.67374
1987,North Rhine-Westphalia,1st Quintile,Part-time,0.29213,49,148,0.21861,0.36564
1987,North Rhine-Westphalia,2nd Quintile,Full-time,0.42600,56,105,0.33096,0.52103
1987,North Rhine-Westphalia,2nd Quintile,Part-time,0.46881,49,105,0.37290,0.56472
1987,North Rhine-Westphalia,3rd Quintile,Full-time,0.51620,45,45,0.36854,0.66386
1987,Baden-Wuerttemberg,1st Quintile,Full-time,0.55829,43,43,0.40810,0.70848
1987,Baden-Wuerttemberg,2nd Quintile,Full-time,0.42989,39,39,0.27249,0.58730
1988,North Rhine-Westphalia,1st Quintile,Full-time,0.53345,104,151,0.45361,0.61329
1988,North Rhine-Westphalia,1st Quintile,Part-time,0.29000,47,151,0.21738,0.36262
1988,North Rhine-Westphalia,2nd Quintile,Full-time,0.45594,46,85,0.34943,0.56246
1988,North Rhine-Westphalia,2nd Quintile,Part-time,0.36671,39,85,0.26365,0.46977
1988,North Rhine-Westphalia,3rd Quintile,Full-time,0.42401,38,38,0.26477,0.58325
1988,North Rhine-Westphalia,4th Quintile,Full-time,0.44414,32,32,0.26923,0.61905
1988,Baden-Wuerttemberg,1st Quintile,Full-time,0.59855,50,50,0.46130,0.73580
1988,Baden-Wuerttemberg,2nd Quintile,Full-time,0.38867,33,33,0.21978,0.55756
1989,North Rhine-Westphalia,1st Quintile,Full-time,0.61227,89,121,0.52509,0.69944
1989,North Rhine-Westphalia,1st Quintile,Part-time,0.23441,32,121,0.15861,0.31020
1989,North Rhine-Westphalia,2nd Quintile,Part-time,0.42250,33,33,0.25135,0.59364
1989,North Rhine-Westphalia,3rd Quintile,Full-time,0.50812,40,40,0.35122,0.66503
1989,Baden-Wuerttemberg,1st Quintile,Full-time,0.66031,35,35,0.50112,0.81951
1989,Baden-Wuerttemberg,2nd Quintile,Full-time,0.46063,31,31,0.28226,0.63900
1989,Bavaria,1st Quintile,Full-time,0.72507,32,32,0.56790,0.88224
1991,North Rhine-Westphalia,1st Quintile,Full-time,0.52235,57,89,0.41798,0.62671
1991,North Rhine-Westphalia,1st Quintile,Part-time,0.32422,32,89,0.22642,0.42202
1991,North Rhine-Westphalia,2nd Quintile,Full-time,0.39075,39,73,0.27805,0.50345
1991,North Rhine-Westphalia,2nd Quintile,Part-time,0.40365,34,73,0.29032,0.51698
1991,North Rhine-Westphalia,4th Quintile,Full-time,0.53095,34,34,0.36068,0.70122
1991,Baden-Wuerttemberg,1st Quintile,Full-time,0.60497,34,34,0.43818,0.77176
1992,North Rhine-Westphalia,1st Quintile,Full-time,0.46722,39,39,0.30858,0.62585
1992,North Rhine-Westphalia,2nd Quintile,Full-time,0.45665,47,84,0.34948,0.56381
1992,North Rhine-Westphalia,2nd Quintile,Part-time,0.38338,37,84,0.27878,0.48798
1992,North Rhine-Westphalia,3rd Quintile,Full-time,0.48177,41,41,0.32692,0.63662
1992,Brandenburg,1st Quintile,Full-time,0.62407,38,38,0.46800,0.78015
1992,Saxony,1st Quintile,Full-time,0.60230,58,58,0.47524,0.72936
1992,Thuringa,1st Quintile,Full-time,0.65896,42,42,0.51386,0.80407
1993,North Rhine-Westphalia,1st Quintile,Full-time,0.43181,51,51,0.29451,0.56910
1993,North Rhine-Westphalia,2nd Quintile,Full-time,0.41765,41,80,0.30890,0.52641
1993,North Rhine-Westphalia,2nd Quintile,Part-time,0.39687,39,80,0.28898,0.50476
1993,North Rhine-Westphalia,3rd Quintile,Full-time,0.44615,34,34,0.27655,0.61576
1993,Baden-Wuerttemberg,1st Quintile,Full-time,0.35830,38,38,0.20379,0.51280
1993,Baden-Wuerttemberg,3rd Quintile,Full-time,0.43944,32,32,0.26472,0.61416
1993,Saxony,1st Quintile,Full-time,0.57792,44,44,0.43029,0.72554
1993,Saxony,2nd Quintile,Full-time,0.59007,32,32,0.41694,0.76320
1994,North Rhine-Westphalia,1st Quintile,Full-time,0.50740,61,97,0.40739,0.60741
1994,North Rhine-Westphalia,1st Quintile,Part-time,0.31343,36,97,0.22064,0.40623
1994,North Rhine-Westphalia,2nd Quintile,Full-time,0.45759,46,88,0.35290,0.56228
1994,North Rhine-Westphalia,2nd Quintile,Part-time,0.43336,42,88,0.32923,0.53749
1994,Baden-Wuerttemberg,1st Quintile,Full-time,0.43669,38,38,0.27687,0.59650
1994,Saxony,1st Quintile,Full-time,0.57178,42,42,0.42032,0.72325
1994,Saxony,2nd Quintile,Full-time,0.45951,35,35,0.29199,0.62703
1994,Thuringa,1st Quintile,Full-time,0.63412,39,39,0.48097,0.78727
1995,Lower Saxony,1st Quintile,Full-time,0.56737,36,36,0.40323,0.73151
1995,North Rhine-Westphalia,1st Quintile,Full-time,0.48539,73,116,0.39404,0.57673
