,Unnamed: 0,year,age_gr,quintil_oecd,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
0,0,1984,17-29 y.,1st Quintile,Full-time,0.58049,218,1508,0.52865,0.64998
1,1,1984,17-29 y.,1st Quintile,Part-time,0.22896,80,1508,0.2011,0.25779
2,2,1984,17-29 y.,1st Quintile,Either,0.19056,62,1508,0.1622,0.22309
3,3,1984,17-29 y.,2nd Quintile,Full-time,0.66347,161,1508,0.60929,0.71485
4,4,1984,17-29 y.,2nd Quintile,Part-time,0.20506,54,1508,0.17746,0.22982
5,5,1984,17-29 y.,2nd Quintile,Either,0.13146,31,1508,0.10667,0.15878
6,6,1984,17-29 y.,3rd Quintile,Full-time,0.76813,136,1508,0.69086,0.82329
7,7,1984,17-29 y.,3rd Quintile,Part-time,0.23187,38,1508,0.21264,0.24944
8,8,1984,17-29 y.,4th Quintile,Full-time,1.0,119,1508,0.9178,1.07215
9,9,1984,17-29 y.,5th Quintile,Full-time,1.0,82,1508,0.92918,1.05664
10,10,1984,30-45 y.,1st Quintile,Full-time,0.38932,87,1508,0.33493,0.44246
11,11,1984,30-45 y.,1st Quintile,Part-time,0.61068,110,1508,0.56355,0.65565
12,12,1984,30-45 y.,2nd Quintile,Full-time,0.237,41,1508,0.18573,0.3163
13,13,1984,30-45 y.,2nd Quintile,Part-time,0.763,84,1508,0.70048,0.81784
14,14,1984,30-45 y.,3rd Quintile,Part-time,1.0,68,1508,0.92132,1.06729
15,15,1984,30-45 y.,4th Quintile,Part-time,1.0,53,1508,0.92752,1.05541
16,16,1984,30-45 y.,5th Quintile,Part-time,1.0,45,1508,0.92414,1.05954
17,17,1984,46-65 y.,1st Quintile,Full-time,1.0,39,1508,0.73112,1.29856
18,18,1985,17-29 y.,1st Quintile,Full-time,0.6663,211,1169,0.60851,0.73493
19,19,1985,17-29 y.,1st Quintile,Part-time,0.21395,68,1169,0.18536,0.2475
20,20,1985,17-29 y.,1st Quintile,Either,0.11976,32,1169,0.08819,0.15286
21,21,1985,17-29 y.,2nd Quintile,Full-time,0.74839,123,1169,0.68388,0.82179
22,22,1985,17-29 y.,2nd Quintile,Part-time,0.25161,42,1169,0.21742,0.28366
23,23,1985,17-29 y.,3rd Quintile,Full-time,1.0,133,1169,0.91488,1.08629
24,24,1985,17-29 y.,4th Quintile,Full-time,1.0,90,1169,0.9171,1.08741
25,25,1985,17-29 y.,5th Quintile,Full-time,1.0,75,1169,0.92483,1.06779
26,26,1985,30-45 y.,1st Quintile,Full-time,0.43635,66,1169,0.35536,0.51834
27,27,1985,30-45 y.,1st Quintile,Part-time,0.56365,74,1169,0.48973,0.64738
28,28,1985,30-45 y.,2nd Quintile,Full-time,0.2836,37,1169,0.21735,0.3608
29,29,1985,30-45 y.,2nd Quintile,Part-time,0.7164,70,1169,0.63604,0.76952
30,30,1985,30-45 y.,3rd Quintile,Part-time,1.0,42,1169,0.92118,1.07634
31,31,1985,30-45 y.,4th Quintile,Part-time,1.0,35,1169,0.89151,1.1092
32,32,1985,30-45 y.,5th Quintile,Part-time,1.0,33,1169,0.95992,1.03051
33,33,1985,46-65 y.,1st Quintile,Full-time,1.0,38,1169,0.78084,1.22941
34,34,1986,17-29 y.,1st Quintile,Full-time,0.75207,198,1093,0.68162,0.85202
35,35,1986,17-29 y.,1st Quintile,Part-time,0.24793,59,1093,0.20947,0.28311
36,36,1986,17-29 y.,2nd Quintile,Full-time,0.76555,129,1093,0.67394,0.8613
37,37,1986,17-29 y.,2nd Quintile,Part-time,0.23445,39,1093,0.18236,0.28
38,38,1986,17-29 y.,3rd Quintile,Full-time,1.0,111,1093,0.87875,1.11487
39,39,1986,17-29 y.,4th Quintile,Full-time,1.0,95,1093,0.8934,1.08186
40,40,1986,17-29 y.,5th Quintile,Full-time,1.0,79,1093,0.89379,1.08612
41,41,1986,30-45 y.,1st Quintile,Full-time,0.49772,59,1093,0.41355,0.5833
42,42,1986,30-45 y.,1st Quintile,Part-time,0.50228,67,1093,0.42698,0.57471
43,43,1986,30-45 y.,2nd Quintile,Full-time,0.27285,32,1093,0.20934,0.32869
44,44,1986,30-45 y.,2nd Quintile,Part-time,0.72715,66,1093,0.65748,0.79277
45,45,1986,30-45 y.,3rd Quintile,Part-time,1.0,46,1093,0.88503,1.10411
46,46,1986,30-45 y.,4th Quintile,Part-time,1.0,38,1093,0.87398,1.11991
