year,bula_h,plb0240,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1984,Lower Saxony,Full-time,0.59143,114,1670,0.59032,0.59254
1984,Lower Saxony,Part-time,0.40857,72,1670,0.40746,0.40968
1984,North Rhine-Westphalia,Full-time,0.49524,315,1670,0.49460,0.49589
1984,North Rhine-Westphalia,Part-time,0.32728,191,1670,0.32668,0.32789
1984,North Rhine-Westphalia,Either,0.10314,71,1670,0.10274,0.10353
1984,North Rhine-Westphalia,I'm not sure yet,0.07434,53,1670,0.07400,0.07467
1984,Hesse,Full-time,0.55741,108,1670,0.55612,0.55871
1984,Hesse,Part-time,0.44259,72,1670,0.44129,0.44388
1984,"Rhineland-Palatinate, Saarland",Full-time,0.51791,58,1670,0.51646,0.51937
1984,"Rhineland-Palatinate, Saarland",Part-time,0.48209,48,1670,0.48063,0.48354
1984,Baden-Wuerttemberg,Full-time,0.54370,163,1670,0.54265,0.54474
1984,Baden-Wuerttemberg,Part-time,0.45630,120,1670,0.45526,0.45735
1984,Bavaria,Full-time,0.44828,131,1670,0.44735,0.44921
1984,Bavaria,Part-time,0.41676,111,1670,0.41584,0.41769
1984,Bavaria,Either,0.13496,43,1670,0.13431,0.13560
1985,Lower Saxony,Full-time,0.69677,119,1274,0.69576,0.69779
1985,Lower Saxony,Part-time,0.30323,46,1274,0.30221,0.30424
1985,North Rhine-Westphalia,Full-time,0.58664,249,1274,0.58591,0.58738
1985,North Rhine-Westphalia,Part-time,0.34215,144,1274,0.34144,0.34286
1985,North Rhine-Westphalia,I'm not sure yet,0.07121,33,1274,0.07083,0.07159
1985,Hesse,Full-time,0.57508,85,1274,0.57363,0.57653
1985,Hesse,Part-time,0.42492,58,1274,0.42347,0.42637
1985,"Rhineland-Palatinate, Saarland",Full-time,0.60606,47,1274,0.60442,0.60771
1985,"Rhineland-Palatinate, Saarland",Part-time,0.39394,31,1274,0.39229,0.39558
1985,Baden-Wuerttemberg,Full-time,0.59234,151,1274,0.59124,0.59344
1985,Baden-Wuerttemberg,Part-time,0.40766,85,1274,0.40656,0.40876
1985,Bavaria,Full-time,0.62473,122,1274,0.62369,0.62577
1985,Bavaria,Part-time,0.37527,72,1274,0.37423,0.37631
1985,Berlin,Full-time,1.00000,32,1274,1.00000,1.00000
1986,Lower Saxony,Full-time,0.64248,90,1238,0.64128,0.64367
1986,Lower Saxony,Part-time,0.35752,47,1238,0.35633,0.35872
1986,North Rhine-Westphalia,Full-time,0.53489,269,1238,0.53421,0.53558
1986,North Rhine-Westphalia,Part-time,0.32725,151,1238,0.32660,0.32789
1986,North Rhine-Westphalia,Either,0.06811,35,1238,0.06777,0.06846
1986,North Rhine-Westphalia,I'm not sure yet,0.06974,41,1238,0.06939,0.07009
1986,Hesse,Full-time,0.55998,80,1238,0.55850,0.56146
1986,Hesse,Part-time,0.44002,52,1238,0.43854,0.44150
1986,"Rhineland-Palatinate, Saarland",Full-time,1.00000,48,1238,1.00000,1.00000
1986,Baden-Wuerttemberg,Full-time,0.67979,152,1238,0.67875,0.68084
1986,Baden-Wuerttemberg,Part-time,0.32021,76,1238,0.31916,0.32125
1986,Bavaria,Full-time,0.65634,128,1238,0.65536,0.65733
1986,Bavaria,Part-time,0.34366,69,1238,0.34267,0.34464
1987,Lower Saxony,Full-time,0.48618,93,1273,0.48510,0.48727
1987,Lower Saxony,Part-time,0.32933,53,1273,0.32831,0.33035
1987,Lower Saxony,Either,0.18449,32,1273,0.18364,0.18533
1987,North Rhine-Westphalia,Full-time,0.53189,258,1273,0.53119,0.53259
1987,North Rhine-Westphalia,Part-time,0.37896,163,1273,0.37828,0.37964
1987,North Rhine-Westphalia,Either,0.08915,44,1273,0.08875,0.08955
1987,Hesse,Full-time,0.49941,62,1273,0.49787,0.50096
1987,Hesse,Part-time,0.50059,48,1273,0.49904,0.50213
1987,"Rhineland-Palatinate, Saarland",Full-time,0.54932,45,1273,0.54771,0.55093
1987,"Rhineland-Palatinate, Saarland",Part-time,0.45068,35,1273,0.44907,0.45229
1987,Baden-Wuerttemberg,Full-time,0.49923,141,1273,0.49814,0.50032
1987,Baden-Wuerttemberg,Part-time,0.35292,81,1273,0.35188,0.35396
1987,Baden-Wuerttemberg,Either,0.14785,36,1273,0.14708,0.14862
1987,Bavaria,Full-time,0.55412,108,1273,0.55306,0.55518
1987,Bavaria,Part-time,0.44588,74,1273,0.44482,0.44694
1988,Lower Saxony,Full-time,0.58634,83,1198,0.58516,0.58751
1988,Lower Saxony,Part-time,0.41366,55,1198,0.41249,0.41484
1988,North Rhine-Westphalia,Full-time,0.49007,244,1198,0.48940,0.49073
1988,North Rhine-Westphalia,Part-time,0.33478,151,1198,0.33415,0.33540
1988,North Rhine-Westphalia,Either,0.10247,45,1198,0.10207,0.10287
1988,North Rhine-Westphalia,I'm not sure yet,0.07269,40,1198,0.07234,0.07303
1988,Hesse,Full-time,0.57935,79,1198,0.57796,0.58073
1988,Hesse,Part-time,0.42065,56,1198,0.41927,0.42204
1988,"Rhineland-Palatinate, Saarland",Full-time,1.00000,55,1198,1.00000,1.00000
1988,Baden-Wuerttemberg,Full-time,0.63610,149,1198,0.63503,0.63717
1988,Baden-Wuerttemberg,Part-time,0.36390,72,1198,0.36283,0.36497
1988,Bavaria,Full-time,0.63008,102,1198,0.62901,0.63116
1988,Bavaria,Part-time,0.36992,67,1198,0.36884,0.37099
1989,Lower Saxony,Full-time,0.59698,72,1031,0.59573,0.59823
1989,Lower Saxony,Part-time,0.40302,45,1031,0.40177,0.40427
1989,North Rhine-Westphalia,Full-time,0.46461,194,1031,0.46389,0.46533
1989,North Rhine-Westphalia,Part-time,0.36398,135,1031,0.36329,0.36468
1989,North Rhine-Westphalia,Either,0.07002,33,1031,0.06966,0.07039
1989,North Rhine-Westphalia,I'm not sure yet,0.10138,42,1031,0.10095,0.10182
1989,Hesse,Full-time,0.60061,66,1031,0.59910,0.60211
1989,Hesse,Part-time,0.39939,49,1031,0.39789,0.40090
1989,"Rhineland-Palatinate, Saarland",Full-time,1.00000,46,1031,1.00000,1.00000
1989,Baden-Wuerttemberg,Full-time,0.58322,109,1031,0.58205,0.58440
1989,Baden-Wuerttemberg,Part-time,0.41678,74,1031,0.41560,0.41795
1989,Bavaria,Full-time,0.58672,98,1031,0.58566,0.58778
1989,Bavaria,Part-time,0.41328,68,1031,0.41222,0.41434
1990,Brandenburg,Full-time,1.00000,38,76,1.00000,1.00000
1990,Saxony,Full-time,1.00000,38,76,1.00000,1.00000
1991,Lower Saxony,Full-time,0.51904,57,1207,0.51769,0.52039
1991,Lower Saxony,Part-time,0.48096,47,1207,0.47961,0.48231
1991,North Rhine-Westphalia,Full-time,0.49373,163,1207,0.49293,0.49453
1991,North Rhine-Westphalia,Part-time,0.41145,119,1207,0.41067,0.41224
1991,North Rhine-Westphalia,Either,0.09482,34,1207,0.09435,0.09529
1991,Hesse,Full-time,0.52279,57,1207,0.52129,0.52429
1991,Hesse,Part-time,0.47721,37,1207,0.47571,0.47871
1991,"Rhineland-Palatinate, Saarland",Full-time,1.00000,33,1207,1.00000,1.00000
1991,Baden-Wuerttemberg,Full-time,0.53857,93,1207,0.53737,0.53978
1991,Baden-Wuerttemberg,Part-time,0.46143,78,1207,0.46022,0.46263
1991,Bavaria,Full-time,0.45249,72,1207,0.45136,0.45363
1991,Bavaria,Part-time,0.54751,81,1207,0.54637,0.54864
1991,Berlin,Full-time,1.00000,48,1207,1.00000,1.00000
1991,Brandenburg,Full-time,1.00000,49,1207,1.00000,1.00000
1991,Mecklenburg-Western Pomerania,Full-time,1.00000,31,1207,1.00000,1.00000
1991,Saxony,Full-time,0.66680,79,1207,0.66523,0.66837
1991,Saxony,Part-time,0.33320,37,1207,0.33163,0.33477
1991,Saxony-Anhalt,Full-time,1.00000,38,1207,1.00000,1.00000
1991,Thuringa,Full-time,1.00000,54,1207,1.00000,1.00000
1992,Lower Saxony,Full-time,0.50836,63,1524,0.50708,0.50965
1992,Lower Saxony,Part-time,0.49164,51,1524,0.49035,0.49292
1992,North Rhine-Westphalia,Full-time,0.48013,176,1524,0.47941,0.48086
1992,North Rhine-Westphalia,Part-time,0.35083,128,1524,0.35014,0.35152
1992,North Rhine-Westphalia,Either,0.07998,32,1524,0.07959,0.08038
1992,North Rhine-Westphalia,I'm not sure yet,0.08905,33,1524,0.08864,0.08947
1992,Hesse,Full-time,0.50546,58,1524,0.50393,0.50699
1992,Hesse,Part-time,0.49454,45,1524,0.49301,0.49607
1992,"Rhineland-Palatinate, Saarland",Full-time,0.51435,37,1524,0.51268,0.51601
1992,"Rhineland-Palatinate, Saarland",Part-time,0.48565,39,1524,0.48399,0.48732
1992,Baden-Wuerttemberg,Full-time,0.59673,116,1524,0.59559,0.59787
1992,Baden-Wuerttemberg,Part-time,0.40327,74,1524,0.40213,0.40441
1992,Bavaria,Full-time,0.48038,73,1524,0.47928,0.48148
1992,Bavaria,Part-time,0.51962,81,1524,0.51852,0.52072
1992,Berlin,Full-time,1.00000,63,1524,1.00000,1.00000
1992,Brandenburg,Full-time,1.00000,68,1524,1.00000,1.00000
1992,Mecklenburg-Western Pomerania,Full-time,1.00000,50,1524,1.00000,1.00000
1992,Saxony,Full-time,0.66623,123,1524,0.66503,0.66744
1992,Saxony,Part-time,0.17856,33,1524,0.17758,0.17953
1992,Saxony,Either,0.15521,31,1524,0.15429,0.15614
1992,Saxony-Anhalt,Full-time,1.00000,75,1524,1.00000,1.00000
1992,Thuringa,Full-time,1.00000,75,1524,1.00000,1.00000
1993,Lower Saxony,Full-time,0.60578,71,1520,0.60450,0.60707
1993,Lower Saxony,Part-time,0.39422,40,1520,0.39293,0.39550
1993,North Rhine-Westphalia,Full-time,0.44184,171,1520,0.44110,0.44258
1993,North Rhine-Westphalia,Part-time,0.35620,128,1520,0.35549,0.35691
1993,North Rhine-Westphalia,Either,0.11456,38,1520,0.11408,0.11503
1993,North Rhine-Westphalia,I'm not sure yet,0.08740,35,1520,0.08699,0.08782
1993,Hesse,Full-time,0.64151,49,1520,0.63997,0.64304
1993,Hesse,Part-time,0.35849,37,1520,0.35696,0.36003
1993,"Rhineland-Palatinate, Saarland",Part-time,1.00000,36,1520,1.00000,1.00000
1993,Baden-Wuerttemberg,Full-time,0.50379,121,1520,0.50273,0.50486
1993,Baden-Wuerttemberg,Part-time,0.49621,87,1520,0.49514,0.49727
1993,Bavaria,Full-time,0.45926,72,1520,0.45812,0.46040
1993,Bavaria,Part-time,0.54074,82,1520,0.53960,0.54188
1993,Berlin,Full-time,1.00000,53,1520,1.00000,1.00000
1993,Brandenburg,Full-time,1.00000,63,1520,1.00000,1.00000
1993,Mecklenburg-Western Pomerania,Full-time,1.00000,59,1520,1.00000,1.00000
1993,Saxony,Full-time,0.62851,112,1520,0.62732,0.62970
1993,Saxony,Part-time,0.17385,34,1520,0.17291,0.17478
1993,Saxony,Either,0.19764,39,1520,0.19666,0.19862
1993,Saxony-Anhalt,Full-time,0.64871,77,1520,0.64717,0.65024
1993,Saxony-Anhalt,Either,0.35129,42,1520,0.34976,0.35283
1993,Thuringa,Full-time,1.00000,74,1520,1.00000,1.00000
1994,Lower Saxony,Full-time,0.56135,68,1542,0.56010,0.56261
1994,Lower Saxony,Part-time,0.43865,45,1542,0.43739,0.43990
1994,North Rhine-Westphalia,Full-time,0.45339,182,1542,0.45268,0.45410
1994,North Rhine-Westphalia,Part-time,0.35042,133,1542,0.34973,0.35110
1994,North Rhine-Westphalia,Either,0.08532,36,1542,0.08492,0.08572
1994,North Rhine-Westphalia,I'm not sure yet,0.11088,46,1542,0.11043,0.11133
1994,Hesse,Full-time,0.56512,54,1542,0.56370,0.56655
1994,Hesse,Part-time,0.43488,46,1542,0.43345,0.43630
1994,"Rhineland-Palatinate, Saarland",Full-time,1.00000,41,1542,1.00000,1.00000
1994,Baden-Wuerttemberg,Full-time,0.59292,133,1542,0.59192,0.59393
1994,Baden-Wuerttemberg,Part-time,0.40708,87,1542,0.40607,0.40808
1994,Bavaria,Full-time,0.51373,85,1542,0.51273,0.51473
1994,Bavaria,Part-time,0.48627,87,1542,0.48527,0.48727
1994,Berlin,Full-time,1.00000,42,1542,1.00000,1.00000
1994,Brandenburg,Full-time,1.00000,59,1542,1.00000,1.00000
1994,Mecklenburg-Western Pomerania,Full-time,1.00000,57,1542,1.00000,1.00000
1994,Saxony,Full-time,0.59403,118,1542,0.59283,0.59523
1994,Saxony,Part-time,0.20909,41,1542,0.20810,0.21008
1994,Saxony,Either,0.19688,39,1542,0.19591,0.19785
1994,Saxony-Anhalt,Full-time,1.00000,67,1542,1.00000,1.00000
1994,Thuringa,Full-time,1.00000,76,1542,1.00000,1.00000
1995,Lower Saxony,Full-time,0.57904,82,1696,0.57783,0.58026
1995,Lower Saxony,Part-time,0.42096,55,1696,0.41974,0.42217
1995,North Rhine-Westphalia,Full-time,0.45120,197,1696,0.45048,0.45192
1995,North Rhine-Westphalia,Part-time,0.36306,145,1696,0.36236,0.36375
1995,North Rhine-Westphalia,Either,0.11409,49,1696,0.11363,0.11455
1995,North Rhine-Westphalia,I'm not sure yet,0.07165,32,1696,0.07127,0.07202
1995,Hesse,Full-time,0.54524,62,1696,0.54391,0.54657
1995,Hesse,Part-time,0.45476,49,1696,0.45343,0.45609
1995,"Rhineland-Palatinate, Saarland",Full-time,0.66364,53,1696,0.66224,0.66505
1995,"Rhineland-Palatinate, Saarland",Part-time,0.33636,31,1696,0.33495,0.33776
1995,Baden-Wuerttemberg,Full-time,0.46460,140,1696,0.46363,0.46557
1995,Baden-Wuerttemberg,Part-time,0.39236,87,1696,0.39141,0.39331
1995,Baden-Wuerttemberg,Either,0.14305,39,1696,0.14237,0.14373
1995,Bavaria,Full-time,0.52858,106,1696,0.52761,0.52955
1995,Bavaria,Part-time,0.47142,101,1696,0.47045,0.47239
1995,Berlin,Full-time,1.00000,58,1696,1.00000,1.00000
1995,Brandenburg,Full-time,1.00000,49,1696,1.00000,1.00000
1995,Mecklenburg-Western Pomerania,Full-time,1.00000,51,1696,1.00000,1.00000
1995,Saxony,Full-time,0.53520,101,1696,0.53391,0.53649
1995,Saxony,Part-time,0.24070,40,1696,0.23959,0.24181
1995,Saxony,Either,0.22410,42,1696,0.22302,0.22518
1995,Saxony-Anhalt,Full-time,1.00000,70,1696,1.00000,1.00000
1995,Thuringa,Full-time,1.00000,57,1696,1.00000,1.00000
1996,Lower Saxony,Full-time,0.56132,79,1691,0.56009,0.56256
1996,Lower Saxony,Part-time,0.43868,56,1691,0.43744,0.43991
1996,North Rhine-Westphalia,Full-time,0.41701,190,1691,0.41633,0.41769
1996,North Rhine-Westphalia,Part-time,0.35107,145,1691,0.35041,0.35173
1996,North Rhine-Westphalia,Either,0.13781,49,1691,0.13733,0.13828
1996,North Rhine-Westphalia,I'm not sure yet,0.09411,42,1691,0.09371,0.09451
