"year","alter_gr","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2006","16-34 J.","Laendlicher Raum","7.6","7.5","1717","7.51","7.69"
"2006","16-34 J.","Staedtischer Raum","7.52","7.5","3296","7.45","7.59"
"2006","35-65 J.","Laendlicher Raum","7.63","7.5","4182","7.57","7.69"
"2006","35-65 J.","Staedtischer Raum","7.48","7.5","8080","7.44","7.52"
"2006","66 und älter","Laendlicher Raum","7.68","7.5","1516","7.58","7.78"
"2006","66 und älter","Staedtischer Raum","7.7","7.5","2804","7.62","7.78"
"2007","16-34 J.","Laendlicher Raum","7.58","7.5","1593","7.48","7.68"
"2007","16-34 J.","Staedtischer Raum","7.48","7.5","3006","7.41","7.55"
"2007","35-65 J.","Laendlicher Raum","7.52","7.5","3912","7.46","7.58"
"2007","35-65 J.","Staedtischer Raum","7.44","7.5","7420","7.4","7.48"
"2007","66 und älter","Laendlicher Raum","7.76","7.5","1471","7.66","7.86"
"2007","66 und älter","Staedtischer Raum","7.8","7.5","2757","7.73","7.87"
"2008","16-34 J.","Laendlicher Raum","7.72","7.5","1464","7.62","7.82"
"2008","16-34 J.","Staedtischer Raum","7.62","7.5","2843","7.55","7.69"
"2008","35-65 J.","Laendlicher Raum","7.61","7.5","3693","7.54","7.68"
"2008","35-65 J.","Staedtischer Raum","7.55","7.5","6931","7.5","7.6"
"2008","66 und älter","Laendlicher Raum","7.91","7.5","1476","7.81","8.01"
"2008","66 und älter","Staedtischer Raum","7.82","7.5","2752","7.74","7.9"
"2009","16-34 J.","Laendlicher Raum","7.65","7.5","1349","7.55","7.75"
"2009","16-34 J.","Staedtischer Raum","7.69","7.5","2584","7.62","7.76"
"2009","35-65 J.","Laendlicher Raum","7.48","7.5","3526","7.41","7.55"
"2009","35-65 J.","Staedtischer Raum","7.54","7.5","6316","7.49","7.59"
"2009","66 und älter","Laendlicher Raum","7.84","7.5","1446","7.74","7.94"
"2009","66 und älter","Staedtischer Raum","7.88","7.5","2666","7.8","7.96"
"2010","16-34 J.","Laendlicher Raum","7.85","7.5","2257","7.78","7.92"
"2010","16-34 J.","Staedtischer Raum","7.7","7.5","4267","7.64","7.76"
"2010","35-65 J.","Laendlicher Raum","7.6","7.5","4672","7.54","7.66"
"2010","35-65 J.","Staedtischer Raum","7.59","7.5","8643","7.55","7.63"
"2010","66 und älter","Laendlicher Raum","7.88","7.5","1381","7.77","7.99"
"2010","66 und älter","Staedtischer Raum","7.83","7.5","2587","7.75","7.91"
"2011","16-34 J.","Laendlicher Raum","8.02","7.5","2220","7.94","8.1"
"2011","16-34 J.","Staedtischer Raum","7.83","7.5","4026","7.77","7.89"
"2011","35-65 J.","Laendlicher Raum","7.69","7.5","5453","7.64","7.74"
"2011","35-65 J.","Staedtischer Raum","7.64","7.5","9489","7.6","7.68"
"2011","66 und älter","Laendlicher Raum","7.83","7.5","1517","7.73","7.93"
"2011","66 und älter","Staedtischer Raum","7.91","7.5","2837","7.84","7.98"
"2012","16-34 J.","Laendlicher Raum","7.92","7.5","2117","7.84","8"
"2012","16-34 J.","Staedtischer Raum","7.94","7.5","3885","7.88","8"
"2012","35-65 J.","Laendlicher Raum","7.79","7.5","5712","7.74","7.84"
"2012","35-65 J.","Staedtischer Raum","7.74","7.5","9602","7.7","7.78"
"2012","66 und älter","Laendlicher Raum","7.9","7.5","1716","7.81","7.99"
"2012","66 und älter","Staedtischer Raum","7.96","7.5","3053","7.89","8.03"
"2013","16-34 J.","Laendlicher Raum","7.92","7.5","1941","7.84","8"
"2013","16-34 J.","Staedtischer Raum","7.91","7.5","3624","7.85","7.97"
"2013","35-65 J.","Laendlicher Raum","7.72","7.5","5567","7.67","7.77"
"2013","35-65 J.","Staedtischer Raum","7.7","7.5","9265","7.66","7.74"
"2013","66 und älter","Laendlicher Raum","7.97","7.5","1735","7.88","8.06"
"2013","66 und älter","Staedtischer Raum","7.98","7.5","3094","7.92","8.04"
"2014","16-34 J.","Laendlicher Raum","7.95","7.5","2078","7.87","8.03"
"2014","16-34 J.","Staedtischer Raum","8.04","7.5","4382","7.99","8.09"
"2014","35-65 J.","Laendlicher Raum","7.71","7.5","5534","7.66","7.76"
"2014","35-65 J.","Staedtischer Raum","7.69","7.5","9944","7.65","7.73"
"2014","66 und älter","Laendlicher Raum","8.05","7.5","1753","7.97","8.13"
"2014","66 und älter","Staedtischer Raum","7.95","7.5","3078","7.88","8.02"
"2015","16-34 J.","Laendlicher Raum","7.89","7.5","1838","7.81","7.97"
"2015","16-34 J.","Staedtischer Raum","7.97","7.5","3813","7.91","8.03"
"2015","35-65 J.","Laendlicher Raum","7.69","7.5","5190","7.64","7.74"
"2015","35-65 J.","Staedtischer Raum","7.71","7.5","9132","7.67","7.75"
"2015","66 und älter","Laendlicher Raum","7.81","7.5","1758","7.72","7.9"
"2015","66 und älter","Staedtischer Raum","7.91","7.5","3021","7.84","7.98"
"2016","16-34 J.","Laendlicher Raum","7.99","7.5","1761","7.91","8.07"
"2016","16-34 J.","Staedtischer Raum","7.99","7.5","3726","7.93","8.05"
"2016","35-65 J.","Laendlicher Raum","7.74","7.5","4943","7.69","7.79"
"2016","35-65 J.","Staedtischer Raum","7.75","7.5","8841","7.71","7.79"
"2016","66 und älter","Laendlicher Raum","7.98","7.5","1720","7.9","8.06"
"2016","66 und älter","Staedtischer Raum","7.85","7.5","2885","7.78","7.92"
"2017","16-34 J.","Laendlicher Raum","7.92","7.5","1960","7.84","8"
"2017","16-34 J.","Staedtischer Raum","8.04","7.5","4064","7.99","8.09"
