"plh0034","year","alter_gr","sex","n","percent","lower_confidence","upper_confidence"
"Grosse Sorgen","2009","16-34 Jahre alt","maennlich","700","0.394793228074286","0.372866094432661","0.416720361715911"
"Grosse Sorgen","2009","16-34 Jahre alt","weiblich","658","0.339095739635249","0.318642794742037","0.35954868452846"
"Grosse Sorgen","2009","35-65 Jahre alt","maennlich","2476","0.515068559259946","0.500786621828737","0.529350496691156"
"Grosse Sorgen","2009","35-65 Jahre alt","weiblich","2604","0.515142012690072","0.501483274163864","0.52880075121628"
"Grosse Sorgen","2009","66 und älter","maennlich","1154","0.574956844264751","0.553176771233354","0.596736917296149"
"Grosse Sorgen","2009","66 und älter","weiblich","1160","0.535598724660724","0.514614897854436","0.556582551467012"
"Einige Sorgen","2009","16-34 Jahre alt","maennlich","910","0.456822926898972","0.43447744175306","0.479168412044883"
"Einige Sorgen","2009","16-34 Jahre alt","weiblich","1074","0.508617632611864","0.48701876930084","0.530216495922888"
"Einige Sorgen","2009","35-65 Jahre alt","maennlich","1879","0.404539311416608","0.390513714691013","0.418564908142203"
"Einige Sorgen","2009","35-65 Jahre alt","weiblich","2195","0.419443277791496","0.405956792683007","0.432929762899985"
"Einige Sorgen","2009","66 und älter","maennlich","647","0.328624809375647","0.307930162896888","0.349319455854406"
"Einige Sorgen","2009","66 und älter","weiblich","775","0.349039627387859","0.328984156282633","0.369095098493085"
"Keine Sorgen","2009","16-34 Jahre alt","maennlich","299","0.148383845026742","0.132437528411185","0.1643301616423"
"Keine Sorgen","2009","16-34 Jahre alt","weiblich","326","0.152286627752888","0.136763443668769","0.167809811837006"
"Keine Sorgen","2009","35-65 Jahre alt","maennlich","349","0.0803921293234458","0.072622102103522","0.0881621565433696"
"Keine Sorgen","2009","35-65 Jahre alt","weiblich","344","0.0654147095184327","0.0586571946781784","0.072172224358687"
"Keine Sorgen","2009","66 und älter","maennlich","178","0.0964183463596018","0.0834139937878206","0.109422698931383"
"Keine Sorgen","2009","66 und älter","weiblich","235","0.115361647951417","0.10192064019978","0.128802655703053"
"Grosse Sorgen","2010","16-34 Jahre alt","maennlich","457","0.27489491181286","0.253820120285485","0.295969703340236"
"Grosse Sorgen","2010","16-34 Jahre alt","weiblich","384","0.198721181049819","0.180552462701275","0.216889899398363"
"Grosse Sorgen","2010","35-65 Jahre alt","maennlich","1789","0.401671872872116","0.387019118026464","0.416324627717768"
"Grosse Sorgen","2010","35-65 Jahre alt","weiblich","1879","0.392376513596774","0.378481962219829","0.406271064973718"
"Grosse Sorgen","2010","66 und älter","maennlich","960","0.506449001053209","0.484045056815695","0.528852945290724"
"Grosse Sorgen","2010","66 und älter","weiblich","908","0.443578099944851","0.422217547774094","0.464938652115609"
"Einige Sorgen","2010","16-34 Jahre alt","maennlich","904","0.505741445207404","0.482140965511651","0.529341924903158"
"Einige Sorgen","2010","16-34 Jahre alt","weiblich","1079","0.598042732012424","0.575719018900958","0.62036644512389"
"Einige Sorgen","2010","35-65 Jahre alt","maennlich","2067","0.475809778234261","0.460882693354783","0.49073686311374"
"Einige Sorgen","2010","35-65 Jahre alt","weiblich","2376","0.509718524883654","0.495493150608082","0.523943899159226"
"Einige Sorgen","2010","66 und älter","maennlich","776","0.389807040720564","0.367952129749522","0.411661951691605"
"Einige Sorgen","2010","66 und älter","weiblich","903","0.422530379689969","0.401292123257117","0.443768636122822"
"Keine Sorgen","2010","16-34 Jahre alt","maennlich","363","0.219363642979735","0.199829868373549","0.238897417585921"
"Keine Sorgen","2010","16-34 Jahre alt","weiblich","390","0.203236086937757","0.184913971227055","0.221558202648458"
"Keine Sorgen","2010","35-65 Jahre alt","maennlich","444","0.122518348893623","0.112718182424514","0.132318515362732"
"Keine Sorgen","2010","35-65 Jahre alt","weiblich","489","0.0979049615195724","0.0894481967908934","0.106361726248251"
"Keine Sorgen","2010","66 und älter","maennlich","177","0.103743958226227","0.0900796370593042","0.11740827939315"
"Keine Sorgen","2010","66 und älter","weiblich","267","0.133891520365179","0.119249938461303","0.148533102269055"
"Grosse Sorgen","2011","16-34 Jahre alt","maennlich","449","0.24313820173991","0.224379921685308","0.261896481794512"
"Grosse Sorgen","2011","16-34 Jahre alt","weiblich","381","0.164475617162739","0.149117132215399","0.17983410211008"
"Grosse Sorgen","2011","35-65 Jahre alt","maennlich","1831","0.346830984838615","0.333963545053002","0.359698424624229"
"Grosse Sorgen","2011","35-65 Jahre alt","weiblich","1815","0.310111972648636","0.298377978362638","0.321845966934633"
"Grosse Sorgen","2011","66 und älter","maennlich","939","0.380400428360955","0.361089648949597","0.399711207772313"
"Grosse Sorgen","2011","66 und älter","weiblich","907","0.341605930560947","0.323390759374603","0.35982110174729"
"Einige Sorgen","2011","16-34 Jahre alt","maennlich","1046","0.514267786780972","0.492412765358547","0.536122808203396"
"Einige Sorgen","2011","16-34 Jahre alt","weiblich","1238","0.570541226671025","0.550033274054885","0.591049179287165"
"Einige Sorgen","2011","35-65 Jahre alt","maennlich","2706","0.513820693147429","0.500308543602011","0.527332842692846"
"Einige Sorgen","2011","35-65 Jahre alt","weiblich","3279","0.54673996292056","0.534111182095372","0.559368743745748"
"Einige Sorgen","2011","66 und älter","maennlich","1169","0.483652131441293","0.463774643569246","0.50352961931334"
"Einige Sorgen","2011","66 und älter","weiblich","1219","0.475210443213898","0.456029799371526","0.49439108705627"
"Keine Sorgen","2011","16-34 Jahre alt","maennlich","514","0.242594011479118","0.223850000588632","0.261338022369605"
"Keine Sorgen","2011","16-34 Jahre alt","weiblich","619","0.264983156166236","0.246698961770381","0.283267350562091"
"Keine Sorgen","2011","35-65 Jahre alt","maennlich","719","0.139348322013956","0.129985969390019","0.148710674637893"
"Keine Sorgen","2011","35-65 Jahre alt","weiblich","875","0.143148064430804","0.134263361062581","0.152032767799027"
"Keine Sorgen","2011","66 und älter","maennlich","320","0.135947440197752","0.122314819618956","0.149580060776548"
"Keine Sorgen","2011","66 und älter","weiblich","478","0.183183626225155","0.168326557082883","0.198040695367427"
"Grosse Sorgen","2012","16-34 Jahre alt","maennlich","578","0.290867646997572","0.27076650863742","0.310968785357723"
"Grosse Sorgen","2012","16-34 Jahre alt","weiblich","464","0.213312653965981","0.195984932406753","0.230640375525209"
"Grosse Sorgen","2012","35-65 Jahre alt","maennlich","2211","0.429930379935943","0.416414668843787","0.443446091028099"
"Grosse Sorgen","2012","35-65 Jahre alt","weiblich","2299","0.373737626762685","0.361468507018495","0.386006746506874"
"Grosse Sorgen","2012","66 und älter","maennlich","1167","0.458626678554024","0.43913708344373","0.478116273664318"
"Grosse Sorgen","2012","66 und älter","weiblich","1088","0.405509508303556","0.386840326230884","0.424178690376229"
"Einige Sorgen","2012","16-34 Jahre alt","maennlich","978","0.513945504925561","0.491824221907789","0.536066787943333"
"Einige Sorgen","2012","16-34 Jahre alt","weiblich","1184","0.565446619965331","0.544478985292337","0.586414254638325"
"Einige Sorgen","2012","35-65 Jahre alt","maennlich","2351","0.455423354452432","0.441827295499133","0.469019413405731"
"Einige Sorgen","2012","35-65 Jahre alt","weiblich","2965","0.509404228142985","0.496726395723162","0.522082060562809"
"Einige Sorgen","2012","66 und älter","maennlich","1063","0.41669258014229","0.39740927966026","0.43597588062432"
