year,quintil_oecd_hh,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,No,0.99229,2216,2216,0.98864,0.99593
2001,2nd Quintile,No,0.99481,2443,2443,0.99195,0.99766
2001,3rd Quintile,No,0.98869,2406,2406,0.98447,0.99292
2001,4th Quintile,Yes,0.01389,35,2369,0.00918,0.01861
2001,4th Quintile,No,0.98611,2334,2369,0.98139,0.99082
2001,5th Quintile,Yes,0.01682,37,2181,0.01142,0.02222
2001,5th Quintile,No,0.98318,2144,2181,0.97778,0.98858
2006,1st Quintile,No,0.99632,2085,2085,0.99373,0.99892
2006,2nd Quintile,No,0.98947,2201,2201,0.98521,0.99374
2006,3rd Quintile,No,0.99005,2365,2365,0.98605,0.99405
2006,4th Quintile,Yes,0.01213,39,2493,0.00783,0.01643
2006,4th Quintile,No,0.98787,2454,2493,0.98357,0.99217
2006,5th Quintile,Yes,0.02037,61,3061,0.01537,0.02538
2006,5th Quintile,No,0.97963,3000,3061,0.97462,0.98463
2011,1st Quintile,No,0.86575,2246,2246,0.85165,0.87986
2011,2nd Quintile,No,0.89715,2227,2227,0.88453,0.90977
2011,3rd Quintile,No,0.92108,2346,2346,0.91017,0.93199
2011,4th Quintile,Yes,0.01378,33,2436,0.00915,0.01842
2011,4th Quintile,No,0.93571,2403,2436,0.92597,0.94545
2011,5th Quintile,Yes,0.01746,51,2776,0.01259,0.02234
2011,5th Quintile,No,0.94769,2725,2776,0.93941,0.95598
2016,1st Quintile,No,0.97186,3082,3082,0.96602,0.97770
2016,2nd Quintile,No,0.99468,3017,3017,0.99208,0.99727
2016,3rd Quintile,Yes,0.01109,32,2743,0.00717,0.01501
2016,3rd Quintile,No,0.98891,2711,2743,0.98499,0.99283
2016,4th Quintile,Yes,0.01296,34,2662,0.00866,0.01726
2016,4th Quintile,No,0.98704,2628,2662,0.98274,0.99134
2016,5th Quintile,Yes,0.02314,58,2755,0.01753,0.02876
2016,5th Quintile,No,0.97686,2697,2755,0.97124,0.98247
2021,1st Quintile,No,0.95164,2030,2030,0.94231,0.96098
2021,2nd Quintile,No,0.98914,2167,2167,0.98477,0.99350
2021,3rd Quintile,No,0.98611,1994,1994,0.98098,0.99125
2021,4th Quintile,No,0.98013,2048,2048,0.97409,0.98618
2021,5th Quintile,Yes,0.02011,57,2709,0.01482,0.02540
2021,5th Quintile,No,0.97572,2652,2709,0.96993,0.98152
