year,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Yes,0.01098,134,11680,0.00909,0.01287
2001,No,0.98902,11546,11680,0.98713,0.99091
2006,Yes,0.01132,154,12265,0.00945,0.01319
2006,No,0.98868,12111,12265,0.98681,0.99055
2011,Yes,0.00989,134,12084,0.00813,0.01165
2011,No,0.91355,11950,12084,0.90853,0.91856
2016,Yes,0.01086,162,14302,0.00916,0.01256
2016,No,0.98384,14140,14302,0.98177,0.98591
2021,Yes,0.01253,146,11056,0.01045,0.01460
2021,No,0.97618,10910,11056,0.97334,0.97903
