year,bula_h,regtyp,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,Schleswig-Holstein,Urban regions,No,0.98109,154,154,0.95951,1.00267
2001,Schleswig-Holstein,Rural regions,No,0.96780,198,198,0.94315,0.99245
2001,Hamburg,Urban regions,No,0.98698,178,178,0.97027,1.00368
2001,Lower Saxony,Urban regions,No,0.97853,471,471,0.96543,0.99163
2001,Lower Saxony,Rural regions,No,0.96774,461,461,0.95160,0.98389
2001,Bremen,Urban regions,No,0.99710,98,98,0.98639,1.00780
2001,North Rhine-Westphalia,Urban regions,No,0.99414,2412,2412,0.99109,0.99719
2001,Hesse,Urban regions,No,0.99354,625,625,0.98726,0.99983
2001,Hesse,Rural regions,No,0.99464,148,148,0.98283,1.00644
2001,"Rhineland-Palatinate, Saarland",Urban regions,No,0.98871,543,543,0.97981,0.99760
2001,"Rhineland-Palatinate, Saarland",Rural regions,No,0.95891,163,163,0.92834,0.98948
2001,Baden-Wuerttemberg,Urban regions,No,0.99205,1216,1216,0.98705,0.99704
2001,Bavaria,Urban regions,No,0.98860,797,797,0.98123,0.99598
2001,Bavaria,Rural regions,No,0.98741,800,800,0.97968,0.99514
2001,Berlin,Urban regions,No,0.99411,479,479,0.98725,1.00097
2001,Brandenburg,Rural regions,No,0.98359,456,456,0.97192,0.99526
2001,Mecklenburg-Western Pomerania,Rural regions,No,0.96713,237,237,0.94439,0.98988
2001,Saxony,Rural regions,No,0.99454,426,426,0.98753,1.00155
2001,Saxony-Anhalt,Rural regions,No,0.99328,397,397,0.98524,1.00133
2001,Thuringa,Rural regions,No,0.99638,348,348,0.99006,1.00270
2006,Schleswig-Holstein,Urban regions,No,0.99451,157,157,0.98291,1.00611
2006,Schleswig-Holstein,Rural regions,No,0.96327,224,224,0.93858,0.98796
2006,Hamburg,Urban regions,No,0.98646,192,192,0.97007,1.00285
2006,Lower Saxony,Urban regions,No,0.98583,514,514,0.97560,0.99606
2006,Lower Saxony,Rural regions,No,0.95604,524,524,0.93847,0.97361
2006,North Rhine-Westphalia,Urban regions,No,0.99357,2452,2452,0.99040,0.99673
2006,North Rhine-Westphalia,Rural regions,No,0.99073,63,63,0.96687,1.01459
2006,Hesse,Urban regions,No,0.99168,683,683,0.98486,0.99849
2006,Hesse,Rural regions,No,0.98982,152,152,0.97381,1.00583
2006,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97882,544,544,0.96671,0.99093
2006,"Rhineland-Palatinate, Saarland",Rural regions,No,0.99287,171,171,0.98022,1.00552
2006,Baden-Wuerttemberg,Urban regions,No,0.99369,1338,1338,0.98944,0.99793
2006,Baden-Wuerttemberg,Rural regions,No,0.97855,124,124,0.95295,1.00415
2006,Bavaria,Urban regions,No,0.99707,862,862,0.99346,1.00068
2006,Bavaria,Rural regions,No,0.98227,848,848,0.97339,0.99116
2006,Berlin,Urban regions,No,0.99935,482,482,0.99706,1.00163
2006,Brandenburg,Rural regions,No,0.97798,478,478,0.96482,0.99115
2006,Mecklenburg-Western Pomerania,Rural regions,No,0.97571,256,256,0.95681,0.99460
2006,Saxony,Rural regions,No,0.99167,419,419,0.98296,1.00038
2006,Saxony-Anhalt,Rural regions,No,0.99348,392,392,0.98550,1.00146
2006,Thuringa,Rural regions,No,0.99085,362,362,0.98103,1.00067
2011,Schleswig-Holstein,Urban regions,No,0.90662,118,118,0.85390,0.95934
2011,Schleswig-Holstein,Rural regions,No,0.89608,281,281,0.86033,0.93182
2011,Hamburg,Urban regions,No,0.91972,192,192,0.88118,0.95825
2011,Lower Saxony,Urban regions,No,0.91501,504,504,0.89064,0.93938
2011,Lower Saxony,Rural regions,No,0.88762,560,560,0.86143,0.91380
2011,Bremen,Urban regions,No,0.89564,80,80,0.82822,0.96305
2011,North Rhine-Westphalia,Urban regions,No,0.91768,2269,2269,0.90636,0.92899
2011,North Rhine-Westphalia,Rural regions,No,0.91332,64,64,0.84384,0.98280
2011,Hesse,Urban regions,No,0.90999,668,668,0.88827,0.93171
2011,Hesse,Rural regions,No,0.88795,149,149,0.83713,0.93877
2011,"Rhineland-Palatinate, Saarland",Urban regions,No,0.90134,519,519,0.87566,0.92702
2011,"Rhineland-Palatinate, Saarland",Rural regions,No,0.93833,181,181,0.90319,0.97347
2011,Baden-Wuerttemberg,Urban regions,No,0.91204,1242,1242,0.89628,0.92780
2011,Baden-Wuerttemberg,Rural regions,No,0.90051,146,146,0.85179,0.94923
2011,Bavaria,Urban regions,No,0.93289,900,900,0.91653,0.94924
2011,Bavaria,Rural regions,No,0.89219,921,921,0.87215,0.91223
2011,Berlin,Urban regions,No,0.93174,512,512,0.90987,0.95361
2011,Brandenburg,Urban regions,No,0.92740,45,45,0.85072,1.00407
2011,Brandenburg,Rural regions,No,0.91596,467,467,0.89077,0.94115
2011,Mecklenburg-Western Pomerania,Rural regions,No,0.92627,278,278,0.89550,0.95705
2011,Saxony,Urban regions,No,0.92893,425,425,0.90448,0.95339
2011,Saxony,Rural regions,No,0.93141,381,381,0.90599,0.95682
2011,Saxony-Anhalt,Urban regions,No,0.97072,130,130,0.94162,0.99981
2011,Saxony-Anhalt,Rural regions,No,0.89849,373,373,0.86780,0.92918
2011,Thuringa,Urban regions,No,0.89219,169,169,0.84529,0.93909
2011,Thuringa,Rural regions,No,0.93202,346,346,0.90546,0.95858
2016,Schleswig-Holstein,Urban regions,No,0.96980,138,138,0.94114,0.99846
2016,Schleswig-Holstein,Rural regions,No,0.95669,354,354,0.93546,0.97793
2016,Hamburg,Urban regions,No,0.99457,262,262,0.98565,1.00349
2016,Lower Saxony,Urban regions,No,0.97730,554,554,0.96488,0.98971
2016,Lower Saxony,Rural regions,No,0.97443,769,769,0.96327,0.98560
2016,Bremen,Urban regions,No,0.98989,105,105,0.97066,1.00912
2016,North Rhine-Westphalia,Urban regions,No,0.98681,2828,2828,0.98260,0.99101
2016,North Rhine-Westphalia,Rural regions,No,0.94613,51,51,0.88356,1.00871
2016,Hesse,Urban regions,No,0.97997,788,788,0.97019,0.98976
2016,Hesse,Rural regions,No,0.98255,175,175,0.96310,1.00201
2016,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97612,620,620,0.96409,0.98815
2016,"Rhineland-Palatinate, Saarland",Rural regions,No,0.99377,220,220,0.98334,1.00419
2016,Baden-Wuerttemberg,Urban regions,No,0.98310,1438,1438,0.97643,0.98976
2016,Baden-Wuerttemberg,Rural regions,No,0.98788,172,172,0.97148,1.00428
2016,Bavaria,Urban regions,No,0.99558,1095,1095,0.99164,0.99951
2016,Bavaria,Rural regions,No,0.97405,1179,1179,0.96497,0.98313
2016,Berlin,Urban regions,No,0.99471,608,608,0.98893,1.00048
2016,Brandenburg,Rural regions,No,0.98448,508,508,0.97372,0.99524
2016,Mecklenburg-Western Pomerania,Urban regions,No,0.98904,45,45,0.95827,1.01981
2016,Mecklenburg-Western Pomerania,Rural regions,No,0.98648,278,278,0.97288,1.00008
2016,Saxony,Urban regions,No,0.99066,463,463,0.98189,0.99943
2016,Saxony,Rural regions,No,0.99373,394,394,0.98593,1.00154
2016,Saxony-Anhalt,Urban regions,No,0.98222,125,125,0.95896,1.00548
2016,Saxony-Anhalt,Rural regions,No,0.98434,385,385,0.97193,0.99676
2016,Thuringa,Urban regions,No,0.99599,180,180,0.98674,1.00525
2016,Thuringa,Rural regions,No,0.98280,361,361,0.96937,0.99623
2021,Schleswig-Holstein,Urban regions,No,0.95694,150,150,0.92434,0.98953
2021,Schleswig-Holstein,Rural regions,No,0.91198,258,258,0.87734,0.94662
2021,Hamburg,Urban regions,No,0.97328,267,267,0.95390,0.99266
2021,Lower Saxony,Urban regions,No,0.98644,469,469,0.97596,0.99692
2021,Lower Saxony,Rural regions,No,0.96454,568,568,0.94932,0.97976
2021,Bremen,Urban regions,No,0.98587,79,79,0.95968,1.01206
2021,North Rhine-Westphalia,Urban regions,No,0.97695,2206,2206,0.97069,0.98322
2021,North Rhine-Westphalia,Rural regions,No,0.95887,48,48,0.90209,1.01565
2021,Hesse,Urban regions,No,0.95437,542,542,0.93679,0.97196
2021,Hesse,Rural regions,No,0.96016,134,134,0.92692,0.99340
2021,"Rhineland-Palatinate, Saarland",Urban regions,No,0.97336,410,410,0.95775,0.98897
2021,"Rhineland-Palatinate, Saarland",Rural regions,No,0.99107,120,120,0.97418,1.00797
2021,Baden-Wuerttemberg,Urban regions,No,0.97763,1085,1085,0.96883,0.98643
2021,Baden-Wuerttemberg,Rural regions,No,0.98848,117,117,0.96906,1.00790
2021,Bavaria,Urban regions,No,0.99156,872,872,0.98549,0.99764
2021,Bavaria,Rural regions,No,0.97667,858,858,0.96656,0.98677
2021,Berlin,Urban regions,No,0.98259,553,553,0.97168,0.99350
2021,Brandenburg,Urban regions,No,0.98995,40,40,0.95865,1.02125
2021,Brandenburg,Rural regions,No,0.97199,399,399,0.95578,0.98820
2021,Mecklenburg-Western Pomerania,Urban regions,No,0.97224,49,49,0.92576,1.01872
2021,Mecklenburg-Western Pomerania,Rural regions,No,0.98631,210,210,0.97055,1.00206
2021,Saxony,Urban regions,No,0.98670,391,391,0.97533,0.99807
2021,Saxony,Rural regions,No,0.99396,339,339,0.98570,1.00222
2021,Saxony-Anhalt,Urban regions,No,0.97977,81,81,0.94892,1.01062
2021,Saxony-Anhalt,Rural regions,No,0.99186,283,283,0.98138,1.00235
2021,Thuringa,Urban regions,No,0.98094,137,137,0.95795,1.00392
2021,Thuringa,Rural regions,No,0.98683,244,244,0.97249,1.00116
