year,quintil_oecd_hh,sampreg,pet_horse,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2001,1st Quintile,West,No,0.99055,1535,1535,0.98570,0.99539
2001,1st Quintile,East,No,0.99749,681,681,0.99374,1.00125
2001,2nd Quintile,West,No,0.99577,1663,1663,0.99264,0.99889
2001,2nd Quintile,East,No,0.99210,780,780,0.98589,0.99832
2001,3rd Quintile,West,No,0.98724,1737,1737,0.98196,0.99252
2001,3rd Quintile,East,No,0.99410,669,669,0.98829,0.99991
2001,4th Quintile,West,No,0.98563,1886,1886,0.98026,0.99101
2001,4th Quintile,East,No,0.98916,448,448,0.97957,0.99876
2001,5th Quintile,West,Yes,0.01591,31,1934,0.01033,0.02149
2001,5th Quintile,West,No,0.98409,1903,1934,0.97851,0.98967
2001,5th Quintile,East,No,0.97162,241,241,0.95061,0.99263
2006,1st Quintile,West,No,0.99850,1428,1428,0.99649,1.00051
2006,1st Quintile,East,No,0.99002,657,657,0.98241,0.99762
2006,2nd Quintile,West,No,0.98733,1476,1476,0.98163,0.99304
2006,2nd Quintile,East,No,0.99592,725,725,0.99127,1.00056
2006,3rd Quintile,West,No,0.99019,1698,1698,0.98550,0.99488
2006,3rd Quintile,East,No,0.98952,667,667,0.98179,0.99726
2006,4th Quintile,West,Yes,0.01245,34,1984,0.00757,0.01733
2006,4th Quintile,West,No,0.98755,1950,1984,0.98267,0.99243
2006,4th Quintile,East,No,0.98957,504,504,0.98070,0.99845
2006,5th Quintile,West,Yes,0.02045,54,2711,0.01513,0.02578
2006,5th Quintile,West,No,0.97955,2657,2711,0.97422,0.98487
2006,5th Quintile,East,No,0.98071,343,343,0.96614,0.99529
2011,1st Quintile,West,No,0.86110,1532,1532,0.84378,0.87843
2011,1st Quintile,East,No,0.87902,714,714,0.85508,0.90296
2011,2nd Quintile,West,No,0.88849,1492,1492,0.87252,0.90447
2011,2nd Quintile,East,No,0.92562,735,735,0.90664,0.94460
2011,3rd Quintile,West,No,0.91515,1698,1698,0.90189,0.92841
2011,3rd Quintile,East,No,0.94350,648,648,0.92571,0.96129
2011,4th Quintile,West,No,0.93412,1952,1952,0.92311,0.94513
2011,4th Quintile,East,No,0.94570,451,451,0.92477,0.96664
2011,5th Quintile,West,Yes,0.01769,44,2451,0.01247,0.02290
2011,5th Quintile,West,No,0.94803,2407,2451,0.93924,0.95682
2011,5th Quintile,East,No,0.94362,318,318,0.91823,0.96901
2016,1st Quintile,West,No,0.97011,2268,2268,0.96310,0.97712
2016,1st Quintile,East,No,0.97727,814,814,0.96702,0.98751
2016,2nd Quintile,West,No,0.99556,2228,2228,0.99280,0.99832
2016,2nd Quintile,East,No,0.99166,789,789,0.98531,0.99801
2016,3rd Quintile,West,No,0.98834,2045,2045,0.98369,0.99299
2016,3rd Quintile,East,No,0.99105,666,666,0.98390,0.99821
2016,4th Quintile,West,No,0.98550,2175,2175,0.98048,0.99053
2016,4th Quintile,East,No,0.99691,453,453,0.99180,1.00203
2016,5th Quintile,West,Yes,0.02433,54,2429,0.01820,0.03046
2016,5th Quintile,West,No,0.97567,2375,2429,0.96954,0.98180
2016,5th Quintile,East,No,0.98962,322,322,0.97853,1.00071
2021,1st Quintile,West,No,0.94875,1501,1501,0.93759,0.95991
2021,1st Quintile,East,No,0.96187,529,529,0.94554,0.97821
2021,2nd Quintile,West,No,0.98841,1602,1602,0.98316,0.99365
2021,2nd Quintile,East,No,0.99186,565,565,0.98444,0.99927
2021,3rd Quintile,West,No,0.98501,1523,1523,0.97890,0.99111
2021,3rd Quintile,East,No,0.99088,471,471,0.98229,0.99948
2021,4th Quintile,West,No,0.97781,1662,1662,0.97072,0.98489
2021,4th Quintile,East,No,0.99393,386,386,0.98617,1.00169
2021,5th Quintile,West,Yes,0.02138,53,2288,0.01545,0.02731
2021,5th Quintile,West,No,0.97401,2235,2288,0.96749,0.98053
2021,5th Quintile,East,No,0.99077,417,417,0.98158,0.99996
