year,rentown,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Owner,West,Yes,0.06912,371,4320,0.06156,0.07669
2007,Owner,West,No,0.93088,3949,4320,0.92331,0.93844
2007,Owner,East,Yes,0.06373,78,1098,0.04927,0.07818
2007,Owner,East,No,0.93627,1020,1098,0.92182,0.95073
2007,Tenant,West,Yes,0.01068,63,4096,0.00753,0.01383
2007,Tenant,West,No,0.98932,4033,4096,0.98617,0.99247
2007,Tenant,East,No,0.98861,1562,1562,0.98335,0.99388
2008,Owner,West,Yes,0.07907,408,4218,0.07092,0.08721
2008,Owner,West,No,0.92093,3810,4218,0.91279,0.92908
2008,Owner,East,Yes,0.05913,71,1092,0.04514,0.07313
2008,Owner,East,No,0.94087,1021,1092,0.92687,0.95486
2008,Tenant,West,Yes,0.01796,77,3848,0.01376,0.02216
2008,Tenant,West,No,0.98204,3771,3848,0.97784,0.98624
2008,Tenant,East,No,0.99108,1517,1517,0.98635,0.99582
2009,Owner,West,Yes,0.09230,453,3957,0.08328,0.10132
2009,Owner,West,No,0.90770,3504,3957,0.89868,0.91672
2009,Owner,East,Yes,0.07721,83,1082,0.06130,0.09312
2009,Owner,East,No,0.92279,999,1082,0.90688,0.93870
2009,Tenant,West,Yes,0.01840,83,3625,0.01403,0.02278
2009,Tenant,West,No,0.98160,3542,3625,0.97722,0.98597
2009,Tenant,East,No,0.99223,1447,1447,0.98771,0.99676
2010,Owner,West,Yes,0.09759,727,5075,0.08942,0.10575
2010,Owner,West,No,0.90241,4348,5075,0.89425,0.91058
2010,Owner,East,Yes,0.08050,101,1238,0.06534,0.09566
2010,Owner,East,No,0.91950,1137,1238,0.90434,0.93466
2010,Tenant,West,Yes,0.02685,161,5522,0.02259,0.03112
2010,Tenant,West,No,0.97315,5361,5522,0.96888,0.97741
2010,Tenant,East,Yes,0.01486,36,1916,0.00944,0.02028
2010,Tenant,East,No,0.98514,1880,1916,0.97972,0.99056
2011,Owner,West,Yes,0.11824,1028,6296,0.11026,0.12622
2011,Owner,West,No,0.88176,5268,6296,0.87378,0.88974
2011,Owner,East,Yes,0.09562,130,1412,0.08028,0.11097
2011,Owner,East,No,0.90438,1282,1412,0.88903,0.91972
2011,Tenant,West,Yes,0.02899,214,6536,0.02492,0.03306
2011,Tenant,West,No,0.97101,6322,6536,0.96694,0.97508
2011,Tenant,East,Yes,0.01926,51,2328,0.01368,0.02484
2011,Tenant,East,No,0.98074,2277,2328,0.97516,0.98632
2012,Owner,West,Yes,0.12642,1079,6212,0.11815,0.13468
2012,Owner,West,No,0.87358,5133,6212,0.86532,0.88185
2012,Owner,East,Yes,0.10746,149,1379,0.09111,0.12381
2012,Owner,East,No,0.89254,1230,1379,0.87619,0.90889
2012,Tenant,West,Yes,0.03093,224,6367,0.02667,0.03518
2012,Tenant,West,No,0.96907,6143,6367,0.96482,0.97333
2012,Tenant,East,Yes,0.02862,66,2333,0.02186,0.03539
2012,Tenant,East,No,0.97138,2267,2333,0.96461,0.97814
2013,Owner,West,Yes,0.13428,1097,6370,0.12590,0.14265
2013,Owner,West,No,0.86572,5273,6370,0.85735,0.87410
2013,Owner,East,Yes,0.11132,151,1337,0.09446,0.12819
2013,Owner,East,No,0.88868,1186,1337,0.87181,0.90554
2013,Tenant,West,Yes,0.03721,257,7838,0.03302,0.04140
2013,Tenant,West,No,0.96279,7581,7838,0.95860,0.96698
2013,Tenant,East,Yes,0.02900,58,2318,0.02217,0.03584
2013,Tenant,East,No,0.97100,2260,2318,0.96416,0.97783
2014,Owner,West,Yes,0.14106,1045,5817,0.13211,0.15000
2014,Owner,West,No,0.85894,4772,5817,0.85000,0.86789
2014,Owner,East,Yes,0.12736,155,1232,0.10874,0.14599
2014,Owner,East,No,0.87264,1077,1232,0.85401,0.89126
2014,Tenant,West,Yes,0.04532,275,6621,0.04031,0.05033
2014,Tenant,West,No,0.95468,6346,6621,0.94967,0.95969
