year,bula_h,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,Schleswig-Holstein,Owner,No,0.95287,175,175,0.92139,0.98436
2007,Schleswig-Holstein,Tenant,No,0.99779,163,163,0.99056,1.00502
2007,Hamburg,Owner,No,0.96926,43,43,0.91706,1.02146
2007,Lower Saxony,Owner,Yes,0.05946,40,580,0.04020,0.07872
2007,Lower Saxony,Owner,No,0.94054,540,580,0.92128,0.95980
2007,Lower Saxony,Tenant,No,0.99550,396,396,0.98889,1.00210
2007,Bremen,Owner,No,0.98466,32,32,0.94140,1.02792
2007,North Rhine-Westphalia,Owner,Yes,0.03742,52,1071,0.02605,0.04879
2007,North Rhine-Westphalia,Owner,No,0.96258,1019,1071,0.95121,0.97395
2007,North Rhine-Westphalia,Tenant,No,0.99512,1189,1189,0.99116,0.99908
2007,Hesse,Owner,Yes,0.08048,41,375,0.05291,0.10805
2007,Hesse,Owner,No,0.91952,334,375,0.89195,0.94709
2007,Hesse,Tenant,No,0.98795,373,373,0.97687,0.99904
2007,"Rhineland-Palatinate, Saarland",Owner,No,0.93896,343,343,0.91358,0.96433
2007,"Rhineland-Palatinate, Saarland",Tenant,No,0.98280,270,270,0.96726,0.99834
2007,Baden-Wuerttemberg,Owner,Yes,0.08311,71,711,0.06281,0.10342
2007,Baden-Wuerttemberg,Owner,No,0.91689,640,711,0.89658,0.93719
2007,Baden-Wuerttemberg,Tenant,No,0.98340,594,594,0.97312,0.99368
2007,Bavaria,Owner,Yes,0.11251,132,895,0.09180,0.13322
2007,Bavaria,Owner,No,0.88749,763,895,0.86678,0.90820
2007,Bavaria,Tenant,No,0.97487,666,666,0.96297,0.98677
2007,Berlin,Owner,No,0.98660,88,88,0.96245,1.01076
2007,Berlin,Tenant,No,0.99368,351,351,0.98538,1.00198
2007,Brandenburg,Owner,No,0.93467,167,167,0.89708,0.97226
2007,Brandenburg,Tenant,No,0.98994,292,292,0.97847,1.00140
2007,Mecklenburg-Western Pomerania,Owner,No,0.94276,113,113,0.89974,0.98578
2007,Saxony,Owner,Yes,0.10030,33,314,0.06702,0.13358
2007,Saxony,Owner,No,0.89970,281,314,0.86642,0.93298
2007,Saxony,Tenant,No,0.98514,487,487,0.97438,0.99590
2007,Saxony-Anhalt,Owner,No,0.94374,201,201,0.91180,0.97567
2007,Saxony-Anhalt,Tenant,No,0.98460,237,237,0.96889,1.00031
2007,Thuringa,Owner,No,0.97490,230,230,0.95465,0.99516
2007,Thuringa,Tenant,No,0.99365,232,232,0.98341,1.00389
2008,Schleswig-Holstein,Owner,No,0.94449,162,162,0.90912,0.97986
2008,Schleswig-Holstein,Tenant,No,0.98722,148,148,0.96906,1.00538
2008,Hamburg,Owner,No,0.97131,44,44,0.92142,1.02121
2008,Lower Saxony,Owner,Yes,0.04869,37,580,0.03116,0.06622
2008,Lower Saxony,Owner,No,0.95131,543,580,0.93378,0.96884
2008,Lower Saxony,Tenant,No,0.99299,371,371,0.98449,1.00149
2008,Bremen,Owner,No,0.95784,31,31,0.88592,1.02975
2008,Bremen,Tenant,No,0.96198,46,46,0.90611,1.01786
2008,North Rhine-Westphalia,Owner,Yes,0.05074,62,1037,0.03738,0.06411
2008,North Rhine-Westphalia,Owner,No,0.94926,975,1037,0.93589,0.96262
2008,North Rhine-Westphalia,Tenant,No,0.99006,1098,1098,0.98419,0.99593
2008,Hesse,Owner,Yes,0.09742,44,373,0.06729,0.12756
2008,Hesse,Owner,No,0.90258,329,373,0.87244,0.93271
2008,Hesse,Tenant,No,0.98288,341,341,0.96910,0.99667
2008,"Rhineland-Palatinate, Saarland",Owner,No,0.93445,328,328,0.90763,0.96128
