year,quintil_oecd_hh,rentown,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,1st Quintile,Owner,No,0.96386,299,299,0.94267,0.98505
2007,1st Quintile,Tenant,No,0.99475,1585,1585,0.99120,0.99831
2007,2nd Quintile,Owner,Yes,0.05661,42,706,0.03955,0.07367
2007,2nd Quintile,Owner,No,0.94339,664,706,0.92633,0.96045
2007,2nd Quintile,Tenant,No,0.99233,1321,1321,0.98762,0.99703
2007,3rd Quintile,Owner,Yes,0.06609,88,1082,0.05128,0.08090
2007,3rd Quintile,Owner,No,0.93391,994,1082,0.91910,0.94872
2007,3rd Quintile,Tenant,No,0.98116,1042,1042,0.97291,0.98942
2007,4th Quintile,Owner,Yes,0.07655,109,1350,0.06236,0.09074
2007,4th Quintile,Owner,No,0.92345,1241,1350,0.90926,0.93764
2007,4th Quintile,Tenant,No,0.98676,885,885,0.97922,0.99429
2007,5th Quintile,Owner,Yes,0.07675,191,1962,0.06497,0.08853
2007,5th Quintile,Owner,No,0.92325,1771,1962,0.91147,0.93503
2007,5th Quintile,Tenant,No,0.98498,759,759,0.97631,0.99364
2008,1st Quintile,Owner,No,0.97703,309,309,0.96030,0.99376
2008,1st Quintile,Tenant,No,0.98945,1509,1509,0.98430,0.99461
2008,2nd Quintile,Owner,Yes,0.06587,63,722,0.04776,0.08397
2008,2nd Quintile,Owner,No,0.93413,659,722,0.91603,0.95224
2008,2nd Quintile,Tenant,No,0.99085,1208,1208,0.98548,0.99622
2008,3rd Quintile,Owner,Yes,0.08358,87,1082,0.06708,0.10008
2008,3rd Quintile,Owner,No,0.91642,995,1082,0.89992,0.93292
2008,3rd Quintile,Tenant,No,0.98621,1043,1043,0.97913,0.99329
2008,4th Quintile,Owner,Yes,0.07812,110,1257,0.06327,0.09296
2008,4th Quintile,Owner,No,0.92188,1147,1257,0.90704,0.93673
2008,4th Quintile,Tenant,No,0.97335,811,811,0.96226,0.98444
2008,5th Quintile,Owner,Yes,0.08802,206,1927,0.07536,0.10067
2008,5th Quintile,Owner,No,0.91198,1721,1927,0.89933,0.92464
2008,5th Quintile,Tenant,No,0.96796,715,715,0.95504,0.98088
2009,1st Quintile,Owner,No,0.97451,292,292,0.95640,0.99262
2009,1st Quintile,Tenant,No,0.98708,1465,1465,0.98129,0.99286
2009,2nd Quintile,Owner,Yes,0.07896,59,688,0.05880,0.09913
2009,2nd Quintile,Owner,No,0.92104,629,688,0.90087,0.94120
2009,2nd Quintile,Tenant,No,0.99004,1173,1173,0.98436,0.99573
2009,3rd Quintile,Owner,Yes,0.08604,99,1001,0.06866,0.10342
2009,3rd Quintile,Owner,No,0.91396,902,1001,0.89658,0.93134
2009,3rd Quintile,Tenant,No,0.98491,922,922,0.97704,0.99278
2009,4th Quintile,Owner,Yes,0.09875,132,1262,0.08228,0.11521
