year,sampreg,hgeqpsol,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2007,West,Yes,0.03660,434,8416,0.03259,0.04061
2007,West,No,0.96340,7982,8416,0.95939,0.96741
2007,East,Yes,0.02844,93,2675,0.02214,0.03474
2007,East,No,0.97156,2582,2675,0.96526,0.97786
2008,West,Yes,0.04586,485,8066,0.04129,0.05042
2008,West,No,0.95414,7581,8066,0.94958,0.95871
2008,East,Yes,0.02585,88,2626,0.01978,0.03192
2008,East,No,0.97415,2538,2626,0.96808,0.98022
2009,West,Yes,0.05287,536,7582,0.04783,0.05790
2009,West,No,0.94713,7046,7582,0.94210,0.95217
2009,East,Yes,0.03237,100,2546,0.02550,0.03925
2009,East,No,0.96763,2446,2546,0.96075,0.97450
2010,West,Yes,0.06073,888,10597,0.05618,0.06527
2010,West,No,0.93927,9709,10597,0.93473,0.94382
2010,East,Yes,0.03848,137,3154,0.03177,0.04520
2010,East,No,0.96152,3017,3154,0.95480,0.96823
2011,West,Yes,0.07186,1242,12832,0.06740,0.07633
2011,West,No,0.92814,11590,12832,0.92367,0.93260
2011,East,Yes,0.04599,181,3740,0.03928,0.05270
2011,East,No,0.95401,3559,3740,0.94730,0.96072
2012,West,Yes,0.07679,1303,12579,0.07213,0.08144
2012,West,No,0.92321,11276,12579,0.91856,0.92787
2012,East,Yes,0.05587,215,3712,0.04848,0.06326
2012,East,No,0.94413,3497,3712,0.93674,0.95152
2013,West,Yes,0.08337,1354,14208,0.07882,0.08791
2013,West,No,0.91663,12854,14208,0.91209,0.92118
2013,East,Yes,0.05882,209,3655,0.05119,0.06645
2013,East,No,0.94118,3446,3655,0.93355,0.94881
2014,West,Yes,0.09116,1320,12438,0.08610,0.09622
2014,West,No,0.90884,11118,12438,0.90378,0.91390
2014,East,Yes,0.06578,221,3378,0.05742,0.07415
2014,East,No,0.93422,3157,3378,0.92585,0.94258
2015,West,Yes,0.09338,1334,12469,0.08828,0.09849
2015,West,No,0.90662,11135,12469,0.90151,0.91172
2015,East,Yes,0.07654,234,3276,0.06744,0.08565
2015,East,No,0.92346,3042,3276,0.91435,0.93256
2016,West,Yes,0.09108,1205,11219,0.08575,0.09640
2016,West,No,0.90892,10014,11219,0.90360,0.91425
2016,East,Yes,0.07721,218,3068,0.06777,0.08666
2016,East,No,0.92279,2850,3068,0.91334,0.93223
2017,West,Yes,0.09745,1431,12244,0.09219,0.10270
2017,West,No,0.90255,10813,12244,0.89730,0.90781
2017,East,Yes,0.08074,253,3410,0.07160,0.08989
2017,East,No,0.91926,3157,3410,0.91011,0.92840
2018,West,Yes,0.09940,1377,12001,0.09404,0.10475
2018,West,No,0.90060,10624,12001,0.89525,0.90596
2018,East,Yes,0.07796,261,3423,0.06898,0.08694
2018,East,No,0.92204,3162,3423,0.91306,0.93102
2019,West,Yes,0.10454,1197,9763,0.09847,0.11061
2019,West,No,0.89546,8566,9763,0.88939,0.90153
2019,East,Yes,0.08094,226,2844,0.07092,0.09097
2019,East,No,0.91906,2618,2844,0.90903,0.92908
2020,West,Yes,0.11485,1621,12823,0.10933,0.12037
2020,West,No,0.88515,11202,12823,0.87963,0.89067
2020,East,Yes,0.08195,318,3425,0.07276,0.09113
2020,East,No,0.91805,3107,3425,0.90887,0.92724
2021,West,Yes,0.11169,1064,7771,0.10468,0.11869
2021,West,No,0.88831,6707,7771,0.88131,0.89532
2021,East,Yes,0.08984,201,2174,0.07781,0.10186
2021,East,No,0.91016,1973,2174,0.89814,0.92219
2022,West,Yes,0.14703,2447,15009,0.14136,0.15269
2022,West,No,0.85297,12562,15009,0.84731,0.85864
2022,East,Yes,0.09910,515,4202,0.09007,0.10814
2022,East,No,0.90090,3687,4202,0.89186,0.90993
