year,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2011,female,15509,0.19006261411940553,0.16274742852587856,0.2131011887459748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,male,2900,0.11258001567878988,0.09125345725900236,0.13167044152304339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2012,female,4245,0.19033751513006322,0.14790397981960568,0.23143800875250634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,male,11618,0.20971163718352584,0.183335148817946,0.23444400209122931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013,female,14052,0.17808037992812425,0.15765731695304736,0.20014029247741122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014,male,,,,,,,,,,,,
2014,female,,,,,,,,,,,,
2015,male,11445,0.17997208201426523,0.16159046453322795,0.19992392596325725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,female,13572,0.18448503419196954,0.163564376926067,0.20730593417597162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016,male,,,,,,,,,,,,
2016,female,,,,,,,,,,,,
2017,male,12201,0.1827054234540579,0.15566239142075905,0.20519484100054816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017,female,14200,0.172323575051783,0.1523069569281575,0.1891092240423597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018,male,,,,,,,,,,,,
2018,female,,,,,,,,,,,,
2019,male,12264,0.179826360121114,0.15284754980998522,0.20446653799551925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019,female,13428,0.1412064894600687,0.1224688787316631,0.15780820953684446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020,male,,,,,,,,,,,,
2020,female,,,,,,,,,,,,
2021,male,8930,0.21930208418345726,0.18232321836397636,0.2537572328136659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021,female,9482,0.20763247732619614,0.17608512089023892,0.24229867672328637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
