year,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1987,"Rhineland-Palatinate, Saarland",756,0.22705162537097795,0.19690895958671106,0.25719429115524484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Baden-Wuerttemberg,1922,0.22431211082389704,0.2078483468280483,0.24077587481974577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Bavaria,1672,0.23429616707681963,0.21400185178736558,0.2545904823662737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987,Berlin,351,0.16931335696432268,0.13584191768715093,0.20278479624149442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Schleswig-Holstein,322,0.29640393743543464,0.24821169154442962,0.34459618332643965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Hamburg,200,0.38117125409207653,0.306058061945918,0.45628444623823505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Lower Saxony,1025,0.26165945703383886,0.23665029046645383,0.28666862360122386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Bremen,98,0.2970074065358081,0.19018984813952886,0.4038249649320873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,North Rhine-Westphalia,2623,0.3012954085480297,0.281949583412322,0.3206412336837374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Hesse,989,0.24454381220973256,0.2168724118511428,0.2722152125683223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,"Rhineland-Palatinate, Saarland",727,0.22730197851941988,0.19613615398371048,0.2584678030551293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Baden-Wuerttemberg,1831,0.21703080487551354,0.20085396555293034,0.23320764419809675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Bavaria,1614,0.21067900799929928,0.1920116757293011,0.22934634026929746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1988,Berlin,327,0.15014208037113733,0.11940694430778691,0.18087721643448776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
