year,rentown,sampreg,pet_bird,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1996,Owner,West,Yes,0.08347,170,1811,0.07073,0.09621
1996,Owner,West,No,0.91653,1641,1811,0.90379,0.92927
1996,Owner,East,Yes,0.11597,80,584,0.08998,0.14197
1996,Owner,East,No,0.88403,504,584,0.85803,0.91002
1996,Tenant,West,Yes,0.09066,298,2982,0.08036,0.10097
1996,Tenant,West,No,0.90934,2684,2982,0.89903,0.91964
1996,Tenant,East,Yes,0.10126,152,1254,0.08456,0.11797
1996,Tenant,East,No,0.89874,1102,1254,0.88203,0.91544
2001,Owner,West,Yes,0.06385,279,4164,0.05643,0.07128
2001,Owner,West,No,0.93615,3885,4164,0.92872,0.94357
2001,Owner,East,Yes,0.09306,113,1103,0.07591,0.11022
2001,Owner,East,No,0.90694,990,1103,0.88978,0.92409
2001,Tenant,West,Yes,0.06423,324,4673,0.05720,0.07126
2001,Tenant,West,No,0.93577,4349,4673,0.92874,0.94280
2001,Tenant,East,Yes,0.09248,185,1740,0.07887,0.10610
2001,Tenant,East,No,0.90752,1555,1740,0.89390,0.92113
2006,Owner,West,Yes,0.05306,246,4794,0.04671,0.05940
2006,Owner,West,No,0.94694,4548,4794,0.94060,0.95329
2006,Owner,East,Yes,0.08693,103,1209,0.07104,0.10282
2006,Owner,East,No,0.91307,1106,1209,0.89718,0.92896
2006,Tenant,West,Yes,0.04085,197,4542,0.03509,0.04661
2006,Tenant,West,No,0.95915,4345,4542,0.95339,0.96491
2006,Tenant,East,Yes,0.06658,126,1718,0.05479,0.07837
2006,Tenant,East,No,0.93342,1592,1718,0.92163,0.94521
2011,Owner,West,Yes,0.03624,166,4782,0.03094,0.04153
2011,Owner,West,No,0.96376,4616,4782,0.95847,0.96906
2011,Owner,East,Yes,0.05602,62,1162,0.04279,0.06924
2011,Owner,East,No,0.94398,1100,1162,0.93076,0.95721
2011,Tenant,West,Yes,0.03385,165,4410,0.02851,0.03919
2011,Tenant,West,No,0.96615,4245,4410,0.96081,0.97149
2011,Tenant,East,Yes,0.04682,96,1730,0.03686,0.05678
2011,Tenant,East,No,0.95318,1634,1730,0.94322,0.96314
2016,Owner,West,Yes,0.02111,145,5146,0.01718,0.02503
2016,Owner,West,No,0.97889,5001,5146,0.97497,0.98282
2016,Owner,East,Yes,0.04879,68,1156,0.03637,0.06121
2016,Owner,East,No,0.95121,1088,1156,0.93879,0.96363
2016,Tenant,West,Yes,0.02723,162,6081,0.02314,0.03132
2016,Tenant,West,No,0.97277,5919,6081,0.96868,0.97686
2016,Tenant,East,Yes,0.03812,71,1918,0.02955,0.04669
2016,Tenant,East,No,0.96188,1847,1918,0.95331,0.97045
2021,Owner,West,Yes,0.02054,100,4127,0.01621,0.02486
2021,Owner,West,No,0.97946,4027,4127,0.97514,0.98379
2021,Owner,East,Yes,0.04110,44,953,0.02849,0.05371
2021,Owner,East,No,0.95890,909,953,0.94629,0.97151
2021,Tenant,West,Yes,0.01684,84,4534,0.01309,0.02058
2021,Tenant,West,No,0.98316,4450,4534,0.97942,0.98691
2021,Tenant,East,Yes,0.02084,31,1437,0.01345,0.02823
2021,Tenant,East,No,0.97916,1406,1437,0.97177,0.98655
