"plb0196_h","year","bildungsniveau","bula_h","n","percent","lower_confidence","upper_confidence"
"Ja","1986","(noch) kein Abschluss","Schleswig-Holstein","","","",""
"Ja","1986","(noch) kein Abschluss","Hamburg","","","",""
"Ja","1986","(noch) kein Abschluss","Niedersachsen","","","",""
"Ja","1986","(noch) kein Abschluss","Bremen","","","",""
"Ja","1986","(noch) kein Abschluss","Nordrhein-Westfalen","","","",""
"Ja","1986","(noch) kein Abschluss","Hessen","","","",""
"Ja","1986","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","","","",""
"Ja","1986","(noch) kein Abschluss","Baden-Wuerttemberg","","","",""
"Ja","1986","(noch) kein Abschluss","Bayern","","","",""
"Ja","1986","(noch) kein Abschluss","Saarland","","","",""
"Ja","1986","(noch) kein Abschluss","Berlin","","","",""
"Ja","1986","(noch) kein Abschluss","Brandenburg","","","",""
"Ja","1986","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Ja","1986","(noch) kein Abschluss","Sachsen","","","",""
"Ja","1986","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Ja","1986","(noch) kein Abschluss","Thueringen","","","",""
"Ja","1986","Hauptschule","Schleswig-Holstein","","","",""
"Ja","1986","Hauptschule","Hamburg","","","",""
"Ja","1986","Hauptschule","Niedersachsen","","","",""
"Ja","1986","Hauptschule","Bremen","","","",""
"Ja","1986","Hauptschule","Nordrhein-Westfalen","","","",""
"Ja","1986","Hauptschule","Hessen","","","",""
"Ja","1986","Hauptschule","Rheinland-Pfalz,Saarland","","","",""
"Ja","1986","Hauptschule","Baden-Wuerttemberg","","","",""
"Ja","1986","Hauptschule","Bayern","","","",""
"Ja","1986","Hauptschule","Saarland","","","",""
"Ja","1986","Hauptschule","Berlin","","","",""
"Ja","1986","Hauptschule","Brandenburg","","","",""
"Ja","1986","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Ja","1986","Hauptschule","Sachsen","","","",""
"Ja","1986","Hauptschule","Sachsen-Anhalt","","","",""
"Ja","1986","Hauptschule","Thueringen","","","",""
"Ja","1986","Realschule","Schleswig-Holstein","","","",""
"Ja","1986","Realschule","Hamburg","","","",""
"Ja","1986","Realschule","Niedersachsen","","","",""
"Ja","1986","Realschule","Bremen","","","",""
"Ja","1986","Realschule","Nordrhein-Westfalen","","","",""
"Ja","1986","Realschule","Hessen","","","",""
"Ja","1986","Realschule","Rheinland-Pfalz,Saarland","","","",""
"Ja","1986","Realschule","Baden-Wuerttemberg","","","",""
"Ja","1986","Realschule","Bayern","","","",""
"Ja","1986","Realschule","Saarland","","","",""
"Ja","1986","Realschule","Berlin","","","",""
"Ja","1986","Realschule","Brandenburg","","","",""
"Ja","1986","Realschule","Mecklenburg-Vorpommern","","","",""
"Ja","1986","Realschule","Sachsen","","","",""
"Ja","1986","Realschule","Sachsen-Anhalt","","","",""
"Ja","1986","Realschule","Thueringen","","","",""
"Ja","1986","(Fach-)Abitur","Schleswig-Holstein","","","",""
"Ja","1986","(Fach-)Abitur","Hamburg","","","",""
"Ja","1986","(Fach-)Abitur","Niedersachsen","","","",""
"Ja","1986","(Fach-)Abitur","Bremen","","","",""
"Ja","1986","(Fach-)Abitur","Nordrhein-Westfalen","","","",""
"Ja","1986","(Fach-)Abitur","Hessen","","","",""
"Ja","1986","(Fach-)Abitur","Rheinland-Pfalz,Saarland","","","",""
"Ja","1986","(Fach-)Abitur","Baden-Wuerttemberg","","","",""
"Ja","1986","(Fach-)Abitur","Bayern","","","",""
"Ja","1986","(Fach-)Abitur","Saarland","","","",""
"Ja","1986","(Fach-)Abitur","Berlin","","","",""
"Ja","1986","(Fach-)Abitur","Brandenburg","","","",""
"Ja","1986","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Ja","1986","(Fach-)Abitur","Sachsen","","","",""
"Ja","1986","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Ja","1986","(Fach-)Abitur","Thueringen","","","",""
"Ja","1986","AkademikerIn","Schleswig-Holstein","","","",""
"Ja","1986","AkademikerIn","Hamburg","","","",""
"Ja","1986","AkademikerIn","Niedersachsen","","","",""
"Ja","1986","AkademikerIn","Bremen","","","",""
"Ja","1986","AkademikerIn","Nordrhein-Westfalen","","","",""
"Ja","1986","AkademikerIn","Hessen","","","",""
"Ja","1986","AkademikerIn","Rheinland-Pfalz,Saarland","","","",""
"Ja","1986","AkademikerIn","Baden-Wuerttemberg","","","",""
"Ja","1986","AkademikerIn","Bayern","","","",""
"Ja","1986","AkademikerIn","Saarland","","","",""
"Ja","1986","AkademikerIn","Berlin","","","",""
"Ja","1986","AkademikerIn","Brandenburg","","","",""
"Ja","1986","AkademikerIn","Mecklenburg-Vorpommern","","","",""
"Ja","1986","AkademikerIn","Sachsen","","","",""
"Ja","1986","AkademikerIn","Sachsen-Anhalt","","","",""
"Ja","1986","AkademikerIn","Thueringen","","","",""
"Nein","1986","(noch) kein Abschluss","Schleswig-Holstein","4","","",""
"Nein","1986","(noch) kein Abschluss","Hamburg","10","","",""
"Nein","1986","(noch) kein Abschluss","Niedersachsen","15","","",""
"Nein","1986","(noch) kein Abschluss","Bremen","","","",""
"Nein","1986","(noch) kein Abschluss","Nordrhein-Westfalen","119","1","1","1"
"Nein","1986","(noch) kein Abschluss","Hessen","47","1","1","1"
"Nein","1986","(noch) kein Abschluss","Rheinland-Pfalz,Saarland","26","","",""
"Nein","1986","(noch) kein Abschluss","Baden-Wuerttemberg","110","1","1","1"
"Nein","1986","(noch) kein Abschluss","Bayern","42","1","1","1"
"Nein","1986","(noch) kein Abschluss","Saarland","","","",""
"Nein","1986","(noch) kein Abschluss","Berlin","15","","",""
"Nein","1986","(noch) kein Abschluss","Brandenburg","","","",""
"Nein","1986","(noch) kein Abschluss","Mecklenburg-Vorpommern","","","",""
"Nein","1986","(noch) kein Abschluss","Sachsen","","","",""
"Nein","1986","(noch) kein Abschluss","Sachsen-Anhalt","","","",""
"Nein","1986","(noch) kein Abschluss","Thueringen","","","",""
"Nein","1986","Hauptschule","Schleswig-Holstein","79","1","1","1"
"Nein","1986","Hauptschule","Hamburg","44","1","1","1"
"Nein","1986","Hauptschule","Niedersachsen","224","1","1","1"
"Nein","1986","Hauptschule","Bremen","23","","",""
"Nein","1986","Hauptschule","Nordrhein-Westfalen","609","1","1","1"
"Nein","1986","Hauptschule","Hessen","230","1","1","1"
"Nein","1986","Hauptschule","Rheinland-Pfalz,Saarland","195","1","1","1"
"Nein","1986","Hauptschule","Baden-Wuerttemberg","560","1","1","1"
"Nein","1986","Hauptschule","Bayern","476","1","1","1"
"Nein","1986","Hauptschule","Saarland","","","",""
"Nein","1986","Hauptschule","Berlin","82","1","1","1"
"Nein","1986","Hauptschule","Brandenburg","","","",""
"Nein","1986","Hauptschule","Mecklenburg-Vorpommern","","","",""
"Nein","1986","Hauptschule","Sachsen","","","",""
"Nein","1986","Hauptschule","Sachsen-Anhalt","","","",""
"Nein","1986","Hauptschule","Thueringen","","","",""
"Nein","1986","Realschule","Schleswig-Holstein","25","","",""
"Nein","1986","Realschule","Hamburg","14","","",""
"Nein","1986","Realschule","Niedersachsen","93","1","1","1"
"Nein","1986","Realschule","Bremen","9","","",""
"Nein","1986","Realschule","Nordrhein-Westfalen","193","1","1","1"
"Nein","1986","Realschule","Hessen","68","1","1","1"
"Nein","1986","Realschule","Rheinland-Pfalz,Saarland","47","1","1","1"
"Nein","1986","Realschule","Baden-Wuerttemberg","99","1","1","1"
"Nein","1986","Realschule","Bayern","135","1","1","1"
"Nein","1986","Realschule","Saarland","","","",""
"Nein","1986","Realschule","Berlin","30","1","1","1"
"Nein","1986","Realschule","Brandenburg","","","",""
"Nein","1986","Realschule","Mecklenburg-Vorpommern","","","",""
"Nein","1986","Realschule","Sachsen","","","",""
"Nein","1986","Realschule","Sachsen-Anhalt","","","",""
"Nein","1986","Realschule","Thueringen","","","",""
"Nein","1986","(Fach-)Abitur","Schleswig-Holstein","10","","",""
"Nein","1986","(Fach-)Abitur","Hamburg","15","","",""
"Nein","1986","(Fach-)Abitur","Niedersachsen","25","","",""
"Nein","1986","(Fach-)Abitur","Bremen","2","","",""
"Nein","1986","(Fach-)Abitur","Nordrhein-Westfalen","89","1","1","1"
"Nein","1986","(Fach-)Abitur","Hessen","40","1","1","1"
"Nein","1986","(Fach-)Abitur","Rheinland-Pfalz,Saarland","12","","",""
"Nein","1986","(Fach-)Abitur","Baden-Wuerttemberg","46","1","1","1"
"Nein","1986","(Fach-)Abitur","Bayern","35","1","1","1"
"Nein","1986","(Fach-)Abitur","Saarland","","","",""
"Nein","1986","(Fach-)Abitur","Berlin","15","","",""
"Nein","1986","(Fach-)Abitur","Brandenburg","","","",""
"Nein","1986","(Fach-)Abitur","Mecklenburg-Vorpommern","","","",""
"Nein","1986","(Fach-)Abitur","Sachsen","","","",""
"Nein","1986","(Fach-)Abitur","Sachsen-Anhalt","","","",""
"Nein","1986","(Fach-)Abitur","Thueringen","","","",""
"Nein","1986","AkademikerIn","Schleswig-Holstein","6","","",""
"Nein","1986","AkademikerIn","Hamburg","7","","",""
"Nein","1986","AkademikerIn","Niedersachsen","35","1","1","1"
"Nein","1986","AkademikerIn","Bremen","1","","",""
"Nein","1986","AkademikerIn","Nordrhein-Westfalen","109","1","1","1"
"Nein","1986","AkademikerIn","Hessen","28","","",""
"Nein","1986","AkademikerIn","Rheinland-Pfalz,Saarland","16","","",""
"Nein","1986","AkademikerIn","Baden-Wuerttemberg","43","1","1","1"
"Nein","1986","AkademikerIn","Bayern","64","1","1","1"
"Nein","1986","AkademikerIn","Saarland","","","",""
"Nein","1986","AkademikerIn","Berlin","15","","",""
