syear,regtyp,sampreg,plb0196_h,proportion,n,lower_confidence,upper_confidence
1986,Urban regions,West,2.0,0.7906598513011153,10583,0.7829085828049926,0.7984111197972379
1986,Rural regions,West,2.0,0.20934014869888476,10583,0.2015888802027621,0.2170914171950074
1988,Urban regions,West,2.0,0.7905236907730673,9970,0.7825357765298037,0.7985116050163309
1988,Rural regions,West,2.0,0.20947630922693267,9970,0.20148839498366905,0.21746422347019628
1989,Urban regions,West,2.0,0.7973430580880437,9662,0.7893276450631139,0.8053584711129735
1989,Rural regions,West,2.0,0.20265694191195624,9662,0.1946415288870264,0.21067235493688607
1990,Urban regions,West,2.0,0.4899713467048711,13886,0.4816565790051148,0.49828611440462733
1990,Rural regions,East,2.0,0.2519804483397944,13886,0.24475928135585692,0.25920161532373187
1990,Rural regions,West,2.0,0.13349064554188436,13886,0.1278337320770119,0.13914755900675682
1990,Urban regions,East,2.0,0.12455755941345019,13886,0.11906510660141241,0.13005001222548798
1991,Urban regions,West,2.0,0.5180099857346647,13586,0.5096076824701886,0.5264122889991408
1991,Rural regions,East,2.0,0.23430813124108416,13586,0.2271856557425401,0.2414306067396282
1991,Rural regions,West,2.0,0.137660485021398,13586,0.13186681098170058,0.1434541590610954
1991,Urban regions,East,2.0,0.11002139800285307,13586,0.10475954600660362,0.11528324999910253
1992,Urban regions,West,2.0,0.5663449939686369,13316,0.5579275178440554,0.5747624700932185
1992,Rural regions,East,2.0,0.18938480096501809,13316,0.18272978486768188,0.1960398170623543
1992,Rural regions,West,2.0,0.15460394049055087,13316,0.14846335803903657,0.16074452294206518
1992,Urban regions,East,2.0,0.08966626457579413,13316,0.08481355795968876,0.0945189711918995
1993,Urban regions,West,2.0,0.5843446601941747,13101,0.5759053865337896,0.5927839338545599
1993,Rural regions,East,2.0,0.16868932038834952,13101,0.16227679168312772,0.17510184909357132
1993,Rural regions,West,2.0,0.16140776699029127,13101,0.15510775348411326,0.16770778049646928
1993,Urban regions,East,2.0,0.08555825242718447,13101,0.08076850268014707,0.09034800217422187
1994,Urban regions,West,2.0,0.5806451612903226,12873,0.5721207887462847,0.5891695338343605
1994,Rural regions,East,2.0,0.17218831734960768,12873,0.16566627216376334,0.17871036253545203
1994,Rural regions,West,2.0,0.16281604184829992,12873,0.15643817817469882,0.16919390552190103
1994,Urban regions,East,2.0,0.08435047951176984,12873,0.07954955805694557,0.08915140096659412
1995,Urban regions,West,2.0,0.5704932343954605,13284,0.5620753706522086,0.5789110981387124
1995,Rural regions,East,2.0,0.18332605848974248,13284,0.17674602524775332,0.18990609173173165
1995,Rural regions,West,2.0,0.17088607594936708,13284,0.1644850132551559,0.17728713864357826
1995,Urban regions,East,2.0,0.07529463116542995,13284,0.07080743214103788,0.07978183018982202
1996,Urban regions,West,2.0,0.5669964028776978,13048,0.5584944243992203,0.5754983813561754
1996,Rural regions,East,2.0,0.18053057553956833,13048,0.17393085026343025,0.18713030081570642
1996,Rural regions,West,2.0,0.17176258992805754,13048,0.16529077918172533,0.17823440067438975
1996,Urban regions,East,2.0,0.08071043165467626,13048,0.07603657812407352,0.08538428518527899
1997,Urban regions,West,2.0,0.5087719298245614,12828,0.5001206620471726,0.5174231976019502
1997,Rural regions,East,2.0,0.21543859649122807,12828,0.20832397465605992,0.2225532183263962
1997,Rural regions,West,2.0,0.18175438596491228,12828,0.17508077496040553,0.18842799696941903
