"plb0196_h","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Ja","1986","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1986","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1986","Hauptschule","Staedtischer Raum","","","",""
"Ja","1986","Hauptschule","Laendlicher Raum","","","",""
"Ja","1986","Realschule","Staedtischer Raum","","","",""
"Ja","1986","Realschule","Laendlicher Raum","","","",""
"Ja","1986","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1986","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1986","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1986","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1986","(noch) kein Abschluss","Staedtischer Raum","349","1","1","1"
"Nein","1986","(noch) kein Abschluss","Laendlicher Raum","39","1","1","1"
"Nein","1986","Hauptschule","Staedtischer Raum","1931","1","1","1"
"Nein","1986","Hauptschule","Laendlicher Raum","591","1","1","1"
"Nein","1986","Realschule","Staedtischer Raum","543","1","1","1"
"Nein","1986","Realschule","Laendlicher Raum","170","1","1","1"
"Nein","1986","(Fach-)Abitur","Staedtischer Raum","248","1","1","1"
"Nein","1986","(Fach-)Abitur","Laendlicher Raum","41","1","1","1"
"Nein","1986","AkademikerIn","Staedtischer Raum","272","1","1","1"
"Nein","1986","AkademikerIn","Laendlicher Raum","52","1","1","1"
"Ja","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Ja","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Ja","1987","Hauptschule","Staedtischer Raum","","","",""
"Ja","1987","Hauptschule","Laendlicher Raum","","","",""
"Ja","1987","Realschule","Staedtischer Raum","","","",""
"Ja","1987","Realschule","Laendlicher Raum","","","",""
"Ja","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Ja","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Ja","1987","AkademikerIn","Staedtischer Raum","","","",""
"Ja","1987","AkademikerIn","Laendlicher Raum","","","",""
"Nein","1987","(noch) kein Abschluss","Staedtischer Raum","","","",""
"Nein","1987","(noch) kein Abschluss","Laendlicher Raum","","","",""
"Nein","1987","Hauptschule","Staedtischer Raum","","","",""
"Nein","1987","Hauptschule","Laendlicher Raum","","","",""
"Nein","1987","Realschule","Staedtischer Raum","","","",""
"Nein","1987","Realschule","Laendlicher Raum","","","",""
"Nein","1987","(Fach-)Abitur","Staedtischer Raum","","","",""
"Nein","1987","(Fach-)Abitur","Laendlicher Raum","","","",""
"Nein","1987","AkademikerIn","Staedtischer Raum","","","",""
