"plb0196_h","year","bula_h","sampreg","n","percent","lower_confidence","upper_confidence"
"Ja","1986","Schleswig-Holstein","Westdeutschland","","","",""
"Ja","1986","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","1986","Hamburg","Westdeutschland","","","",""
"Ja","1986","Hamburg","Ostdeutschland","","","",""
"Ja","1986","Niedersachsen","Westdeutschland","","","",""
"Ja","1986","Niedersachsen","Ostdeutschland","","","",""
"Ja","1986","Bremen","Westdeutschland","","","",""
"Ja","1986","Bremen","Ostdeutschland","","","",""
"Ja","1986","Nordrhein-Westfalen","Westdeutschland","","","",""
"Ja","1986","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","1986","Hessen","Westdeutschland","","","",""
"Ja","1986","Hessen","Ostdeutschland","","","",""
"Ja","1986","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Ja","1986","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","1986","Baden-Wuerttemberg","Westdeutschland","","","",""
"Ja","1986","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","1986","Bayern","Westdeutschland","","","",""
"Ja","1986","Bayern","Ostdeutschland","","","",""
"Ja","1986","Saarland","Westdeutschland","","","",""
"Ja","1986","Saarland","Ostdeutschland","","","",""
"Ja","1986","Berlin","Westdeutschland","","","",""
"Ja","1986","Berlin","Ostdeutschland","","","",""
"Ja","1986","Brandenburg","Westdeutschland","","","",""
"Ja","1986","Brandenburg","Ostdeutschland","","","",""
"Ja","1986","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","1986","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja","1986","Sachsen","Westdeutschland","","","",""
"Ja","1986","Sachsen","Ostdeutschland","","","",""
"Ja","1986","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","1986","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja","1986","Thueringen","Westdeutschland","","","",""
"Ja","1986","Thueringen","Ostdeutschland","","","",""
"Nein","1986","Schleswig-Holstein","Westdeutschland","124","1","1","1"
"Nein","1986","Schleswig-Holstein","Ostdeutschland","","","",""
"Nein","1986","Hamburg","Westdeutschland","94","1","1","1"
"Nein","1986","Hamburg","Ostdeutschland","","","",""
"Nein","1986","Niedersachsen","Westdeutschland","397","1","1","1"
"Nein","1986","Niedersachsen","Ostdeutschland","","","",""
"Nein","1986","Bremen","Westdeutschland","35","1","1","1"
"Nein","1986","Bremen","Ostdeutschland","","","",""
"Nein","1986","Nordrhein-Westfalen","Westdeutschland","1137","1","1","1"
"Nein","1986","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Nein","1986","Hessen","Westdeutschland","423","1","1","1"
"Nein","1986","Hessen","Ostdeutschland","","","",""
"Nein","1986","Rheinland-Pfalz,Saarland","Westdeutschland","298","1","1","1"
"Nein","1986","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Nein","1986","Baden-Wuerttemberg","Westdeutschland","878","1","1","1"
"Nein","1986","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Nein","1986","Bayern","Westdeutschland","758","1","1","1"
"Nein","1986","Bayern","Ostdeutschland","","","",""
"Nein","1986","Saarland","Westdeutschland","","","",""
"Nein","1986","Saarland","Ostdeutschland","","","",""
"Nein","1986","Berlin","Westdeutschland","160","1","1","1"
"Nein","1986","Berlin","Ostdeutschland","","","",""
"Nein","1986","Brandenburg","Westdeutschland","","","",""
"Nein","1986","Brandenburg","Ostdeutschland","","","",""
"Nein","1986","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Nein","1986","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Nein","1986","Sachsen","Westdeutschland","","","",""
"Nein","1986","Sachsen","Ostdeutschland","","","",""
"Nein","1986","Sachsen-Anhalt","Westdeutschland","","","",""
"Nein","1986","Sachsen-Anhalt","Ostdeutschland","","","",""
"Nein","1986","Thueringen","Westdeutschland","","","",""
"Nein","1986","Thueringen","Ostdeutschland","","","",""
"Ja","1987","Schleswig-Holstein","Westdeutschland","","","",""
"Ja","1987","Schleswig-Holstein","Ostdeutschland","","","",""
"Ja","1987","Hamburg","Westdeutschland","","","",""
"Ja","1987","Hamburg","Ostdeutschland","","","",""
"Ja","1987","Niedersachsen","Westdeutschland","","","",""
"Ja","1987","Niedersachsen","Ostdeutschland","","","",""
"Ja","1987","Bremen","Westdeutschland","","","",""
"Ja","1987","Bremen","Ostdeutschland","","","",""
"Ja","1987","Nordrhein-Westfalen","Westdeutschland","","","",""
"Ja","1987","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Ja","1987","Hessen","Westdeutschland","","","",""
"Ja","1987","Hessen","Ostdeutschland","","","",""
"Ja","1987","Rheinland-Pfalz,Saarland","Westdeutschland","","","",""
"Ja","1987","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Ja","1987","Baden-Wuerttemberg","Westdeutschland","","","",""
"Ja","1987","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Ja","1987","Bayern","Westdeutschland","","","",""
"Ja","1987","Bayern","Ostdeutschland","","","",""
"Ja","1987","Saarland","Westdeutschland","","","",""
"Ja","1987","Saarland","Ostdeutschland","","","",""
"Ja","1987","Berlin","Westdeutschland","","","",""
"Ja","1987","Berlin","Ostdeutschland","","","",""
"Ja","1987","Brandenburg","Westdeutschland","","","",""
"Ja","1987","Brandenburg","Ostdeutschland","","","",""
"Ja","1987","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Ja","1987","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Ja","1987","Sachsen","Westdeutschland","","","",""
"Ja","1987","Sachsen","Ostdeutschland","","","",""
"Ja","1987","Sachsen-Anhalt","Westdeutschland","","","",""
"Ja","1987","Sachsen-Anhalt","Ostdeutschland","","","",""
"Ja","1987","Thueringen","Westdeutschland","","","",""
"Ja","1987","Thueringen","Ostdeutschland","","","",""
"Nein","1987","Schleswig-Holstein","Westdeutschland","","","",""
"Nein","1987","Schleswig-Holstein","Ostdeutschland","","","",""
"Nein","1987","Hamburg","Westdeutschland","","","",""
"Nein","1987","Hamburg","Ostdeutschland","","","",""
"Nein","1987","Niedersachsen","Westdeutschland","","","",""
"Nein","1987","Niedersachsen","Ostdeutschland","","","",""
"Nein","1987","Bremen","Westdeutschland","","","",""
