"plb0196_h","year","regtyp","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","1997","Staedtischer Raum","weiblich","375","1","1","1"
"Nein","1997","Laendlicher Raum","maennlich","352","1","1","1"
"Nein","1997","Laendlicher Raum","weiblich","214","","",""
"Ja","1998","Staedtischer Raum","maennlich","","","",""
"Ja","1998","Staedtischer Raum","weiblich","","","",""
"Ja","1998","Laendlicher Raum","maennlich","","","",""
"Ja","1998","Laendlicher Raum","weiblich","","","",""
"Nein","1998","Staedtischer Raum","maennlich","494","1","1","1"
"Nein","1998","Staedtischer Raum","weiblich","379","1","1","1"
"Nein","1998","Laendlicher Raum","maennlich","368","1","1","1"
"Nein","1998","Laendlicher Raum","weiblich","260","","",""
"Ja","1999","Staedtischer Raum","maennlich","","","",""
"Ja","1999","Staedtischer Raum","weiblich","","","",""
"Ja","1999","Laendlicher Raum","maennlich","","","",""
"Ja","1999","Laendlicher Raum","weiblich","","","",""
"Nein","1999","Staedtischer Raum","maennlich","467","1","1","1"
"Nein","1999","Staedtischer Raum","weiblich","359","1","1","1"
"Nein","1999","Laendlicher Raum","maennlich","341","1","1","1"
"Nein","1999","Laendlicher Raum","weiblich","240","","",""
"Ja","2000","Staedtischer Raum","maennlich","","","",""
"Ja","2000","Staedtischer Raum","weiblich","","","",""
"Ja","2000","Laendlicher Raum","maennlich","","","",""
"Ja","2000","Laendlicher Raum","weiblich","","","",""
"Nein","2000","Staedtischer Raum","maennlich","897","1","1","1"
"Nein","2000","Staedtischer Raum","weiblich","673","1","1","1"
"Nein","2000","Laendlicher Raum","maennlich","531","1","1","1"
"Nein","2000","Laendlicher Raum","weiblich","410","1","1","1"
"Ja","2001","Staedtischer Raum","maennlich","","","",""
"Ja","2001","Staedtischer Raum","weiblich","","","",""
"Ja","2001","Laendlicher Raum","maennlich","","","",""
"Ja","2001","Laendlicher Raum","weiblich","","","",""
"Nein","2001","Staedtischer Raum","maennlich","","","",""
"Nein","2001","Staedtischer Raum","weiblich","","","",""
"Nein","2001","Laendlicher Raum","maennlich","","","",""
"Nein","2001","Laendlicher Raum","weiblich","","","",""
"Ja","2002","Staedtischer Raum","maennlich","2239","","",""
"Ja","2002","Staedtischer Raum","weiblich","1538","","",""
"Ja","2002","Laendlicher Raum","maennlich","1042","","",""
"Ja","2002","Laendlicher Raum","weiblich","777","0.649236211813654","0.621762640562109","0.676709783065198"
"Nein","2002","Staedtischer Raum","maennlich","819","0.288189563080449","0.272136768416021","0.304242357744877"
"Nein","2002","Staedtischer Raum","weiblich","632","0.302446478538747","0.283120955446507","0.321772001630987"
"Nein","2002","Laendlicher Raum","maennlich","500","0.330053928912878","0.306583648419867","0.353524209405889"
"Nein","2002","Laendlicher Raum","weiblich","382","0.350763788186346","0.323290216934802","0.378237359437891"
"Ja","2003","Staedtischer Raum","maennlich","2092","","",""
"Ja","2003","Staedtischer Raum","weiblich","1473","","",""
"Ja","2003","Laendlicher Raum","maennlich","992","0.680929064164341","0.656879374073566","0.704978754255115"
"Ja","2003","Laendlicher Raum","weiblich","742","0.647040026736373","0.619225615818946","0.674854437653801"
"Nein","2003","Staedtischer Raum","maennlich","725","0.26939084355217","0.253008024368004","0.285773662736336"
"Nein","2003","Staedtischer Raum","weiblich","689","0.316708229380569","0.297099339145914","0.336317119615225"
"Nein","2003","Laendlicher Raum","maennlich","451","0.319070935835659","0.295021245744885","0.343120625926434"
"Nein","2003","Laendlicher Raum","weiblich","392","0.352959973263627","0.325145562346199","0.380774384181054"
"Ja","2004","Staedtischer Raum","maennlich","2018","","",""
"Ja","2004","Staedtischer Raum","weiblich","1433","","",""
"Ja","2004","Laendlicher Raum","maennlich","985","0.703495706452182","0.679511864605867","0.727479548298497"
"Ja","2004","Laendlicher Raum","weiblich","732","0.66280425115365","0.634648471959468","0.690960030347833"
"Nein","2004","Staedtischer Raum","maennlich","708","0.271315197807782","0.254623824055502","0.288006571560062"
"Nein","2004","Staedtischer Raum","weiblich","645","0.320337368053601","0.300275294543628","0.340399441563574"
"Nein","2004","Laendlicher Raum","maennlich","408","0.296504293547818","0.272520451701503","0.320488135394133"
"Nein","2004","Laendlicher Raum","weiblich","351","0.337195748846349","0.309039969652167","0.365351528040532"
"Ja","2005","Staedtischer Raum","maennlich","1923","","",""
"Ja","2005","Staedtischer Raum","weiblich","1341","","",""
"Ja","2005","Laendlicher Raum","maennlich","858","0.664742493168497","0.638779054752301","0.690705931584694"
"Ja","2005","Laendlicher Raum","weiblich","675","0.657828484376211","0.62881224446927","0.686844724283152"
"Nein","2005","Staedtischer Raum","maennlich","600","0.253701165371421","0.23672236201198","0.270679968730862"
"Nein","2005","Staedtischer Raum","weiblich","586","0.319659249814891","0.298837649102611","0.340480850527171"
"Nein","2005","Laendlicher Raum","maennlich","412","0.335257506831503","0.309294068415306","0.361220945247699"
"Nein","2005","Laendlicher Raum","weiblich","352","0.342171515623789","0.313155275716848","0.37118775553073"
"Ja","2006","Staedtischer Raum","maennlich","2067","","",""
"Ja","2006","Staedtischer Raum","weiblich","1614","","",""
"Ja","2006","Laendlicher Raum","maennlich","979","0.696649219787417","0.6724387710008","0.720859668574034"
"Ja","2006","Laendlicher Raum","weiblich","781","0.659228512004254","0.632046832576163","0.686410191432345"
"Nein","2006","Staedtischer Raum","maennlich","599","0.249673264722171","0.233243579259186","0.266102950185157"
"Nein","2006","Staedtischer Raum","weiblich","617","0.277204210629304","0.258630185695013","0.295778235563596"
"Nein","2006","Laendlicher Raum","maennlich","406","0.303350780212583","0.279140331425966","0.3275612289992"
"Nein","2006","Laendlicher Raum","weiblich","387","0.340771487995746","0.313589808567655","0.367953167423837"
"Ja","2007","Staedtischer Raum","maennlich","1971","","",""
"Ja","2007","Staedtischer Raum","weiblich","1466","","",""
"Ja","2007","Laendlicher Raum","maennlich","957","0.706676140539604","0.682198502402977","0.731153778676231"
"Ja","2007","Laendlicher Raum","weiblich","754","0.668312377512942","0.640726460033985","0.6958982949919"
"Nein","2007","Staedtischer Raum","maennlich","523","0.208143962546974","0.192210693424049","0.224077231669899"
"Nein","2007","Staedtischer Raum","weiblich","535","0.264791382908506","0.245459161299755","0.284123604517258"
"Nein","2007","Laendlicher Raum","maennlich","372","0.293323859460396","0.268846221323769","0.317801497597023"
"Nein","2007","Laendlicher Raum","weiblich","365","0.331687622487058","0.3041017050081","0.359273539966015"
"Ja","2008","Staedtischer Raum","maennlich","1835","","",""
"Ja","2008","Staedtischer Raum","weiblich","1477","","",""
"Ja","2008","Laendlicher Raum","maennlich","915","0.678700054725661","0.653354397147676","0.704045712303645"
"Ja","2008","Laendlicher Raum","weiblich","738","0.657180045150005","0.629027866975744","0.685332223324266"
"Nein","2008","Staedtischer Raum","maennlich","546","0.228233207701922","0.211375409365208","0.245091006038635"
"Nein","2008","Staedtischer Raum","weiblich","570","0.276329476460458","0.25695753185649","0.295701421064427"
"Nein","2008","Laendlicher Raum","maennlich","389","0.321299945274339","0.295954287696355","0.346645602852324"
"Nein","2008","Laendlicher Raum","weiblich","354","0.342819954849995","0.314667776675734","0.370972133024256"
"Ja","2009","Staedtischer Raum","maennlich","1524","","",""
"Ja","2009","Staedtischer Raum","weiblich","1290","","",""
"Ja","2009","Laendlicher Raum","maennlich","796","0.67814768583785","0.651468909515039","0.70482646216066"
"Ja","2009","Laendlicher Raum","weiblich","673","0.630141728191452","0.600427400984216","0.659856055398688"
"Nein","2009","Staedtischer Raum","maennlich","533","0.250726454253087","0.23199587430974","0.269457034196435"
"Nein","2009","Staedtischer Raum","weiblich","498","0.280756779243484","0.259927830646782","0.301585727840187"
"Nein","2009","Laendlicher Raum","maennlich","382","0.32185231416215","0.29517353783934","0.348531090484961"
"Nein","2009","Laendlicher Raum","weiblich","341","0.369858271808548","0.340143944601312","0.399572599015784"
"Ja","2010","Staedtischer Raum","maennlich","2107","","",""
"Ja","2010","Staedtischer Raum","weiblich","1682","","",""
"Ja","2010","Laendlicher Raum","maennlich","1114","","",""
"Ja","2010","Laendlicher Raum","weiblich","874","0.609258477839999","0.583192673339342","0.635324282340656"
"Nein","2010","Staedtischer Raum","maennlich","822","0.292044733936935","0.275577676388803","0.308511791485067"
"Nein","2010","Staedtischer Raum","weiblich","765","0.304416375125127","0.28618414531985","0.322648604930404"
"Nein","2010","Laendlicher Raum","maennlich","525","0.335973110903598","0.313106399660854","0.358839822146341"
"Nein","2010","Laendlicher Raum","weiblich","472","0.390741522160001","0.364675717659344","0.416807326660658"
"Ja","2011","Staedtischer Raum","maennlich","2639","","",""
"Ja","2011","Staedtischer Raum","weiblich","2224","","",""
"Ja","2011","Laendlicher Raum","maennlich","1456","","",""
"Ja","2011","Laendlicher Raum","weiblich","1179","","",""
"Nein","2011","Staedtischer Raum","maennlich","746","0.217586263278533","0.20368664975948","0.231485876797586"
"Nein","2011","Staedtischer Raum","weiblich","782","0.253968772988343","0.238408318902586","0.269529227074101"
"Nein","2011","Laendlicher Raum","maennlich","548","0.28744146730406","0.267626917221979","0.307256017386142"
"Nein","2011","Laendlicher Raum","weiblich","550","0.331303925676801","0.309117963300438","0.353489888053163"
"Ja","2012","Staedtischer Raum","maennlich","2499","","",""
"Ja","2012","Staedtischer Raum","weiblich","2253","","",""
"Ja","2012","Laendlicher Raum","maennlich","1448","","",""
"Ja","2012","Laendlicher Raum","weiblich","1221","","",""
"Nein","2012","Staedtischer Raum","maennlich","851","0.264625176826134","0.249687067050959","0.279563286601308"
"Nein","2012","Staedtischer Raum","weiblich","926","0.283471344521747","0.267804764888066","0.299137924155428"
"Nein","2012","Laendlicher Raum","maennlich","569","0.286796796387293","0.26705944229731","0.306534150477277"
"Nein","2012","Laendlicher Raum","weiblich","576","0.324097054829248","0.302457228843164","0.345736880815333"
"Ja","2013","Staedtischer Raum","maennlich","2822","","",""
"Ja","2013","Staedtischer Raum","weiblich","2452","","",""
"Ja","2013","Laendlicher Raum","maennlich","1424","","",""
"Ja","2013","Laendlicher Raum","weiblich","1269","","",""
"Nein","2013","Staedtischer Raum","maennlich","944","0.249426096182685","0.235607128274188","0.263245064091182"
"Nein","2013","Staedtischer Raum","weiblich","941","0.267511023650585","0.252616468070654","0.282405579230516"
"Nein","2013","Laendlicher Raum","maennlich","573","0.316598932159973","0.296197925013768","0.336999939306178"
"Nein","2013","Laendlicher Raum","weiblich","559","0.305631498634433","0.284513436825078","0.326749560443788"
"Ja","2014","Staedtischer Raum","maennlich","2486","","",""
"Ja","2014","Staedtischer Raum","weiblich","2218","","",""
"Ja","2014","Laendlicher Raum","maennlich","1321","","",""
"Ja","2014","Laendlicher Raum","weiblich","1150","","",""
"Nein","2014","Staedtischer Raum","maennlich","781","0.236350346021227","0.221782386546533","0.25091830549592"
"Nein","2014","Staedtischer Raum","weiblich","939","0.271317556518785","0.255807302817051","0.286827810220518"
"Nein","2014","Laendlicher Raum","maennlich","526","0.319625520812324","0.298358366852187","0.340892674772462"
"Nein","2014","Laendlicher Raum","weiblich","544","0.300511756217763","0.278678810692497","0.322344701743028"
"Ja","2015","Staedtischer Raum","maennlich","2461","","",""
"Ja","2015","Staedtischer Raum","weiblich","2240","","",""
"Ja","2015","Laendlicher Raum","maennlich","1327","","",""
"Ja","2015","Laendlicher Raum","weiblich","1228","","",""
"Nein","2015","Staedtischer Raum","maennlich","692","0.230744150441342","0.216038411251","0.245449889631684"
"Nein","2015","Staedtischer Raum","weiblich","673","0.223322564136721","0.208198639812144","0.238446488461299"
"Nein","2015","Laendlicher Raum","maennlich","448","0.259378240103036","0.238988395505264","0.279768084700808"
"Nein","2015","Laendlicher Raum","weiblich","430","0.250674368741711","0.229812842091254","0.271535895392168"
"Ja","2016","Staedtischer Raum","maennlich","2243","","",""
"Ja","2016","Staedtischer Raum","weiblich","2215","","",""
"Ja","2016","Laendlicher Raum","maennlich","1264","","",""
"Ja","2016","Laendlicher Raum","weiblich","1154","","",""
"Nein","2016","Staedtischer Raum","maennlich","609","0.218304901997435","0.203144044397706","0.233465759597164"
"Nein","2016","Staedtischer Raum","weiblich","712","0.225967175749391","0.21081625251787","0.241118098980913"
"Nein","2016","Laendlicher Raum","maennlich","388","0.249857550437715","0.228980882682121","0.270734218193309"
"Nein","2016","Laendlicher Raum","weiblich","441","0.290297938311633","0.268022423158793","0.312573453464473"
"Ja","2017","Staedtischer Raum","maennlich","2448","","",""
"Ja","2017","Staedtischer Raum","weiblich","2323","","",""
"Ja","2017","Laendlicher Raum","maennlich","1357","","",""
"Ja","2017","Laendlicher Raum","weiblich","1260","","",""
"Nein","2017","Staedtischer Raum","maennlich","703","0.220738098930238","0.206256908646655","0.235219289213821"
"Nein","2017","Staedtischer Raum","weiblich","720","0.233981222227435","0.218939161926024","0.249023282528847"
"Nein","2017","Laendlicher Raum","maennlich","436","0.241700421540187","0.221884372998108","0.261516470082267"
"Nein","2017","Laendlicher Raum","weiblich","488","0.279562947579817","0.258524426734333","0.300601468425301"
"Ja","2018","Staedtischer Raum","maennlich","2513","","",""
"Ja","2018","Staedtischer Raum","weiblich","2359","","",""
"Ja","2018","Laendlicher Raum","maennlich","1350","","",""
"Ja","2018","Laendlicher Raum","weiblich","1242","","",""
"Nein","2018","Staedtischer Raum","maennlich","821","0.218612622770135","0.20458331941005","0.232641926130221"
"Nein","2018","Staedtischer Raum","weiblich","853","0.251051945476768","0.236056203235698","0.266047687717838"
"Nein","2018","Laendlicher Raum","maennlich","489","0.265963195823267","0.245768983615128","0.286157408031406"
"Nein","2018","Laendlicher Raum","weiblich","531","0.291769584325201","0.270610297847077","0.312928870803325"
"Ja","2019","Staedtischer Raum","maennlich","2261","","",""
"Ja","2019","Staedtischer Raum","weiblich","2159","","",""
"Ja","2019","Laendlicher Raum","maennlich","1243","","",""
"Ja","2019","Laendlicher Raum","weiblich","1184","","",""
"Nein","2019","Staedtischer Raum","maennlich","668","0.209377620973131","0.194643029908663","0.224112212037599"
"Nein","2019","Staedtischer Raum","weiblich","707","0.221278640944964","0.206081188638878","0.236476093251051"
"Nein","2019","Laendlicher Raum","maennlich","390","0.262274571408194","0.240940169693933","0.283608973122455"
"Nein","2019","Laendlicher Raum","weiblich","404","0.250985122639988","0.229659974660782","0.272310270619194"
"Ja","2020","Staedtischer Raum","maennlich","2197","","",""
"Ja","2020","Staedtischer Raum","weiblich","2110","","",""
"Ja","2020","Laendlicher Raum","maennlich","1173","","",""
"Ja","2020","Laendlicher Raum","weiblich","1050","","",""
"Nein","2020","Staedtischer Raum","maennlich","1160","","",""
"Nein","2020","Staedtischer Raum","weiblich","1248","","",""
"Nein","2020","Laendlicher Raum","maennlich","619","0.340495862025557","0.318555500979347","0.362436223071767"
"Nein","2020","Laendlicher Raum","weiblich","664","0.351602761249621","0.328998547827951","0.374206974671291"
